,Last Refresh: 2023-05-09 00:12:15,,,,,,,,,,,,,,,,,,
Calendar Basis,,,,,,,,,,,,,,,,,,,
Portfolio, ,Default,,,,,,,,,,,,,,,,,
Item, , ,,,,,,,,,,,,,,,,,
Frequency,일간,KRW,,,,,,,,,,,,,,,,,
Non-Trading Day,Previous,Asc,,,,,,,,,,,,,,,,,
Include Weekend,ALL, ,,,,,,,,,,,,,,,,,
Term,20190101,Current(20230508),,,,,,,,,,,,,,,,,
Symbol,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy
Symbol Name,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO
Kind,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO
Item,E13.03.006.001.001,E14.07.001.007.001,E14.07.001.007.002,E14.07.001.007.003,E14.07.001.007.007,E14.07.001.007.004,E11.02.003.001,E11.02.003.002,E11.02.003.004,E06.01.021.004.001,E11.02.003.007,E06.09.016.001.001,E04.62.001.008,E04.13.018,E14.08.001.025.001.004,E04.62.002.004,E09.06.004.001.001,E04.62.001.005,E02.29.003.002.003
Item Name,시장평균_미국(달러)(통화대원),국채금리_미국국채(3개월)(%),국채금리_미국국채(6개월)(%),국채금리_미국국채(1년)(%),국채금리_미국국채(5년)(%),국채금리_미국국채(10년)(%),콜금리(1일물중개거래)(%),무담보콜금리(1일물 은행간직거래(%),무담보콜금리 전체(%),주택 ·수도 · 전기 및 연료(2020=100),시장금리:국채(국민주택채권1종5년)(%),전국(2022.01=100),장단기금리차(2020=100),한은소비자동향조사(CSI)_소비자심리지수(Pt),미국 SP 500 Index(종가)(Pt),건설기성액(실질)(2020=100),건설수주(백만원),건설수주액(실질)(2020=100),건설투자(%)
Frequency,D,D,D,D,D,D,D,M,M,M,D,M,M,M,D,M,M,M,Y
2019-01-01,1118.1,2.466,2.554,2.626,2.51,2.686,1.89,1.72,1.77,98.975,1.982,79.86068,0.43,97.4,2506.85,10044.5,21742503,11318.6,-4.6
2019-01-02,1118.1,2.417,2.513,2.605,2.468,2.633,1.83,1.72,1.77,98.975,1.967,79.86068,0.43,97.4,2510.03,10044.5,21742503,11318.6,-4.6
2019-01-03,1119,2.412,2.471,2.507,2.355,2.552,1.77,1.72,1.77,98.975,1.957,79.86068,0.43,97.4,2447.89,10044.5,21742503,11318.6,-4.6
2019-01-04,1127.5,2.414,2.509,2.565,2.501,2.668,1.75,1.72,1.77,98.975,1.958,79.86068,0.43,97.4,2531.94,10044.5,21742503,11318.6,-4.6
2019-01-05,1127.5,2.414,2.509,2.565,2.501,2.668,1.75,1.72,1.77,98.975,1.958,79.86068,0.43,97.4,2531.94,10044.5,21742503,11318.6,-4.6
2019-01-06,1127.5,2.424,2.515,2.573,2.502,2.668,1.75,1.72,1.77,98.975,1.958,79.86068,0.43,97.4,2531.94,10044.5,21742503,11318.6,-4.6
2019-01-07,1125.2,2.409,2.512,2.575,2.538,2.698,1.74,1.72,1.77,98.975,1.968,79.86068,0.43,97.4,2549.69,10044.5,21742503,11318.6,-4.6
2019-01-08,1118,2.458,2.541,2.604,2.581,2.73,1.74,1.72,1.77,98.975,1.975,79.86068,0.43,97.4,2574.41,10044.5,21742503,11318.6,-4.6
2019-01-09,1121.7,2.443,2.52,2.593,2.549,2.712,1.73,1.72,1.77,98.975,1.98,79.86068,0.43,97.4,2584.96,10044.5,21742503,11318.6,-4.6
2019-01-10,1121.6,2.433,2.515,2.593,2.569,2.746,1.75,1.72,1.77,98.975,1.955,79.86068,0.43,97.4,2596.64,10044.5,21742503,11318.6,-4.6
2019-01-11,1118.9,2.424,2.509,2.577,2.527,2.699,1.75,1.72,1.77,98.975,1.963,79.86068,0.43,97.4,2596.26,10044.5,21742503,11318.6,-4.6
2019-01-12,1118.9,2.424,2.509,2.577,2.527,2.699,1.75,1.72,1.77,98.975,1.963,79.86068,0.43,97.4,2596.26,10044.5,21742503,11318.6,-4.6
2019-01-13,1118.9,2.422,2.509,2.58,2.527,2.699,1.75,1.72,1.77,98.975,1.963,79.86068,0.43,97.4,2596.26,10044.5,21742503,11318.6,-4.6
2019-01-14,1117.6,2.417,2.507,2.574,2.527,2.706,1.73,1.72,1.77,98.975,1.948,79.86068,0.43,97.4,2582.61,10044.5,21742503,11318.6,-4.6
2019-01-15,1121.4,2.451,2.52,2.566,2.534,2.718,1.74,1.72,1.77,98.975,1.948,79.86068,0.43,97.4,2610.3,10044.5,21742503,11318.6,-4.6
2019-01-16,1120.1,2.42,2.5,2.566,2.542,2.727,1.75,1.72,1.77,98.975,1.956,79.86068,0.43,97.4,2616.1,10044.5,21742503,11318.6,-4.6
2019-01-17,1122,2.41,2.505,2.574,2.576,2.75,1.75,1.72,1.77,98.975,1.955,79.86068,0.43,97.4,2635.96,10044.5,21742503,11318.6,-4.6
2019-01-18,1121.4,2.404,2.501,2.594,2.625,2.788,1.75,1.72,1.77,98.975,1.977,79.86068,0.43,97.4,2670.71,10044.5,21742503,11318.6,-4.6
2019-01-19,1121.4,2.404,2.501,2.594,2.625,2.788,1.75,1.72,1.77,98.975,1.977,79.86068,0.43,97.4,2670.71,10044.5,21742503,11318.6,-4.6
2019-01-20,1121.4,2.404,2.501,2.594,2.625,2.788,1.75,1.72,1.77,98.975,1.977,79.86068,0.43,97.4,2670.71,10044.5,21742503,11318.6,-4.6
2019-01-21,1121.3,2.406,2.499,2.597,2.608,2.773,1.76,1.72,1.77,98.975,1.983,79.86068,0.43,97.4,2670.71,10044.5,21742503,11318.6,-4.6
2019-01-22,1126.5,2.401,2.493,2.586,2.579,2.741,1.77,1.72,1.77,98.975,1.962,79.86068,0.43,97.4,2632.9,10044.5,21742503,11318.6,-4.6
2019-01-23,1130.2,2.41,2.513,2.591,2.584,2.75,1.78,1.72,1.77,98.975,1.959,79.86068,0.43,97.4,2638.7,10044.5,21742503,11318.6,-4.6
2019-01-24,1128.2,2.369,2.507,2.578,2.55,2.716,1.75,1.72,1.77,98.975,1.966,79.86068,0.43,97.4,2642.33,10044.5,21742503,11318.6,-4.6
