,일자,시장평균_미국(달러)(통화대원),국채금리_미국국채(3개월)(%),국채금리_미국국채(6개월)(%),국채금리_미국국채(1년)(%),국채금리_미국국채(5년)(%),국채금리_미국국채(10년)(%),콜금리(1일물중개거래)(%),무담보콜금리(1일물 은행간직거래(%),무담보콜금리 전체(%),주택 ·수도 · 전기 및 연료(2020=100),시장금리:국채(국민주택채권1종5년)(%),전국(2022.01=100),장단기금리차(2020=100),한은소비자동향조사(CSI)_소비자심리지수(Pt),미국 SP 500 Index(종가)(Pt),건설기성액(실질)(2020=100),건설수주(백만원),건설수주액(실질)(2020=100),건설투자(%)
0,190101,1118.1,2.466,2.554,2.626,2.51,2.686,1.89,1.72,1.77,98.975,1.982,79.86068,0.43,97.4,2506.85,10044.5,21742503,11318.6,-4.6
1,190102,1118.1,2.417,2.513,2.605,2.468,2.633,1.83,1.72,1.77,98.975,1.967,79.86068,0.43,97.4,2510.03,10044.5,21742503,11318.6,-4.6
2,190103,1119,2.412,2.471,2.507,2.355,2.552,1.77,1.72,1.77,98.975,1.957,79.86068,0.43,97.4,2447.89,10044.5,21742503,11318.6,-4.6
3,190104,1127.5,2.414,2.509,2.565,2.501,2.668,1.75,1.72,1.77,98.975,1.958,79.86068,0.43,97.4,2531.94,10044.5,21742503,11318.6,-4.6
4,190105,1127.5,2.414,2.509,2.565,2.501,2.668,1.75,1.72,1.77,98.975,1.958,79.86068,0.43,97.4,2531.94,10044.5,21742503,11318.6,-4.6
5,190106,1127.5,2.424,2.515,2.573,2.502,2.668,1.75,1.72,1.77,98.975,1.958,79.86068,0.43,97.4,2531.94,10044.5,21742503,11318.6,-4.6
6,190107,1125.2,2.409,2.512,2.575,2.538,2.698,1.74,1.72,1.77,98.975,1.968,79.86068,0.43,97.4,2549.69,10044.5,21742503,11318.6,-4.6
7,190108,1118,2.458,2.541,2.604,2.581,2.73,1.74,1.72,1.77,98.975,1.975,79.86068,0.43,97.4,2574.41,10044.5,21742503,11318.6,-4.6
8,190109,1121.7,2.443,2.52,2.593,2.549,2.712,1.73,1.72,1.77,98.975,1.98,79.86068,0.43,97.4,2584.96,10044.5,21742503,11318.6,-4.6
9,190110,1121.6,2.433,2.515,2.593,2.569,2.746,1.75,1.72,1.77,98.975,1.955,79.86068,0.43,97.4,2596.64,10044.5,21742503,11318.6,-4.6
10,190111,1118.9,2.424,2.509,2.577,2.527,2.699,1.75,1.72,1.77,98.975,1.963,79.86068,0.43,97.4,2596.26,10044.5,21742503,11318.6,-4.6
11,190112,1118.9,2.424,2.509,2.577,2.527,2.699,1.75,1.72,1.77,98.975,1.963,79.86068,0.43,97.4,2596.26,10044.5,21742503,11318.6,-4.6
12,190113,1118.9,2.422,2.509,2.58,2.527,2.699,1.75,1.72,1.77,98.975,1.963,79.86068,0.43,97.4,2596.26,10044.5,21742503,11318.6,-4.6
13,190114,1117.6,2.417,2.507,2.574,2.527,2.706,1.73,1.72,1.77,98.975,1.948,79.86068,0.43,97.4,2582.61,10044.5,21742503,11318.6,-4.6
14,190115,1121.4,2.451,2.52,2.566,2.534,2.718,1.74,1.72,1.77,98.975,1.948,79.86068,0.43,97.4,2610.3,10044.5,21742503,11318.6,-4.6
15,190116,1120.1,2.42,2.5,2.566,2.542,2.727,1.75,1.72,1.77,98.975,1.956,79.86068,0.43,97.4,2616.1,10044.5,21742503,11318.6,-4.6
