일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","4325","-5","-0.12","4340","4340","4285","23385","100891705","438616782625","101414285"
"2023/04/27","4330","40","0.93","4290","4400","4265","28286","122107585","439123854050","101414285"
"2023/04/26","4290","-5","-0.12","4265","4330","4265","22704","97765360","435067282650","101414285"
"2023/04/25","4295","-40","-0.92","4365","4365","4265","102842","440526230","435574354075","101414285"
"2023/04/24","4335","-85","-1.92","4420","4435","4330","63358","275455905","439630925475","101414285"
"2023/04/21","4420","30","0.68","4400","4485","4355","58478","256510710","448251139700","101414285"
"2023/04/20","4390","-10","-0.23","4410","4445","4340","69449","303432190","445208711150","101414285"
"2023/04/19","4400","-5","-0.11","4445","4445","4335","50641","221125505","446222854000","101414285"
"2023/04/18","4405","-35","-0.79","4460","4465","4370","60317","266500040","446729925425","101414285"
"2023/04/17","4440","25","0.57","4430","4440","4375","46220","203701500","450279425400","101414285"
"2023/04/14","4415","70","1.61","4350","4435","4315","87021","378810920","447744068275","101414285"
"2023/04/13","4345","-5","-0.11","4350","4365","4300","37479","161936665","440645068325","101414285"
"2023/04/12","4350","-25","-0.57","4375","4375","4335","49621","215760985","441152139750","101414285"
"2023/04/11","4375","-5","-0.11","4350","4390","4350","26303","114920470","443687496875","101414285"
"2023/04/10","4380","-25","-0.57","4405","4420","4355","34435","151096470","444194568300","101414285"
"2023/04/07","4405","-10","-0.23","4385","4450","4370","30876","135339120","446729925425","101414285"
"2023/04/06","4415","-50","-1.12","4420","4455","4385","47157","207215695","447744068275","101414285"
"2023/04/05","4465","0","0.00","4455","4490","4420","33062","146936070","452814782525","101414285"
"2023/04/04","4465","25","0.56","4440","4470","4425","29897","132972660","452814782525","101414285"
"2023/04/03","4440","60","1.37","4375","4470","4370","31147","137889475","450279425400","101414285"
"2023/03/31","4380","45","1.04","4250","4380","4250","81029","351147215","444194568300","101414285"
"2023/03/30","4335","-5","-0.12","4310","4370","4310","52071","226316875","439630925475","101414285"
"2023/03/29","4340","0","0.00","4340","4355","4320","19212","83212420","440137996900","101414285"
"2023/03/28","4340","0","0.00","4340","4355","4300","20053","86977300","440137996900","101414285"
"2023/03/27","4340","-85","-1.92","4400","4415","4315","62963","273885695","440137996900","101414285"
"2023/03/24","4425","-15","-0.34","4445","4455","4405","17721","78268365","448758211125","101414285"
"2023/03/23","4440","-50","-1.11","4450","4485","4415","30820","136688715","450279425400","101414285"
"2023/03/22","4490","0","0.00","4480","4495","4435","35666","158855440","455350139650","101414285"
"2023/03/21","4490","-10","-0.22","4500","4500","4465","23187","103872095","455350139650","101414285"
"2023/03/20","4500","0","0.00","4500","4565","4480","12438","55924650","456364282500","101414285"
"2023/03/17","4500","30","0.67","4490","4515","4470","17728","79685330","456364282500","101414285"
"2023/03/16","4470","-25","-0.56","4495","4520","4450","38885","174347185","453321853950","101414285"
"2023/03/15","4495","50","1.12","4450","4540","4450","36911","166705640","455857211075","101414285"
"2023/03/14","4445","15","0.34","4455","4480","4430","74436","331328975","450786496825","101414285"
