일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","3380","5","0.15","3375","3385","3350","57863","195296535","142636000000","42200000"
"2023/04/27","3375","0","0.00","3375","3375","3345","32759","109855150","142425000000","42200000"
"2023/04/26","3375","20","0.60","3355","3390","3325","39033","131272690","142425000000","42200000"
"2023/04/25","3355","-5","-0.15","3360","3380","3335","43703","146833915","141581000000","42200000"
"2023/04/24","3360","-20","-0.59","3375","3420","3345","63593","214307095","141792000000","42200000"
"2023/04/21","3380","25","0.75","3355","3380","3340","84711","283925290","142636000000","42200000"
"2023/04/20","3355","10","0.30","3340","3370","3340","47957","160743330","141581000000","42200000"
"2023/04/19","3345","-15","-0.45","3375","3375","3320","148622","497982425","141159000000","42200000"
"2023/04/18","3360","10","0.30","3360","3360","3340","126830","424772735","141792000000","42200000"
"2023/04/17","3350","-5","-0.15","3365","3365","3320","173674","578751740","141370000000","42200000"
"2023/04/14","3355","50","1.51","3300","3370","3300","209266","694398315","141581000000","42200000"
"2023/04/13","3305","0","0.00","3305","3310","3270","195633","641813670","139471000000","42200000"
"2023/04/12","3305","-5","-0.15","3325","3330","3260","206736","678576005","139471000000","42200000"
"2023/04/11","3310","-35","-1.05","3345","3355","3285","221539","733647795","139682000000","42200000"
"2023/04/10","3345","-30","-0.89","3370","3395","3340","103217","346460745","141159000000","42200000"
"2023/04/07","3375","-55","-1.60","3430","3430","3370","193698","655945320","142425000000","42200000"
"2023/04/06","3430","-60","-1.72","3490","3490","3390","227726","777737475","144746000000","42200000"
"2023/04/05","3490","-65","-1.83","3555","3560","3445","228903","798225055","147278000000","42200000"
"2023/04/04","3555","40","1.14","3525","3555","3505","83509","294224190","150021000000","42200000"
"2023/04/03","3515","30","0.86","3495","3515","3460","85518","298055885","148333000000","42200000"
"2023/03/31","3485","55","1.60","3450","3490","3415","90530","312668145","147067000000","42200000"
"2023/03/30","3430","25","0.73","3405","3435","3390","40563","138501405","144746000000","42200000"
"2023/03/29","3405","0","0.00","3405","3410","3385","46496","157866700","143691000000","42200000"
"2023/03/28","3405","25","0.74","3400","3450","3380","75691","257239170","143691000000","42200000"
"2023/03/27","3380","-75","-2.17","3415","3455","3380","98413","334577310","142636000000","42200000"
"2023/03/24","3455","30","0.88","3430","3455","3400","48424","166161975","145801000000","42200000"
"2023/03/23","3425","0","0.00","3420","3425","3395","50567","172426970","144535000000","42200000"
"2023/03/22","3425","10","0.29","3420","3430","3405","48666","166456180","144535000000","42200000"
"2023/03/21","3415","5","0.15","3420","3420","3395","33292","113431620","144113000000","42200000"
"2023/03/20","3410","-15","-0.44","3430","3430","3390","48992","166702155","143902000000","42200000"
"2023/03/17","3425","15","0.44","3405","3430","3390","63391","216311495","144535000000","42200000"
"2023/03/16","3410","-10","-0.29","3405","3420","3380","101552","345612365","143902000000","42200000"
"2023/03/15","3420","-15","-0.44","3450","3465","3385","259094","881495370","144324000000","42200000"
"2023/03/14","3435","-10","-0.29","3445","3445","3385","179199","610956600","144957000000","42200000"
"2023/03/13","3445","-115","-3.23","3530","3560","3395","445822","1532783000","145379000000","42200000"
"2023/03/10","3560","-40","-1.11","3580","3580","3520","127626","453027390","150232000000","42200000"
"2023/03/09","3600","10","0.28","3630","3630","3560","41437","148313230","151920000000","42200000"
"2023/03/08","3590","-30","-0.83","3620","3620","3565","55253","197992020","151498000000","42200000"
"2023/03/07","3620","5","0.14","3650","3650","3580","92970","333899355","152764000000","42200000"
"2023/03/06","3615","5","0.14","3610","3620","3585","39734","143373455","152553000000","42200000"
"2023/03/03","3610","-25","-0.69","3635","3635","3585","54247","195238875","152342000000","42200000"
"2023/03/02","3635","-5","-0.14","3640","3640","3590","43302","156577615","153397000000","42200000"
"2023/02/28","3640","10","0.28","3630","3645","3590","40478","146623005","153608000000","42200000"
"2023/02/27","3630","30","0.83","3610","3660","3550","43143","154266630","153186000000","42200000"
"2023/02/24","3600","10","0.28","3570","3600","3565","64608","231410005","151920000000","42200000"
"2023/02/23","3590","10","0.28","3595","3595","3550","71090","253854520","151498000000","42200000"
"2023/02/22","3580","-10","-0.28","3550","3580","3540","42217","150060905","151076000000","42200000"
"2023/02/21","3590","20","0.56","3605","3605","3525","80441","286776590","151498000000","42200000"
"2023/02/20","3570","-15","-0.42","3585","3585","3535","48915","173708265","150654000000","42200000"
"2023/02/17","3585","0","0.00","3600","3600","3525","73126","259631520","151287000000","42200000"
"2023/02/16","3585","-35","-0.97","3670","3670","3555","120381","430392905","151287000000","42200000"
"2023/02/15","3620","-50","-1.36","3690","3690","3595","88661","320915935","152764000000","42200000"
"2023/02/14","3670","0","0.00","3610","3690","3600","38544","140968500","154874000000","42200000"
"2023/02/13","3670","0","0.00","3660","3695","3645","34423","126236765","154874000000","42200000"
"2023/02/10","3670","0","0.00","3645","3690","3645","28746","105571795","154874000000","42200000"
"2023/02/09","3670","10","0.27","3640","3675","3640","85947","314388540","154874000000","42200000"
"2023/02/08","3660","-10","-0.27","3670","3675","3630","81255","296193285","154452000000","42200000"
"2023/02/07","3670","-50","-1.34","3715","3715","3620","139538","508607750","154874000000","42200000"
"2023/02/06","3720","-35","-0.93","3745","3750","3665","122959","453596985","156984000000","42200000"
"2023/02/03","3755","-35","-0.92","3815","3815","3725","137199","513901045","158461000000","42200000"
"2023/02/02","3790","40","1.07","3770","3795","3745","158664","598878125","159938000000","42200000"
"2023/02/01","3750","-15","-0.40","3755","3790","3725","91823","343719835","158250000000","42200000"
"2023/01/31","3765","-15","-0.40","3760","3795","3745","71649","269469525","158883000000","42200000"
"2023/01/30","3780","-40","-1.05","3820","3830","3760","79764","301478295","159516000000","42200000"
"2023/01/27","3820","-15","-0.39","3850","3850","3785","122761","466844175","161204000000","42200000"
"2023/01/26","3835","-5","-0.13","3845","3845","3765","146431","556981630","161837000000","42200000"
"2023/01/25","3840","0","0.00","3880","3885","3810","112431","431324660","162048000000","42200000"
"2023/01/20","3840","15","0.39","3840","3865","3810","188649","724858225","162048000000","42200000"
"2023/01/19","3825","-10","-0.26","3840","3875","3800","272911","1046876620","161415000000","42200000"
"2023/01/18","3835","40","1.05","3800","3940","3780","258828","993880815","161837000000","42200000"
"2023/01/17","3795","0","0.00","3780","3815","3765","235842","884885960","160149000000","42200000"
"2023/01/16","3795","95","2.57","3695","3840","3675","264394","998861580","160149000000","42200000"
