일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","4275","40","0.94","4230","4290","4195","13278","56191510","79771500000","18660000"
"2023/04/27","4235","-70","-1.63","4300","4300","4200","12807","54015860","79025100000","18660000"
"2023/04/26","4305","40","0.94","4265","4305","4245","10254","43909195","80331300000","18660000"
"2023/04/25","4265","-15","-0.35","4285","4285","4200","11508","48725255","79584900000","18660000"
"2023/04/24","4280","-5","-0.12","4300","4300","4245","6623","28213470","79864800000","18660000"
"2023/04/21","4285","20","0.47","4265","4295","4200","5430","23121805","79958100000","18660000"
"2023/04/20","4265","-20","-0.47","4370","4370","4245","3416","14542100","79584900000","18660000"
"2023/04/19","4285","20","0.47","4270","4370","4265","11151","47780900","79958100000","18660000"
"2023/04/18","4265","30","0.71","4240","4300","4235","16519","70723510","79584900000","18660000"
"2023/04/17","4235","-15","-0.35","4250","4280","4150","8994","38195205","79025100000","18660000"
"2023/04/14","4250","60","1.43","4255","4255","4170","12414","52205250","79305000000","18660000"
"2023/04/13","4190","25","0.60","4200","4200","4165","3846","16087685","78185400000","18660000"
"2023/04/12","4165","15","0.36","4160","4200","4125","25110","105075175","77718900000","18660000"
"2023/04/11","4150","0","0.00","4195","4195","4105","8353","34467120","77439000000","18660000"
"2023/04/10","4150","-60","-1.43","4210","4210","4140","17345","72181710","77439000000","18660000"
"2023/04/07","4210","-20","-0.47","4265","4265","4200","18999","80174895","78558600000","18660000"
"2023/04/06","4230","55","1.32","4170","4265","4145","15099","63065695","78931800000","18660000"
"2023/04/05","4175","-5","-0.12","4185","4185","4130","9151","38195335","77905500000","18660000"
"2023/04/04","4180","10","0.24","4170","4190","4130","8506","35595310","77998800000","18660000"
"2023/04/03","4170","5","0.12","4165","4170","4135","5899","24542745","77812200000","18660000"
"2023/03/31","4165","5","0.12","4125","4170","4115","6902","28686575","77718900000","18660000"
"2023/03/30","4160","15","0.36","4175","4175","4100","5475","22731860","77625600000","18660000"
"2023/03/29","4145","-5","-0.12","4150","4195","4145","7806","32419135","77345700000","18660000"
"2023/03/28","4150","5","0.12","4190","4190","4070","8662","35616455","77439000000","18660000"
"2023/03/27","4145","-5","-0.12","4280","4280","4035","21378","87229745","77345700000","18660000"
"2023/03/24","4150","15","0.36","4240","4240","4100","8288","34376285","77439000000","18660000"
