일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","3270","-10","-0.30","3280","3280","3260","68734","224419945","210588000000","64400000"
"2023/04/27","3280","-5","-0.15","3305","3305","3250","29460","96168480","211232000000","64400000"
"2023/04/26","3285","0","0.00","3295","3305","3270","31339","102997865","211554000000","64400000"
"2023/04/25","3285","-25","-0.76","3320","3325","3275","57350","189159305","211554000000","64400000"
"2023/04/24","3310","-10","-0.30","3335","3335","3280","73037","241260245","213164000000","64400000"
"2023/04/21","3320","-20","-0.60","3350","3350","3305","75360","249991050","213808000000","64400000"
"2023/04/20","3340","-5","-0.15","3345","3350","3315","94010","312703060","215096000000","64400000"
"2023/04/19","3345","15","0.45","3350","3360","3315","70384","234426735","215418000000","64400000"
"2023/04/18","3330","5","0.15","3325","3340","3305","91878","304818715","214452000000","64400000"
"2023/04/17","3325","-30","-0.89","3355","3355","3305","139990","465484145","214130000000","64400000"
"2023/04/14","3355","35","1.05","3330","3375","3305","168476","561753360","216062000000","64400000"
"2023/04/13","3320","15","0.45","3305","3320","3280","98115","322981155","213808000000","64400000"
"2023/04/12","3305","-25","-0.75","3360","3360","3270","104479","343468900","212842000000","64400000"
"2023/04/11","3330","-35","-1.04","3385","3385","3260","196990","651618030","214452000000","64400000"
"2023/04/10","3365","-25","-0.74","3405","3410","3350","75195","253682780","216706000000","64400000"
"2023/04/07","3390","-35","-1.02","3450","3450","3385","82771","282080035","218316000000","64400000"
"2023/04/06","3425","-60","-1.72","3480","3485","3410","96268","329859180","220570000000","64400000"
"2023/04/05","3485","-45","-1.27","3530","3530","3460","250121","873125330","224434000000","64400000"
"2023/04/04","3530","5","0.14","3580","3620","3515","79549","280442020","227332000000","64400000"
"2023/04/03","3525","-15","-0.42","3530","3560","3505","100836","355005295","227010000000","64400000"
"2023/03/31","3540","0","0.00","3545","3555","3515","83970","296542530","227976000000","64400000"
"2023/03/30","3540","-120","-3.28","3540","3560","3515","140550","496553855","227976000000","64400000"
"2023/03/29","3660","10","0.27","3665","3695","3640","173790","637648080","235704000000","64400000"
"2023/03/28","3650","15","0.41","3660","3660","3625","104590","380596370","235060000000","64400000"
"2023/03/27","3635","-45","-1.22","3660","3665","3610","119652","435230270","234094000000","64400000"
"2023/03/24","3680","15","0.41","3675","3685","3635","63962","234162260","236992000000","64400000"
"2023/03/23","3665","0","0.00","3665","3665","3640","89455","326295880","236026000000","64400000"
"2023/03/22","3665","-5","-0.14","3670","3680","3655","87486","320607485","236026000000","64400000"
"2023/03/21","3670","10","0.27","3670","3675","3655","99930","366199740","236348000000","64400000"
"2023/03/20","3660","-30","-0.81","3680","3680","3655","52994","194288235","235704000000","64400000"
"2023/03/17","3690","35","0.96","3660","3690","3655","54502","199921795","237636000000","64400000"
"2023/03/16","3655","-5","-0.14","3635","3690","3625","23005","83968470","235382000000","64400000"
"2023/03/15","3660","15","0.41","3655","3685","3650","72977","267488855","235704000000","64400000"
"2023/03/14","3645","-40","-1.09","3695","3695","3640","68833","251496350","234738000000","64400000"
"2023/03/13","3685","-20","-0.54","3690","3690","3640","67301","246447055","237314000000","64400000"
"2023/03/10","3705","-25","-0.67","3740","3740","3700","63894","237025565","238602000000","64400000"
"2023/03/09","3730","5","0.13","3735","3740","3705","55259","206060255","240212000000","64400000"
"2023/03/08","3725","5","0.13","3720","3725","3680","68898","255060680","239890000000","64400000"
"2023/03/07","3720","40","1.09","3730","3730","3685","108464","402319085","239568000000","64400000"
"2023/03/06","3680","5","0.14","3675","3840","3660","92642","343180560","236992000000","64400000"
"2023/03/03","3675","0","0.00","3685","3685","3660","27955","102540150","236670000000","64400000"
"2023/03/02","3675","-5","-0.14","3670","3690","3660","78785","289147285","236670000000","64400000"
"2023/02/28","3680","60","1.66","3625","3680","3615","83260","304900230","236992000000","64400000"
"2023/02/27","3620","-10","-0.28","3640","3640","3600","41378","149543775","233128000000","64400000"
"2023/02/24","3630","70","1.97","3565","3640","3560","90509","326613465","233772000000","64400000"
"2023/02/23","3560","-5","-0.14","3565","3570","3540","38851","138112135","229264000000","64400000"
"2023/02/22","3565","-5","-0.14","3510","3575","3510","32150","114207280","229586000000","64400000"
"2023/02/21","3570","35","0.99","3540","3575","3525","127374","451454655","229908000000","64400000"
"2023/02/20","3535","-30","-0.84","3570","3575","3520","97615","345444205","227654000000","64400000"
"2023/02/17","3565","-45","-1.25","3600","3600","3555","78786","281116670","229586000000","64400000"
"2023/02/16","3610","-10","-0.28","3615","3625","3585","72627","261370385","232484000000","64400000"
"2023/02/15","3620","-20","-0.55","3640","3670","3605","73510","266268715","233128000000","64400000"
"2023/02/14","3640","-20","-0.55","3735","3735","3630","62458","227756565","234416000000","64400000"
"2023/02/13","3660","-40","-1.08","3730","3730","3645","104436","383616570","235704000000","64400000"
"2023/02/10","3700","-10","-0.27","3745","3760","3675","128673","474576785","238280000000","64400000"
"2023/02/09","3710","-50","-1.33","3775","3775","3705","111142","414450070","238924000000","64400000"
"2023/02/08","3760","40","1.08","3730","3760","3710","81470","304659605","242144000000","64400000"
"2023/02/07","3720","-40","-1.06","3760","3780","3710","99566","371364230","239568000000","64400000"
"2023/02/06","3760","-20","-0.53","3750","3765","3725","95431","356744515","242144000000","64400000"
"2023/02/03","3780","-30","-0.79","3780","3815","3750","98142","370387575","243432000000","64400000"
"2023/02/02","3810","100","2.70","3720","3810","3710","94759","355394515","245364000000","64400000"
"2023/02/01","3710","10","0.27","3750","3750","3690","111975","415581635","238924000000","64400000"
"2023/01/31","3700","-40","-1.07","3720","3775","3700","94459","352567065","238280000000","64400000"
"2023/01/30","3740","-75","-1.97","3815","3845","3735","90640","341866650","240856000000","64400000"
"2023/01/27","3815","-50","-1.29","3855","3855","3775","175855","670262150","245686000000","64400000"
"2023/01/26","3865","5","0.13","3850","3870","3840","97307","374909625","248906000000","64400000"
"2023/01/25","3860","35","0.92","3845","3865","3830","195572","753175915","248584000000","64400000"
"2023/01/20","3825","55","1.46","3765","3830","3755","123907","470721975","246330000000","64400000"
"2023/01/19","3770","-35","-0.92","3840","3840","3760","98232","372281075","242788000000","64400000"
"2023/01/18","3805","-5","-0.13","3850","3850","3795","86915","331202045","245042000000","64400000"
"2023/01/17","3810","10","0.26","3800","3845","3780","97323","370590975","245364000000","64400000"
"2023/01/16","3800","20","0.53","3780","3845","3760","195302","742855690","244720000000","64400000"
"2023/01/13","3780","20","0.53","3760","3785","3720","78577","294825720","243432000000","64400000"
"2023/01/12","3760","75","2.04","3695","3770","3670","199009","745327730","242144000000","64400000"
"2023/01/11","3685","70","1.94","3630","3700","3615","159853","586952790","237314000000","64400000"
"2023/01/10","3615","-25","-0.69","3640","3655","3595","120592","436685550","232806000000","64400000"
