일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","3305","10","0.30","3270","3320","3270","10884","35820420","87846900000","26580000"
"2023/04/27","3295","-5","-0.15","3305","3315","3275","12262","40252480","87581100000","26580000"
"2023/04/26","3300","30","0.92","3270","3305","3270","15724","51796880","87714000000","26580000"
"2023/04/25","3270","-50","-1.51","3315","3315","3260","57371","188007495","86916600000","26580000"
"2023/04/24","3320","0","0.00","3330","3330","3270","55271","181802505","88245600000","26580000"
"2023/04/21","3320","10","0.30","3325","3330","3305","12738","42248780","88245600000","26580000"
"2023/04/20","3310","-25","-0.75","3335","3335","3290","25323","83836330","87979800000","26580000"
"2023/04/19","3335","-15","-0.45","3350","3375","3285","233167","770483360","88644300000","26580000"
"2023/04/18","3350","0","0.00","3355","3355","3325","61139","204211370","89043000000","26580000"
"2023/04/17","3350","0","0.00","3380","3380","3325","28426","95128525","89043000000","26580000"
"2023/04/14","3350","50","1.52","3310","3360","3280","59256","196823400","89043000000","26580000"
"2023/04/13","3300","30","0.92","3270","3300","3270","21096","69465225","87714000000","26580000"
"2023/04/12","3270","10","0.31","3290","3295","3255","35580","116217195","86916600000","26580000"
"2023/04/11","3260","-75","-2.25","3335","3335","3260","95550","313816835","86650800000","26580000"
"2023/04/10","3335","-40","-1.19","3375","3375","3310","42144","140812030","88644300000","26580000"
"2023/04/07","3375","-5","-0.15","3380","3385","3345","17292","58198205","89707500000","26580000"
"2023/04/06","3380","0","0.00","3380","3415","3355","49897","168526155","89840400000","26580000"
"2023/04/05","3380","-10","-0.29","3390","3405","3350","44987","152078420","89840400000","26580000"
"2023/04/04","3390","-5","-0.15","3395","3415","3345","31373","105702660","90106200000","26580000"
"2023/04/03","3395","0","0.00","3410","3425","3365","41036","138842275","90239100000","26580000"
"2023/03/31","3395","35","1.04","3390","3400","3350","44483","149703655","90239100000","26580000"
"2023/03/30","3360","-80","-2.33","3400","3400","3295","159195","531346040","89308800000","26580000"
"2023/03/29","3440","-45","-1.29","3485","3495","3405","90103","309798825","91435200000","26580000"
"2023/03/28","3485","-95","-2.65","3620","3625","3355","98948","348992165","92631300000","26580000"
"2023/03/27","3580","-100","-2.72","3685","3800","3555","45582","164279540","95156400000","26580000"
"2023/03/24","3680","-15","-0.41","3700","3700","3660","52132","191526360","97814400000","26580000"
"2023/03/23","3695","-20","-0.54","3715","3715","3665","45495","167571390","98213100000","26580000"
"2023/03/22","3715","-10","-0.27","3725","3735","3705","21334","79348600","98744700000","26580000"
"2023/03/21","3725","15","0.40","3735","3735","3710","8661","32218945","99010500000","26580000"
"2023/03/20","3710","-130","-3.39","3830","3830","3600","87231","324716830","98611800000","26580000"
"2023/03/17","3840","80","2.13","3760","3840","3730","25424","95418430","102067200000","26580000"
"2023/03/16","3760","10","0.27","3755","3765","3710","18080","67567070","99940800000","26580000"
"2023/03/15","3750","-10","-0.27","3780","3795","3720","21474","80569840","99675000000","26580000"
"2023/03/14","3760","-75","-1.96","3835","3835","3750","39688","149657145","99940800000","26580000"
"2023/03/13","3835","-15","-0.39","3850","3850","3790","24576","93735840","101934300000","26580000"
"2023/03/10","3850","0","0.00","3850","3850","3825","14823","56921345","102333000000","26580000"
"2023/03/09","3850","20","0.52","3835","3950","3835","16582","63857800","102333000000","26580000"
"2023/03/08","3830","5","0.13","3825","3835","3795","21278","81009190","101801400000","26580000"
"2023/03/07","3825","-25","-0.65","3855","3890","3820","95127","366689630","101668500000","26580000"
"2023/03/06","3850","20","0.52","3830","3855","3795","36063","137581335","102333000000","26580000"
"2023/03/03","3830","-20","-0.52","3850","3855","3810","19599","74971370","101801400000","26580000"
"2023/03/02","3850","0","0.00","3885","3885","3825","15718","60411015","102333000000","26580000"
"2023/02/28","3850","-30","-0.77","3830","3875","3830","29054","111768560","102333000000","26580000"
"2023/02/27","3880","-10","-0.26","3865","3885","3800","11960","46122410","103130400000","26580000"
"2023/02/24","3890","-5","-0.13","3895","3910","3840","14472","56132000","103396200000","26580000"
"2023/02/23","3895","15","0.39","3880","3895","3845","26254","101420160","103529100000","26580000"
"2023/02/22","3880","-30","-0.77","3900","3915","3875","17224","67007075","103130400000","26580000"
"2023/02/21","3910","5","0.13","3905","3965","3895","16617","65029985","103927800000","26580000"
"2023/02/20","3905","-60","-1.51","3970","3990","3895","16269","63635645","103794900000","26580000"
"2023/02/17","3965","15","0.38","3910","3965","3910","19096","75152030","105389700000","26580000"
"2023/02/16","3950","-10","-0.25","3960","3960","3915","21343","84016840","104991000000","26580000"
"2023/02/15","3960","-45","-1.12","4005","4020","3960","27269","108485510","105256800000","26580000"
"2023/02/14","4005","-25","-0.62","4030","4070","3965","39251","156847455","106452900000","26580000"
"2023/02/13","4030","-30","-0.74","4075","4075","3995","29123","117009955","107117400000","26580000"
"2023/02/10","4060","-10","-0.25","4035","4070","4005","19089","76697830","107914800000","26580000"
"2023/02/09","4070","-5","-0.12","4070","4075","4045","18450","74989725","108180600000","26580000"
"2023/02/08","4075","5","0.12","4055","4080","4050","19005","77335045","108313500000","26580000"
"2023/02/07","4070","0","0.00","4050","4090","4050","17477","71304900","108180600000","26580000"
"2023/02/06","4070","-20","-0.49","4125","4125","4020","23941","96996115","108180600000","26580000"
"2023/02/03","4090","-45","-1.09","4180","4180","4075","48584","198882310","108712200000","26580000"
"2023/02/02","4135","60","1.47","4075","4135","4075","38000","155845880","109908300000","26580000"
"2023/02/01","4075","85","2.13","3990","4080","3990","24160","97770685","108313500000","26580000"
"2023/01/31","3990","-45","-1.12","4035","4035","3985","23071","92235745","106054200000","26580000"
"2023/01/30","4035","-35","-0.86","4070","4070","4015","24680","99490575","107250300000","26580000"
"2023/01/27","4070","-45","-1.09","4135","4135","4070","34561","140989220","108180600000","26580000"
"2023/01/26","4115","-30","-0.72","4140","4185","4115","29850","123565705","109376700000","26580000"
"2023/01/25","4145","70","1.72","4075","4165","4075","62135","256113290","110174100000","26580000"
"2023/01/20","4075","10","0.25","4055","4075","4035","32975","133637175","108313500000","26580000"
"2023/01/19","4065","-10","-0.25","4075","4090","4030","39592","160503245","108047700000","26580000"
"2023/01/18","4075","15","0.37","4075","4075","4025","42708","173071315","108313500000","26580000"
"2023/01/17","4060","55","1.37","4005","4070","4005","65683","265551925","107914800000","26580000"
"2023/01/16","4005","135","3.49","3855","4005","3855","285348","1118543080","106452900000","26580000"
"2023/01/13","3870","55","1.44","3815","3870","3790","53332","204645380","102864600000","26580000"
"2023/01/12","3815","30","0.79","3770","3840","3765","26209","99576215","101402700000","26580000"
"2023/01/11","3785","10","0.26","3765","3790","3765","29165","110175005","100605300000","26580000"
"2023/01/10","3775","-25","-0.66","3800","3800","3765","22993","86894960","100339500000","26580000"
"2023/01/09","3800","0","0.00","3810","3830","3790","39459","150016720","101004000000","26580000"
"2023/01/06","3800","-5","-0.13","3830","3830","3770","50812","192873730","101004000000","26580000"
"2023/01/05","3805","30","0.79","3785","3810","3745","48055","181800625","101136900000","26580000"
"2023/01/04","3775","25","0.67","3750","3780","3710","37882","141862955","100339500000","26580000"
