일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","3895","-20","-0.51","3915","3975","3860","12674","49532225","30485444425","7826815"
"2023/04/27","3915","-25","-0.63","3870","3980","3810","13951","54558300","30641980725","7826815"
"2023/04/26","3940","-130","-3.19","4230","4230","3815","16217","64243755","30837651100","7826815"
"2023/04/25","4070","270","7.11","3800","4685","3700","147011","602787170","31855137050","7826815"
"2023/04/24","3800","-340","-8.21","4195","4195","3745","66967","259400300","29741897000","7826815"
"2023/04/21","4140","-150","-3.50","4285","4290","4050","31707","130733750","32403014100","7826815"
"2023/04/20","4290","-50","-1.15","4345","4395","4115","66963","280821420","33577036350","7826815"
"2023/04/19","4340","235","5.72","4150","4355","4120","129835","557129415","33968377100","7826815"
"2023/04/18","4105","195","4.99","3985","4205","3900","183211","748319255","32129075575","7826815"
"2023/04/17","3910","160","4.27","3750","3915","3750","37557","143222885","30602846650","7826815"
"2023/04/14","3750","105","2.88","3895","3895","3655","73796","277053940","29350556250","7826815"
"2023/04/13","3645","30","0.83","3615","3700","3550","17677","64301915","28528740675","7826815"
"2023/04/12","3615","-30","-0.82","3645","3895","3595","51672","194319395","28293936225","7826815"
"2023/04/11","3645","80","2.24","3565","3645","3555","23700","85806675","28528740675","7826815"
"2023/04/10","3565","-10","-0.28","3575","3610","3560","19534","69910430","27902595475","7826815"
"2023/04/07","3575","55","1.56","3520","3595","3500","27493","98093265","27980863625","7826815"
"2023/04/06","3520","5","0.14","3515","3530","3410","18788","65577400","27550388800","7826815"
"2023/04/05","3515","-10","-0.28","3655","3655","3400","44095","152676530","27511254725","7826815"
"2023/04/04","3525","55","1.59","3500","3585","3485","35860","126913265","27589522875","7826815"
"2023/04/03","3470","185","5.63","3280","3720","3250","69370","239952220","27159048050","7826815"
"2023/03/31","3285","85","2.66","3155","3285","3155","19829","64656995","25711087275","7826815"
"2023/03/30","3200","-10","-0.31","3205","3250","3155","12796","40796880","25045808000","7826815"
"2023/03/29","3210","0","0.00","3210","3255","3200","5986","19291695","25124076150","7826815"
"2023/03/28","3210","-20","-0.62","3230","3235","3165","2094","6738510","25124076150","7826815"
"2023/03/27","3230","5","0.16","3200","3255","3150","2678","8590310","25280612450","7826815"
"2023/03/24","3225","35","1.10","3190","3240","3185","1991","6372760","25241478375","7826815"
"2023/03/23","3190","-25","-0.78","3245","3245","3160","2990","9555905","24967539850","7826815"
"2023/03/22","3215","10","0.31","3245","3245","3150","13457","42702120","25163210225","7826815"
"2023/03/21","3205","0","0.00","3275","3275","3160","1021","3286510","25084942075","7826815"
"2023/03/20","3205","-25","-0.77","3230","3255","3120","7018","22446250","25084942075","7826815"
"2023/03/17","3230","10","0.31","3220","3295","3125","3374","10744420","25280612450","7826815"
"2023/03/16","3220","15","0.47","3290","3290","3200","2697","8702600","25202344300","7826815"
"2023/03/15","3205","5","0.16","3250","3285","3200","2611","8434940","25084942075","7826815"
"2023/03/14","3200","70","2.24","3125","3200","3020","12332","38154930","25045808000","7826815"
"2023/03/13","3130","-235","-6.98","3370","3370","3045","26176","84135890","24497930950","7826815"
"2023/03/10","3365","-65","-1.90","3330","3430","3330","8149","27335080","26337232475","7826815"
"2023/03/09","3430","5","0.15","3480","3480","3410","1247","4273940","26845975450","7826815"
"2023/03/08","3425","-30","-0.87","3450","3450","3340","5193","17626800","26806841375","7826815"
"2023/03/07","3455","-10","-0.29","3500","3500","3430","2025","7005800","27041645825","7826815"
"2023/03/06","3465","20","0.58","3450","3480","3425","5796","20030050","27119913975","7826815"
"2023/03/03","3445","30","0.88","3420","3535","3390","6093","21011635","26963377675","7826815"
"2023/03/02","3415","40","1.19","3475","3475","3390","5965","20305485","26728573225","7826815"
"2023/02/28","3375","40","1.20","3440","3450","3335","3849","12987625","26415500625","7826815"
"2023/02/27","3335","-70","-2.06","3500","3500","3330","10226","34270250","26102428025","7826815"
"2023/02/24","3405","5","0.15","3575","3575","3375","4787","16364255","26650305075","7826815"
"2023/02/23","3400","-15","-0.44","3415","3415","3350","5630","19082115","26611171000","7826815"
"2023/02/22","3415","-55","-1.59","3495","3570","3350","18725","63952480","26728573225","7826815"
"2023/02/21","3470","5","0.14","3465","3525","3440","4593","15951970","27159048050","7826815"
"2023/02/20","3465","-60","-1.70","3590","3590","3445","25555","88902750","27119913975","7826815"
"2023/02/17","3525","-105","-2.89","3630","3760","3525","24485","87733850","27589522875","7826815"
"2023/02/16","3630","20","0.55","3635","3760","3605","8433","30943375","28411338450","7826815"
"2023/02/15","3610","-45","-1.23","3700","3740","3600","3250","11749345","28254802150","7826815"
"2023/02/14","3655","35","0.97","3660","3680","3620","8056","29389645","28607008825","7826815"
"2023/02/13","3620","-50","-1.36","3680","3755","3620","8638","31604865","28333070300","7826815"
"2023/02/10","3670","-30","-0.81","3700","3745","3635","15014","55321165","28724411050","7826815"
"2023/02/09","3700","0","0.00","3745","3745","3675","2861","10596905","28959215500","7826815"
