일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","3500","0","0.00","3500","3510","3480","16903","59072780","101710000000","29060000"
"2023/04/27","3500","0","0.00","3520","3520","3475","28103","98076740","101710000000","29060000"
"2023/04/26","3500","-45","-1.27","3545","3550","3490","34390","120453075","101710000000","29060000"
"2023/04/25","3545","45","1.29","3575","3575","3490","45508","159416920","103017700000","29060000"
"2023/04/24","3500","0","0.00","3500","3540","3495","24941","87475205","101710000000","29060000"
"2023/04/21","3500","-40","-1.13","3590","3590","3485","73826","258616170","101710000000","29060000"
"2023/04/20","3540","-15","-0.42","3600","3600","3540","41027","145601730","102872400000","29060000"
"2023/04/19","3555","-20","-0.56","3575","3590","3550","46278","164862810","103308300000","29060000"
"2023/04/18","3575","-15","-0.42","3630","3630","3545","40612","145088760","103889500000","29060000"
"2023/04/17","3590","-50","-1.37","3665","3665","3590","32337","116907825","104325400000","29060000"
"2023/04/14","3640","30","0.83","3645","3645","3600","40432","146075145","105778400000","29060000"
"2023/04/13","3610","25","0.70","3595","3620","3585","25113","90626445","104906600000","29060000"
"2023/04/12","3585","40","1.13","3580","3585","3550","23276","82970565","104180100000","29060000"
"2023/04/11","3545","45","1.29","3490","3570","3485","24641","86819085","103017700000","29060000"
"2023/04/10","3500","-20","-0.57","3595","3595","3495","53835","188700500","101710000000","29060000"
"2023/04/07","3520","-85","-2.36","3610","3610","3520","78819","280730805","102291200000","29060000"
"2023/04/06","3605","-50","-1.37","3690","3690","3600","23833","86084700","104761300000","29060000"
"2023/04/05","3655","-55","-1.48","3740","3740","3635","54539","199415145","106214300000","29060000"
"2023/04/04","3710","15","0.41","3700","3710","3660","18651","68947350","107812600000","29060000"
"2023/04/03","3695","-70","-1.86","3760","3760","3645","30293","111501995","107376700000","29060000"
"2023/03/31","3765","150","4.15","3615","3765","3400","109955","391996165","109410900000","29060000"
"2023/03/30","3615","-35","-0.96","3600","3630","3575","62436","224542720","105051900000","29060000"
"2023/03/29","3650","-85","-2.28","3735","3735","3625","98365","360357900","106069000000","29060000"
"2023/03/28","3735","-35","-0.93","3770","3770","3720","55704","208196380","108539100000","29060000"
"2023/03/27","3770","-50","-1.31","3820","3840","3770","30850","116712425","109556200000","29060000"
"2023/03/24","3820","-25","-0.65","3860","3875","3805","41234","157790645","111009200000","29060000"
"2023/03/23","3845","-35","-0.90","3880","3880","3820","43002","165335235","111735700000","29060000"
"2023/03/22","3880","-30","-0.77","3910","3910","3850","36719","142733370","112752800000","29060000"
"2023/03/21","3910","0","0.00","3910","3910","3865","42225","164208200","113624600000","29060000"
"2023/03/20","3910","-25","-0.64","3935","3935","3845","47895","185638475","113624600000","29060000"
"2023/03/17","3935","-20","-0.51","3955","3955","3895","23166","90821790","114351100000","29060000"
"2023/03/16","3955","40","1.02","3910","3965","3885","76414","300816405","114932300000","29060000"
"2023/03/15","3915","-20","-0.51","3935","3935","3875","41317","161093740","113769900000","29060000"
"2023/03/14","3935","5","0.13","3950","3950","3900","41128","161105320","114351100000","29060000"
"2023/03/13","3930","25","0.64","3950","3950","3810","47071","182578235","114205800000","29060000"
"2023/03/10","3905","-30","-0.76","3955","3955","3885","27425","107234645","113479300000","29060000"
"2023/03/09","3935","5","0.13","3950","3950","3905","30263","118728690","114351100000","29060000"
"2023/03/08","3930","5","0.13","3925","3950","3890","24324","95101040","114205800000","29060000"
"2023/03/07","3925","20","0.51","3915","3960","3905","47452","186686020","114060500000","29060000"
"2023/03/06","3905","35","0.90","3875","3920","3850","35728","139317700","113479300000","29060000"
"2023/03/03","3870","10","0.26","3875","3875","3850","15592","60220015","112462200000","29060000"
"2023/03/02","3860","-35","-0.90","3895","3895","3850","17644","68207910","112171600000","29060000"
"2023/02/28","3895","35","0.91","3860","3895","3840","24250","94063385","113188700000","29060000"
"2023/02/27","3860","0","0.00","3860","3860","3815","14805","56803440","112171600000","29060000"
"2023/02/24","3860","25","0.65","3850","3865","3810","16250","62471370","112171600000","29060000"
"2023/02/23","3835","-5","-0.13","3870","3870","3795","31807","121652925","111445100000","29060000"
"2023/02/22","3840","-40","-1.03","3805","3870","3805","18118","69484430","111590400000","29060000"
"2023/02/21","3880","-10","-0.26","3900","3905","3825","17726","68643780","112752800000","29060000"
"2023/02/20","3890","50","1.30","3880","3890","3815","26799","103085110","113043400000","29060000"
"2023/02/17","3840","-10","-0.26","3870","3870","3810","30096","115304700","111590400000","29060000"
"2023/02/16","3850","-50","-1.28","3930","3930","3845","46798","180854980","111881000000","29060000"
"2023/02/15","3900","0","0.00","3910","3910","3875","28749","111983830","113334000000","29060000"
"2023/02/14","3900","-20","-0.51","3940","3940","3895","25072","97952840","113334000000","29060000"
"2023/02/13","3920","15","0.38","3915","3925","3860","32605","126933425","113915200000","29060000"
"2023/02/10","3905","-20","-0.51","3940","3940","3840","164800","635698745","113479300000","29060000"
"2023/02/09","3925","5","0.13","3920","3940","3885","71259","277738495","114060500000","29060000"
"2023/02/08","3920","-40","-1.01","3965","3965","3910","131157","515842120","113915200000","29060000"
"2023/02/07","3960","-10","-0.25","4000","4000","3925","48683","192722460","115077600000","29060000"
"2023/02/06","3970","-50","-1.24","4035","4035","3960","64491","256197470","115368200000","29060000"
"2023/02/03","4020","15","0.37","4005","4030","3975","61289","244863900","116821200000","29060000"
"2023/02/02","4005","35","0.88","3975","4005","3960","70434","280360015","116385300000","29060000"
"2023/02/01","3970","5","0.13","4030","4030","3960","46437","185166690","115368200000","29060000"
"2023/01/31","3965","-80","-1.98","4050","4050","3960","86583","346621930","115222900000","29060000"
"2023/01/30","4045","-5","-0.12","3960","4075","3960","58734","237489015","117547700000","29060000"
"2023/01/27","4050","30","0.75","4085","4085","4010","35935","144828550","117693000000","29060000"
"2023/01/26","4020","30","0.75","4040","4090","4000","111746","451476735","116821200000","29060000"
"2023/01/25","3990","10","0.25","4000","4045","3985","90757","363342230","115949400000","29060000"
"2023/01/20","3980","50","1.27","3960","4005","3930","47720","189710490","115658800000","29060000"
"2023/01/19","3930","-10","-0.25","3975","4000","3925","172648","681911205","114205800000","29060000"
"2023/01/18","3940","-5","-0.13","3985","4050","3935","145595","579195200","114496400000","29060000"
"2023/01/17","3945","25","0.64","3940","3995","3935","97348","386123940","114641700000","29060000"
"2023/01/16","3920","30","0.77","3945","4030","3845","285646","1117732915","113915200000","29060000"
"2023/01/13","3890","-15","-0.38","3900","3920","3885","113518","441968545","113043400000","29060000"
"2023/01/12","3905","5","0.13","3900","3970","3860","67358","262747205","113479300000","29060000"
"2023/01/11","3900","-40","-1.02","3900","3925","3885","64176","250090365","113334000000","29060000"
"2023/01/10","3940","0","0.00","3945","3945","3870","47743","186566720","114496400000","29060000"
"2023/01/09","3940","15","0.38","3995","3995","3910","32504","127719305","114496400000","29060000"
"2023/01/06","3925","0","0.00","3925","3950","3860","37367","145613170","114060500000","29060000"
"2023/01/05","3925","75","1.95","3850","3935","3830","48256","187756530","114060500000","29060000"
"2023/01/04","3850","25","0.65","3825","3865","3785","26656","102254990","111881000000","29060000"
"2023/01/03","3825","30","0.79","3770","3850","3770","30655","116917540","111154500000","29060000"
"2023/01/02","3795","95","2.57","3700","3850","3700","29570","112383595","110282700000","29060000"
"2022/12/29","3700","-60","-1.60","3800","3800","3690","64339","238452280","107522000000","29060000"
"2022/12/28","3760","-20","-0.53","3830","3830","3750","37102","139895265","109265600000","29060000"
"2022/12/27","3780","-10","-0.26","3820","3820","3780","28947","109770880","109846800000","29060000"
"2022/12/26","3790","0","0.00","3800","3840","3780","28823","109502345","110137400000","29060000"
"2022/12/23","3790","-10","-0.26","3800","3850","3785","19297","73528755","110137400000","29060000"
"2022/12/22","3800","10","0.26","3790","3800","3785","34438","130670005","110428000000","29060000"
"2022/12/21","3790","5","0.13","3780","3830","3775","4914","18588070","110137400000","29060000"
"2022/12/20","3785","-15","-0.39","3760","3800","3760","8960","33881325","109992100000","29060000"
"2022/12/19","3800","5","0.13","3795","3845","3760","16895","64217665","110428000000","29060000"
"2022/12/16","3795","0","0.00","3795","3815","3750","15038","57032780","110282700000","29060000"
"2022/12/15","3795","-5","-0.13","3800","3810","3785","33672","127817915","110282700000","29060000"
"2022/12/14","3800","-15","-0.39","3875","3875","3785","44646","169630525","110428000000","29060000"
"2022/12/13","3815","-105","-2.68","3980","3980","3770","42573","162682135","110863900000","29060000"
"2022/12/12","3920","-90","-2.24","4010","4010","3915","32093","126089525","113915200000","29060000"
"2022/12/09","4010","25","0.63","3980","4010","3945","40088","159264730","116530600000","29060000"
"2022/12/08","3985","65","1.66","3930","3995","3870","48855","191657395","115804100000","29060000"
"2022/12/07","3920","-5","-0.13","3940","3940","3855","57989","226017915","113915200000","29060000"
"2022/12/06","3925","35","0.90","3900","3925","3865","46472","180979915","114060500000","29060000"
"2022/12/05","3890","60","1.57","3830","3915","3810","57952","223316295","113043400000","29060000"
"2022/12/02","3830","0","0.00","3825","3885","3755","46047","175323095","111299800000","29060000"
"2022/12/01","3830","130","3.51","3700","3880","3695","87104","333012405","111299800000","29060000"
