일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","3545","5","0.14","3520","3560","3520","13582","48106210","71254500000","20100000"
"2023/04/27","3540","-10","-0.28","3560","3565","3510","7801","27562660","71154000000","20100000"
"2023/04/26","3550","10","0.28","3540","3565","3530","8193","29096695","71355000000","20100000"
"2023/04/25","3540","-10","-0.28","3560","3560","3530","15585","55106490","71154000000","20100000"
"2023/04/24","3550","-15","-0.42","3565","3570","3540","16924","60086170","71355000000","20100000"
"2023/04/21","3565","5","0.14","3560","3565","3500","24138","85467130","71656500000","20100000"
"2023/04/20","3560","0","0.00","3565","3590","3550","18227","65076465","71556000000","20100000"
"2023/04/19","3560","0","0.00","3560","3585","3550","9017","32126720","71556000000","20100000"
"2023/04/18","3560","5","0.14","3570","3570","3525","13819","49104405","71556000000","20100000"
"2023/04/17","3555","10","0.28","3565","3575","3510","22746","80202700","71455500000","20100000"
"2023/04/14","3545","25","0.71","3525","3590","3525","11471","40693905","71254500000","20100000"
"2023/04/13","3520","5","0.14","3515","3535","3510","21425","75339235","70752000000","20100000"
"2023/04/12","3515","-55","-1.54","3585","3590","3515","32545","115115090","70651500000","20100000"
"2023/04/11","3570","35","0.99","3535","3570","3530","18822","66726480","71757000000","20100000"
"2023/04/10","3535","-5","-0.14","3600","3600","3520","24675","87614110","71053500000","20100000"
"2023/04/07","3540","-20","-0.56","3580","3585","3530","17763","63064895","71154000000","20100000"
"2023/04/06","3560","-5","-0.14","3565","3575","3550","20263","72176045","71556000000","20100000"
"2023/04/05","3565","-15","-0.42","3585","3595","3560","59388","211965440","71656500000","20100000"
"2023/04/04","3580","5","0.14","3625","3625","3565","19444","69710505","71958000000","20100000"
"2023/04/03","3575","-5","-0.14","3570","3595","3535","28679","103737530","71857500000","20100000"
"2023/03/31","3580","20","0.56","3560","3585","3555","10803","38571865","71958000000","20100000"
"2023/03/30","3560","5","0.14","3555","3575","3540","14306","50833030","71556000000","20100000"
"2023/03/29","3555","15","0.42","3500","3560","3500","23329","82615825","71455500000","20100000"
"2023/03/28","3540","15","0.43","3555","3555","3510","14699","51958010","71154000000","20100000"
"2023/03/27","3525","-70","-1.95","3675","3675","3520","29762","105267510","70852500000","20100000"
