일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","5200","-100","-1.89","5240","5340","5190","118336","619699440","401960000000","77300000"
"2023/04/27","5300","-100","-1.85","5380","5380","5130","230254","1211843160","409690000000","77300000"
"2023/04/26","5400","-80","-1.46","5480","5480","5320","218136","1179060070","417420000000","77300000"
"2023/04/25","5480","50","0.92","5420","5510","5330","439766","2407710180","423604000000","77300000"
"2023/04/24","5430","60","1.12","5420","5470","5220","454959","2450660420","419739000000","77300000"
"2023/04/21","5370","90","1.70","5280","5560","5220","492443","2650949480","415101000000","77300000"
"2023/04/20","5280","40","0.76","5180","5300","5100","561128","2934751060","408144000000","77300000"
"2023/04/19","5240","100","1.95","5140","5270","5000","641061","3305417330","405052000000","77300000"
"2023/04/18","5140","0","0.00","5140","5190","5100","914018","4705356950","397322000000","77300000"
"2023/04/17","5140","20","0.39","5110","5250","5070","852158","4387324120","397322000000","77300000"
"2023/04/14","5120","100","1.99","5000","5130","4985","738762","3742653300","395776000000","77300000"
"2023/04/13","5020","50","1.01","4965","5020","4920","565169","2812196595","388046000000","77300000"
"2023/04/12","4970","65","1.33","4910","4970","4840","585856","2876066475","384181000000","77300000"
"2023/04/11","4905","50","1.03","4930","4930","4700","1122188","5419583805","379156500000","77300000"
"2023/04/10","4855","65","1.36","4790","5070","4790","3480744","17086826180","375291500000","77300000"
