일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","3620","70","1.97","3570","3640","3570","830","3004560","16156175840","4463032"
"2023/04/27","3550","-95","-2.61","3630","3690","3550","11996","43189580","15843763600","4463032"
"2023/04/26","3645","15","0.41","3650","3670","3540","1309","4731340","16267751640","4463032"
"2023/04/25","3630","-5","-0.14","3600","3635","3530","5813","20964005","16200806160","4463032"
"2023/04/24","3635","0","0.00","3605","3735","3565","2231","8068540","16223121320","4463032"
"2023/04/21","3635","55","1.54","3620","3685","3580","4647","16857680","16223121320","4463032"
"2023/04/20","3580","-60","-1.65","3630","3640","3575","4977","18009245","15977654560","4463032"
"2023/04/19","3640","-15","-0.41","3660","3660","3615","1318","4802195","16245436480","4463032"
"2023/04/18","3655","-20","-0.54","3650","3695","3565","5641","20497080","16312381960","4463032"
"2023/04/17","3675","190","5.45","3480","3700","3365","9281","33286445","16401642600","4463032"
"2023/04/14","3485","65","1.90","3420","3485","3360","7394","25436985","15553666520","4463032"
"2023/04/13","3420","-40","-1.16","3460","3485","3360","4365","14915020","15263569440","4463032"
"2023/04/12","3460","-5","-0.14","3465","3470","3445","2146","7423885","15442090720","4463032"
"2023/04/11","3465","-45","-1.28","3505","3510","3425","7807","26840375","15464405880","4463032"
"2023/04/10","3510","0","0.00","3535","3535","3430","1702","5947595","15665242320","4463032"
"2023/04/07","3510","20","0.57","3485","3535","3425","7396","25981250","15665242320","4463032"
"2023/04/06","3490","-30","-0.85","3485","3510","3410","3369","11624580","15575981680","4463032"
"2023/04/05","3520","20","0.57","3520","3530","3400","2277","7951280","15709872640","4463032"
"2023/04/04","3500","0","0.00","3525","3530","3470","1644","5766770","15620612000","4463032"
"2023/04/03","3500","-40","-1.13","3540","3555","3460","2211","7750920","15620612000","4463032"
"2023/03/31","3540","55","1.58","3535","3550","3515","6316","22299500","15799133280","4463032"
"2023/03/30","3485","50","1.46","3435","3590","3430","11619","40598315","15553666520","4463032"
"2023/03/29","3435","20","0.59","3415","3435","3405","9484","32470240","15330514920","4463032"
"2023/03/28","3415","-5","-0.15","3415","3420","3320","4699","15796555","15241254280","4463032"
"2023/03/27","3420","0","0.00","3415","3430","3385","1215","4134190","15263569440","4463032"
"2023/03/24","3420","15","0.44","3405","3420","3395","2747","9369645","15263569440","4463032"
"2023/03/23","3405","20","0.59","3385","3410","3355","1798","6088330","15196623960","4463032"
"2023/03/22","3385","65","1.96","3320","3415","3300","3999","13409915","15107363320","4463032"
"2023/03/21","3320","20","0.61","3255","3330","3195","1344","4401555","14817266240","4463032"
"2023/03/20","3300","5","0.15","3265","3395","3265","2097","6924595","14728005600","4463032"
"2023/03/17","3295","0","0.00","3255","3350","3255","8728","28797055","14705690440","4463032"
"2023/03/16","3295","-15","-0.45","3255","3305","3250","7322","23980190","14705690440","4463032"
"2023/03/15","3310","-25","-0.75","3305","3495","3270","25719","84657690","14772635920","4463032"
"2023/03/14","3335","-155","-4.44","3420","3475","3270","45182","149778320","14884211720","4463032"
"2023/03/13","3490","0","0.00","0","0","0","0","0","15575981680","4463032"
"2023/03/10","3490","-65","-1.83","3510","3550","3485","8991","31495745","15575981680","4463032"
"2023/03/09","3555","-20","-0.56","3585","3620","3520","3207","11429320","15866078760","4463032"
"2023/03/08","3575","-90","-2.46","3665","3665","3440","6398","23081115","15955339400","4463032"
"2023/03/07","3665","15","0.41","3650","3670","3620","4024","14723720","16357012280","4463032"
"2023/03/06","3650","30","0.83","3620","3655","3620","4710","17165250","16290066800","4463032"
"2023/03/03","3620","20","0.56","3600","3635","3595","2713","9797920","16156175840","4463032"
"2023/03/02","3600","10","0.28","3590","3645","3580","6586","23815100","16066915200","4463032"
"2023/02/28","3590","0","0.00","3590","3600","3455","3014","10754350","16022284880","4463032"
"2023/02/27","3590","-10","-0.28","3600","3620","3500","2847","10160580","16022284880","4463032"
"2023/02/24","3600","45","1.27","3555","3615","3555","1554","5594990","16066915200","4463032"
"2023/02/23","3555","-15","-0.42","3575","3615","3555","5039","18116110","15866078760","4463032"
"2023/02/22","3570","0","0.00","3570","3575","3560","5461","19461155","15933024240","4463032"
"2023/02/21","3570","25","0.71","3540","3570","3500","5426","19201995","15933024240","4463032"
"2023/02/20","3545","30","0.85","3545","3550","3430","11442","40161710","15821448440","4463032"
"2023/02/17","3515","-20","-0.57","3520","3550","3480","5167","18090465","15687557480","4463032"
"2023/02/16","3535","-35","-0.98","3570","3590","3525","6983","24735935","15776818120","4463032"
"2023/02/15","3570","-55","-1.52","3585","3595","3500","22027","78533955","15933024240","4463032"
"2023/02/14","3625","0","0.00","3625","3650","3585","5196","18731595","16178491000","4463032"
"2023/02/13","3625","25","0.69","3580","3645","3570","6073","21906925","16178491000","4463032"
"2023/02/10","3600","-50","-1.37","3615","3650","3570","13599","48810545","16066915200","4463032"
"2023/02/09","3650","-15","-0.41","3655","3685","3615","12695","46308155","16290066800","4463032"
"2023/02/08","3665","10","0.27","3675","3675","3600","12016","43590325","16357012280","4463032"
"2023/02/07","3655","-35","-0.95","3620","3725","3610","11920","43533115","16312381960","4463032"
"2023/02/06","3690","45","1.23","3645","3690","3645","11818","43342255","16468588080","4463032"
"2023/02/03","3645","10","0.28","3635","3685","3500","17966","65365820","16267751640","4463032"
"2023/02/02","3635","-30","-0.82","3540","3670","3420","109017","382501460","16223121320","4463032"
"2023/02/01","3665","-470","-11.37","4135","4135","3625","178845","668765620","16357012280","4463032"
"2023/01/31","4135","115","2.86","4020","4145","3990","11752","47945155","18454637320","4463032"
"2023/01/30","4020","-35","-0.86","4055","4085","3995","4727","18950705","17941388640","4463032"
"2023/01/27","4055","-25","-0.61","4095","4095","4030","1529","6215155","18097594760","4463032"
"2023/01/26","4080","10","0.25","4070","4095","4065","1268","5172675","18209170560","4463032"
"2023/01/25","4070","-10","-0.25","4080","4100","4065","3244","13230630","18164540240","4463032"
"2023/01/20","4080","50","1.24","4035","4080","4030","4428","17971395","18209170560","4463032"
"2023/01/19","4030","5","0.12","4030","4045","3985","2953","11898495","17986018960","4463032"
"2023/01/18","4025","0","0.00","4025","4035","4000","1436","5778315","17963703800","4463032"
"2023/01/17","4025","-35","-0.86","4060","4070","4025","963","3902890","17963703800","4463032"
"2023/01/16","4060","10","0.25","4050","4080","4010","3573","14420190","18119909920","4463032"
"2023/01/13","4050","5","0.12","4040","4065","4010","2010","8125005","18075279600","4463032"
"2023/01/12","4045","-20","-0.49","4085","4085","4020","3173","12815365","18052964440","4463032"
"2023/01/11","4065","-20","-0.49","4090","4090","4035","2205","8996510","18142225080","4463032"
"2023/01/10","4085","-15","-0.37","4100","4105","4050","1806","7369910","18231485720","4463032"
"2023/01/09","4100","15","0.37","4115","4115","4070","984","4029425","18298431200","4463032"
"2023/01/06","4085","0","0.00","4080","4120","4050","1476","6036255","18231485720","4463032"
"2023/01/05","4085","50","1.24","4055","4120","4045","912","3716800","18231485720","4463032"
"2023/01/04","4035","45","1.13","3990","4060","3960","1708","6887740","18008334120","4463032"
"2023/01/03","3990","-40","-0.99","4030","4075","3990","1048","4235660","17807497680","4463032"
"2023/01/02","4030","-65","-1.59","4095","4095","3800","3661","14622705","17986018960","4463032"
"2022/12/29","4095","-130","-3.08","4190","4230","4065","2005","8229615","18276116040","4463032"
"2022/12/28","4225","-60","-1.40","4270","4270","4190","1866","7898570","18856310200","4463032"
"2022/12/27","4285","-50","-1.15","4340","4340","4255","3367","14504870","19124092120","4463032"
"2022/12/26","4335","120","2.85","4215","4430","4215","5239","22383555","19347243720","4463032"
"2022/12/23","4215","-5","-0.12","4220","4235","4215","1461","6169700","18811679880","4463032"
"2022/12/22","4220","10","0.24","4210","4250","4100","9129","38431275","18833995040","4463032"
"2022/12/21","4210","-20","-0.47","4240","4250","4185","914","3854750","18789364720","4463032"
"2022/12/20","4230","-5","-0.12","4235","4255","4220","2243","9501105","18878625360","4463032"
"2022/12/19","4235","-5","-0.12","4235","4275","4235","1962","8329700","18900940520","4463032"
"2022/12/16","4240","-15","-0.35","4255","4255","4225","1932","8174790","18923255680","4463032"
"2022/12/15","4255","25","0.59","4270","4270","4215","1970","8383025","18990201160","4463032"
"2022/12/14","4230","-55","-1.28","4290","4290","4215","1837","7810620","18878625360","4463032"
"2022/12/13","4285","0","0.00","4290","4290","4240","284","1210210","19124092120","4463032"
"2022/12/12","4285","-15","-0.35","4300","4305","4200","1074","4582035","19124092120","4463032"
"2022/12/09","4300","-40","-0.92","4340","4355","4275","1623","6993865","19191037600","4463032"
"2022/12/08","4340","50","1.17","4290","4340","4290","4025","17398705","19369558880","4463032"
"2022/12/07","4290","30","0.70","4260","4315","4260","2503","10741670","19146407280","4463032"
"2022/12/06","4260","5","0.12","4255","4260","4205","2688","11395855","19012516320","4463032"
"2022/12/05","4255","-15","-0.35","4285","4285","4030","2400","10091975","18990201160","4463032"
"2022/12/02","4270","155","3.77","4100","4350","4100","11776","50016400","19057146640","4463032"
"2022/12/01","4115","30","0.73","4085","4120","4050","9769","39991980","18365376680","4463032"
"2022/11/30","4085","-5","-0.12","4075","4100","4050","3211","13108430","18231485720","4463032"
"2022/11/29","4090","100","2.51","3990","4090","3990","1512","6095775","18253800880","4463032"
"2022/11/28","3990","-80","-1.97","4085","4085","3960","8779","35140735","17807497680","4463032"
"2022/11/25","4070","35","0.87","4090","4090","4060","720","2929280","18164540240","4463032"
"2022/11/24","4035","-25","-0.62","4090","4090","4005","3143","12755805","18008334120","4463032"
"2022/11/23","4060","35","0.87","4055","4080","4055","836","3395970","18119909920","4463032"
"2022/11/22","4025","-5","-0.12","4050","4090","4025","5014","20374085","17963703800","4463032"
"2022/11/21","4030","-45","-1.10","4095","4095","3995","4012","16135545","17986018960","4463032"
"2022/11/18","4075","-20","-0.49","4095","4095","4075","1537","6281745","18186855400","4463032"
"2022/11/17","4095","-55","-1.33","4160","4170","4080","7255","29802220","18276116040","4463032"
"2022/11/16","4150","15","0.36","4135","4170","4115","3249","13489160","18521582800","4463032"
"2022/11/15","4135","45","1.10","4090","4135","4060","9937","40812385","18454637320","4463032"
"2022/11/14","4090","25","0.62","4120","4120","4080","8594","35303140","18253800880","4463032"
"2022/11/11","4065","60","1.50","4020","4080","4020","4372","17669325","18142225080","4463032"
"2022/11/10","4005","-5","-0.12","4010","4015","3965","2019","8044455","17874443160","4463032"
"2022/11/09","4010","10","0.25","4020","4020","3995","2485","9946905","17896758320","4463032"
"2022/11/08","4000","10","0.25","4020","4055","3980","5426","21677210","17852128000","4463032"
"2022/11/07","3990","-130","-3.16","4120","4125","3990","1597","6444085","17807497680","4463032"
"2022/11/04","4120","-40","-0.96","4160","4165","4120","873","3601410","18387691840","4463032"
"2022/11/03","4160","-5","-0.12","4140","4165","4140","489","2033965","18566213120","4463032"
"2022/11/02","4165","35","0.85","4130","4170","4115","5050","20829170","18588528280","4463032"
"2022/11/01","4130","35","0.85","4100","4150","4080","2358","9707030","18432322160","4463032"
"2022/10/31","4095","0","0.00","4065","4095","4035","5877","23833905","18276116040","4463032"
"2022/10/28","4095","95","2.38","4030","4095","3990","4236","17106855","18276116040","4463032"
"2022/10/27","4000","75","1.91","3925","4010","3925","4612","18377260","17852128000","4463032"
"2022/10/26","3925","5","0.13","3865","3935","3865","2222","8662080","17517400600","4463032"
"2022/10/25","3920","65","1.69","3870","3920","3855","3259","12640480","17495085440","4463032"
"2022/10/24","3855","-10","-0.26","3920","3980","3855","5232","20291105","17204988360","4463032"
"2022/10/21","3865","-45","-1.15","3910","3910","3845","7150","27815365","17249618680","4463032"
"2022/10/20","3910","-65","-1.64","3970","3985","3900","5520","21667445","17450455120","4463032"
"2022/10/19","3975","-10","-0.25","4025","4025","3975","6127","24432660","17740552200","4463032"
"2022/10/18","3985","0","0.00","4000","4035","3970","1870","7454955","17785182520","4463032"
"2022/10/17","3985","0","0.00","3980","3995","3930","3467","13734410","17785182520","4463032"
"2022/10/14","3985","5","0.13","3920","4060","3920","6613","26198085","17785182520","4463032"
"2022/10/13","3980","-115","-2.81","4095","4100","3960","11921","47433775","17762867360","4463032"
"2022/10/12","4095","-55","-1.33","4120","4155","4085","4643","19107935","18276116040","4463032"
"2022/10/11","4150","-150","-3.49","4250","4300","4145","4908","20555295","18521582800","4463032"
"2022/10/07","4300","-20","-0.46","4270","4350","4250","9272","39660280","19191037600","4463032"
"2022/10/06","4320","15","0.35","4380","4380","4175","9131","39207310","19280298240","4463032"
"2022/10/05","4305","-325","-7.02","4660","4690","4305","19717","87115890","19213352760","4463032"
"2022/10/04","4630","10","0.22","4660","4660","4520","3282","15083875","20663838160","4463032"
"2022/09/30","4620","-65","-1.39","4560","4685","4560","2124","9847860","20619207840","4463032"
"2022/09/29","4685","-15","-0.32","4645","4735","4500","6963","32251985","20909304920","4463032"
"2022/09/28","4700","-25","-0.53","4665","4740","4640","1558","7286395","20976250400","4463032"
"2022/09/27","4725","-25","-0.53","4700","4760","4625","6798","31937500","21087826200","4463032"
"2022/09/26","4750","-155","-3.16","4800","4805","4610","9634","45448285","21199402000","4463032"
"2022/09/23","4905","-60","-1.21","4850","4955","4805","4608","22472580","21891171960","4463032"
"2022/09/22","4965","-45","-0.90","4945","5030","4865","2529","12406120","22158953880","4463032"
"2022/09/21","5010","0","0.00","4935","5040","4935","1404","7017745","22359790320","4463032"
"2022/09/20","5010","35","0.70","4980","5090","4980","4431","22195680","22359790320","4463032"
"2022/09/19","4975","-225","-4.33","5130","5190","4975","10869","55100135","22203584200","4463032"
"2022/09/16","5200","-30","-0.57","5220","5240","5140","1663","8599260","23207766400","4463032"
"2022/09/15","5230","10","0.19","5180","5240","5180","3251","16948710","23341657360","4463032"
"2022/09/14","5220","-40","-0.76","5260","5260","5090","1367","7071370","23297027040","4463032"
"2022/09/13","5260","80","1.54","5130","5300","5130","2083","10965700","23475548320","4463032"
"2022/09/08","5180","-10","-0.19","5180","5210","5160","1552","8046990","23118505760","4463032"
"2022/09/07","5190","-60","-1.14","5220","5220","5100","8368","43222490","23163136080","4463032"
"2022/09/06","5250","-40","-0.76","5290","5300","5230","1406","7385150","23430918000","4463032"
"2022/09/05","5290","-20","-0.38","5300","5300","5260","7583","39975920","23609439280","4463032"
"2022/09/02","5310","-20","-0.38","5330","5340","5290","3136","16659080","23698699920","4463032"
"2022/09/01","5330","-30","-0.56","5350","5360","5330","792","4230840","23787960560","4463032"
"2022/08/31","5360","-30","-0.56","5380","5380","5300","2437","13029400","23921851520","4463032"
"2022/08/30","5390","-40","-0.74","5430","5460","5360","2720","14652180","24055742480","4463032"
"2022/08/29","5430","-80","-1.45","5470","5470","5400","2230","12065490","24234263760","4463032"
"2022/08/26","5510","10","0.18","5500","5540","5480","3797","20909050","24591306320","4463032"
"2022/08/25","5500","-90","-1.61","5580","5660","5490","7328","40608040","24546676000","4463032"
"2022/08/24","5590","0","0.00","5660","5660","5560","7135","39744970","24948348880","4463032"
"2022/08/23","5590","-90","-1.58","5670","5690","5590","1454","8161160","24948348880","4463032"
"2022/08/22","5680","-30","-0.53","5720","5720","5620","2380","13466010","25350021760","4463032"
"2022/08/19","5710","-10","-0.17","5690","5730","5670","1521","8670320","25483912720","4463032"
"2022/08/18","5720","-50","-0.87","5650","5740","5650","2360","13376280","25528543040","4463032"
"2022/08/17","5770","-40","-0.69","5870","5870","5710","2028","11642330","25751694640","4463032"
"2022/08/16","5810","100","1.75","5710","5910","5710","3979","23159880","25930215920","4463032"
"2022/08/12","5710","40","0.71","5660","5710","5620","2616","14818880","25483912720","4463032"
"2022/08/11","5670","70","1.25","5610","5670","5570","5595","31475200","25305391440","4463032"
"2022/08/10","5600","-30","-0.53","5630","5630","5600","3871","21722920","24992979200","4463032"
"2022/08/09","5630","20","0.36","5610","5660","5600","1258","7074330","25126870160","4463032"
"2022/08/08","5610","-70","-1.23","5690","5690","5580","2584","14519450","25037609520","4463032"
"2022/08/05","5680","80","1.43","5600","5690","5540","3364","18892790","25350021760","4463032"
"2022/08/04","5600","130","2.38","5480","5620","5440","7077","39440920","24992979200","4463032"
"2022/08/03","5470","-80","-1.44","5510","5570","5470","5922","32634860","24412785040","4463032"
"2022/08/02","5550","0","0.00","5560","5610","5530","6701","37217540","24769827600","4463032"
"2022/08/01","5550","140","2.59","5410","5550","5390","4988","27436580","24769827600","4463032"
"2022/07/29","5410","110","2.08","5320","5410","5300","4414","23659870","24145003120","4463032"
"2022/07/28","5300","-20","-0.38","5320","5390","5290","3838","20418530","23654069600","4463032"
"2022/07/27","5320","30","0.57","5290","5320","5260","3536","18725070","23743330240","4463032"
"2022/07/26","5290","-10","-0.19","5310","5310","5260","6078","32155090","23609439280","4463032"
"2022/07/25","5300","30","0.57","5300","5340","5260","8324","44171700","23654069600","4463032"
"2022/07/22","5270","10","0.19","5290","5290","5230","2360","12402530","23520178640","4463032"
"2022/07/21","5260","-20","-0.38","5430","5430","5240","5707","30089970","23475548320","4463032"
"2022/07/20","5280","-10","-0.19","5310","5440","5250","6749","35954490","23564808960","4463032"
"2022/07/19","5290","30","0.57","5220","5340","5220","5317","28153290","23609439280","4463032"
"2022/07/18","5260","0","0.00","5180","5380","5180","5411","28540100","23475548320","4463032"
"2022/07/15","5260","-140","-2.59","5390","5400","5260","5625","29794690","23475548320","4463032"
"2022/07/14","5400","-10","-0.18","5320","5430","5310","5027","27023770","24100372800","4463032"
"2022/07/13","5410","-130","-2.35","5470","5530","5350","5449","29421780","24145003120","4463032"
"2022/07/12","5540","-30","-0.54","5590","5590","5440","1933","10560790","24725197280","4463032"
"2022/07/11","5570","0","0.00","5570","5610","5520","3995","22242230","24859088240","4463032"
"2022/07/08","5570","-10","-0.18","5590","5620","5550","3157","17627840","24859088240","4463032"
"2022/07/07","5580","-20","-0.36","5590","5620","5460","2708","14960780","24903718560","4463032"
"2022/07/06","5600","10","0.18","5640","5640","5540","1674","9337660","24992979200","4463032"
"2022/07/05","5590","30","0.54","5620","5660","5500","912","5093530","24948348880","4463032"
"2022/07/04","5560","-120","-2.11","5660","5660","5460","3495","19265680","24814457920","4463032"
"2022/07/01","5680","80","1.43","5470","5690","5470","4378","24526460","25350021760","4463032"
"2022/06/30","5600","-260","-4.44","5860","5900","5550","7903","44312000","24992979200","4463032"
"2022/06/29","5860","0","0.00","5840","5860","5700","1086","6307330","26153367520","4463032"
"2022/06/28","5860","-80","-1.35","5930","5930","5650","2936","16922100","26153367520","4463032"
"2022/06/27","5940","40","0.68","5810","5950","5810","2501","14823150","26510410080","4463032"
"2022/06/24","5900","410","7.47","5490","5900","5490","5025","28895740","26331888800","4463032"
"2022/06/23","5490","-220","-3.85","5600","5700","5210","11921","65247550","24502045680","4463032"
"2022/06/22","5710","-190","-3.22","5900","5900","5710","5418","31281180","25483912720","4463032"
"2022/06/21","5900","150","2.61","5620","5900","5620","3325","19336370","26331888800","4463032"
"2022/06/20","5750","-220","-3.69","5860","6060","5750","12471","72685960","25662434000","4463032"
"2022/06/17","5970","-180","-2.93","5820","6130","5820","8318","49040960","26644301040","4463032"
"2022/06/16","6150","130","2.16","6060","6150","6040","2879","17640210","27447646800","4463032"
"2022/06/15","6020","-120","-1.95","5990","6190","5990","13288","80591510","26867452640","4463032"
"2022/06/14","6140","-160","-2.54","6000","6280","6000","14251","86443200","27403016480","4463032"
