일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","4975","15","0.30","4960","4995","4960","8098","40292435","315124410250","63341590"
"2023/04/27","4960","25","0.51","4940","4970","4910","15571","77031840","314174286400","63341590"
"2023/04/26","4935","-45","-0.90","4980","4980","4915","16412","81257710","312590746650","63341590"
"2023/04/25","4980","30","0.61","4960","4980","4885","62332","305900290","315441118200","63341590"
"2023/04/24","4950","-10","-0.20","4915","4970","4895","57302","281494750","313540870500","63341590"
"2023/04/21","4960","-25","-0.50","4995","4995","4940","37034","183375125","314174286400","63341590"
"2023/04/20","4985","-15","-0.30","5000","5050","4940","56145","278763605","315757826150","63341590"
"2023/04/19","5000","-70","-1.38","5070","5070","4955","38308","190713370","316707950000","63341590"
"2023/04/18","5070","20","0.40","5050","5070","4980","38596","193061825","321141861300","63341590"
"2023/04/17","5050","30","0.60","5040","5050","4980","47911","240803210","319875029500","63341590"
"2023/04/14","5020","65","1.31","4980","5060","4930","44554","221413115","317974781800","63341590"
"2023/04/13","4955","20","0.41","4945","4990","4930","81664","403678055","313857578450","63341590"
"2023/04/12","4935","-5","-0.10","4940","4980","4895","36216","177862505","312590746650","63341590"
"2023/04/11","4940","-10","-0.20","4955","4960","4905","40121","197394375","312907454600","63341590"
"2023/04/10","4950","-50","-1.00","4995","4995","4935","13725","68057415","313540870500","63341590"
"2023/04/07","5000","0","0.00","5000","5010","4935","31713","157503080","316707950000","63341590"
"2023/04/06","5000","-10","-0.20","5060","5060","4940","29416","145892510","316707950000","63341590"
"2023/04/05","5010","-10","-0.20","5030","5050","4960","32682","163324110","317341365900","63341590"
"2023/04/04","5020","20","0.40","4980","5030","4980","30493","152760315","317974781800","63341590"
"2023/04/03","5000","30","0.60","4960","5000","4960","22771","113530570","316707950000","63341590"
"2023/03/31","4970","70","1.43","4910","5030","4900","50592","250853045","314807702300","63341590"
"2023/03/30","4900","0","0.00","4900","4955","4860","29535","144209255","310373791000","63341590"
"2023/03/29","4900","0","0.00","4920","4965","4870","23578","115727440","310373791000","63341590"
"2023/03/28","4900","5","0.10","4895","4965","4860","42637","208021880","310373791000","63341590"
"2023/03/27","4895","-85","-1.71","4980","4980","4860","41086","201387545","310057083050","63341590"
"2023/03/24","4980","-15","-0.30","5000","5000","4935","23211","115097565","315441118200","63341590"
"2023/03/23","4995","-25","-0.50","5040","5040","4950","39708","197588970","316391242050","63341590"
"2023/03/22","5020","20","0.40","5050","5050","4990","23383","116951585","317974781800","63341590"
"2023/03/21","5000","5","0.10","5000","5040","4985","30818","154053130","316707950000","63341590"
"2023/03/20","4995","-45","-0.89","5060","5060","4980","32812","163992920","316391242050","63341590"
"2023/03/17","5040","-20","-0.40","5070","5080","5010","18455","92942850","319241613600","63341590"
"2023/03/16","5060","-20","-0.39","5090","5090","5010","12127","61167920","320508445400","63341590"
"2023/03/15","5080","60","1.20","5100","5100","5020","18529","93969020","321775277200","63341590"
"2023/03/14","5020","-40","-0.79","5100","5100","5010","24584","123593680","317974781800","63341590"
"2023/03/13","5060","-40","-0.78","5090","5110","5010","38029","191612580","320508445400","63341590"
"2023/03/10","5100","-30","-0.58","5130","5130","5070","23544","119781650","323042109000","63341590"
"2023/03/09","5130","-40","-0.77","5180","5180","5090","28499","145963470","324942356700","63341590"
"2023/03/08","5170","10","0.19","5160","5200","5110","33288","171030040","327476020300","63341590"
"2023/03/07","5160","0","0.00","5160","5180","5130","39900","205407440","326842604400","63341590"
"2023/03/06","5160","-10","-0.19","5170","5180","5130","46718","240808330","326842604400","63341590"
"2023/03/03","5170","-40","-0.77","5220","5220","5150","15364","79412450","327476020300","63341590"
"2023/03/02","5210","-30","-0.57","5200","5240","5170","18708","96991160","330009683900","63341590"
"2023/02/28","5240","40","0.77","5220","5240","5160","31133","161838860","331909931600","63341590"
"2023/02/27","5200","-50","-0.95","5250","5250","5150","21633","111846190","329376268000","63341590"
"2023/02/24","5250","60","1.16","5240","5250","5160","38793","201919400","332543347500","63341590"
"2023/02/23","5190","20","0.39","5190","5190","5150","1879098","9714850880","328742852100","63341590"
"2023/02/22","5170","30","0.58","5140","5170","5110","5622","28815360","327476020300","63341590"
"2023/02/21","5140","-20","-0.39","5150","5180","5110","25869","132890260","325575772600","63341590"
