일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","3765","5","0.13","3750","3815","3750","20810","78505305","106770193005","28358617"
"2023/04/27","3760","0","0.00","3800","3800","3755","7015","26368250","106628399920","28358617"
"2023/04/26","3760","-20","-0.53","3830","3830","3755","31317","117824015","106628399920","28358617"
"2023/04/25","3780","0","0.00","3810","3810","3770","15733","59524750","107195572260","28358617"
"2023/04/24","3780","-45","-1.18","3835","3835","3770","20809","78615400","107195572260","28358617"
"2023/04/21","3825","20","0.53","3800","3830","3765","31448","118984755","108471710025","28358617"
"2023/04/20","3805","20","0.53","3780","3815","3775","23432","88769525","107904537685","28358617"
"2023/04/19","3785","-60","-1.56","3860","3860","3785","17478","66682335","107337365345","28358617"
"2023/04/18","3845","10","0.26","3860","3860","3820","20044","76900125","109038882365","28358617"
"2023/04/17","3835","-5","-0.13","3860","3860","3820","6519","25011430","108755296195","28358617"
"2023/04/14","3840","0","0.00","3825","3840","3825","12273","47061220","108897089280","28358617"
"2023/04/13","3840","0","0.00","3850","3850","3805","6326","24254150","108897089280","28358617"
"2023/04/12","3840","25","0.66","3815","3845","3815","9444","36211410","108897089280","28358617"
"2023/04/11","3815","10","0.26","3810","3860","3800","17748","67863955","108188123855","28358617"
"2023/04/10","3805","5","0.13","3820","3840","3755","20110","76371930","107904537685","28358617"
"2023/04/07","3800","0","0.00","3800","3815","3760","8982","34131200","107762744600","28358617"
"2023/04/06","3800","5","0.13","3790","3805","3780","4395","16665185","107762744600","28358617"
"2023/04/05","3795","0","0.00","3795","3810","3770","21974","83238075","107620951515","28358617"
"2023/04/04","3795","-30","-0.78","3850","3850","3755","46584","176018750","107620951515","28358617"
"2023/04/03","3825","5","0.13","3805","3835","3805","12724","48656720","108471710025","28358617"
"2023/03/31","3820","-40","-1.04","3860","3885","3780","49174","187407920","108329916940","28358617"
"2023/03/30","3860","-20","-0.52","3875","3890","3850","8027","30996700","109464261620","28358617"
"2023/03/29","3880","5","0.13","3875","3890","3865","5524","21396225","110031433960","28358617"
"2023/03/28","3875","5","0.13","3875","3895","3865","5303","20523245","109889640875","28358617"
"2023/03/27","3870","-30","-0.77","3900","3900","3860","8445","32726760","109747847790","28358617"
"2023/03/24","3900","-30","-0.76","3950","3950","3890","4997","19471475","110598606300","28358617"
"2023/03/23","3930","5","0.13","3925","3930","3895","6284","24516175","111449364810","28358617"
"2023/03/22","3925","-5","-0.13","3930","3970","3905","9097","35637300","111307571725","28358617"
"2023/03/21","3930","-10","-0.25","3940","3980","3925","7753","30551670","111449364810","28358617"
"2023/03/20","3940","-10","-0.25","3950","3975","3940","2547","10075935","111732950980","28358617"
"2023/03/17","3950","-45","-1.13","4020","4020","3910","7607","30107755","112016537150","28358617"
"2023/03/16","3995","15","0.38","3990","3995","3920","4665","18481935","113292674915","28358617"
"2023/03/15","3980","15","0.38","4000","4000","3960","5071","20136655","112867295660","28358617"
"2023/03/14","3965","-45","-1.12","4000","4000","3910","11576","45837920","112441916405","28358617"
"2023/03/13","4010","20","0.50","4015","4015","3755","7791","30670985","113718054170","28358617"
"2023/03/10","3990","-15","-0.37","4000","4000","3965","8784","34892780","113150881830","28358617"
"2023/03/09","4005","15","0.38","3990","4015","3985","2910","11647310","113576261085","28358617"
"2023/03/08","3990","-5","-0.13","3995","4025","3985","6057","24195750","113150881830","28358617"
"2023/03/07","3995","-30","-0.75","4025","4035","3985","21418","85644255","113292674915","28358617"
