일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","4685","-20","-0.43","4700","4760","4645","21358","99720455","172151894475","36745335"
"2023/04/27","4705","-5","-0.11","4745","4755","4700","12889","60741505","172886801175","36745335"
"2023/04/26","4710","20","0.43","4710","4780","4655","23226","109895370","173070527850","36745335"
"2023/04/25","4690","-10","-0.21","4735","4735","4670","6873","32182310","172335621150","36745335"
"2023/04/24","4700","-85","-1.78","4750","4810","4655","54282","255852375","172703074500","36745335"
"2023/04/21","4785","0","0.00","4800","4860","4715","22022","105109590","175826427975","36745335"
"2023/04/20","4785","35","0.74","4900","4900","4705","28670","136432740","175826427975","36745335"
"2023/04/19","4750","-75","-1.55","4825","4890","4750","25412","121745120","174540341250","36745335"
"2023/04/18","4825","75","1.58","4780","5030","4745","66755","322004730","177296241375","36745335"
"2023/04/17","4750","75","1.60","4680","4765","4675","23278","109694540","174540341250","36745335"
"2023/04/14","4675","65","1.41","4605","4680","4580","33699","155904155","171784441125","36745335"
"2023/04/13","4610","0","0.00","4605","4625","4590","10175","46847135","169395994350","36745335"
"2023/04/12","4610","-45","-0.97","4655","4655","4600","26905","124172545","169395994350","36745335"
"2023/04/11","4655","45","0.98","4610","4680","4575","23962","110746110","171049534425","36745335"
"2023/04/10","4610","-70","-1.50","4690","4715","4610","29475","136470600","169395994350","36745335"
"2023/04/07","4680","0","0.00","4670","4725","4605","19764","92018175","171968167800","36745335"
"2023/04/06","4680","-10","-0.21","4710","4710","4605","21870","101962380","171968167800","36745335"
"2023/04/05","4690","-5","-0.11","4610","4700","4610","68094","318448295","172335621150","36745335"
"2023/04/04","4695","25","0.54","4665","4695","4605","10568","48905450","172519347825","36745335"
"2023/04/03","4670","230","5.18","4445","4670","4445","28516","128645325","171600714450","36745335"
"2023/03/31","4440","-30","-0.67","4495","4510","4435","22387","99822505","163149287400","36745335"
"2023/03/30","4470","40","0.90","4430","4470","4430","13636","60722305","164251647450","36745335"
"2023/03/29","4430","-45","-1.01","4505","4505","4430","21379","95560575","162781834050","36745335"
"2023/03/28","4475","65","1.47","4410","4510","4380","26784","119064545","164435374125","36745335"
"2023/03/27","4410","-45","-1.01","4500","4500","4310","58509","255028110","162046927350","36745335"
