일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","1000","-18","-1.77","1005","1020","999","71706","72435102","48060774000","48060774"
"2023/04/27","1018","23","2.31","1000","1019","976","157898","156278579","48925867932","48060774"
"2023/04/26","995","-13","-1.29","997","1008","990","142501","141951409","47820470130","48060774"
"2023/04/25","1008","3","0.30","1013","1013","1000","400071","402248746","48445260192","48060774"
"2023/04/24","1005","-5","-0.50","1020","1021","999","105259","105610988","48301077870","48060774"
"2023/04/21","1010","-3","-0.30","1010","1010","996","132407","132523304","48541381740","48060774"
"2023/04/20","1013","-4","-0.39","1017","1036","1000","106529","107906167","48685564062","48060774"
"2023/04/19","1017","7","0.69","1015","1050","998","591768","604879820","48877807158","48060774"
"2023/04/18","1010","5","0.50","1007","1010","995","903875","904035007","48541381740","48060774"
"2023/04/17","1005","27","2.76","978","1020","978","294151","295169146","48301077870","48060774"
"2023/04/14","978","21","2.19","965","981","957","197700","191819944","47003436972","48060774"
"2023/04/13","957","10","1.06","937","958","930","85775","81324190","45994160718","48060774"
"2023/04/12","947","14","1.50","933","947","931","80492","75800156","45513552978","48060774"
"2023/04/11","933","14","1.52","919","933","914","111181","102781949","44840702142","48060774"
"2023/04/10","919","4","0.44","915","921","905","117383","107508813","44167851306","48060774"
"2023/04/07","915","6","0.66","909","917","907","73857","67295904","43975608210","48060774"
"2023/04/06","909","2","0.22","900","912","897","127150","115264964","43687243566","48060774"
"2023/04/05","907","3","0.33","903","921","898","84708","76932658","43591122018","48060774"
"2023/04/04","904","-2","-0.22","907","908","898","57086","51506427","43446939696","48060774"
"2023/04/03","906","0","0.00","906","909","898","47485","42870680","43543061244","48060774"
"2023/03/31","906","2","0.22","902","910","894","281440","253597740","43543061244","48060774"
"2023/03/30","904","9","1.01","895","906","883","69971","62264992","43446939696","48060774"
"2023/03/29","895","0","0.00","890","902","884","90102","80076397","43014392730","48060774"
"2023/03/28","895","0","0.00","907","907","890","33007","29458180","43014392730","48060774"
"2023/03/27","895","-15","-1.65","910","910","895","51193","45914599","43014392730","48060774"
"2023/03/24","910","12","1.34","898","911","885","140248","125133366","43735304340","48060774"
"2023/03/23","898","5","0.56","893","898","880","109511","97276760","43158575052","48060774"
"2023/03/22","893","-6","-0.67","903","903","890","40811","36424481","42918271182","48060774"
"2023/03/21","899","0","0.00","902","902","895","27866","25014223","43206635826","48060774"
"2023/03/20","899","-8","-0.88","907","910","892","41415","37094960","43206635826","48060774"
"2023/03/17","907","-6","-0.66","905","909","896","47464","42818018","43591122018","48060774"
"2023/03/16","913","15","1.67","890","915","882","87595","78556500","43879486662","48060774"
"2023/03/15","898","4","0.45","886","904","886","80887","72709137","43158575052","48060774"
"2023/03/14","894","-10","-1.11","905","905","886","131340","117158281","42966331956","48060774"
"2023/03/13","904","10","1.12","890","908","882","117237","104251212","43446939696","48060774"
"2023/03/10","894","6","0.68","890","896","880","50666","44911552","42966331956","48060774"
"2023/03/09","888","-7","-0.78","895","900","888","135451","120882021","42677967312","48060774"
"2023/03/08","895","4","0.45","898","898","881","76448","68109081","43014392730","48060774"
"2023/03/07","891","9","1.02","882","892","874","110297","97499109","42822149634","48060774"
"2023/03/06","882","6","0.68","872","882","868","75878","66375077","42389602668","48060774"
"2023/03/03","876","1","0.11","882","882","870","40817","35641876","42101238024","48060774"
"2023/03/02","875","2","0.23","879","884","873","44188","38804207","42053177250","48060774"
"2023/02/28","873","-5","-0.57","872","881","872","21574","18853066","41957055702","48060774"
"2023/02/27","878","-2","-0.23","887","887","869","64478","56226705","42197359572","48060774"
"2023/02/24","880","-1","-0.11","887","887","876","53765","47254732","42293481120","48060774"
"2023/02/23","881","0","0.00","887","887","873","80817","70892323","42341541894","48060774"
"2023/02/22","881","-5","-0.56","890","890","879","115742","102019672","42341541894","48060774"
"2023/02/21","886","0","0.00","888","888","883","30185","26717676","42581845764","48060774"
"2023/02/20","886","1","0.11","882","887","880","57008","50416771","42581845764","48060774"
"2023/02/17","885","-3","-0.34","883","889","880","27002","23851571","42533784990","48060774"
"2023/02/16","888","6","0.68","882","889","882","31090","27493401","42677967312","48060774"
"2023/02/15","882","-7","-0.79","893","893","880","56227","49628536","42389602668","48060774"
"2023/02/14","889","6","0.68","885","890","884","27580","24442925","42726028086","48060774"
