일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","4465","40","0.90","4425","4465","4385","44685","197322935","180386000000","40400000"
"2023/04/27","4425","-20","-0.45","4445","4450","4385","33732","149355520","178770000000","40400000"
"2023/04/26","4445","10","0.23","4435","4465","4370","38778","171257005","179578000000","40400000"
"2023/04/25","4435","5","0.11","4480","4480","4375","45591","201176915","179174000000","40400000"
"2023/04/24","4430","35","0.80","4400","4470","4380","87279","385580890","178972000000","40400000"
"2023/04/21","4395","30","0.69","4365","4410","4365","100019","438848620","177558000000","40400000"
"2023/04/20","4365","45","1.04","4360","4375","4315","44780","195145585","176346000000","40400000"
"2023/04/19","4320","-60","-1.37","4395","4420","4300","175409","760876790","174528000000","40400000"
"2023/04/18","4380","0","0.00","4405","4420","4350","93114","407055040","176952000000","40400000"
"2023/04/17","4380","-45","-1.02","4435","4445","4370","86831","381375380","176952000000","40400000"
"2023/04/14","4425","35","0.80","4400","4450","4360","137228","601428930","178770000000","40400000"
"2023/04/13","4390","-10","-0.23","4400","4400","4350","126243","550463020","177356000000","40400000"
"2023/04/12","4400","110","2.56","4290","4400","4285","183554","795914460","177760000000","40400000"
"2023/04/11","4290","40","0.94","4270","4290","4230","135176","574656960","173316000000","40400000"
"2023/04/10","4250","-40","-0.93","4285","4330","4230","158666","676808080","171700000000","40400000"
"2023/04/07","4290","-40","-0.92","4330","4335","4245","155192","664272200","173316000000","40400000"
"2023/04/06","4330","-75","-1.70","4440","4440","4290","143710","621951860","174932000000","40400000"
"2023/04/05","4405","-70","-1.56","4490","4510","4345","168411","740408490","177962000000","40400000"
"2023/04/04","4475","30","0.67","4480","4480","4420","18634","82907130","180790000000","40400000"
"2023/04/03","4445","-10","-0.22","4510","4510","4390","37500","166059200","179578000000","40400000"
"2023/03/31","4455","75","1.71","4460","4520","4425","51515","230644055","179982000000","40400000"
"2023/03/30","4380","15","0.34","4410","4425","4320","42947","187649160","176952000000","40400000"
"2023/03/29","4365","15","0.34","4385","4475","4350","55567","246179110","176346000000","40400000"
"2023/03/28","4350","160","3.82","4190","4550","4180","106774","464019295","175740000000","40400000"
"2023/03/27","4190","-105","-2.44","4295","4330","4130","114891","482265655","169276000000","40400000"
"2023/03/24","4295","30","0.70","4285","4295","4265","41511","177346355","173518000000","40400000"
"2023/03/23","4265","-50","-1.16","4340","4340","4265","41232","176576065","172306000000","40400000"
"2023/03/22","4315","-10","-0.23","4350","4350","4300","19389","83563120","174326000000","40400000"
"2023/03/21","4325","-5","-0.12","4330","4345","4300","20539","88671670","174730000000","40400000"
"2023/03/20","4330","15","0.35","4340","4345","4295","26849","115659945","174932000000","40400000"
"2023/03/17","4315","15","0.35","4345","4345","4250","20220","86975590","174326000000","40400000"
"2023/03/16","4300","-40","-0.92","4340","4340","4250","43196","185349855","173720000000","40400000"
"2023/03/15","4340","-75","-1.70","4490","4490","4325","143231","621315730","175336000000","40400000"
"2023/03/14","4415","-50","-1.12","4480","4480","4415","48446","215609875","178366000000","40400000"
"2023/03/13","4465","-30","-0.67","4500","4500","4430","28968","129156675","180386000000","40400000"
"2023/03/10","4495","5","0.11","4495","4495","4460","19207","86126545","181598000000","40400000"
"2023/03/09","4490","35","0.79","4480","4490","4450","23503","105042270","181396000000","40400000"
"2023/03/08","4455","-15","-0.34","4470","4480","4435","27622","123175815","179982000000","40400000"
"2023/03/07","4470","15","0.34","4495","4495","4465","22009","98571100","180588000000","40400000"
"2023/03/06","4455","-25","-0.56","4500","4500","4440","40109","178836895","179982000000","40400000"
"2023/03/03","4480","-45","-0.99","4585","4585","4450","46517","208170640","180992000000","40400000"
"2023/03/02","4525","-60","-1.31","4595","4595","4500","36748","166295255","182810000000","40400000"
"2023/02/28","4585","-5","-0.11","4540","4590","4535","27366","125210340","185234000000","40400000"
"2023/02/27","4590","-30","-0.65","4610","4610","4505","38899","176425845","185436000000","40400000"
"2023/02/24","4620","0","0.00","4635","4640","4580","32998","152203105","186648000000","40400000"
"2023/02/23","4620","0","0.00","4620","4620","4570","19273","88518640","186648000000","40400000"
"2023/02/22","4620","-50","-1.07","4655","4700","4620","17995","83385825","186648000000","40400000"
"2023/02/21","4670","50","1.08","4625","4680","4625","19527","90879635","188668000000","40400000"
"2023/02/20","4620","35","0.76","4595","4625","4590","18504","85262755","186648000000","40400000"
"2023/02/17","4585","15","0.33","4590","4595","4565","13473","61729535","185234000000","40400000"
"2023/02/16","4570","0","0.00","4580","4580","4500","14529","66156560","184628000000","40400000"
"2023/02/15","4570","20","0.44","4570","4570","4545","35196","160371845","184628000000","40400000"
"2023/02/14","4550","20","0.44","4535","4565","4530","35121","159866575","183820000000","40400000"
"2023/02/13","4530","10","0.22","4545","4545","4450","30728","138698910","183012000000","40400000"
"2023/02/10","4520","-10","-0.22","4560","4560","4480","41272","185804210","182608000000","40400000"
"2023/02/09","4530","-5","-0.11","4565","4570","4495","22319","100694545","183012000000","40400000"
"2023/02/08","4535","-25","-0.55","4590","4600","4495","84138","381512620","183214000000","40400000"
"2023/02/07","4560","30","0.66","4550","4560","4495","50612","229430765","184224000000","40400000"
"2023/02/06","4530","0","0.00","4565","4565","4490","30222","136340185","183012000000","40400000"
"2023/02/03","4530","-30","-0.66","4565","4565","4485","136729","608791900","183012000000","40400000"
"2023/02/02","4560","130","2.93","4430","4560","4430","59483","266717330","184224000000","40400000"
"2023/02/01","4430","-55","-1.23","4525","4525","4400","63362","280943910","178972000000","40400000"
"2023/01/31","4485","-80","-1.75","4560","4600","4455","66419","300115820","181194000000","40400000"
"2023/01/30","4565","-90","-1.93","4655","4665","4565","62344","286430110","184426000000","40400000"
"2023/01/27","4655","-50","-1.06","4700","4700","4650","44277","206760680","188062000000","40400000"
"2023/01/26","4705","0","0.00","4670","4710","4630","42581","198695330","190082000000","40400000"
"2023/01/25","4705","-15","-0.32","4775","4775","4690","57895","273595880","190082000000","40400000"
"2023/01/20","4720","20","0.43","4730","4740","4655","43316","202533395","190688000000","40400000"
"2023/01/19","4700","-40","-0.84","4740","4740","4640","57323","267263465","189880000000","40400000"
"2023/01/18","4740","-50","-1.04","4790","4820","4740","34672","164979240","191496000000","40400000"
"2023/01/17","4790","-50","-1.03","4865","4865","4735","31575","150716820","193516000000","40400000"
"2023/01/16","4840","125","2.65","4695","4840","4695","49080","233249970","195536000000","40400000"
"2023/01/13","4715","105","2.28","4635","4720","4600","45177","209972205","190486000000","40400000"
"2023/01/12","4610","50","1.10","4595","4625","4540","29294","134469610","186244000000","40400000"
"2023/01/11","4560","30","0.66","4635","4635","4500","33145","150497460","184224000000","40400000"
"2023/01/10","4530","-65","-1.41","4625","4625","4520","27075","123189870","183012000000","40400000"
"2023/01/09","4595","-15","-0.33","4610","4645","4545","33959","155614340","185638000000","40400000"
"2023/01/06","4610","45","0.99","4565","4645","4550","63294","290028895","186244000000","40400000"
"2023/01/05","4565","140","3.16","4470","4800","4420","80413","364414945","184426000000","40400000"
"2023/01/04","4425","40","0.91","4385","4435","4345","37080","162878525","178770000000","40400000"
"2023/01/03","4385","35","0.80","4350","4480","4300","23443","102402820","177154000000","40400000"
"2023/01/02","4350","80","1.87","4270","4390","4270","37363","161540720","175740000000","40400000"
"2022/12/29","4270","-45","-1.04","4320","4335","4205","21572","92024460","172508000000","40400000"
"2022/12/28","4315","-25","-0.58","4355","4380","4270","17313","74812870","174326000000","40400000"
