일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","5170","60","1.17","5110","5170","5050","69887","358834500","457723230580","88534474"
"2023/04/27","5110","10","0.20","5090","5140","5000","73445","373054620","452411162140","88534474"
"2023/04/26","5100","50","0.99","5050","5150","5040","95815","487665190","451525817400","88534474"
"2023/04/25","5050","65","1.30","4985","5100","4970","108068","541317710","447099093700","88534474"
"2023/04/24","4985","-105","-2.06","5100","5140","4980","123819","620547195","441344352890","88534474"
"2023/04/21","5090","10","0.20","5080","5100","5000","70865","356376980","450640472660","88534474"
"2023/04/20","5080","20","0.40","5060","5100","5000","101194","510699530","449755127920","88534474"
"2023/04/19","5060","-50","-0.98","5110","5120","5020","71970","363491530","447984438440","88534474"
"2023/04/18","5110","-20","-0.39","5130","5160","5050","83992","429066250","452411162140","88534474"
"2023/04/17","5130","20","0.39","5150","5150","5030","78548","400204260","454181851620","88534474"
"2023/04/14","5110","80","1.59","5030","5230","4995","137334","695034410","452411162140","88534474"
"2023/04/13","5030","30","0.60","5000","5030","4940","85070","424337590","445328404220","88534474"
"2023/04/12","5000","10","0.20","4990","5020","4935","74541","369957530","442672370000","88534474"
"2023/04/11","4990","5","0.10","4985","4995","4935","59483","294841950","441787025260","88534474"
"2023/04/10","4985","-45","-0.89","5030","5030","4980","39360","196401205","441344352890","88534474"
"2023/04/07","5030","-10","-0.20","5040","5040","5000","67208","336925340","445328404220","88534474"
"2023/04/06","5040","0","0.00","5040","5060","5000","32454","162907830","446213748960","88534474"
"2023/04/05","5040","20","0.40","5020","5050","4990","49054","246465760","446213748960","88534474"
"2023/04/04","5020","60","1.21","4960","5020","4940","65762","327757455","444443059480","88534474"
"2023/04/03","4960","-35","-0.70","4925","5010","4925","29969","148778270","439130991040","88534474"
"2023/03/31","4995","65","1.32","4950","5000","4945","34998","174138560","442229697630","88534474"
"2023/03/30","4930","-30","-0.60","5000","5000","4930","40104","198342330","436474956820","88534474"
"2023/03/29","4960","-15","-0.30","4985","5090","4920","96428","482357890","439130991040","88534474"
"2023/03/28","4975","0","0.00","4985","5030","4970","33423","166779545","440459008150","88534474"
"2023/03/27","4975","-55","-1.09","5040","5040","4900","80129","399227570","440459008150","88534474"
"2023/03/24","5030","-20","-0.40","5050","5070","5000","18603","93505580","445328404220","88534474"
