일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/28","5140","-160","-3.02","5300","5350","5010","67447","346784510","362884000000","70600000"
"2023/04/27","5300","-110","-2.03","5180","5360","5180","91478","484523780","374180000000","70600000"
"2023/04/26","5410","10","0.19","5210","5410","5200","159424","844112990","381946000000","70600000"
"2023/04/25","5400","200","3.85","5200","5450","5110","483407","2585136300","381240000000","70600000"
"2023/04/24","5200","90","1.76","5110","5200","5010","273858","1409546160","367120000000","70600000"
"2023/04/21","5110","30","0.59","5080","5170","5000","415508","2137455670","360766000000","70600000"
"2023/04/20","5080","130","2.63","4975","5130","4920","327931","1659422475","358648000000","70600000"
"2023/04/19","4950","-40","-0.80","4990","5000","4915","58123","287825940","349470000000","70600000"
"2023/04/18","4990","5","0.10","4990","5070","4975","78097","390283755","352294000000","70600000"
"2023/04/17","4985","-95","-1.87","5080","5100","4985","126720","640027610","351941000000","70600000"
"2023/04/14","5080","95","1.91","4985","5100","4985","180361","913621800","358648000000","70600000"
"2023/04/13","4985","0","0.00","4985","5090","4900","251315","1268472725","351941000000","70600000"
"2023/04/12","4985","40","0.81","4950","5010","4905","123622","616037795","351941000000","70600000"
"2023/04/11","4945","0","0.00","4910","4970","4880","174387","861449230","349117000000","70600000"
"2023/04/10","4945","-10","-0.20","4955","5100","4850","173052","853326685","349117000000","70600000"
"2023/04/07","4955","0","0.00","4955","4985","4880","94507","467547750","349823000000","70600000"
"2023/04/06","4955","-85","-1.69","4980","5130","4880","500670","2507041595","349823000000","70600000"
"2023/04/05","5040","185","3.81","4845","5050","4710","461322","2278958400","355824000000","70600000"
"2023/04/04","4855","10","0.21","4805","4890","4785","232815","1130034215","342763000000","70600000"
"2023/04/03","4845","210","4.53","4665","4845","4665","262779","1245043655","342057000000","70600000"
"2023/03/31","4635","75","1.64","4575","4635","4515","200910","923458430","327231000000","70600000"
"2023/03/30","4560","10","0.22","4550","4600","4505","186828","850384830","321936000000","70600000"
"2023/03/29","4550","0","0.00","4570","4650","4490","431557","1969407690","321230000000","70600000"
"2023/03/28","4550","40","0.89","4510","4630","4400","693953","3162669950","321230000000","70600000"
"2023/03/27","4510","-390","-7.96","4900","4900","4305","2910963","12985985000","318406000000","70600000"
