일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","450358135","0","225997145","73123255","749478535"
"2023/05/03","351547835","0","138150110","245665265","735363210"
"2023/05/02","82684265","1224980","191827450","87194060","362930755"
"2023/04/28","522442385","693920","344144590","241818185","1109099080"
"2023/04/27","519525660","0","80752700","162942945","763221305"
"2023/04/26","115940815","1125250","190225765","230408740","537700570"
"2023/04/25","1018572395","0","148252845","100940630","1267765870"
"2023/04/24","1019691580","0","132265010","170273865","1322230455"
"2023/04/21","456633320","0","144441920","342127000","943202240"
"2023/04/20","679919850","13616405","195535135","248949310","1138020700"
"2023/04/19","666832535","13470000","128780480","395932935","1205015950"
"2023/04/18","453640760","3895","107197330","94851335","655693320"
"2023/04/17","509712025","314000","245454260","59442525","814922810"
"2023/04/14","201764255","273350","147125835","298494980","647658420"
"2023/04/13","118474280","0","125133590","170090920","413698790"
"2023/04/12","162262555","640800","247703080","429691850","840298285"
"2023/04/11","375262185","11791960","157161875","254329270","798545290"
"2023/04/10","221973810","0","128125780","82570675","432670265"
"2023/04/07","340125840","0","135829245","82510120","558465205"
"2023/04/06","175943815","3548790","343416955","176081885","698991445"
"2023/04/05","214035080","0","291293190","66263345","571591615"
"2023/04/04","170201125","0","272070465","203779500","646051090"
"2023/04/03","250584350","0","235458970","218312790","704356110"
"2023/03/31","219515220","3885","220352680","266897140","706768925"
"2023/03/30","304431830","388000","295554420","121509960","721884210"
"2023/03/29","99381405",,"124053210","81320890","304755505"
"2023/03/28","249999920","0","153111625","154497335","557608880"
"2023/03/27","399615700","0","198336905","84468325","682420930"
"2023/03/24","215724035","0","164228310","76207120","456159465"
"2023/03/23","371848155","0","138669450","653409390","1163926995"
"2023/03/22","243734230","14850000","86453330","307645755","652683315"
"2023/03/21","214500890","0","146497400","174465530","535463820"
"2023/03/20","351816680","0","200969660","253477360","806263700"
"2023/03/17","368126190","22860","156046320","1435653412","1959848782"
"2023/03/16","32795955","0","214001830","217585610","464383395"
"2023/03/15","153860345","0","250835660","215820560","620516565"
"2023/03/14","321371910","0","224447765","229161810","774981485"
"2023/03/13","216981000","3845000","314520805","80981535","616328340"
"2023/03/10","268317800","0","147576610","645353190","1061247600"
"2023/03/09","265869235","0","191999370","778773440","1236642045"
"2023/03/08","128941450","0","158171860","428361225","715474535"
"2023/03/07","307678525","30640545","82710195","284179685","705208950"
"2023/03/06","332185980","23272730","95489590","184446410","635394710"
"2023/03/03","352782435","0","72478920","223654990","648916345"
"2023/03/02","384657125","0","160249160","280611125","825517410"
"2023/02/28","225929915","0","54141755","569453785","849525455"
"2023/02/27","113716435","0","129913805","72251845","315882085"
"2023/02/24","355564140","0","156493150","51517015","563574305"
"2023/02/23","357906185","0","110797350","180629720","649333255"
"2023/02/22","332419975","0","60428600","91374320","484222895"
"2023/02/21","212632035","0","79601560","171291970","463525565"
"2023/02/20","242815420","0","102568825","75582650","420966895"
"2023/02/17","324521495","0","205448080","59888640","589858215"
"2023/02/16","345717880","415500","101375305","55983855","503492540"
"2023/02/15","333128900","12357550","90509585","65189755","501185790"
"2023/02/14","294851675","0","45169710","32622335","372643720"
"2023/02/13","266697060","0","285717330","276187620","828602010"
"2023/02/10","363642385","1262720","76317005","568677175","1009899285"
"2023/02/09","79156690","4290545","435157320","214576285","733180840"
"2023/02/08","305363435","0","121302205","102566755","529232395"
"2023/02/07","74795265","0","258920155","223638015","557353435"
"2023/02/06","240540745","0","140919120","1053606105","1435065970"
"2023/02/03","720122055","4235","151164455","855834720","1727125465"
"2023/02/02","134713710","6855800","330115265","195175515","666860290"
"2023/02/01","444788025","4105","108134495","844133645","1397060270"
"2023/01/31","579969845","31397415","95272445","313363760","1020003465"
"2023/01/30","871696985","4220","176381395","567819150","1615901750"
"2023/01/27","607769435","0","178023365","782377230","1568170030"
"2023/01/26","278530985","7625075","127346970","637725710","1051228740"
"2023/01/25","457470055","7621250","294641515","570896360","1330629180"
"2023/01/20","109286585","7682500","481729480","253452505","852151070"
"2023/01/19","291246165","0","181310160","494419245","966975570"
"2023/01/18","655965100","64256430","594036800","923197980","2237456310"
"2023/01/17","497269675","152357030","212919990","489482110","1352028805"
"2023/01/16","740519835","52648000","524500955","255169880","1572838670"
"2023/01/13","533529480","1033350","293750100","96932265","925245195"
"2023/01/12","313829480","619500","654746090","173227885","1142422955"
"2023/01/11","161270275","7455500","111700855","211711930","492138560"
"2023/01/10","136583130","0","115332755","142599215","394515100"
"2023/01/09","251277280","0","138770805","355290445","745338530"
"2023/01/06","324187015","416605","285072920","459430735","1069107275"
"2023/01/05","275114630","0","249716690","119223020","644054340"
"2023/01/04","218899920","0","104980880","42476390","366357190"
"2023/01/03","30041685","6669305","153806785","260732025","451249800"
"2023/01/02","23383890","0","195518535","67009315","285911740"
"2022/12/29","136817830","0","567453555","1087894065","1792165450"
"2022/12/28","376055645","0","574100365","506064300","1456220310"
"2022/12/27","431206290","0","73671380","374484585","879362255"
"2022/12/26","445910870","782000","459923260","201573795","1108189925"
"2022/12/23","391826920","1179000","168011965","327627185","888645070"
"2022/12/22","460893585","1182000","212328405","512613905","1187017895"
"2022/12/21","328475250","0","149789080","346221960","824486290"
"2022/12/20","376110495","11616570","112953785","209936735","710617585"
