일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","50002550","38970","102497435","11031225","163570180"
"2023/05/03","52811005","0","63219450","12286240","128316695"
"2023/05/02","56559935","0","19443805","14741730","90745470"
"2023/04/28","52478565",,"46308935","2104205","100891705"
"2023/04/27","52092265","0","39674355","30340965","122107585"
"2023/04/26","36347945","0","38744035","22673380","97765360"
"2023/04/25","333369910","0","73733460","33422860","440526230"
"2023/04/24","201460725",,"39004905","34990275","275455905"
"2023/04/21","163647615","0","54951095","37912000","256510710"
"2023/04/20","227530585","0","60974020","14927585","303432190"
"2023/04/19","138284365",,"67457555","15383585","221125505"
"2023/04/18","162124355","0","82983065","21392620","266500040"
"2023/04/17","46100130",,"138595140","19006230","203701500"
"2023/04/14","167545120","0","193499850","17765950","378810920"
"2023/04/13","76141825","0","80252055","5542785","161936665"
"2023/04/12","73225720","0","140394505","2140760","215760985"
"2023/04/11","38637135","0","65210845","11072490","114920470"
"2023/04/10","66155935","0","67194770","17745765","151096470"
"2023/04/07","69901810","0","53633425","11803885","135339120"
"2023/04/06","64857310","0","109780505","32577880","207215695"
"2023/04/05","63924255","0","48553675","34458140","146936070"
"2023/04/04","67472965","0","42912660","22587035","132972660"
"2023/04/03","25513465","0","106595100","5780910","137889475"
"2023/03/31","189884240","0","137524705","23738270","351147215"
"2023/03/30","139925805","0","85788555","602515","226316875"
"2023/03/29","3727115","0","79472295","13010","83212420"
"2023/03/28","15318790","0","64045935","7612575","86977300"
"2023/03/27","68221330","0","179173545","26490820","273885695"
"2023/03/24","21988020","0","52551155","3729190","78268365"
"2023/03/23","9839805","0","108926300","17922610","136688715"
"2023/03/22","57624395","0","78323920","22907125","158855440"
"2023/03/21","33820075","0","54745995","15306025","103872095"
"2023/03/20","4072245","0","38000700","13851705","55924650"
"2023/03/17","12404000","0","61435235","5846095","79685330"
"2023/03/16","114819660","0","56113270","3414255","174347185"
"2023/03/15","55376055","0","99115120","12214465","166705640"
"2023/03/14","222807205","0","93860930","14660840","331328975"
"2023/03/13","61145845","0","186150795","42473030","289769670"
"2023/03/10","8434195","0","212906880","27345815","248686890"
"2023/03/09","4289440","22615","48816425","14215490","67343970"
"2023/03/08","996600","248875","104352500","5619775","111217750"
"2023/03/07","6275395","0","89944820","11480025","107700240"
"2023/03/06","102931955",,"40971740","21307800","165211495"
"2023/03/03","18903845","0","38456190","9068905","66428940"
"2023/03/02","66642845","0","88000915","7669250","162313010"
