일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","45230300","1878930","119641460","8001230","174751920"
"2023/05/03","78445590","182518010","36557805","55762685","353284090"
"2023/05/02","70318280","310765","77226615","11484085","159339745"
"2023/04/28","149760130","0","35413070","10123335","195296535"
"2023/04/27","73708860","0","13595340","22550950","109855150"
"2023/04/26","47784260","0","70982475","12505955","131272690"
"2023/04/25","51364550","0","76199790","19269575","146833915"
"2023/04/24","30288760","3385000","148194875","32438460","214307095"
"2023/04/21","137329795","0","135916720","10678775","283925290"
"2023/04/20","56553155","11730400","86307145","6152630","160743330"
"2023/04/19","262860620","11775000","164548970","58797835","497982425"
"2023/04/18","179384075","62636985","138668345","44083330","424772735"
"2023/04/17","426048870","0","40032790","112670080","578751740"
"2023/04/14","498368325","0","121855350","74174640","694398315"
"2023/04/13","393085595","16149185","109036690","123542200","641813670"
"2023/04/12","473710870","0","116782345","88082790","678576005"
"2023/04/11","539548715","3300","83212640","110883140","733647795"
"2023/04/10","137705615","259105","115158185","93337840","346460745"
"2023/04/07","471040215","0","63107280","121797825","655945320"
"2023/04/06","456559125","0","61890445","259287905","777737475"
"2023/04/05","483758555","218860","127826230","186421410","798225055"
"2023/04/04","121127110","0","110356360","62740720","294224190"
"2023/04/03","117854210","4984925","110759130","64457620","298055885"
"2023/03/31","162585545","0","96286995","53795605","312668145"
"2023/03/30","67702560","0","52242125","18556720","138501405"
"2023/03/29","87135390","0","47168015","23563295","157866700"
"2023/03/28","117836765","0","83264995","56137410","257239170"
"2023/03/27","89332905","0","182728885","62515520","334577310"
"2023/03/24","56367620","0","87687895","22106460","166161975"
"2023/03/23","74896235","0","52733930","44796805","172426970"
"2023/03/22","27439540","0","118121820","20894820","166456180"
"2023/03/21","5796685","341000","61747050","45546885","113431620"
"2023/03/20","22639900","0","75675915","68386340","166702155"
"2023/03/17","15610960","0","137405655","63294880","216311495"
"2023/03/16","7761160","341000","265764280","71745925","345612365"
"2023/03/15","619655825","0","89004760","172834785","881495370"
"2023/03/14","392060225","0","100458695","118437680","610956600"
"2023/03/13","790874315","344500","479517595","262046590","1532783000"
"2023/03/10","68831200","0","319107715","65088475","453027390"
"2023/03/09","53164295","0","59626450","35522485","148313230"
"2023/03/08","44591140","1077000","85278010","67045870","197992020"
"2023/03/07","204153120","0","81251000","48495235","333899355"
"2023/03/06","20751995","0","93695920","28925540","143373455"
"2023/03/03","56628470","0","82327860","56282545","195238875"
"2023/03/02","55848090","0","53298320","47431205","156577615"
"2023/02/28","42231295","0","76685130","27706580","146623005"
"2023/02/27","24489035","363000","94283650","35130945","154266630"
"2023/02/24","60391655","360000","132537385","38120965","231410005"
"2023/02/23","146720755","0","74783755","32350010","253854520"
"2023/02/22","77663395","358000","49936185","22103325","150060905"
"2023/02/21","95316040","0","155216455","36244095","286776590"
"2023/02/20","38334525","0","113863360","21510380","173708265"
"2023/02/17","111076840","0","126230710","22323970","259631520"
"2023/02/16","140400510","0","235533190","54459205","430392905"
"2023/02/15","195087595","0","67013455","58814885","320915935"
"2023/02/14","68283500","0","48911255","23773745","140968500"
"2023/02/13","54325275","0","59571930","12339560","126236765"
"2023/02/10","27848650","0","69063225","8659920","105571795"
"2023/02/09","90830135","0","217482685","6075720","314388540"
"2023/02/08","196821810","0","80990050","18381425","296193285"
"2023/02/07","287224145","0","199531295","21852310","508607750"
"2023/02/06","200088600","0","218492175","35016210","453596985"
"2023/02/03","312331350","0","74571685","126998010","513901045"
"2023/02/02","232101390","11280000","344716630","10780105","598878125"
"2023/02/01","163949675","0","165634645","14135515","343719835"
"2023/01/31","92091310","23234615","143710860","10432740","269469525"
"2023/01/30","121225690","0","148314165","31938440","301478295"
"2023/01/27","193331170","46151810","203604065","23757130","466844175"
"2023/01/26","195313000","60022690","188265050","113380890","556981630"
