일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","11917045","0","28500895","43300","40461240"
"2023/05/03","5199365","941280","24645715","297780","31084140"
"2023/05/02","7465465","0","15944630","148750","23558845"
"2023/04/28","10706595","4235","42899990","2580690","56191510"
"2023/04/27","422000","0","52731705","862155","54015860"
"2023/04/26","1995955","0","39476345","2436895","43909195"
"2023/04/25","4201260","0","41645630","2878365","48725255"
"2023/04/24","4945760",,"18964740","4302970","28213470"
"2023/04/21","12098230",,"10039465","984110","23121805"
"2023/04/20","3210270",,"9299100","2032730","14542100"
"2023/04/19","5533160","0","41588755","658985","47780900"
"2023/04/18","21780005",,"48307210","636295","70723510"
"2023/04/17","4758880",,"32534350","901975","38195205"
"2023/04/14","4110340","1291835","43024575","3778500","52205250"
"2023/04/13","237815","9090680","6759190","0","16087685"
"2023/04/12","18429690","0","86624685","20800","105075175"
"2023/04/11","1038290","0","31366185","2062645","34467120"
"2023/04/10","694210","8366730","61612565","1508205","72181710"
"2023/04/07","3402040","8440","76536375","228040","80174895"
"2023/04/06","6372525","0","49227160","7466010","63065695"
"2023/04/05","26421780","4155","11376555","392845","38195335"
"2023/04/04","1437820","0","33396420","761070","35595310"
"2023/04/03","2178305","4160","22177020","183260","24542745"
"2023/03/31","5642590","4150","20398110","2641725","28686575"
"2023/03/30","539790",,"20718655","1473415","22731860"
"2023/03/29","17620420","4160","13228015","1566540","32419135"
"2023/03/28","19811605","0","9253360","6551490","35616455"
"2023/03/27","25687240","8150","50753235","10781120","87229745"
"2023/03/24","0","0","32386070","1990215","34376285"
"2023/03/23","967595","8235","65738755","1085785","67800370"
"2023/03/22","53057810","0","47934350","4985190","105977350"
"2023/03/21","25211010","4140","47335460","2450670","75001280"
"2023/03/20","34516790","702140","28503825","3493930","67216685"
"2023/03/17","20071770","29415","25467380","127005","45695570"
"2023/03/16","18756265","0","21242185","2929155","42927605"
"2023/03/15","24855075","4220","8635350","1199780","34694425"
"2023/03/14","7883010","0","26217785","4417655","38518450"
"2023/03/13","5430365","4290","91026665","3608950","100070270"
"2023/03/10","2334920",,"3667335","2176720","8178975"
"2023/03/09","655895","4345","1153200","836775","2650215"
"2023/03/08","96360","4390","64341810","2843125","67285685"
"2023/03/07","11346580","0","32718570","625355","44690505"
"2023/03/06","15394785","1643045","27635695","1188440","45861965"
"2023/03/03","13327085","0","7665360","5693070","26685515"
"2023/03/02","718205","4400","28133745","1166345","30022695"
"2023/02/28","3409260","877390","48397570","3283605","55967825"
"2023/02/27","3554180","0","29419270","1815555","34789005"
"2023/02/24","6794270","319625","64372630","1333835","72820360"
"2023/02/23","262531755","4340","21071635","2063135","285670865"
"2023/02/22","4718520",,"23337510","3492330","31548360"
"2023/02/21","4390685","0","57022940","1562350","62975975"
"2023/02/20","6827330","8705","5035415","213240","12084690"
"2023/02/17","1442235","0","81558365","656850","83657450"
"2023/02/16","161030","21785","81958735","1387875","83529425"
"2023/02/15","556290","0","51988780","3746765","56291835"
"2023/02/14","58729435","0","36638175","2958070","98325680"
"2023/02/13","6387465","1668745","18648630","3127395","29832235"
"2023/02/10","0","1682130","2671530","1635820","5989480"
"2023/02/09","20408255","4921000","50990405","2076570","78396230"
"2023/02/08","11942925","0","48417145","1642085","62002155"
"2023/02/07","668950",,"15381675","2292695","18343320"
"2023/02/06","5687450","887150","11478390","1979510","20032500"
"2023/02/03","755175","5012680","78115945","2878600","86762400"
"2023/02/02","2656690","17595","41476310","1264770","45415365"
"2023/02/01","2395190",,"12096695","1442715","15934600"
"2023/01/31","4213695","0","70873595","1868705","76955995"
"2023/01/30","15403870","0","60906940","880720","77191530"
"2023/01/27","55298335","2152800","16935860","480510","74867505"
"2023/01/26","31260975","103730","18863490","1083530","51311725"
"2023/01/25","11432475","20078990","62554750","661575","94727790"
"2023/01/20","53863455","4510","35843220","9025","89720210"
"2023/01/19","4830650",,"36360205","3230860","44421715"
"2023/01/18","11896500",,"48885085","1627970","62409555"
"2023/01/17","1621560","8985","37998010","10120970","49749525"
"2023/01/16","20934700","5617435","170785670","1907205","199245010"
"2023/01/13","19241215","8830","51039785","1463355","71753185"
"2023/01/12","9252195","19356380","106649170","2625630","137883375"
"2023/01/11","39976820","14411290","93091400","26310","147505820"
"2023/01/10","14813495","4260","79774785","858815","95451355"
"2023/01/09","21956040","12685","44955805","648010","67572540"
"2023/01/06","4327320","17305","119389110","4449130","128182865"
"2023/01/05","141668710","6062640","606499380","13388390","767619120"
"2023/01/04","0","8060","21000460","1265330","22273850"
"2023/01/03","602465","0","49319675","7782270","57704410"
"2023/01/02","2016520","8070","29465465","3155255","34645310"
"2022/12/29","9097635","8040","34523305","1191025","44820005"
"2022/12/28","15214840","4040","5247255","597630","21063765"
"2022/12/27","31943600","804000","8667350","172940","41587890"
"2022/12/26","33533155","12020","14087280","5989040","53621495"
"2022/12/23","24499350","12070","9797625","3460850","37769895"
"2022/12/22","22764675","12080","15142870","8065","37927690"
"2022/12/21","26368505","7990","35748455","3460375","65585325"
"2022/12/20","29759140","8030","25285925","1673885","56726980"
"2022/12/19","34261480","160695","22828030","36185","57286390"
"2022/12/16","105768080","0","29705535","104765","135578380"
"2022/12/15","28629805",,"14248320","495730","43373855"
"2022/12/14","29130510","0","28301615","1481760","58913885"
"2022/12/13","14961500",,"84444900","1361820","100768220"
"2022/12/12","4570515","8095","16206380","2175125","22960115"
"2022/12/09","12094990","0","8639655","259835","20994480"
"2022/12/08","20916020","0","7120945","698430","28735395"
"2022/12/07","3701710",,"16520375","0","20222085"
