일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","363454910","0","449249600","145032660","957737170"
"2023/05/03","111831265","0","134244000","27944690","274019955"
"2023/05/02","44379820","310905","196605455","30363280","271659460"
"2023/04/28","35247180","0","194556595","32448835","262252610"
"2023/04/27","213790270","0","140725825","124997275","479513370"
"2023/04/26","120255200","0","195434220","41646760","357336180"
"2023/04/25","594718240","0","148125100","115612615","858455955"
"2023/04/24","651018045","0","193229230","104414015","948661290"
"2023/04/21","705246770","0","200819735","177559950","1083626455"
"2023/04/20","627163045","11119300","334185400","171161635","1143629380"
"2023/04/19","341698270","17730640","123194190","134559260","617182360"
"2023/04/18","388589835","102703800","394268805","60856830","946419270"
"2023/04/17","386843290","2010000","166747475","150811160","706411925"
"2023/04/14","1031060660","0","190933055","14198720","1236192435"
"2023/04/13","267075330","0","198533250","79736670","545345250"
"2023/04/12","258617575","891780","271813045","9102060","540424460"
"2023/04/11","153368365","0","258976130","75496555","487841050"
"2023/04/10","117647915","173312695","201690850","39379340","532030800"
"2023/04/07","65203290","89140825","117918425","47974385","320236925"
"2023/04/06","141170870","178704785","461702620","103834945","885413220"
"2023/04/05","346194290","24014330","153090255","89942495","613241370"
"2023/04/04","388833250","112438555","263189160","42658230","807119195"
"2023/04/03","326963320","10470160","223585315","121865160","682883955"
"2023/03/31","396966445","10406240","136593890","74928315","618894890"
"2023/03/30","90473130","0","143642270","52985400","287100800"
"2023/03/29","149222120","0","169869210","61499180","380590510"
"2023/03/28","453956050","255300","358017700","86886640","899115690"
"2023/03/27","381102575","66757920","365388540","57594715","870843750"
"2023/03/24","127811180","28624975","84821655","81586050","322843860"
"2023/03/23","189971910","0","131504410","32208990","353685310"
"2023/03/22","227715060","0","199366250","30805240","457886550"
"2023/03/21","168943985","0","139840570","86764925","395549480"
"2023/03/20","225782925","0","202729135","140647395","569159455"
"2023/03/17","215727980","4980","154138090","397154805","767025855"
"2023/03/16","179843680","0","129819430","32288170","341951280"
"2023/03/15","384261725","6342100","77696805","33563440","501864070"
"2023/03/14","195506150","39848390","200022460","126014760","561391760"
"2023/03/13","197920440","0","209499510","44275300","451695250"
"2023/03/10","187690790","0","180163380","46507700","414361870"
"2023/03/09","122061350","2550860","75540010","3839900","203992120"
"2023/03/08","193478310","0","161299600","13649060","368426970"
"2023/03/07","191181340","37501810","135470470","51397330","415550950"
