일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","66512585","169597685","279206775","10785615","526102660"
"2023/05/03","31378990","119288225","197795805","6176430","354639450"
"2023/05/02","25795010","861325","67622975","4433380","98712690"
"2023/04/28","61309990","0","148974000","14135955","224419945"
"2023/04/27","42521775","1998180","31880270","19768255","96168480"
"2023/04/26","58699105","2000065","29530020","12768675","102997865"
"2023/04/25","74236495",,"87771070","27151740","189159305"
"2023/04/24","97139495","0","97473010","46647740","241260245"
"2023/04/21","108870565",,"122690800","18429685","249991050"
"2023/04/20","248911595","11675000","40550835","11565630","312703060"
"2023/04/19","149256565","19665820","39118140","26386210","234426735"
"2023/04/18","203400110","0","66527625","34890980","304818715"
"2023/04/17","331894515","1002000","97932260","34655370","465484145"
"2023/04/14","382777480","14369925","151257905","13348050","561753360"
"2023/04/13","209971980","31603895","70826075","10579205","322981155"
"2023/04/12","193329600","0","139316000","10823300","343468900"
"2023/04/11","230641735",,"381425190","39551105","651618030"
"2023/04/10","113209375",,"127837975","12635430","253682780"
"2023/04/07","172846930","0","105346605","3886500","282080035"
"2023/04/06","256270560",,"59564545","14024075","329859180"
"2023/04/05","618327550","0","189149935","65647845","873125330"
"2023/04/04","142419160","0","129815695","8207165","280442020"
"2023/04/03","159855205","7040000","169737125","18372965","355005295"
"2023/03/31","118923485","0","65105580","112513465","296542530"
"2023/03/30","184752315","2159435","157241175","152400930","496553855"
"2023/03/29","152061030","7300000","452762850","25524200","637648080"
"2023/03/28","174886335","10905000","185611580","9193455","380596370"
"2023/03/27","141275440","0","238682480","55272350","435230270"
"2023/03/24","14784295","36560000","176142435","6675530","234162260"
"2023/03/23","119895695","0","180115630","26284555","326295880"
"2023/03/22","126593285","0","158073275","35940925","320607485"
"2023/03/21","162448420","0","197920465","5830855","366199740"
"2023/03/20","56874580","0","118072945","19340710","194288235"
"2023/03/17","85872120","0","98670925","15378750","199921795"
"2023/03/16","15350365","0","46790450","21827655","83968470"
"2023/03/15","146048680","0","85749255","35690920","267488855"
"2023/03/14","44913830","0","151965630","54616890","251496350"
"2023/03/13","50990460","0","158876285","36580310","246447055"
"2023/03/10","72849600","0","135155315","29020650","237025565"
"2023/03/09","18180930","0","160478430","27400895","206060255"
"2023/03/08","66248580","0","176584895","12227205","255060680"
"2023/03/07","118339110","21081350","257503210","5395415","402319085"
"2023/03/06","187822685",,"125039500","30318375","343180560"
"2023/03/03","33206045","0","42108935","27225170","102540150"
"2023/03/02","56282595","8820000","195448515","28596175","289147285"
