일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","187114225","182552715","230025155","19118095","618810190"
"2023/05/03","51340385","145186825","272804800","2193875","471525885"
"2023/05/02","145458050","169193230","120288305","31337270","466276855"
"2023/04/28","183510240","143848915","246076670","33666205","607102030"
"2023/04/27","95456085","0","390128665","228329375","713914125"
"2023/04/26","81055955","145204575","202610885","92184845","521056260"
"2023/04/25","684647055","0","121688025","129374500","935709580"
"2023/04/24","626931500","1459625","303490120","51404095","983285340"
"2023/04/21","685459915","70081840","229302120","201272105","1186115980"
"2023/04/20","525070265","160071635","205747275","68323130","959212305"
"2023/04/19","299770350","49648620","174826720","209220475","733466165"
"2023/04/18","442839900","258930645","297808695","36202605","1035781845"
"2023/04/17","510305530","25722180","170630730","288155680","994814120"
"2023/04/14","333784685","282384185","145083305","157201735","918453910"
"2023/04/13","342723180","109237530","214285450","103167700","769413860"
"2023/04/12","135615675","181431000","163407780","85134170","565588625"
"2023/04/11","220376150","216150125","253603375","105220720","795350370"
"2023/04/10","411249895","0","341503535","152779135","905532565"
"2023/04/07","298268450","0","80475110","52459935","431203495"
"2023/04/06","275265880","0","201743580","237306360","714315820"
"2023/04/05","409372295","110517335","141925175","261306540","923121345"
"2023/04/04","337516865","0","135583465","99686315","572786645"
"2023/04/03","205454110","12243540","141049820","149742960","508490430"
"2023/03/31","360229470","0","368654980","220779520","949663970"
"2023/03/30","343940520","0","174344745","75071220","593356485"
"2023/03/29","334033200","0","66410830","79207995","479652025"
"2023/03/28","84153840","0","80070630","129669750","293894220"
"2023/03/27","343710085","54627650","238239170","365978725","1002555630"
"2023/03/24","174135740","27862500","81486150","151125225","434609615"
"2023/03/23","347882895","0","107470250","187174260","642527405"
"2023/03/22","61712455","0","176666670","120529305","358908430"
"2023/03/21","30184845","0","102248240","48287550","180720635"
"2023/03/20","97786980","0","117905470","23779690","239472140"
"2023/03/17","270386150","37700","304333025","522637680","1097394555"
"2023/03/16","70222590","3790","298275345","34300580","402802305"
"2023/03/15","103080935","3800","99361450","31640865","234087050"
"2023/03/14","196437735","0","311108625","90760355","598306715"
"2023/03/13","191958910","7650","258560330","50110180","500637070"
"2023/03/10","102695420","0","287773480","61600425","452069325"
"2023/03/09","114357805","3945","148378110","41456505","304196365"
"2023/03/08","113874745","12280590","225184855","49628060","400968250"
"2023/03/07","210169660","28108540","176304645","54076470","468659315"
"2023/03/06","238740295","7970","139628795","99803970","478181030"
"2023/03/03","98168245","3925","209168890","62314035","369655095"
"2023/03/02","226615230","3900","142356570","122202245","491177945"
"2023/02/28","199212130","3910","205792065","200161605","605169710"
"2023/02/27","215438125","7815","297278935","105311545","618036420"
"2023/02/24","174476230","70174925","375637785","157828405","778117345"
"2023/02/23","54491725","3845","227581805","201844670","483922045"
"2023/02/22","91727270","0","148465640","647776580","887969490"
"2023/02/21","99872565","7650","294353965","214736930","608971110"
"2023/02/20","114691360","3860","273333010","238061475","626089705"
"2023/02/17","79889940","3880","92177765","291949945","464021530"
"2023/02/16","113856955","3890","105706965","174926040","394493850"
"2023/02/15","179415160","3900","241533810","197168095","618120965"
"2023/02/14","191895975","0","69792255","129356150","391044380"
"2023/02/13","278985230","0","223053550","444187605","946226385"
"2023/02/10","203064815","4000","628205810","710724105","1541998730"
"2023/02/09","67227450","4050","117317270","211790120","396338890"
"2023/02/08","93894260","4050","108932765","122027595","324858670"
"2023/02/07","139058100","101424420","114789855","324292300","679564675"
"2023/02/06","23745760","1413150","175630975","513269945","714059830"
"2023/02/03","49323250","45540","465143815","942303860","1456816465"
"2023/02/02","140952190","14782550","626895550","199611905","982242195"
"2023/02/01","149981190","0","245191225","1008802360","1403974775"
"2023/01/31","5367301465","2040000","280801950","159105940","5809249355"
"2023/01/30","129349305","31949210","309330525","521884555","992513595"
"2023/01/27","205125155","2069225","84716595","734824595","1026735570"
"2023/01/26","276497130","7365000","344115380","504844275","1132821785"
"2023/01/25","185411895","7391375","493365390","118221555","804390215"
"2023/01/20","776604110","7484020","298250405","165667750","1248006285"
"2023/01/19","615755210","0","124213815","189410050","929379075"
"2023/01/18","155740570","446755","537023395","446458860","1139669580"
"2023/01/17","214087970","1067200","140407200","539413185","894975555"
"2023/01/16","756446260","11141935","912265270","77385985","1757239450"
"2023/01/13","244299610","1236775","123177310","154244320","522958015"
"2023/01/12","577811225","8080790","370139175","226798890","1182830080"
"2023/01/11","126564895","52466735","126383580","203653490","509068700"
"2023/01/10","298643275","12130","74051735","104018315","476725455"
"2023/01/09","247074690","8085","149699735","103643080","500425590"
"2023/01/06","143221505","413615","229176700","297515805","670327625"
"2023/01/05","279961635","615035","690331420","115223975","1086132065"
"2023/01/04","38592280","785000","235074240","112853855","387305375"
