일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","12110985","0","11413805","2584020","26108810"
"2023/05/03","10661915","3936500","19279005","3194010","37071430"
"2023/05/02","16673260","0","9724645","1056130","27454035"
"2023/04/28","21360150","0","13872030","588240","35820420"
"2023/04/27","25330145","0","13108105","1814230","40252480"
"2023/04/26","25020980","0","19729150","7046750","51796880"
"2023/04/25","164504575","0","20264640","3238280","188007495"
"2023/04/24","151332230","0","10117965","20352310","181802505"
"2023/04/21","26368040","0","15266760","613980","42248780"
"2023/04/20","47433240","8281975","25729470","2391645","83836330"
"2023/04/19","720763165","8267500","27054100","14398595","770483360"
"2023/04/18","141009655","0","57006050","6195665","204211370"
"2023/04/17","67540615","0","23555400","4032510","95128525"
"2023/04/14","123442250","0","72714370","666780","196823400"
"2023/04/13","31973060","0","36690565","801600","69465225"
"2023/04/12","67238270","0","47352125","1626800","116217195"
"2023/04/11","243837425","0","65956070","4023340","313816835"
"2023/04/10","87906335","10080","34685890","18209725","140812030"
"2023/04/07","30303775","0","14420185","13474245","58198205"
"2023/04/06","130264530","0","33451815","4809810","168526155"
"2023/04/05","78544740","0","71353885","2179795","152078420"
"2023/04/04","86550680","674000","11150745","7327235","105702660"
"2023/04/03","112808935","0","21723870","4309470","138842275"
"2023/03/31","124518940","0","24232000","952715","149703655"
"2023/03/30","381657720","0","87109975","62578345","531346040"
"2023/03/29","175713255","3370950","92655615","38059005","309798825"
"2023/03/28","189074725","22673400","90077305","47166735","348992165"
"2023/03/27","96406440","0","43908625","23964475","164279540"
"2023/03/24","104895580","0","58995405","27635375","191526360"
"2023/03/23","76479155","0","69604465","21487770","167571390"
"2023/03/22","21767050","0","46279225","11302325","79348600"
"2023/03/21","3209780","0","23533945","5475220","32218945"
"2023/03/20","147867150","63499975","44497965","68851740","324716830"
"2023/03/17","32810155","376000","50537590","11694685","95418430"
"2023/03/16","15272005","0","40251225","12043840","67567070"
"2023/03/15","30340875","0","30387385","19841580","80569840"
"2023/03/14","33605040","0","83496815","32555290","149657145"
"2023/03/13","23929830","767000","51427660","17611350","93735840"
"2023/03/10","32797975","4612500","9651380","9859490","56921345"
"2023/03/09","33471000",,"21653160","8733640","63857800"
"2023/03/08","31292890","0","28225110","21491190","81009190"
"2023/03/07","213353775","0","102111120","51224735","366689630"
"2023/03/06","28330050","38047950","55434620","15768715","137581335"
"2023/03/03","37014365","0","16392475","21564530","74971370"
"2023/03/02","36369630","0","11281710","12759675","60411015"
"2023/02/28","66495610","0","30578800","14694150","111768560"
"2023/02/27","6087810","11957900","17976195","10100505","46122410"
"2023/02/24","23084475","0","18498940","14548585","56132000"
"2023/02/23","25219090","43132300","32587725","481045","101420160"
"2023/02/22","23709625","22673455","13377945","7246050","67007075"
"2023/02/21","34092995","0","21422890","9514100","65029985"
"2023/02/20","32740190","0","18525655","12369800","63635645"
"2023/02/17","34762490","0","31360930","9028610","75152030"
"2023/02/16","50008175","0","23819545","10189120","84016840"
"2023/02/15","57564635","0","33601020","17319855","108485510"
"2023/02/14","113334870","1054680","36386500","6071405","156847455"
"2023/02/13","58979565","7779165","31256320","18994905","117009955"
"2023/02/10","44121225","0","32576605","0","76697830"
"2023/02/09","10950660","0","62600890","1438175","74989725"
"2023/02/08","40829290","2222220","32977065","1306470","77335045"
"2023/02/07","16543805","1650250","50190935","2919910","71304900"
"2023/02/06","73511280","0","14514255","8970580","96996115"
"2023/02/03","129734490","0","66651980","2495840","198882310"
"2023/02/02","71289445",,"83244900","1311535","155845880"
"2023/02/01","42310840","0","53445750","2014095","97770685"
"2023/01/31","65581390","0","17144265","9510090","92235745"
"2023/01/30","66099160","0","31451365","1940050","99490575"
"2023/01/27","89269115","1225500","33770225","16724380","140989220"
"2023/01/26","69303275","5183750","37235080","11843600","123565705"
"2023/01/25","124808100","5115000","125161000","1029190","256113290"
"2023/01/20","52492120","5061250","53950890","22132915","133637175"
"2023/01/19","68304895","16777675","60331000","15089675","160503245"
"2023/01/18","58477050","16748875","76054340","21791050","173071315"
"2023/01/17","77483970","0","160358935","27709020","265551925"
"2023/01/16","851915985","4906250","247728375","13992470","1118543080"
"2023/01/13","77227610","0","124555320","2862450","204645380"
"2023/01/12","73587710","1225210","21500110","3263185","99576215"
"2023/01/11","49351795","0","59203230","1619980","110175005"
"2023/01/10","65288210","68130","19284775","2253845","86894960"
"2023/01/09","117998495","0","20162675","11855550","150016720"
"2023/01/06","75368840","0","114972060","2532830","192873730"
"2023/01/05","85728055","1886250","91181075","3005245","181800625"
"2023/01/04","82806905","978740","42218415","15858895","141862955"
"2023/01/03","85107620",,"40636275","2725845","128469740"
"2023/01/02","37151315","0","40045425","501955","77698695"
"2022/12/29","106094155","0","43119590","2570030","151783775"
