일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","3825","0","53100090","2403550","55507465"
"2023/05/03","3390900","0","41612580","1076325","46079805"
"2023/05/02","19475","0","87470620","11580215","99070310"
"2023/04/28","5590220","0","38880665","5061340","49532225"
"2023/04/27","8202020","0","41926745","4429535","54558300"
"2023/04/26","6885200","0","50716875","6641680","64243755"
"2023/04/25","116868840","0","462831550","23086780","602787170"
"2023/04/24","11214920","37799885","172591790","37793705","259400300"
"2023/04/21","218070",,"116033330","14482350","130733750"
"2023/04/20","45518135","4223270","196228330","34851685","280821420"
"2023/04/19","207875220","47576105","279352575","22325515","557129415"
"2023/04/18","125445635","57339550","557265850","8268220","748319255"
"2023/04/17","4640265","30600000","92671915","15310705","143222885"
"2023/04/14","74276990","21897485","146108775","34770690","277053940"
"2023/04/13","2499835","2440150","56542965","2818965","64301915"
"2023/04/12","16418000","7952710","167216460","2732225","194319395"
"2023/04/11","18710145","19790365","45683720","1622445","85806675"
"2023/04/10","4462590","0","62103750","3344090","69910430"
"2023/04/07","15775685","0","77931115","4386465","98093265"
"2023/04/06","1099055","3505","59954960","4519880","65577400"
"2023/04/05","3159765","292400","143035485","6188880","152676530"
"2023/04/04","20100115","3535","102390070","4419545","126913265"
"2023/04/03","19055780","0","216200020","4696420","239952220"
"2023/03/31","11734570","3205090","48961510","755825","64656995"
"2023/03/30","3200","759920","38770065","1263695","40796880"
"2023/03/29","250615","10676645","7857525","506910","19291695"
"2023/03/28","167860","2080080","3898840","591730","6738510"
"2023/03/27","2565795","0","5270410","754105","8590310"
"2023/03/24","48475","961700","4402130","960455","6372760"
"2023/03/23","0","963200","7703875","888830","9555905"
"2023/03/22","4577705","1443290","35724210","956915","42702120"
"2023/03/21","64800","0","2290610","931100","3286510"
"2023/03/20","640000","10849195","9513785","1443270","22446250"
"2023/03/17","804655","19105","8996900","923760","10744420"
"2023/03/16","486000","0","6400205","1816395","8702600"
"2023/03/15","559170","730555","5905815","1239400","8434940"
"2023/03/14","9873775","3160","26919310","1358685","38154930"
"2023/03/13","24522015","0","57944795","1669080","84135890"
"2023/03/10","16684290","0","9229785","1421005","27335080"
"2023/03/09","0","0","3571290","702650","4273940"
"2023/03/08","6819265","3355","9043405","1760775","17626800"
"2023/03/07","79935","0","5766200","1159665","7005800"
"2023/03/06","873110","0","18023465","1133475","20030050"
"2023/03/03","3531715","3420","16404610","1071890","21011635"
"2023/03/02","5027665","680580","13465305","1131935","20305485"
"2023/02/28","6515045","1164365","4612725","695490","12987625"
"2023/02/27","15063445","0","18200100","1006705","34270250"
"2023/02/24","132275","3415","12796285","3432280","16364255"
"2023/02/23","0","0","18459950","622165","19082115"
"2023/02/22","1016685","3390","60562805","2369600","63952480"
"2023/02/21","766645","1075700","12792455","1317170","15951970"
"2023/02/20","1273395","3540","86314035","1311780","88902750"
"2023/02/17","6299610","324380","78923100","2186760","87733850"
"2023/02/16","21003755","7245","9017850","914525","30943375"
"2023/02/15","733475","3640","8841375","2170855","11749345"
"2023/02/14","3660","0","28813975","572010","29389645"
"2023/02/13","3725","0","30760240","840900","31604865"
"2023/02/10","4591645","3730","46988195","3737595","55321165"
"2023/02/09","36800","0","10459745","100360","10596905"
"2023/02/08","628480","3740","59805865","100475","60538560"
"2023/02/07","2556120","3615","23798725","131055","26489515"
"2023/02/06","4332245","0","23942890","32580","28307715"
"2023/02/03","16780595","54225","10290845","0","27125665"
"2023/02/02","21577770","14515","34680815","0","56273100"
"2023/02/01","1817745","0","51840775","709330","54367850"
"2023/01/31","1034110","0","25802985","864980","27702075"
"2023/01/30","13688755","0","71419185","72820","85180760"
"2023/01/27","10153510","0","61305315","330215","71789040"
"2023/01/26","4438160","0","38460420","310420","43209000"
"2023/01/25","3909935","0","84316950","0","88226885"
"2023/01/20","8216855","2558925","56683175","2460045","69919000"
"2023/01/19","3411215","0","33666620","97335","37175170"
"2023/01/18","32421390","3520","31270945","3021160","66717015"
"2023/01/17","2579660","3575","25492195","530875","28606305"
"2023/01/16","9559150","3495","24021450","801320","34385415"
"2023/01/13","21789185","10535","23286755","109130","45195605"
"2023/01/12","18984535","7025","41809000","415470","61216030"
"2023/01/11","10665555","7090","30260460","173645","41106750"
"2023/01/10","1395580","7040","16314665","889960","18607245"
"2023/01/09","3931715","10665","67328460","868970","72139810"
"2023/01/06","1075250","3540","19497020","712805","21288615"
"2023/01/05","297755","14150","46770040","2095395","49177340"
"2023/01/04","278775","0","23107400","2621350","26007525"
"2023/01/03","123577110","18090","97752330","979040","222326570"
"2023/01/02","2615605","1829905","56948665","377110","61771285"
"2022/12/29","64733010","24698730","112665555","670665","202767960"
"2022/12/28","126021005","18720180","620447355","33816895","799005435"
"2022/12/27","10144635","4810","84226385","1584065","95959895"
"2022/12/26","6673910","9675","110272050","687165","117642800"
"2022/12/23","2472455","4740","47179105","8778440","58434740"
"2022/12/22","2032620","4685","13951130","6267190","22255625"
"2022/12/21","4853270","13980","5955255","4660","10827165"
"2022/12/20","4968335","4660","30810390","0","35783385"
"2022/12/19","2189750","0","71716895","1244290","75150935"
"2022/12/16","3573915","0","18352010","32900","21958825"
"2022/12/15","6151305","0","25003120","1443340","32597765"
"2022/12/14","33080","0","13747740","75255","13856075"
"2022/12/13","687765","0","4060740","79930","4828435"
"2022/12/12","390040","0","26543295","3924685","30858020"
"2022/12/09","2343490","0","21576135","0","23919625"
"2022/12/08","84063960","0","23272300","0","107336260"
"2022/12/07","17501120","0","112822200","5847510","136170830"
"2022/12/06","27511345","0","105955635","14025","133481005"
"2022/12/05","3467775","0","86157955","9342095","98967825"
"2022/12/02","6456785","0","29063500","0","35520285"
"2022/12/01","8723495","0","179991825","5892415","194607735"
"2022/11/30","6872570","0","55150980","3690275","65713825"
"2022/11/29","13394980","0","85496735","3005170","101896885"
"2022/11/28","29445800","0","91237170","3420015","124102985"
"2022/11/25","44762370","0","52524290","11509440","108796100"
"2022/11/24","55134090","0","125358985","7187910","187680985"
"2022/11/23","40406710","0","60936405","4961650","106304765"
"2022/11/22","19773220","0","156069360","2045815","177888395"
"2022/11/21","43349525","4720","106752260","1150120","151256625"
"2022/11/18","5564610","0","136551400","913590","143029600"
"2022/11/17","2694055","0","13463085","0","16157140"
"2022/11/16","21526035","0","97313495","168985","119008515"
"2022/11/15","5395390","0","54653195","120420","60169005"
"2022/11/14","24041265","0","101699425","1534400","127275090"
"2022/11/11","20171920","0","167951485","1738400","189861805"
"2022/11/10","36843840","0","157822525","1376755","196043120"
"2022/11/09","12670405","0","92301155","26960","104998520"
"2022/11/08","69043240","0","98263320","889820","168196380"
"2022/11/07","31664545","0","16328600","245965","48239110"
"2022/11/04","32184645","39855","32316595","4465","64545560"
"2022/11/03","25068215","0","90718640","76750","115863605"
"2022/11/02","31505","0","25262010",,"25293515"
"2022/11/01","1732020","0","48550640","211460","50494120"
"2022/10/31","5795490","0","75586285","67425","81449200"
"2022/10/28","7110940","8920","87513310","683185","95316355"
"2022/10/27","4990115","0","54246535","443505","59680155"
"2022/10/26","8790205","0","21059140","45515","29894860"
"2022/10/25","17865600","0","49326200",,"67191800"
"2022/10/24","6787635","0","69390660","203440","76381735"
"2022/10/21","5508755","0","13093895","0","18602650"
"2022/10/20","8417945","4220","15038220","0","23460385"
"2022/10/19","16830940","0","7435575","4200","24270715"
"2022/10/18","16339715","0","3757835","20950","20118500"
"2022/10/17","4876430","0","9484050","497295","14857775"
"2022/10/14","19888035","0","35967540","752380","56607955"
"2022/10/13","11704920","0","110717520","76255","122498695"
"2022/10/12","6567710","0","12439575","44650","19051935"
"2022/10/11","5496895","0","61587535","0","67084430"
"2022/10/07","3062445","0","8258680","0","11321125"
"2022/10/06","3564235","0","14795125","9120","18368480"
"2022/10/05","7646515","0","11099120","0","18745635"
"2022/10/04","15236850","0","60126080","106605","75469535"
"2022/09/30","7011140","0","50874315","123875","58009330"
"2022/09/29","3968420","0","3604085","40860","7613365"
"2022/09/28","2279165","38371705","8125105","0","48775975"
"2022/09/27","12724445","0","34738240","0","47462685"
"2022/09/26","4353440","0","147560160","673075","152586675"
"2022/09/23","7458045","0","32243645","0","39701690"
"2022/09/22","19808615","0","25495200","1325540","46629355"
"2022/09/21","7218795","0","15521820","16792080","39532695"
"2022/09/20","824425","0","13873160","15126480","29824065"
"2022/09/19","19938235","0","2079400","17394840","39412475"
"2022/09/16","9401815",,"14106430","15609630","39117875"
"2022/09/15","22690795",,"4511030","17953370","45155195"
"2022/09/14","14881650","0","31038295","15795705","61715650"
"2022/09/13","5726720","0","24955035","17011430","47693185"
"2022/09/08","32534450","0","9504540","16335065","58374055"
"2022/09/07","6447670","0","42674505","16668690","65790865"
"2022/09/06","9499890","0","19677915","15243985","44421790"
"2022/09/05","17818945","0","90058140","16355360","124232445"
"2022/09/02","38938040","23355","22488035","14863530","76312960"
"2022/09/01","6716520","0","161495075","12036845","180248440"
"2022/08/31","75069740","0","337195550","9227060","421492350"
"2022/08/30","25128850","4630","10856440","7444235","43434155"
"2022/08/29","1810325","0","18625175","6813480","27248980"
"2022/08/26","21051210","14565","26910520","6032410","54008705"
"2022/08/25","16681360","0","19190425","5349030","41220815"
"2022/08/24","761280","0","5425555","5517830","11704665"
"2022/08/23","1828800","0","30427710","5177835","37434345"
"2022/08/22","9578950","0","12666970","4649895","26895815"
"2022/08/19","388270",,"44988050","3375870","48752190"
"2022/08/18","16509955","0","39749830","2546785","58806570"
"2022/08/17","143100","0","11453370","2325360","13921830"
"2022/08/16","17844090","0","3108610","2005740","22958440"
"2022/08/12","0","0","1315265","2382265","3697530"
"2022/08/11","580200","4825","5988735","2025385","8599145"
"2022/08/10","10154320","0","4091900","2081230","16327450"
"2022/08/09","135520","0","10366600","2068315","12570435"
"2022/08/08","118780","0","7222255","1746220","9087255"
"2022/08/05","4740","9385","2223450","729445","2967020"
"2022/08/04","14100","18695","3836210","1152705","5021710"
"2022/08/03","187605","4690","1990915","445755","2628965"
"2022/08/02","2940615","0","28426385","1570450","32937450"
"2022/08/01","559605","0","8162945","1610035","10332585"
"2022/07/29","1770725","0","7758540","2396340","11925605"
"2022/07/28","0","0","2277065","752320","3029385"
"2022/07/27","0","4670","210255","224430","439355"
"2022/07/26","0","0","2775760","1064210","3839970"
"2022/07/25","0","14085","4087480","559090","4660655"
"2022/07/22","6088800","0","3312735","1514255","10915790"
"2022/07/21","84600","0","8838735","1028720","9952055"
"2022/07/20","63781900","0","9599165","1220970","74602035"
"2022/07/19","89510","0","12066800","1141290","13297600"
"2022/07/18","23425000","0","4580080","1285960","29291040"
"2022/07/15","2363295","0","4303825","1384855","8051975"
"2022/07/14","26980975","9395","42781080","848595","70620045"
"2022/07/13","2007800","0","66980925","2403095","71391820"
"2022/07/12","83070","0","8128305","1978390","10189765"
"2022/07/11","0","4560","6660305","398875","7063740"
"2022/07/08","4914345","4560","25033865","2092920","32045690"
"2022/07/07","2205020","63065","4892965","4535","7165585"
"2022/07/06","295060","9145","11802645","1955425","14062275"
"2022/07/05","3704990","0","5982960","419415","10107365"
"2022/07/04","2607785","0","10317140","1669415","14594340"
"2022/07/01","0","0","85139005","3582380","88721385"
"2022/06/30","28317695","0","13848505","4037335","46203535"
"2022/06/29","3761240","0","5040230","890490","9691960"
"2022/06/28","1735000","0","44435565","2679710","48850275"
"2022/06/27","326860","0","86393060","641435","87361355"
"2022/06/24","7272705","0","70652120","2967200","80892025"
"2022/06/23","1142885","0","37827445","5226260","44196590"
"2022/06/22","7256915",,"83791410","5932860","96981185"
"2022/06/21","350700","0","98739735","1680950","100771385"
"2022/06/20","45092750","15759360","358409185","10443140","429704435"
"2022/06/17","629360","0","49619240","3701450","53950050"
"2022/06/16","1282480","0","11981580","2693240","15957300"
"2022/06/15","4706110","0","11830030","2684320","19220460"
"2022/06/14","64070850","10510","359215110","8781650","432078120"
"2022/06/13","47371060","0","68626910","4160520","120158490"
"2022/06/10","267000","0","17934160","560660","18761820"
"2022/06/09","5330","0","46278890","5370","46289590"
"2022/06/08","7691310",,"63782380","118460","71592150"
"2022/06/07","7296320","0","26776430","117040","34189790"
"2022/06/03","8154830","64422220","181127590","3276820","256981460"
"2022/06/02","3094650","99830800","43711400","702240","147339090"
"2022/05/31","8787600","11750100","29708600","6280450","56526750"
"2022/05/30","2376000","24057510","197738410","3002140","227174060"
"2022/05/27","1420450","2003380","13164760","862240","17450830"
"2022/05/26","53100","51844290","23970060","63970","75931420"
"2022/05/25","10120990","5310","18702480","1776510","30605290"
"2022/05/24","10001470","133624620","321596230","4684040","469906360"
"2022/05/23","6465900","105666090","25177250","148090","137457330"
"2022/05/20","17820010","23075870","94078510","895050","135869440"
"2022/05/19","0","24846110","29593100","1508300","55947510"
"2022/05/18","2456940","8953270","128429890","722150","140562250"
"2022/05/17","3916440","31920","42170560","1012270","47131190"
"2022/05/16","220270","197509140","63284910","0","261014320"
"2022/05/13","1669810","10625310","51809900","159300","64264320"
"2022/05/12","41455010","15960","27268450","913500","69652920"
"2022/05/11","79650",,"25208610","95580","25383840"
"2022/05/10","7407400","0","39769330","1389690","48566420"
"2022/05/09","15910",,"116058520","1499820","117574250"
"2022/05/06","2059550","0","35957220","959950","38976720"
"2022/05/04","3746420","0","44190360","2399640","50336420"
"2022/05/03","0","0","10222100","0","10222100"
"2022/05/02","2554280","0","30357530","58110","32969920"
"2022/04/29","79552130","3230540","60109970","1658220","144550860"
"2022/04/28","3379490",,"37612970","1076830","42069290"
"2022/04/27","52100","0","25600340","1581590","27234030"
"2022/04/26","158400","0","18276700","242120","18677220"
"2022/04/25","4624490","0","38274580","10500","42909570"
"2022/04/22","12788900","0","34981350","1422630","49192880"
"2022/04/21","13376300","24025280","40893490","879350","79174420"
"2022/04/20","9723380","8782100","19800860","714180","39020520"
"2022/04/19","20966230","10298300","22867210","443800","54575540"
"2022/04/18","37747390","51647410","46110210","1308180","136813190"
"2022/04/15","9472290","44050550","59689100","242170","113454110"
"2022/04/14","1173570","0","42652230","1537330","45363130"
"2022/04/13","2597770","516000","53772460","434610","57320840"
"2022/04/12","718750","0","71765660","1526670","74011080"
"2022/04/11","18790230","45993380","64929900","2455370","132168880"
"2022/04/08","12887030","0","59702810","1377910","73967750"
"2022/04/07","3386650","0","122626120","2862960","128875730"
"2022/04/06","7485900","42149680","122446200","3251730","175333510"
"2022/04/05","11281780","0","330295780","1980140","343557700"
"2022/04/04","113227455","4965","154962495","1349090","269544005"
"2022/04/01","325535",,"96973750","295130","97594415"
"2022/03/31","8924390","0","43916715","245070","53086175"
"2022/03/30","1595720","14565","42294375","1113985","45018645"
"2022/03/29","1236010","0","25839545","1523160","28598715"
"2022/03/28","196050",,"26785260","1297405","28278715"
"2022/03/25","53930","0","43818420","44235","43916585"
"2022/03/24","3386045",,"84033825","1619255","89039125"
"2022/03/23","945470",,"14763190","438555","16147215"
