일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","102399955","0","13035590","23466565","138902110"
"2023/05/03","23003560","8812500","28252410","1007015","61075485"
"2023/05/02","12392530","0","38990955","829845","52213330"
"2023/04/28","39939805",,"9444315","9688660","59072780"
"2023/04/27","46215910","0","37488845","14371985","98076740"
"2023/04/26","69949075","0","35671980","14832020","120453075"
"2023/04/25","119666060","0","33515830","6235030","159416920"
"2023/04/24","23053205","1052000","56066805","7303195","87475205"
"2023/04/21","88196670","0","168321235","2098265","258616170"
"2023/04/20","75562840","6637775","63301855","99260","145601730"
"2023/04/19","117768080","6221250","38264155","2609325","164862810"
"2023/04/18","70767775","0","65432955","8888030","145088760"
"2023/04/17","93046855","0","17943250","5917720","116907825"
"2023/04/14","99745045","0","41904590","4425510","146075145"
"2023/04/13","53211110","0","19731425","17683910","90626445"
"2023/04/12","43147080","250250","39501735","71500","82970565"
"2023/04/11","29061015","354500","50717730","6685840","86819085"
"2023/04/10","78121565","350500","73607230","36621205","188700500"
"2023/04/07","119810760","0","146240290","14679755","280730805"
"2023/04/06","46884290","1081500","21970145","16148765","86084700"
"2023/04/05","124587680","0","34655745","40171720","199415145"
"2023/04/04","28393115","369000","32627185","7558050","68947350"
"2023/04/03","14597510","0","67076300","29828185","111501995"
"2023/03/31","11606965","376500","329029700","50983000","391996165"
"2023/03/30","60473800","1841250","136722640","25505030","224542720"
"2023/03/29","43451295","0","221631360","95275245","360357900"
"2023/03/28","87031455","0","78595135","42569790","208196380"
"2023/03/27","24065860","0","59766080","32880485","116712425"
"2023/03/24","42560345","0","83112590","32117710","157790645"
"2023/03/23","64124190","0","57292355","43918690","165335235"
"2023/03/22","46496570","0","85231230","11005570","142733370"
"2023/03/21","17137240","0","131649750","15421210","164208200"
"2023/03/20","103728550","0","43146920","38763005","185638475"
"2023/03/17","29680980","0","43484450","17656360","90821790"
"2023/03/16","75518335","11855000","151843885","61599185","300816405"
"2023/03/15","64722265","0","56800600","39570875","161093740"
"2023/03/14","40729320","0","86405920","33970080","161105320"
"2023/03/13","44105705","0","121782320","16690210","182578235"
"2023/03/10","33255330","0","63480175","10499140","107234645"
"2023/03/09","17940535","0","92590090","8198065","118728690"
"2023/03/08","24236705","0","37803540","33060795","95101040"
"2023/03/07","38521825","0","135679090","12485105","186686020"
