일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","32053125","3555","15232585","512055","47801320"
"2023/05/03","719935","7090","17986205","411955","19125185"
"2023/05/02","30641250","2021960","34847265","626660","68137135"
"2023/04/28","16369005","14836090","12941060","3960055","48106210"
"2023/04/27","11628160","0","14926495","1008005","27562660"
"2023/04/26","6911985","3550","19960500","2220660","29096695"
"2023/04/25","36410415","0","17494710","1201365","55106490"
"2023/04/24","15722925","11521750","28700455","4141040","60086170"
"2023/04/21","46999540","3545","38396410","67635","85467130"
"2023/04/20","9720400","18930215","35709075","716775","65076465"
"2023/04/19","5110580",,"26866600","149540","32126720"
"2023/04/18","8233210","2050550","34936700","3883945","49104405"
"2023/04/17","11200550","8556775","60278645","166730","80202700"
"2023/04/14","6037925","25581290","9014260","60430","40693905"
"2023/04/13","25806325","17600000","31918830","14080","75339235"
"2023/04/12","26931175","8966200","79114765","102950","115115090"
"2023/04/11","25700005","3535","40114080","908860","66726480"
"2023/04/10","2737150","35408770","44309475","5158715","87614110"
"2023/04/07","10222350","0","52121255","721290","63064895"
"2023/04/06","12839040","17850000","36038890","5448115","72176045"
"2023/04/05","12219545","3575","198947015","795305","211965440"
"2023/04/04","4395315","19160160","43520495","2634535","69710505"
"2023/04/03","50178185","110670","51598615","1850060","103737530"
"2023/03/31","4253425","3560","34018185","296695","38571865"
"2023/03/30","1681030","3560","48909680","238760","50833030"
"2023/03/29","40037320","3540","42500730","74235","82615825"
"2023/03/28","13209635","0","36632165","2116210","51958010"
"2023/03/27","26975835","8787845","61258785","8245045","105267510"
"2023/03/24","10809545","3610","98943820","3981025","113738000"
"2023/03/23","17355360","0","52971000","4665605","74991965"
"2023/03/22","13241240","0","34199650","4301720","51742610"
"2023/03/21","4669175","12853020","15590695","3772805","36885695"
"2023/03/20","153109605","11399130","21711825","2849650","189070210"
"2023/03/17","11623640","2281935","3518865","1271005","18695445"
"2023/03/16","7163770","1508070","17566530","2755480","28993850"
"2023/03/15","194450","0","24555735","2836895","27587080"
"2023/03/14","58280","3660","59309510","4726240","64097690"
"2023/03/13","23870265","3660150","45779840","4713830","78024085"
"2023/03/10","7507170",,"27552350","3905490","38965010"
"2023/03/09","610360","0","46665430","4421445","51697235"
"2023/03/08","11246785","4108645","12340190","4087800","31783420"
"2023/03/07","10223630","3741315","38942785","6202480","59110210"
"2023/03/06","3066875","7437100","24450745","5941720","40896440"
"2023/03/03","9966720","36972130","41568350","8499085","97006285"
"2023/03/02","24613055","7515","43097270","2386040","70103880"
"2023/02/28","354825","3735","85143455","2643590","88145605"
"2023/02/27","1704565",,"27112225","1602045","30418835"
"2023/02/24","757470","7490","60260900","8055650","69081510"
"2023/02/23","7966500","0","20487755","3846830","32301085"
"2023/02/22","5143885","0","9473665","876235","15493785"
"2023/02/21","5341700","0","33530105","1356285","40228090"
"2023/02/20","16217240","14714740","98253715","442645","129628340"
"2023/02/17","10963075","3760","116020445","1544050","128531330"
"2023/02/16","3970880","7559495","17464665","11926545","40921585"
"2023/02/15","15573985","3785","67905670","5702550","89185990"
"2023/02/14","57779585",,"16080405","3664430","77524420"
"2023/02/13","1344580","0","33685065","8130420","43160065"
"2023/02/10","416340",,"69260460","8520000","78196800"
"2023/02/09","1391945","3855","32553040","3870","33952710"
"2023/02/08","286255","0","116165700","5320015","121771970"
"2023/02/07","3521075","0","57940150","1768070","63229295"
"2023/02/06","10226605","0","65889600","92280","76208485"
"2023/02/03","17120045","84485","95389090","3336890","115930510"
"2023/02/02","993875","11385","63600510","283325","64889095"
"2023/02/01","571635","0","90961010","16998955","108531600"
"2023/01/31","31275075","0","83454700","3308725","118038500"
"2023/01/30","30698085","34065","97749215","11223070","139704435"
"2023/01/27","37660560","0","85937470","8482260","132080290"
"2023/01/26","17681210","7735","127788400","2180855","147658200"
"2023/01/25","49434750","0","134668025","0","184102775"
"2023/01/20","64348860","3795","39296215","38255","103687125"
"2023/01/19","37402940","0","37935560","8711885","84050385"
"2023/01/18","78281525","3790","53336070","13557330","145178715"
"2023/01/17","37588480","0","62616075","68580","100273135"
"2023/01/16","65219320","7580","64642030","858475","130727405"
"2023/01/13","16181675","0","95622240","225900","112029815"
"2023/01/12","86008235","0","83234670","434150","169677055"
"2023/01/11","6095550","0","38557175","9506700","54159425"
"2023/01/10","7171255","568075","117740995","368500","125848825"
"2023/01/09","15592945","3650","65766960","346410","81709965"
"2023/01/06","11030415","3620","79330305","1159970","91524310"
"2023/01/05","32882100","946050","59936565","6750445","100515160"
"2023/01/04","18087775","0","109001780","1931465","129021020"
"2023/01/03","15190425","15074995","36023380","1152275","67441075"
"2023/01/02","3429275","3485","25903335","8335745","37671840"
"2022/12/29","750870","10383455","15765265","3176405","30075995"
"2022/12/28","15256460","0","16694840","13647705","45599005"
"2022/12/27","40159800","3460","90246660","190545","130600465"
"2022/12/26","18354195","3485","33926690","1134300","53418670"
"2022/12/23","16472180","0","27616380","919595","45008155"
"2022/12/22","22235395","13940","34007780","1707750","57964865"
"2022/12/21","15928420","6940","72794270","105300","88834930"
"2022/12/20","31661280","454300","21647750","5288425","59051755"
"2022/12/19","9853860","17926955","58500255","0","86281070"
"2022/12/16","21546910","17400","52453930","3852390","77870630"
"2022/12/15","16797250","3500","66849150","3979940","87629840"
"2022/12/14","13370430","17550","58638635","825715","72852330"
"2022/12/13","21541550","0","28979550","2390325","52911425"
"2022/12/12","3880545","3480","46154990","6324745","56363760"
"2022/12/09","43359875","3515","24558460","15116675","83038525"
"2022/12/08","7013505","0","21696900","4112915","32823320"
"2022/12/07","667580",,"22392565","11622670","34682815"
"2022/12/06","19730925","3515","42068055","4001250","65803745"
"2022/12/05","21675240","0","67662170","13741560","103078970"
"2022/12/02","14477370","0","70805800","3160990","88444160"
"2022/12/01","88608895","0","56619195","36540890","181768980"
"2022/11/30","2365125","0","48034775","13208010","63607910"
"2022/11/29","81262540","0","152725985","89751005","323739530"
"2022/11/28","79432425","1391695","388996990","6119355","475940465"
"2022/11/25","75921095","10690","221114620","4098380","301144785"
"2022/11/24","109521405","0","126738865","1792330","238052600"
"2022/11/23","86308795","45109320","185643405","245920","317307440"
"2022/11/22","66187580","51681625","82272840","7776805","207918850"
"2022/11/21","184195965","76031445","92402115","21572955","374202480"
"2022/11/18","119285950","0","151083320","6175515","276544785"
"2022/11/17","27691905",,"13743055","4618225","46053185"
"2022/11/16","31131175",,"103331000","6935430","141397605"
"2022/11/15","37325070","0","15602265","2058640","54985975"
"2022/11/14","64221645","20560","35177090","5013575","104432870"
"2022/11/11","95823635",,"168124350","2414280","266362265"
"2022/11/10","35790710","16470","55354160","923110","92084450"
"2022/11/09","67355620","7258430","56581905","226345","131422300"
"2022/11/08","83550725","2253500","21898405","2838060","110540690"
"2022/11/07","50374860","38315","7246150","9275800","66935125"
"2022/11/04","37198255","298700","53172875","36246045","126915875"
"2022/11/03","136917420","1071200","116904100","10862195","265754915"
"2022/11/02","76256450","651000","30640550","7154215","114702215"
"2022/11/01","144332760","1649810","27103865","9490210","182576645"
"2022/10/31","118789495","9834165","50406215","18933475","197963350"
"2022/10/28","148084425","2563020","42891470","8269590","201808505"
"2022/10/27","110929535","13097005","24919385","1729355","150675280"
"2022/10/26","87459090","2465500","17408850","1219140","108552580"
