일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","127058410","95640","372372320","10700420","510226790"
"2023/05/03","326412600","45680","604038550","15923670","946420500"
"2023/05/02","18035170","124100","423850770","11553390","453563430"
"2023/04/28","3122430","529660","599183700","16863650","619699440"
"2023/04/27","46883420","47500","1039065530","125846710","1211843160"
"2023/04/26","331421010","37910","747860580","99740570","1179060070"
"2023/04/25","802893170","426640","1548647690","55742680","2407710180"
"2023/04/24","588003950","5786190","1650021100","206849180","2450660420"
"2023/04/21","560495030","92116550","1946805950","51531950","2650949480"
"2023/04/20","1212135330","239500","1588748140","133628090","2934751060"
"2023/04/19","817080260","15560900","2222925900","249850270","3305417330"
"2023/04/18","2548213370","0","1594208290","562935290","4705356950"
"2023/04/17","799828420","557670","2025968770","1560969260","4387324120"
"2023/04/14","805865000","734170","2686952270","249101860","3742653300"
"2023/04/13","573078935","573155","1658066965","580477540","2812196595"
"2023/04/12","291483400","58690","2251111355","333413030","2876066475"
"2023/04/11","665400140","2465000","3498798470","1252920195","5419583805"
"2023/04/10","1301333415","2452500","7467589580","8315450685","17086826180"
