일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","110608080",,"19348135","44275180","174231395"
"2023/05/03","18587105",,"29033735","13530870","61151710"
"2023/05/02","43723960","15610510","37126470","17621370","114082310"
"2023/04/28","162942670",,"35432985","54491005","252866660"
"2023/04/27","167116365",,"49881445","72700730","289698540"
"2023/04/26","65914905",,"21058080","16837840","103810825"
"2023/04/25","139868945","31509745","33365810","46261160","251005660"
"2023/04/24","143663870",,"43264445","42076550","229004865"
"2023/04/21","59479875",,"20481280","30017235","109978390"
"2023/04/20","148103345","8935000","19018975","25896110","201953430"
"2023/04/19","104512145","8943575","24635090","49976175","188066985"
"2023/04/18","114083460","0","71487820","39622730","225194010"
"2023/04/17","103710240","4741450","43344100","38042135","189837925"
"2023/04/14","124098815",,"72512835","41755985","238367635"
"2023/04/13","52096985",,"43531665","24527630","120156280"
"2023/04/12","169027315","0","30849180","43665145","243541640"
"2023/04/11","779913125","0","155501905","81729045","1017144075"
"2023/04/10","217208245","0","53027595","78765940","349001780"
"2023/04/07","77167540","0","22663690","29699425","129530655"
"2023/04/06","24462110","11085","29968160","10287055","64728410"
"2023/04/05","62301775",,"58223440","31917155","152442370"
"2023/04/04","81217665",,"46989125","28854390","157061180"
"2023/04/03","72395055","9891510","21531260","19166970","122984795"
"2023/03/31","71283825","0","38320365","26165160","135769350"
"2023/03/30","57117030","0","23970640","22241775","103329445"
"2023/03/29","101290875","7146945","50226320","31348980","190013120"
"2023/03/28","252282730","2166945","74188980","43281765","371920420"
"2023/03/27","124375240",,"22369525","26886710","173631475"
"2023/03/24","30392635","0","4384335","5510110","40287080"
"2023/03/23","54946010",,"58395445","31029445","144370900"
"2023/03/22","58981085","0","24681875","43394265","127057225"
"2023/03/21","31958700","315510","87193140","32594700","152062050"
"2023/03/20","25371620","0","14716545","16090580","56178745"
"2023/03/17","83195965","0","57732855","57785270","198714090"
"2023/03/16","20312240","0","38993450","28923150","88228840"
"2023/03/15","71010950","5566705","50012790","37525040","164115485"
"2023/03/14","58672105","2160690","28858265","18974165","108665225"
"2023/03/13","47833810","0","75424880","62866810","186125500"
"2023/03/10","11644870",,"14859040","13218815","39722725"
"2023/03/09","14829680","0","7435680","15058355","37323715"
"2023/03/08","58354375","0","32633640","18451370","109439385"
"2023/03/07","49806860","16684420","49797720","34714650","151003650"
"2023/03/06","65323390","0","6746155","16279440","88348985"
"2023/03/03","26769835","0","14475990","31852430","73098255"
"2023/03/02","37452475","0","44664640","41583710","123700825"
"2023/02/28","50132825","0","108826210","32858250","191817285"
"2023/02/27","31030510","0","25418185","17771770","74220465"
"2023/02/24","48044385","15031320","73780775","45466785","182323265"
"2023/02/23","6722420","0","33786950","19792290","60301660"
"2023/02/22","18939000","0","19416285","15019570","53374855"
"2023/02/21","42769885",,"22741235","25719020","91230140"
"2023/02/20","156532755","0","66208395","41248240","263989390"
"2023/02/17","103337955","0","39317970","18758835","161414760"
"2023/02/16","124842730","0","29092455","62564755","216499940"
"2023/02/15","96667340","0","31220740","34551915","162439995"
"2023/02/14","76646275","13975510","8421950","27084755","126128490"
"2023/02/13","89309715","6530140","14194370","34771115","144805340"
"2023/02/10","95347510","25115865","20573625","63873135","204910135"
"2023/02/09","31593575","0","14944710","10121500","56659785"
"2023/02/08","50806770","0","52920640","23253410","126980820"
"2023/02/07","98938420","269340","30989510","2978255","133175525"
"2023/02/06","101960030","0","41375765","27741860","171077655"
"2023/02/03","138967990","12602940","31472550","62127915","245171395"
"2023/02/02","163821955","4525120","51233225","11698035","231278335"
"2023/02/01","249869890","0","23517125","18803995","292191010"
"2023/01/31","432476040","0","96283480","140073395","668832915"
"2023/01/30","99780625","19307460","65815085","29396970","214300140"
"2023/01/27","104715565","2085000","248775800","59321770","414898135"
"2023/01/26","57318450","5222500","84200020","17074035","163815005"
"2023/01/25","64339550","5218750","123091120","4922990","197572410"
"2023/01/20","74551865","7316250","40849260","15763120","138480495"
"2023/01/19","109073740","51603265","19828055","20400095","200905155"
"2023/01/18","90499775","87167160","66298185","27859180","271824300"
"2023/01/17","76468380","0","31715010","41460425","149643815"
"2023/01/16","72742990","5227500","87655775","20184935","185811200"
"2023/01/13","57685180","619500","77968220","23220535","159493435"
"2023/01/12","155857665","619650","219243575","56418715","432139605"
"2023/01/11","83007465",,"44907405","5650285","133565155"
"2023/01/10","48158565","0","33016270","55350","81230185"
"2023/01/09","49660830","0","49143820","9081245","107885895"
"2023/01/06","46582315","0","82518645","4850910","133951870"
"2023/01/05","70551970","306400","63321870","17141540","151321780"
"2023/01/04","49280715","0","36066900","8347025","93694640"
"2023/01/03","142516790","303360","38637760","44734110","226192020"
"2023/01/02","61052785","0","52642585","26016725","139712095"
"2022/12/29","72931115","0","13772885","7748945","94452945"
"2022/12/28","34677575","0","117343415","11840780","163861770"
"2022/12/27","98157290","750000","60854770","1958855","161720915"
"2022/12/26","116163360",,"21339925","3203595","140706880"
"2022/12/23","77379390","0","10659120","9235845","97274355"
"2022/12/22","102297310","0","8593380","1343015","112233705"
"2022/12/21","52577210","517470","4636720","12059480","69790880"
"2022/12/20","96612415","0","11117330","7269385","114999130"
"2022/12/19","167584305","0","24230175","29749970","221564450"
"2022/12/16","115150795","0","2063705","19179750","136394250"
"2022/12/15","117420470","0","15997340","15000920","148418730"
"2022/12/14","147482780","44770985","9533540","5534800","207322105"
"2022/12/13","45404715","752400","14351985","7868650","68377750"
"2022/12/12","39398940","0","4327065","17491680","61217685"
"2022/12/09","91461865","0","8229275","15324455","115015595"
"2022/12/08","82840950","0","6126500","23419060","112386510"
"2022/12/07","122332865","0","30234285","45365165","197932315"
"2022/12/06","95063280","0","23863295","20591480","139518055"
"2022/12/05","346640995","3457910","80286150","26847105","457232160"
"2022/12/02","205235020","0","15730680","35779820","256745520"
"2022/12/01","249342620","87707800","67266650","17329145","421646215"
"2022/11/30","114104420","0","12215770","4465555","130785745"
"2022/11/29","80056090","36928430","63895065","11626340","192505925"
"2022/11/28","59144865","0","17049760","9329825","85524450"
"2022/11/25","117342665","37848865","46017690","8253360","209462580"
"2022/11/24","125008645","0","14611375","16111755","155731775"
"2022/11/23","160624045",,"11322075","8649290","180595410"
"2022/11/22","150962720",,"8491930","2585240","162039890"
"2022/11/21","171629360",,"1897010","22275960","195802330"
"2022/11/18","94683720",,"18212860","15191305","128087885"
"2022/11/17","76981505",,"13146260","4277655","94405420"
"2022/11/16","151847470","0","11070445","17553265","180471180"
"2022/11/15","79001800",,"79115500","21639365","179756665"
"2022/11/14","98859400",,"15887165","34655395","149401960"
"2022/11/11","298861345","0","107817170","24677290","431355805"
"2022/11/10","162879240","0","30951185","1517515","195347940"
"2022/11/09","99179550","65700","9402195","1689035","110336480"
"2022/11/08","110018280",,"32542420","7119750","149680450"
"2022/11/07","84595390","3695000","14755060","4626125","107671575"
"2022/11/04","168136825",,"66557045","41483060","276176930"
"2022/11/03","88805075","0","6556805","35298580","130660460"
"2022/11/02","158624385",,"20167200","13690955","192482540"
"2022/11/01","390112845",,"27644910","30837795","448595550"
"2022/10/31","131382200","3550000","30256745","24116575","189305520"
"2022/10/28","102337180","2530820","80542955","19080545","204491500"
"2022/10/27","185900770","5250095","44713175","5129190","240993230"
"2022/10/26","98566180","0","38320675","14446530","151333385"
"2022/10/25","68414880","13526100","13899135","25579995","121420110"
"2022/10/24","117585420","0","43993970","21585835","183165225"
"2022/10/21","146001145","0","23166215","81798565","250965925"
"2022/10/20","167673215","0","95680730","51723195","315077140"
"2022/10/19","431741160","21217950","22674460","66115980","541749550"
"2022/10/18","537086280",,"72132075","59200520","668418875"
"2022/10/17","445480210","27727960","72749740","55174125","601132035"
"2022/10/14","387571375","3500085","107142190","36841585","535055235"
"2022/10/13","655495895","20293390","62450500","157373355","895613140"
"2022/10/12","663352570","851250","107745605","217860855","989810280"
"2022/10/11","185528760","0","49790185","48499760","283818705"
"2022/10/07","71892610","0","12315415","16505605","100713630"
"2022/10/06","122439895","0","54750560","10847490","188037945"
"2022/10/05","54129995","0","18018875","9450490","81599360"
"2022/10/04","87212145","23238240","59635185","16763505","186849075"
"2022/09/30","49881880","2632680","22665740","16060090","91240390"
"2022/09/29","28666315","0","54157485","9375300","92199100"
"2022/09/28","96679395","0","64550720","20275670","181505785"
"2022/09/27","98622485","0","36491845","4351035","139465365"
"2022/09/26","42775635","0","59643735","2866100","105285470"
"2022/09/23","60281885","63256295","42642005","13840460","180020645"
"2022/09/22","25969215","0","16149800","6522830","48641845"
"2022/09/21","41786715","0","23012465","4336000","69135180"
"2022/09/20","30631425","0","130368695","5905970","166906090"
"2022/09/19","36578585","0","56692975","3726155","96997715"
"2022/09/16","68998030","0","63521670","13872605","146392305"
"2022/09/15","45802205","0","30684850","2331825","78818880"
"2022/09/14","33078645","0","23898855","1399550","58377050"
"2022/09/13","86463440","1380840","24186545","5213495","117244320"
"2022/09/08","34594675","0","52601365","1869795","89065835"
"2022/09/07","25286965","0","30857470","748000","56892435"
"2022/09/06","7529735","0","23786860","7080355","38396950"
"2022/09/05","77179270","0","15345970","2642290","95167530"
"2022/09/02","92295480","0","21830710","4062055","118188245"
"2022/09/01","69339990","0","83604425","6212685","159157100"
"2022/08/31","7752865","0","26148815","4418265","38319945"
"2022/08/30","27388980","0","71040330","6360030","104789340"
"2022/08/29","11241530","0","38326230","5629820","55197580"
"2022/08/26","13269575","0","77470860","2149680","92890115"
"2022/08/25","16691145",,"32317940","1473150","50482235"
"2022/08/24","85252425","0","74722975","6272225","166247625"
"2022/08/23","8318280","0","43369615","136140","51824035"
"2022/08/22","19480",,"35797105","9744620","45561205"
"2022/08/19","6115895","0","43269965","5056500","54442360"
"2022/08/18","22652185","0","62064910","10193310","94910405"
"2022/08/17","32552135","0","114598615","15379110","162529860"
"2022/08/16","88442275","4815","104444030","27326885","220218005"
"2022/08/12","884435060","0","106932070","30999720","1022366850"
"2022/08/11","52780875","0","47896840","3153610","103831325"
"2022/08/10","8012965","0","88558045","0","96571010"
"2022/08/09","18709815","6594970","54786500","1961120","82052405"
"2022/08/08","25184495","8606250","7497965","3041640","44330350"
"2022/08/05","96526730","144810","94198560","11738035","202608135"
"2022/08/04","42493735","9065520","35521725","10136285","97217265"
"2022/08/03","416036645","0","16601330","11329025","443967000"
"2022/08/02","54527745","0","35368105","947780","90843630"
"2022/08/01","78137700","0","39909115","27549935","145596750"
"2022/07/29","118525410","22540440","93226020","8901330","243193200"
"2022/07/28","143701805","2533700","94692860","19098395","260026760"
"2022/07/27","92894995","0","47058015","19109545","159062555"
"2022/07/26","207999825","1087900","148157510","37108195","394353430"
"2022/07/25","255021215","0","62496090","68668325","386185630"
"2022/07/22","185280700","21544770","37575045","32030705","276431220"
