일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","156917780","67636160","196403490","41380080","462337510"
"2023/05/03","331164480","44159290","172021910","26125580","573471260"
"2023/05/02","276148510","5823150","134990460","228226610","645188730"
"2023/04/28","380125520","7079320","622103740","97898790","1107207370"
"2023/04/27","181482810","492970","171959710","296919560","650855050"
"2023/04/26","383637440","24175520","514969360","68674680","991457000"
"2023/04/25","862203290","5710000","1365765390","166971730","2400650410"
"2023/04/24","373071630","11040870","196369600","345163320","925645420"
"2023/04/21","359166130","5600000","327245530","151905670","843917330"
"2023/04/20","352451300","20732200","427390560","112182860","912756920"
"2023/04/19","374037410","112260860","537549330","730757630","1754605230"
"2023/04/18","1058291250","27087200","734217950","282292350","2101888750"
"2023/04/17","1740142800","3936800","1037575950","478434500","3260090050"
"2023/04/14","882891880","0","511167780","763775250","2157834910"
"2023/04/13","510564690","5206120","356770910","642972900","1515514620"
"2023/04/12","671383220","5440","298612950","423256840","1393258450"
"2023/04/11","1704950270","0","171540030","344670660","2221160960"
"2023/04/10","1690941870","9489000","420835270","447153980","2568420120"
"2023/04/07","1158029090","0","318147870","424772710","1900949670"
"2023/04/06","1144033590","0","382735720","412072570","1938841880"
"2023/04/05","283173690","5520","192914810","345049530","821143550"
"2023/04/04","208175850","0","96271290","173597880","478045020"
"2023/04/03","282252540","5540","328523690","326542480","937324250"
"2023/03/31","224493050","1104000","135555110","205889060","567041220"
"2023/03/30","691123380","0","362194970","492949120","1546267470"
"2023/03/29","477255220","5695650","346716440","26286650","855953960"
"2023/03/28","416447580","20324000","200580020","80420510","717772110"
"2023/03/27","506846400","2845660","284504120","74421480","868617660"
"2023/03/24","354983770","2710980","270085670","218929260","846709680"
"2023/03/23","385526880","2678940","242317670","19769420","650292910"
"2023/03/22","615836820","2278560","133246620","63588640","814950640"
"2023/03/21","165310410","0","102057220","15383200","282750830"
"2023/03/20","387263310","1244080","147048270","396990900","932546560"
"2023/03/17","337247700","3789730","135911180","835783420","1312732030"
"2023/03/16","362446620","1286380","177201770","21427910","562362680"
"2023/03/15","470005020","1953490","225717190","2424650","700100350"
"2023/03/14","133433730","7773450","328469430","4313520","473990130"
"2023/03/13","97266570","85481810","117658750","17558680","317965810"
