일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","442045","158385","3671555","7320","4279305"
"2023/05/03","0","0","9356550","35850","9392400"
"2023/05/02","631530","0","7818115","32305","8481950"
"2023/04/28","0","0","2968295","36265","3004560"
"2023/04/27","719500","14565","34918025","7537490","43189580"
"2023/04/26","0","283705","4411235","36400","4731340"
"2023/04/25","7217205","0","13746800","0","20964005"
"2023/04/24","2021685","3590","5761440","281825","8068540"
"2023/04/21","3256565","0","13601115","0","16857680"
"2023/04/20","378200","1633500","7526375","8471170","18009245"
"2023/04/19","747850","0","3741210","313135","4802195"
"2023/04/18","3671005",,"16695130","130945","20497080"
"2023/04/17","6170230","3565","26898515","214135","33286445"
"2023/04/14","6749900","0","18334705","352380","25436985"
"2023/04/13","2740025","6795","12082110","86090","14915020"
"2023/04/12","692000","0","6693825","38060","7423885"
"2023/04/11","1235245","0","25491830","113300","26840375"
"2023/04/10","223275","0","5724320","0","5947595"
"2023/04/07","2754435",,"21134535","2092280","25981250"
"2023/04/06","240810","0","11328190","55580","11624580"
"2023/04/05","3428760","0","4293760","228760","7951280"
"2023/04/04","712560","3490","4811830","238890","5766770"
"2023/04/03","224640","999250","6519930","7100","7750920"
"2023/03/31","1760000","198240","20298900","42360","22299500"
"2023/03/30","8106940","0","32299945","191430","40598315"
"2023/03/29","5503035","7404300","19508255","54650","32470240"
"2023/03/28","3420940","0","12307490","68125","15796555"
"2023/03/27","919815","3385","3210990","0","4134190"
"2023/03/24","2695935","0","6557975","115735","9369645"
"2023/03/23","2089225","3355","3589150","406600","6088330"
"2023/03/22","743825","3340","12622250","40500","13409915"
"2023/03/21","0","3305","4378390","19860","4401555"
"2023/03/20","369715","3265","2498015","4053600","6924595"
"2023/03/17","4584410","19685","24156765","36195","28797055"
"2023/03/16","3502230","6530","20291125","180305","23980190"
"2023/03/15","2255905","0","82200270","201515","84657690"
"2023/03/14","7433395","3300","141943395","398230","149778320"
"2023/03/10","0",,"31202770","292975","31495745"
"2023/03/09","21720","3575","11286125","117900","11429320"
"2023/03/08","2555000","0","20464495","61620","23081115"
"2023/03/07","1957270","0","12704400","62050","14723720"
"2023/03/06","2765795","659745","13224355","515355","17165250"
"2023/03/03","377230","3605","9391705","25380","9797920"
"2023/03/02","3892380",,"19865335","57385","23815100"
"2023/02/28","0","0","10714915","39435","10754350"
"2023/02/27","3540","0","9981630","175410","10160580"
"2023/02/24","408150","0","5186840","0","5594990"
"2023/02/23","2332050","0","15737130","46930","18116110"
"2023/02/22","2954655","1523685","14932835","49980","19461155"
"2023/02/21","2243800","35550","16844330","78315","19201995"
"2023/02/20","1679815","7015","35292085","3182795","40161710"
"2023/02/17","2112865","3480","15627870","346250","18090465"
"2023/02/16","93300","0","24485410","157225","24735935"
"2023/02/15","14297065","0","63793895","442995","78533955"
"2023/02/14","167070","0","18462840","101685","18731595"
"2023/02/13","2742595","0","18939350","224980","21906925"
"2023/02/10","3449540",,"45068255","292750","48810545"
"2023/02/09","36500","3630","45999545","268480","46308155"
"2023/02/08","370105",,"41203165","2017055","43590325"
"2023/02/07","7223585",,"35846670","462860","43533115"
"2023/02/06","3245960",,"40019025","77270","43342255"
"2023/02/03","2949710","72715","62011585","331810","65365820"
"2023/02/02","44464570","7025","336894025","1135840","382501460"
"2023/02/01","38181945","0","581413285","49170390","668765620"
"2023/01/31","6322460","0","41177625","445070","47945155"
"2023/01/30","4085",,"18910345","36275","18950705"
"2023/01/27","130710","260940","5746125","77380","6215155"
"2023/01/26","12285","12215","5148175","0","5172675"
"2023/01/25","4082145",,"9148485",,"13230630"
"2023/01/20","4684385","12090","13274920","0","17971395"
"2023/01/19","1997325",,"9889070","12100","11898495"
"2023/01/18","1761520","8030","3968475","40290","5778315"
"2023/01/17","691400","4055","3174935","32500","3902890"
"2023/01/16","4204800",,"7828940","2386450","14420190"
"2023/01/13","1077205","8080","7039720","0","8125005"
"2023/01/12","1454700","4055","11356610",,"12815365"
"2023/01/11","1348200","4085","7644225","0","8996510"
"2023/01/10","4633450","12210","2724250","0","7369910"
"2023/01/09","1095700","4090","2913210","16425","4029425"
"2023/01/06","1608305","0","4366685","61265","6036255"
"2023/01/05","771915","4060","2855160","85665","3716800"
"2023/01/04","4109780","4040","1976485","797435","6887740"
"2023/01/03","1165720","8135","3005165","56640","4235660"
"2023/01/02","2526115","7945","12036160","52485","14622705"
"2022/12/29","3253985","4090","4967430","4110","8229615"
"2022/12/28","1201050","4220","6655130","38170","7898570"
"2022/12/27","705200","160340","13166490","472840","14504870"
"2022/12/26","4609730","4265","17637495","132065","22383555"
"2022/12/23","0","8440","6161260",,"6169700"
"2022/12/22","6330495","16915","32083865","0","38431275"
"2022/12/21","54925","0","3799825","0","3854750"
"2022/12/20","109840","4230","9323585","63450","9501105"
"2022/12/19","1131980","0","6748595","449125","8329700"
"2022/12/16","4655825","0","3518965",,"8174790"
"2022/12/15","1053755",,"7329270","0","8383025"
"2022/12/14","1120555",,"6540580","149485","7810620"
"2022/12/13","145860","4245","1047265","12840","1210210"
"2022/12/12","132525","0","4436655","12855","4582035"
"2022/12/09","0",,"6985185","8680","6993865"
"2022/12/08","3773830",,"12871245","753630","17398705"
"2022/12/07","2143390",,"8315130","283150","10741670"
"2022/12/06","528185",,"10514880","352790","11395855"
"2022/12/05","213500",,"9857230","21245","10091975"
"2022/12/02","7363170","4115","39021240","3627875","50016400"
"2022/12/01","1455225","8190","34769775","3758790","39991980"
"2022/11/30","552435",,"12531495","24500","13108430"
"2022/11/29","1341900",,"4428280","325595","6095775"
"2022/11/28","0",,"35080875","59860","35140735"
"2022/11/25","362165",,"2563050","4065","2929280"
"2022/11/24","32540",,"12719210","4055","12755805"
"2022/11/23","0",,"3395970",,"3395970"
"2022/11/22","383945",,"19957545","32595","20374085"
"2022/11/21","8060","48180","15986530","92775","16135545"
"2022/11/18","248870",,"5604485","428390","6281745"
"2022/11/17","10337335",,"19403125","61760","29802220"
"2022/11/16","724460","0","12710725","53975","13489160"
"2022/11/15","1282915",,"39529470","0","40812385"
"2022/11/14","820850","0","34449590","32700","35303140"
"2022/11/11","1942180",,"15650005","77140","17669325"
"2022/11/10","16060",,"8000420","27975","8044455"
"2022/11/09","0","0","9946905","0","9946905"
"2022/11/08","140000",,"21529210","8000","21677210"
"2022/11/07","287520","4120","6152445",,"6444085"
"2022/11/04","4165","8260","3588985",,"3601410"
"2022/11/03","278550",,"1755415",,"2033965"
"2022/11/02","4152125",,"16677045","0","20829170"
"2022/11/01","1715260",,"7909415","82355","9707030"
"2022/10/31","1756755",,"22060840","16310","23833905"
"2022/10/28","4567715",,"12506905","32235","17106855"
"2022/10/27","1279735",,"17077850","19675","18377260"
"2022/10/26","283120",,"8378960","0","8662080"
"2022/10/25","1855475",,"10785005","0","12640480"
"2022/10/24","559785","3900","19676280","51140","20291105"
"2022/10/21","1278240","1683800","24513595","339730","27815365"
"2022/10/20","2968970",,"18603440","95035","21667445"
"2022/10/19","0","3985000","20403725","43935","24432660"
"2022/10/18","974800","268005","6152330","59820","7454955"
"2022/10/17","11940","1977000","11661930","83540","13734410"
"2022/10/14","907275","3987340","21303470","0","26198085"
"2022/10/13","10177580",,"37207295","48900","47433775"
"2022/10/12","1240835","0","17813085","54015","19107935"
"2022/10/11","642565","2502540","17295125","115065","20555295"
"2022/10/07","24561595","0","15072945","25740","39660280"
"2022/10/06","138060","0","38703655","365595","39207310"
"2022/10/05","313390","51144360","35159230","498910","87115890"
"2022/10/04","65240",,"14972385","46250","15083875"
"2022/09/30","270370","451290","9116850","9350","9847860"
"2022/09/29","17958460","0","14260545","32980","32251985"
"2022/09/28","733570","0","6552825","0","7286395"
"2022/09/27","8357785","0","19069815","4509900","31937500"
"2022/09/26","309050","0","44831410","307825","45448285"
"2022/09/23","512930","0","21944850","14800","22472580"
"2022/09/22","591470","0","11804650","10000","12406120"
"2022/09/21","437640","0","6580105","0","7017745"
"2022/09/20","110700","4990","18505895","3574095","22195680"
"2022/09/19","22332180",,"32680945","87010","55100135"
"2022/09/16","459820",,"8092480","46960","8599260"
"2022/09/15","2210720","0","14737990","0","16948710"
"2022/09/14","1706440","0","5291430","73500","7071370"
