일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","44901540","0","79029375","7798900","131729815"
"2023/05/03","25507595","4995","63299555","3518600","92330745"
"2023/05/02","10890330","0","56677905","5884645","73452880"
"2023/04/28","11314440","4975","22108935","6864085","40292435"
"2023/04/27","31138670",,"20950435","24942735","77031840"
"2023/04/26","42932805","4950","28091700","10228255","81257710"
"2023/04/25","210021375","0","48955165","46923750","305900290"
"2023/04/24","223308580","0","17880515","40305655","281494750"
"2023/04/21","92323585","0","80925265","10126275","183375125"
"2023/04/20","206402995","17452500","40470060","14438050","278763605"
"2023/04/19","90184860","17435850","48762225","34330435","190713370"
"2023/04/18","133848315","14970","47543060","11655480","193061825"
"2023/04/17","199447065","0","39462025","1894120","240803210"
"2023/04/14","96736460","4970","120751770","3919915","221413115"
"2023/04/13","340012415",,"50923835","12741805","403678055"
"2023/04/12","113306955","4900","54280005","10270645","177862505"
"2023/04/11","126088210","24555000","36541980","10209185","197394375"
"2023/04/10","22496615","1716160","27351995","16492645","68057415"
"2023/04/07","98226060","4955","25464680","33807385","157503080"
"2023/04/06","83738385","0","40661490","21492635","145892510"
"2023/04/05","87225785","10010","53672265","22416050","163324110"
"2023/04/04","79514605",,"66227095","7018615","152760315"
"2023/04/03","53938265","0","49789885","9802420","113530570"
"2023/03/31","142025910","4955","100669370","8152810","250853045"
"2023/03/30","93830895","0","40650530","9727830","144209255"
"2023/03/29","43950165","0","64113220","7664055","115727440"
"2023/03/28","108292370","2349680","89671030","7708800","208021880"
"2023/03/27","143720780","444550","52518525","4703690","201387545"
"2023/03/24","87444725","9621000","15599775","2432065","115097565"
"2023/03/23","112340640","2709915","57949260","24589155","197588970"
"2023/03/22","83138400","5010","32939525","868650","116951585"
"2023/03/21","104748745","0","41182805","8121580","154053130"
"2023/03/20","102914290","0","43620005","17458625","163992920"
"2023/03/17","44185150","60500","40724130","7973070","92942850"
"2023/03/16","27431120","5050","29721340","4010410","61167920"
"2023/03/15","49688510","0","39336790","4943720","93969020"
"2023/03/14","88377290","0","22979210","12237180","123593680"
"2023/03/13","136256650","0","50967750","4388180","191612580"
"2023/03/10","42117080","0","70828690","6835880","119781650"
"2023/03/09","68474670","0","47188150","30300650","145963470"
"2023/03/08","75427080","0","69566540","26036420","171030040"
"2023/03/07","132094050","23209140","46617210","3487040","205407440"
"2023/03/06","125896170","0","99937350","14974810","240808330"
"2023/03/03","30071570","0","27792010","21548870","79412450"
"2023/03/02","74745070","0","18276310","3969780","96991160"
"2023/02/28","108827680","0","46187150","6824030","161838860"
"2023/02/27","83455410","5160","11623160","16762460","111846190"
"2023/02/24","137826940",,"54686920","9405540","201919400"
"2023/02/23","45391610","9652798430","7281190","9379650","9714850880"
"2023/02/22","13212730","0","10673670","4928960","28815360"
"2023/02/21","72401840","0","56277520","4210900","132890260"
"2023/02/20","90131390","10240","54628820","24900900","169671350"
"2023/02/17","94542290","0","95815620","4430800","194788710"
"2023/02/16","144328690","0","44164060","19630770","208123520"
"2023/02/15","76476050","0","29763690","39716530","145956270"
"2023/02/14","126094140","0","87228420","23343580","236666140"
"2023/02/13","146533700",,"33913370","35928420","216375490"
"2023/02/10","73241690",,"55183860","13613990","142039540"
"2023/02/09","70472030","0","22670060","7560420","100702510"
"2023/02/08","77070920","0","77890300","1818650","156779870"
"2023/02/07","96464630","21400","51382700","43705480","191574210"
"2023/02/06","82891750","0","55551070","8970670","147413490"
"2023/02/03","13560430","172190","62013560","2041860","77788040"
"2023/02/02","36937340","6717700","92566740","11550770","147772550"
"2023/02/01","45012190","0","21914650","4070660","70997500"
"2023/01/31","195318300","0","25904410","9894390","231117100"
"2023/01/30","109847660","0","70301520","19215530","199364710"
"2023/01/27","77862890","0","78772830","17486110","174121830"
"2023/01/26","40414770","9630460","101016340","8168730","159230300"
"2023/01/25","93550430","9527500","97865420","2396900","203340250"
"2023/01/20","119845530","51346600","125973360","4798410","301963900"
"2023/01/19","137894490",,"48222160","4933600","191050250"
"2023/01/18","171058520","0","123633490","8259860","302951870"
"2023/01/17","463973610","33466960","114412140","16671310","628524020"
"2023/01/16","17262150","9407500","358478180","4601650","389749480"
"2023/01/13","56280270","5350","59515300","2636260","118437180"
"2023/01/12","105471350","10670","57370600","2238790","165091410"
"2023/01/11","51058280","10540","20571270","5848310","77488400"
"2023/01/10","78837020","5290","123535930","11548650","213926890"
"2023/01/09","66751930","5390","39327880","14583260","120668460"
"2023/01/06","58665430","48911820","24606280","23936110","156119640"
"2023/01/05","59698400","10520","73032980","29767070","162508970"
"2023/01/04","120152550","27740740","41217460","31506880","220617630"
"2023/01/03","74499400","5250","94355630","16947570","185807850"
"2023/01/02","59069370","5210","37640010","8881930","105596520"
"2022/12/29","114419340","5200","16903270","27680930","159008740"
"2022/12/28","68123630","0","92659110","29815930","190598670"
"2022/12/27","107160760","2660000","254040510","8385930","372247200"
"2022/12/26","338057500","5271300","91820290","32242150","467391240"
"2022/12/23","45223650","43300250","55301750","4540080","148365730"
"2022/12/22","156760550","68263990","14080770","3663910","242769220"
"2022/12/21","38784960","74754820","61328390","190780","175058950"
"2022/12/20","129639720","21110","27697780","14113140","171471750"
"2022/12/19","92862360","2358420","14832650","33618950","143672380"
"2022/12/16","47717910","19622540","13695360","94836300","175872110"
"2022/12/15","100338680","0","74523090","88590010","263451780"
"2022/12/14","132325180","0","98209890","95987740","326522810"
"2022/12/13","81774270","5350","25076370","26941450","133797440"
"2022/12/12","70598490","0","20381630","20497630","111477750"
"2022/12/09","93557760","0","40163800","46141960","179863520"
"2022/12/08","5440110","5430","31400510","10498170","47344220"
"2022/12/07","48750330",,"16741370","13392400","78884100"
"2022/12/06","21118180","553460","37541410","25890230","85103280"
"2022/12/05","50393380","0","49096030","5851270","105340680"
"2022/12/02","71871980","0","51066480","13862400","136800860"
"2022/12/01","53122090","5430","91967650","9636700","154731870"
"2022/11/30","8473050","541330","17713440","445560","27173380"
"2022/11/29","35775640","5420","39931360","3414020","79126440"
"2022/11/28","84793850","0","64438270","553460","149785580"
"2022/11/25","44378180","332940","23197740","18350570","86259430"
"2022/11/24","68793000","533000","56964710","11809420","138100130"
"2022/11/23","108728520",,"7742640","3290360","119761520"
"2022/11/22","61133350","0","10133190","11535060","82801600"
"2022/11/21","38270630",,"15409540","21301610","74981780"
"2022/11/18","52643420",,"27269910","17113100","97026430"
"2022/11/17","254689260",,"20869170","10514840","286073270"
"2022/11/16","29746770","0","51049750","1221180","82017700"
"2022/11/15","38518490","5855010","77811300","4370900","126555700"
"2022/11/14","64051370","159500","32140530","1236530","97587930"
"2022/11/11","72875320","17897030","101372440","7745570","199890360"
"2022/11/10","124950920",,"47525340","4007040","176483300"
"2022/11/09","75530350","0","15538840","5444160","96513350"
"2022/11/08","67817220",,"4518390","10307740","82643350"
"2022/11/07","67270850","5216990","13182720","6590060","92260620"
"2022/11/04","38571690","710620","62647690","12235200","114165200"
"2022/11/03","68158880","5934180","10840530","11198210","96131800"
"2022/11/02","265528210","12303480","199940720","34057050","511829460"
"2022/11/01","67826560","23915770","92471190","1976820","186190340"
"2022/10/31","396434090","10400000","154370480","4485270","565689840"
"2022/10/28","119950740","16001480","105037030","7412430","248401680"
"2022/10/27","40109560","5558655","121838735","5678370","173185320"
"2022/10/26","59883890","5010","81293415","13385745","154568060"
"2022/10/25","71982480",,"69000470","42513840","183496790"
"2022/10/24","144917095","0","128796185","15784900","289498180"
"2022/10/21","52921520","394945","26574780","848420","80739665"
"2022/10/20","199338780","26445020","297611845","62833890","586229535"
"2022/10/19","277266250","0","118329335","49228940","444824525"
"2022/10/18","500401570","0","82938765","33228715","616569050"
"2022/10/17","331628545","0","29850235","22205335","383684115"
"2022/10/14","146979320","0","113415350","23131305","283525975"
"2022/10/13","379138385","18947960","162112505","56317280","616516130"
"2022/10/12","60473030","1362110","74107560","9497800","145440500"
"2022/10/11","103393120","0","23365640","4183780","130942540"
"2022/10/07","147308910","0","30959540","14443640","192712090"
"2022/10/06","108187390","5390","159143100","25811590","293147470"
"2022/10/05","157495480","0","26354660","21876160","205726300"
"2022/10/04","52362950","0","68191990","17329910","137884850"
"2022/09/30","130951440","0","59730150","5516900","196198490"
"2022/09/29","110089130","0","88623740","16533200","215246070"
"2022/09/28","38475250","0","111306810","37851700","187633760"
"2022/09/27","79743800","447200","69006830","41049300","190247130"
"2022/09/26","120152870","28090","148415320","24529390","293125670"
"2022/09/23","70357450","43088260","38955150","43840510","196241370"
"2022/09/22","17219170","21714720","40792130","29401260","109127280"
"2022/09/21","27156710","517560","57792900","38521630","123988800"
"2022/09/20","121296950","9279820","110231200","45557190","286365160"
"2022/09/19","130140270","13354000","297756650","85474510","526725430"
"2022/09/16","349685040","74830000","175376920","793864630","1393756590"
"2022/09/15","284615070","4926880","95269000","20516910","405327860"
"2022/09/14","226574260","17280000","190270500","21798590","455923350"
"2022/09/13","270911930","64237510","114390060","2520700","452060200"
"2022/09/08","145911220","0","13459080","21225370","180595670"
"2022/09/07","102838010","0","34231100","28745520","165814630"
"2022/09/06","116659470","9208360","54226280","1963620","182057730"
"2022/09/05","24769180",,"70508700","1359620","96637500"
"2022/09/02","43686740","0","36960360","23781020","104428120"
"2022/09/01","82727550","0","9618060","21218310","113563920"
"2022/08/31","7945310","0","11111520","6509690","25566520"
"2022/08/30","139233560","17100","27116710","18738900","185106270"
"2022/08/29","151815720",,"11215720","24414380","187445820"
"2022/08/26","44775420","5880","4119970","8770450","57671720"
"2022/08/25","467572400","0","52246840","32556640","552375880"
"2022/08/24","49530480","28940","29670960","21880890","101111270"
"2022/08/23","130611860",,"51568300","49363920","231544080"
"2022/08/22","104227430","0","21993460","14816580","141037470"
"2022/08/19","124319400","23580","19162850","16143730","159649560"
"2022/08/18","119901680","0","45088010","38518810","203508500"
"2022/08/17","578913470","0","85362790","20400070","684676330"
"2022/08/16","83010070","0","71492150","19813030","174315250"
"2022/08/12","82017620","0","63562870","18765810","164346300"
"2022/08/11","35548140","17530","21215190","26429720","83210580"
"2022/08/10","238339030","0","33646320","106010150","377995500"
"2022/08/09","48954180","0","36586460","23235520","108776160"
"2022/08/08","477667240","5810","71739120","47830740","597242910"
"2022/08/05","175665870","0","145363030","54760280","375789180"
"2022/08/04","137434260","0","18081560","22102830","177618650"
"2022/08/03","107032350","11360","38553870","64363580","209961160"
"2022/08/02","178855400","5660","99245270","76180520","354286850"
"2022/08/01","91764030","0","108975350","117011920","317751300"
"2022/07/29","407974580","6158090","80817990","45346790","540297450"
"2022/07/28","122590010",,"24754510","34334920","181679440"
"2022/07/27","197906870","5430","34389890","7246590","239548780"
"2022/07/26","267289160","5400","64730810","27708010","359733380"
"2022/07/25","257398800","0","67047980","84556640","409003420"
"2022/07/22","398748500","0","19783310","63932530","482464340"
"2022/07/21","211692220","0","27064080","34080760","272837060"
"2022/07/20","137711340","0","36260750","37407520","211379610"
"2022/07/19","280417930","686960","77128010","75340040","433572940"
"2022/07/18","102833100","0","45088110","19579480","167500690"
"2022/07/15","117929780","7630900","93369050","15265340","234195070"
"2022/07/14","45697090","0","31084360","6132860","82914310"
"2022/07/13","89076570","0","49046570","37732040","175855180"
"2022/07/12","321853460","0","204358840","53983350","580195650"
"2022/07/11","91975480","0","88176880","20324890","200477250"
"2022/07/08","32406970","0","210999700","77257410","320664080"
"2022/07/07","71734710","0","119633500","75933750","267301960"
"2022/07/06","85474070","5800","28481630","139646430","253607930"
"2022/07/05","85883520","0","179842610","153986640","419712770"
"2022/07/04","18017110","5830","138253170","79324540","235600650"
"2022/07/01","98302420","0","73432500","142791020","314525940"
"2022/06/30","284848560","0","137286760","358230780","780366100"
"2022/06/29","179825750","0","98083690","166343810","444253250"
"2022/06/28","274297940","6070","164673980","212031940","651009930"
"2022/06/27","567972430","2918506130","95745250","153160760","3735384570"
"2022/06/24","402797050","56120140","136576250","168992610","764486050"
"2022/06/23","298476820","5900","169369360","182404180","650256260"
"2022/06/22","367228100","4708000000","171281700","163023810","5409533610"
"2022/06/21","285496660","6140","124818040","99801970","510122810"
"2022/06/20","583306630","0","775267420","156509690","1515083740"
"2022/06/17","354124940",,"464120670","84268060","902513670"
"2022/06/16","669125040","0","439161790","182668680","1290955510"
"2022/06/15","525358490","6660","387678020","81614210","994657380"
"2022/06/14","329370460","0","222957280","69308730","621636470"
"2022/06/13","399837820","0","645420150","130805390","1176063360"
"2022/06/10","589776240","0","189603730","63829040","843209010"
"2022/06/09","327691170","40915930","280578840","39080340","688266280"
"2022/06/08","248155790","13580000","158529150","52770190","473035130"
"2022/06/07","89431320","6790","161646060","38112550","289196720"
"2022/06/03","33946180","679000","87734560","20412830","142772570"
"2022/06/02","88735860","6780","93738200","39350830","221831670"
"2022/05/31","291038740","49013490","194888900","195564550","730505680"
"2022/05/30","39612460","0","132582980","60517010","232712450"
"2022/05/27","206682970","27020","49073070","87864570","343647630"
"2022/05/26","16674610","1342000","323262430","62101670","403380710"
"2022/05/25","107802570","0","146129020","64860310","318791900"
"2022/05/24","9984230","0","138415780","62197440","210597450"
"2022/05/23","11276570","0","95666380","69913980","176856930"
"2022/05/20","40541650","0","333396800","142248420","516186870"
"2022/05/19","185132030","0","188586600","11437780","385156410"
"2022/05/18","115890360","0","110795800","95639890","322326050"
"2022/05/17","39838140","0","248823700","99290010","387951850"
"2022/05/16","189495470","0","203892390","62810980","456198840"
"2022/05/13","86615420","26500","235265300","86206250","408113470"
"2022/05/12","75640510",,"305810910","134488560","515939980"
"2022/05/11","144976600","0","98011350","94345240","337333190"
"2022/05/10","114305000","13200","163477550","126889610","404685360"
"2022/05/09","305915100","0","490641210","90045590","886601900"
"2022/05/06","179830340","0","126473700","35518640","341822680"
"2022/05/04","597794240","0","333801130","78116830","1009712200"
"2022/05/03","705444360","0","420703170","80051650","1206199180"
"2022/05/02","332678290","679000","173249820","42187180","548794290"
"2022/04/29","409815800","56977200","242000060","83689670","792482730"
"2022/04/28","758714930","3511600","318375610","234098760","1314700900"
"2022/04/27","346379930","3432440","570049890","142945080","1062807340"
"2022/04/26","115599800","3390000","569846390","101524030","790360220"
"2022/04/25","119648410","166444300","600174870","160678620","1046946200"
"2022/04/22","573191080","27139377948","399690310","49339050","28161598388"
"2022/04/21","523753580","33619760","211840660","44936960","814150960"
"2022/04/20","707129550","1033600","287822870","56100970","1052086990"
"2022/04/19","706734600","0","353318150","52888430","1112941180"
"2022/04/18","442430840","99664760","370034720","159068000","1071198320"
"2022/04/15","661929620","2626000","524747330","36808340","1226111290"
"2022/04/14","488606640","0","200412550","30204750","719223940"
"2022/04/13","365447650","0","288764500","64694870","718907020"
"2022/04/12","502497360","6420","231675270","34301370","768480420"
"2022/04/11","803347060","11424840","178225310","19295060","1012292270"
"2022/04/08","437989070","2528000","171776920","15738560","628032550"
"2022/04/07","673132070","0","226850580","21414740","921397390"
"2022/04/06","924370490","17528000","202383310","13817070","1158098870"
"2022/04/05","660289410","3110000","196888410","8059350","868347170"
"2022/04/04","498600420","629000","231616470","23629460","754475350"
"2022/04/01","648529470","0","97515040","22494210","768538720"
"2022/03/31","475007390","8708000","170460600","12758250","666934240"
"2022/03/30","548108930","0","35711570","10377160","594197660"
"2022/03/29","388302000","618000","186762830","107445230","683128060"
"2022/03/28","452560930","616000","98586320","9989700","561752950"
"2022/03/25","252066840","614000","37801270","18977250","309459360"
"2022/03/24","350375820","617000","145656330","10763160","507412310"
"2022/03/23","314505190","610000","53038730","5993900","374147820"
"2022/03/22","426035610","612000","121585300","2216760","550449670"
"2022/03/21","222347090","0","56837120","833040","280017250"
"2022/03/18","297606470","124189530","33668360","14007040","469471400"
"2022/03/17","154654230","0","42392310","44448740","241495280"
"2022/03/16","232504010","11800170","52057680","35805970","332167830"
"2022/03/15","155235740","608000","15409910","31740540","202994190"
"2022/03/14","240138910","46769800","52611950","30682380","370203040"
"2022/03/11","282108320","139946460","129933750","6756440","558744970"
"2022/03/10","219921540","207364090","42380440","49242980","518909050"
"2022/03/08","213604310","606000","81251050","58663100","354124460"
"2022/03/07","203710190","19141940","235221460","25894950","483968540"
"2022/03/04","488300210","6086050","88246180","26590570","609223010"
"2022/03/03","490614760",,"88185060","24613620","603413440"
"2022/03/02","481819280","0","94482880","41807160","618109320"
"2022/02/28","197311610","0","68761520","4731320","270804450"
"2022/02/25","138310960",,"88366530","494680","227172170"
"2022/02/24","189560180","0","176967520","1044750","367572450"
"2022/02/23","43640270","47165710","67714300","6047590","164567870"
"2022/02/22","187306450","0","41147300","26330520","254784270"
"2022/02/21","201663550","0","24758430","3677260","230099240"
"2022/02/18","181879230","0","25697170","2092240","209668640"
"2022/02/17","138299890","0","33045060","33180580","204525530"
"2022/02/16","163697790","0","111343440","42655360","317696590"
"2022/02/15","117671870","0","39515610","36863230","194050710"
"2022/02/14","85294380","0","53340140","20893090","159527610"
"2022/02/11","174341750","0","106315910","7920020","288577680"
"2022/02/10","319969340","17750","90893300","13554110","424434500"
"2022/02/09","142775960","0","166571460","2868170","312215590"
"2022/02/08","183751070","12473570","36150950","11316880","243692470"
"2022/02/07","194436350","12243000","62531140","26511000","295721490"
"2022/02/04","558751190","0","40969400","15528660","615249250"
"2022/02/03","190265950","29411350","251797990","14017930","485493220"
"2022/01/28","251506230","0","200100790","48385250","499992270"
"2022/01/27","493841880","0","308851180","50749490","853442550"
"2022/01/26","194371010","17500","74905040","34420570","303714120"
"2022/01/25","434699090","65074560","183979010","77652810","761405470"
"2022/01/24","46931000","85410000","74106970","43476510","249924480"
"2022/01/21","152866160","0","82745900","35558700","271170760"
