일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","17470790","3790","13892980","5032005","36399565"
"2023/05/03","31420380","0","25423025","4032845","60876250"
"2023/05/02","9373460","3760","30541360","2124385","42042965"
"2023/04/28","40971460","3765","35406345","2123735","78505305"
"2023/04/27","12611665","3770","9051220","4701595","26368250"
"2023/04/26","91977585","7530","22405235","3433665","117824015"
"2023/04/25","42238720","0","13205290","4080740","59524750"
"2023/04/24","29963810","0","44590050","4061540","78615400"
"2023/04/21","51419690","0","62814875","4750190","118984755"
"2023/04/20","35227715","14248440","9820270","29473100","88769525"
"2023/04/19","22194245","14258195","25234290","4995605","66682335"
"2023/04/18","64683930","0","8705665","3510530","76900125"
"2023/04/17","5994810","0","15339165","3677455","25011430"
"2023/04/14","23472255","12487700","6073810","5027455","47061220"
"2023/04/13","17619660","7675","2120495","4506320","24254150"
"2023/04/12","7356540","0","25662985","3191885","36211410"
"2023/04/11","22026095","7670","41981260","3848930","67863955"
"2023/04/10","4072955","3815","67788825","4506335","76371930"
"2023/04/07","41400","0","28013070","6076730","34131200"
"2023/04/06","955100","0","11695130","4014955","16665185"
"2023/04/05","9014610","3775","69852240","4367450","83238075"
"2023/04/04","15180","0","144239185","31764385","176018750"
"2023/04/03","3389950","0","42564150","2702620","48656720"
"2023/03/31","29087110","85521165","70059515","2740130","187407920"
"2023/03/30","1631030","0","28710975","654695","30996700"
"2023/03/29","0","209520","19751190","1435515","21396225"
"2023/03/28","828790","275125","16841470","2577860","20523245"
"2023/03/27","5105885","0","25621770","1999105","32726760"
"2023/03/24","8692700","0","8435870","2342905","19471475"
"2023/03/23","0","0","21817345","2698830","24516175"
"2023/03/22","2548250","1233225","29856680","1999145","35637300"
"2023/03/21","25622215","0","2148050","2781405","30551670"
"2023/03/20","6164495","83360","1495005","2333075","10075935"
"2023/03/17","4160800","423725","22142860","3380370","30107755"
"2023/03/16","223680","0","15646425","2611830","18481935"
"2023/03/15","2043440","398500","13621825","4072890","20136655"
"2023/03/14","7993790","3950","33203920","4636260","45837920"
"2023/03/13","14484925","0","12004090","4181970","30670985"
"2023/03/10","0","2385000","28700635","3807145","34892780"
"2023/03/09","1002500","0","9097400","1547410","11647310"
"2023/03/08","5482120","0","14724790","3988840","24195750"
"2023/03/07","22828300","17186550","41615455","4013950","85644255"
"2023/03/06","1810500","0","29074760","1858045","32743305"
"2023/03/03","38470680","4005","25812055","4564825","68851565"
"2023/03/02","5712775","0","16860635","1927595","24501005"
"2023/02/28","18534700","0","38793915","1903030","59231645"
"2023/02/27","21090600","0","12986930","3208855","37286385"
"2023/02/24","803890","769920","21039330","1229690","23842830"
"2023/02/23","22829185","0","23161910","1986465","47977560"
"2023/02/22","10608870","0","58581575","3164635","72355080"
"2023/02/21","11798235","0","18627090","3746660","34171985"
"2023/02/20","7179370","8060","39462155","3516895","50166480"
"2023/02/17","14924100","0","5638980","3023930","23587010"
"2023/02/16","14285150","0","18010565","2113985","34409700"
"2023/02/15","14180285","0","17652200","15511245","47343730"
"2023/02/14","17694210","8184180","36398150","4164830","66441370"
"2023/02/13","14265220","0","24158970","4013445","42437635"
"2023/02/10","6387680","0","24571045","478300","31437025"
"2023/02/09","3123690","0","94509035","87555","97720280"
"2023/02/08","21135050","0","76901720","186400","98223170"
"2023/02/07","28403270","0","3618735","1807125","33829130"
"2023/02/06","5390495","1243830","65743415","3283850","75661590"
"2023/02/03","32280405","82685","146810550","3353815","182527455"
"2023/02/02","790470","11391570","56097500","3286900","71566440"
"2023/02/01","1474200","0","53526295","7336120","62336615"
"2023/01/31","1950510","2050115","45337060","2346885","51684570"
"2023/01/30","2714920","2340410","27480095","9996540","42531965"
"2023/01/27","426870","2325200","49335590","12540","52100200"
"2023/01/26","21668050","7842580","60213150","981645","90705425"
"2023/01/25","2506670","7837500","60080250","2132695","72557115"
"2023/01/20","118218310","7776440","42922460","1518220","170435430"
"2023/01/19","3868545","0","23501400","1906780","29276725"
"2023/01/18","6114660","4165","55184715","91495","61395035"
"2023/01/17","5485425","8315","48189325","832100","54515165"
"2023/01/16","4120","7724750","47127680","8220","54864770"
"2023/01/13","10991685","8160","32105385","0","43105230"
"2023/01/12","9850485","0","47336240","199450","57386175"
"2023/01/11","8174750","0","13556805","8040","21739595"
"2023/01/10","8329310","8040","64314945","32195","72684490"
"2023/01/09","7653020","0","100822775","391330","108867125"
"2023/01/06","2509220","3975","88403910","191745","91108850"
"2023/01/05","27554810","3905","55806770","8474105","91839590"
"2023/01/04","10388385","7790","33384975","6053025","49834175"
"2023/01/03","7780","0","29733825","8442240","38183845"
"2023/01/02","469200","7830","37640395","14115025","52232450"
"2022/12/29","4634150","0","99877145","17625380","122136675"
"2022/12/28","4286660","0","133194295","19463535","156944490"
"2022/12/27","3855820","1215435","24659700","8191195","37922150"
"2022/12/26","32705","4090","45700575","5586590","51323960"
"2022/12/23","64764685","0","35434355","1165260","101364300"
"2022/12/22","6308650","16105","55776270","0","62101025"
"2022/12/21","22420560","12070","52864920","0","75297550"
"2022/12/20","10335490","40075","186798790","28834040","226008395"
"2022/12/19","70103255","3183895","184723810","63371920","321382880"
"2022/12/16","22236440","4020","32463270","13555815","68259545"
"2022/12/15","10174715","0","19386520","5737420","35298655"
