일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","22472915","21522290","81537580","4010475","129543260"
"2023/05/03","22588440","13877060","30662885","1487240","68615625"
"2023/05/02","7801365","1455450","25567250","1375460","36199525"
"2023/04/28","66476850","2488980","24108615","6646010","99720455"
"2023/04/27","13740085","0","40806875","6194545","60741505"
"2023/04/26","42207430","1273765","44020540","22393635","109895370"
"2023/04/25","8829655","0","8117405","15235250","32182310"
"2023/04/24","23901560","92192395","63816210","75942210","255852375"
"2023/04/21","17609500","0","71165110","16334980","105109590"
"2023/04/20","21710645","37173805","44987575","32560715","136432740"
"2023/04/19","19452360","11303615","70460855","20528290","121745120"
"2023/04/18","16715135","69425275","189743305","46121015","322004730"
"2023/04/17","6421165","4685","97182420","6086270","109694540"
"2023/04/14","34614605","0","121233870","55680","155904155"
"2023/04/13","19221310","0","19078065","8547760","46847135"
"2023/04/12","11101935","4605","105659195","7406810","124172545"
"2023/04/11","37053215","0","47218910","26473985","110746110"
"2023/04/10","65998735","4615","56233275","14233975","136470600"
"2023/04/07","14463325","0","61771615","15783235","92018175"
"2023/04/06","22451945","0","53122785","26387650","101962380"
"2023/04/05","18966335","4680","277873920","21603360","318448295"
"2023/04/04","5970015","9255","37241415","5684765","48905450"
"2023/04/03","16010515","470350","90869105","21295355","128645325"
"2023/03/31","4219865","4500","47696905","47901235","99822505"
"2023/03/30","23957180","0","25645715","11119410","60722305"
"2023/03/29","947840","4465","80720265","13888005","95560575"
"2023/03/28","5406630","0","75773620","37884295","119064545"
"2023/03/27","57393625","6732875","99140020","91761590","255028110"
"2023/03/24","51418500","0","22161415","10288110","83868025"
"2023/03/23","45804930","0","103234020","5197920","154236870"
"2023/03/22","40545825","0","26907630","3791910","71245365"
"2023/03/21","22872205","4570","16065070","22658770","61600615"
"2023/03/20","241327820","9060","100622950","4422525","346382355"
"2023/03/17","9765050","13925","56312290","69623190","135714455"
"2023/03/16","29717465","4635","52966855","5934620","88623575"
"2023/03/15","9873365","4625","22442435","10880750","43201175"
"2023/03/14","97023560","0","42595190","23808365","163427115"
"2023/03/13","49090765","0","21517820","14867175","85475760"
"2023/03/10","15821780","0","13982410","8680925","38485115"
"2023/03/09","11802850","0","15221055","2995265","30019170"
"2023/03/08","16867320","0","40827070","12061515","69755905"
"2023/03/07","88818800","38057335","9470710","128315","136475160"
"2023/03/06","20545245","54740325","67397015","36172245","178854830"
"2023/03/03","79411925","9515","21595780","5246010","106263230"
"2023/03/02","184551325","4770","79171815","10460270","274188180"
"2023/02/28","8709925","0","15233155","6221935","30165015"
"2023/02/27","35685645","0","82757300","16228775","134671720"
"2023/02/24","24925320","44995795","248362255","25237470","343520840"
"2023/02/23","25732590","0","132209060","32453730","190395380"
"2023/02/22","12812710","15030000","59486550","1673390","89002650"
"2023/02/21","28941020","2828330","74691080","18547280","125007710"
"2023/02/20","57799890","15070070","19443670","1031150","93344780"
"2023/02/17","128351040","22580000","47076300","311250","198318590"
"2023/02/16","27815030","0","39256290","599780","67671100"
"2023/02/15","31986790","0","122653740","3521660","158162190"
"2023/02/14","57305280","972310","84020390","2364420","144662400"
"2023/02/13","25754020","11088000","119361665","3529050","159732735"
"2023/02/10","5120620","9036100","32280560","8071980","54509260"
"2023/02/09","74357770","0","59056300","10396240","143810310"
"2023/02/08","20097460","0","85746080","105840","105949380"
"2023/02/07","19731180","2424000","63879060","237790","86272030"
"2023/02/06","37735370","0","26902210","1746900","66384480"
"2023/02/03","117946030","65580","144061870","50340","262123820"
"2023/02/02","64746380","25060","30729830","456990","95958260"
"2023/02/01","66964850",,"51538840","13562210","132065900"
"2023/01/31","11218360","0","146808085","29557960","187584405"
"2023/01/30","24884200","26507000","140128845","5238770","196758815"
"2023/01/27","79033290","20240","84350370","6107880","169511780"
"2023/01/26","53001170","8907590","55046520","7336980","124292260"
"2023/01/25","110559780","14472500","67077810","16795310","208905400"
"2023/01/20","70849150","9675020","158190330","7015280","245729780"
"2023/01/19","33413280","15150000","25550430","24596420","98710130"
"2023/01/18","132497200","16767160","148159115","9021530","306445005"
"2023/01/17","142330600","27770640","33815100","8037270","211953610"
"2023/01/16","306869840","23742500","200031260","4106835","534750435"
"2023/01/13","24707965","30564990","169578710","6124755","230976420"
"2023/01/12","75096880","19982490","140384135","29493300","264956805"
"2023/01/11","57999870","7963000","49065860","3017160","118045890"
"2023/01/10","53171095","9920","68842775","9710400","131734190"
"2023/01/09","71468320","14825","69007315","16806005","157296465"
"2023/01/06","39859830","5039130","108248770","15628520","168776250"
"2023/01/05","78989570","620730","193631855","23887780","297129935"
"2023/01/04","47586745","4379700","59196435","5209235","116372115"
"2023/01/03","18486315","4830","76775405","17875045","113141595"
"2023/01/02","18112115","331745","113049870","8507275","140001005"
"2022/12/29","2914240","4790","81515465","13917535","98352030"
"2022/12/28","16046400","0","115522850","9359690","140928940"
"2022/12/27","2657995","1906935","46159510","1959555","52683995"
"2022/12/26","24854465","4744755","30233955","465030","60298205"
"2022/12/23","20193125","612950","114580795","1601075","136987945"
"2022/12/22","50838445","32625","37634510","51465","88557045"
"2022/12/21","4372435","9320","93671090","116380","98169225"
"2022/12/20","32975745","3230590","107143855","10513910","153864100"
"2022/12/19","3062705","435240","93042670","5154045","101694660"
"2022/12/16","26698710",,"140044245","3653635","170396590"
"2022/12/15","8502660","4535","20775100","2285640","31567935"
"2022/12/14","18367200","24711220","17901755","2149270","63129445"
"2022/12/13","42261990","0","50544955","285330","93092275"
"2022/12/12","16814970","9140","48545675","14369290","79739075"
"2022/12/09","47224735","0","40790550","2645210","90660495"
"2022/12/08","16168910","3468240","61359465","7548055","88544670"
"2022/12/07","14194515","8697090","74420210","4760655","102072470"
"2022/12/06","99019860","10306500","83963235","1450135","194739730"
"2022/12/05","34591770","3063335","15876465","9818050","63349620"
"2022/12/02","52331085","4650","103891275","2224345","158451355"
"2022/12/01","42041225","5916925","12155750","25136315","85250215"
"2022/11/30","15659025","9155000","35895470","146500","60855995"
"2022/11/29","40136045","10183450","20763795","1260080","72343370"
"2022/11/28","2997425","7550775","75294420","23203075","109045695"
"2022/11/25","43661295","4500","57631950","3280130","104577875"
"2022/11/24","18409785","9000","49276600","3470330","71165715"
"2022/11/23","24814190","0","16624445","1030850","42469485"
"2022/11/22","200392530","0","52587060","50269345","303248935"
"2022/11/21","15809375","9100","34977870","9012080","59808425"
"2022/11/18","14373265","0","50341455","2773520","67488240"
