일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","527849430","4325000","523430710","25905965","1081511105"
"2023/05/03","584542440","34573320","440243455","121910495","1181269710"
"2023/05/02","395346070","619830","603942150","428305190","1428213240"
"2023/04/28","285423950","78460000","621850070","119996710","1105730730"
"2023/04/27","651494890","0","308267140","80965180","1040727210"
"2023/04/26","609103975","4330000","329003340","293890045","1236327360"
"2023/04/25","729257145","0","318176330","155967940","1203401415"
"2023/04/24","658569935","65275000","465929385","233477410","1423251730"
"2023/04/21","1348494125","0","412581920","75422760","1836498805"
"2023/04/20","795176180","18542100","492638400","30458715","1336815395"
"2023/04/19","637633180","18598780","699456240","111191360","1466879560"
"2023/04/18","737309565","101569435","590845950","99527870","1529252820"
"2023/04/17","361237340","0","637031435","97092200","1095360975"
"2023/04/14","582838005","0","1812120405","51121300","2446079710"
"2023/04/13","486130595","98459510","588796535","94909525","1268296165"
"2023/04/12","209918840","218162615","341726100","19325540","789133095"
"2023/04/11","444521630","210023165","386556460","50110870","1091212125"
"2023/04/10","213159315","19189000","804345595","80322190","1117016100"
"2023/04/07","264410980","0","124975135","106097205","495483320"
"2023/04/06","154483560","4420000","422155290","160044740","741103590"
"2023/04/05","349485115","0","570690215","88531145","1008706475"
"2023/04/04","239851290","17825","588948285","91701025","920518425"
"2023/04/03","263571220","12208420","708649975","83196630","1067626245"
"2023/03/31","218232770","81101065","849366060","186690065","1335389960"
"2023/03/30","157942295","0","580559985","129183080","867685360"
"2023/03/29","239020525","4280","488073185","28964325","756062315"
"2023/03/28","81419510","55690670","767148715","118294580","1022553475"
"2023/03/27","535400485","94238485","1745523455","139878140","2515040565"
"2023/03/24","144713005","0","586227695","65132865","796073565"
"2023/03/23","193720495","0","793647860","205269525","1192637880"
"2023/03/22","501954570","0","452754980","372341100","1327050650"
"2023/03/21","185533270","0","802737730","304680860","1292951860"
"2023/03/20","296361190","0","522326750","77197410","895885350"
"2023/03/17","33149560","22289455","691987965","737088415","1484515395"
"2023/03/16","78800320","4460000","517808595","34887375","635956290"
"2023/03/15","183656005","52975320","570576055","228406185","1035613565"
"2023/03/14","335648970","42272790","874298810","247225755","1499446325"
"2023/03/13","186214390","80415255","998231845","263973155","1528834645"
"2023/03/10","468627070","211693245","731167775","188480850","1599968940"
"2023/03/09","51919450","401935365","361390045","4294310","819539170"
"2023/03/08","180924550","0","665829510","51913675","898667735"
"2023/03/07","658226240","42633545","541278495","49141060","1291279340"
"2023/03/06","406828345","0","658847930","42000440","1107676715"
"2023/03/03","450993225","0","244934650","34344220","730272095"
"2023/03/02","930461850","232237225","316666325","111525600","1590891000"
"2023/02/28","909559745","9024505","293338240","89053125","1300975615"
"2023/02/27","300823890","0","747922030","41322055","1090067975"
"2023/02/24","223667620","0","337910340","39112525","600690485"
"2023/02/23","263132325","8995","323773830","211286345","798201495"
"2023/02/22","140952780","44990000","261547665","43393810","490884255"
"2023/02/21","210287135","2015970","297195660","86159365","595658130"
"2023/02/20","138660465","216250975","555726330","60753945","971391715"
"2023/02/17","174058275","9010","380662030","31023090","585752405"
"2023/02/16","372191970","8965","486485185","190588280","1049274400"
"2023/02/15","251753845","4975530","401949315","97652490","756331180"
"2023/02/14","319108960","116389680","405594030","212981745","1054074415"
"2023/02/13","274433260","82362220","897479885","268846970","1523122335"
"2023/02/10","133488475","46114160","405221115","48938335","633762085"
"2023/02/09","82758935","13830000","369049600","117305775","582944310"
"2023/02/08","135130220","5066885","426016745","47329970","613543820"
"2023/02/07","340171110","13804595","214751520","238476690","807203915"
"2023/02/06","270609220","0","616886765","184885825","1072381810"
"2023/02/03","132345595","350125355","1032817210","253954600","1769242760"
"2023/02/02","311357365","12118795","764414950","200694865","1288585975"
"2023/02/01","448258635","27643070","537645645","120180335","1133727685"
"2023/01/31","477959440","3588000","532619785","749348850","1763516075"
"2023/01/30","737055395","67680000","350024970","247656230","1402416595"
"2023/01/27","1335831755","9220","788740805","127122190","2251703970"
"2023/01/26","683938355","12257665","1268218460","132806905","2097221385"
"2023/01/25","306201290","71455600","2057987100","225234325","2660878315"
"2023/01/20","191073790","88801030","1006233505","44895335","1331003660"
"2023/01/19","176942840","254480455","803103390","85216525","1319743210"
"2023/01/18","333741750","23000000","946547395","85532790","1388821935"
"2023/01/17","387672225","13720","791273295","152212850","1331172090"
"2023/01/16","652118890","54751005","1309576075","73502485","2089948455"
"2023/01/13","451097940","7858620","1098907690","31474040","1589338290"
"2023/01/12","309161210","4429420","830019180","22380565","1165990375"
"2023/01/11","499732795","0","437734170","128416330","1065883295"
