일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","1460559","234524","33845483","2854493","38395059"
"2023/05/03","8562569","15223","70756177","571403","79905372"
"2023/05/02","187619","0","43914576","2043176","46145371"
"2023/04/28","141367","17143","67558105","4718487","72435102"
"2023/04/27","14723387","2954","131988103","9564135","156278579"
"2023/04/26","16462437","0","124913568","575404","141951409"
"2023/04/25","1066121","4238614","394885863","2058148","402248746"
"2023/04/24","984445","1998","99582791","5041754","105610988"
"2023/04/21","658790","0","128888375","2976139","132523304"
"2023/04/20","588563","3061","100700421","6614122","107906167"
"2023/04/19","7955354","0","588994555","7929911","604879820"
"2023/04/18","17543545","3004","883310130","3178328","904035007"
"2023/04/17","19014023","8025","273453884","2693214","295169146"
"2023/04/14","6808286","965","184604577","406116","191819944"
"2023/04/13","7198842","1902","73071637","1051809","81324190"
"2023/04/12","6151284","1887","69310862","336123","75800156"
"2023/04/11","4266272","923","98502781","11973","102781949"
"2023/04/10","6133048","912","101001751","373102","107508813"
"2023/04/07","1162822","913","66130341","1828","67295904"
"2023/04/06","848088","0","113309910","1106966","115264964"
"2023/04/05","363161","0","74031804","2537693","76932658"
"2023/04/04","210032","0","50584057","712338","51506427"
"2023/04/03","4041697","0","34366022","4462961","42870680"
"2023/03/31","173424","8136750","239308072","5979494","253597740"
"2023/03/30","4073613","1631370","50458929","6101080","62264992"
"2023/03/29","26948184","0","47691920","5436293","80076397"
"2023/03/28","6254080","0","17436909","5767191","29458180"
"2023/03/27","232049","899","43124865","2556786","45914599"
"2023/03/24","201161","1605950","118350767","4975488","125133366"
"2023/03/23","16113333","1298935","74461188","5403304","97276760"
"2023/03/22","26790","1693440","30108925","4595326","36424481"
"2023/03/21","93376","0","19463713","5457134","25014223"
"2023/03/20","59334","0","32293638","4741988","37094960"
"2023/03/17","1528567","12665","35812685","5464101","42818018"
"2023/03/16","19739359","7133","53589382","5220626","78556500"
"2023/03/15","953724","0","66412650","5342763","72709137"
"2023/03/14","34034496","1788","77332916","5789081","117158281"
"2023/03/13","3841508","7953","93309184","7092567","104251212"
"2023/03/10","510566","0","39189014","5211972","44911552"
"2023/03/09","3049888","1793","112798517","5031823","120882021"
"2023/03/08","995543","890","61942215","5170433","68109081"
"2023/03/07","698016","868449","90421364","5511280","97499109"
"2023/03/06","2864961","869","58272311","5236936","66375077"
