일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","435769100","625500","40873130","34000680","511268410"
"2023/05/03","34414595","32413005","49606600","40121345","156555545"
"2023/05/02","47848345","5359000","60406565","15103370","128717280"
"2023/04/28","106604505","0","60200350","30518080","197322935"
"2023/04/27","19897410","0","46242595","83215515","149355520"
"2023/04/26","21571440","0","109251215","40434350","171257005"
"2023/04/25","13729060","0","130784515","56663340","201176915"
"2023/04/24","187509240","245300","179769640","18056710","385580890"
"2023/04/21","164188450","0","246016285","28643885","438848620"
"2023/04/20","85314445","10866250","85236335","13728555","195145585"
"2023/04/19","557726890","10877500","131038115","61234285","760876790"
"2023/04/18","264289370","0","92007090","50758580","407055040"
"2023/04/17","205218785","1106270","140944365","34105960","381375380"
"2023/04/14","492051565","0","94236720","15140645","601428930"
"2023/04/13","453837010","191840","76598430","19835740","550463020"
"2023/04/12","553725225","0","216954505","25234730","795914460"
"2023/04/11","455884575","0","70038010","48734375","574656960"
"2023/04/10","505638345","13139020","119592635","38438080","676808080"
"2023/04/07","548863115","0","49125920","66283165","664272200"
"2023/04/06","569183150","0","22758675","30010035","621951860"
"2023/04/05","601886685","0","59016600","79505205","740408490"
"2023/04/04","39623425","0","22988685","20295020","82907130"
"2023/04/03","74922760","13161670","57481580","20493190","166059200"
"2023/03/31","120771870","315000","82499580","27057605","230644055"
"2023/03/30","86929660","0","61732905","38986595","187649160"
"2023/03/29","131264185","312900","61676420","52925605","246179110"
"2023/03/28","179404665","8560000","212918845","63135785","464019295"
"2023/03/27","227501605","0","183803385","70960665","482265655"
"2023/03/24","90454495","0","55448565","31443295","177346355"
"2023/03/23","84600570","0","54152525","37822970","176576065"
"2023/03/22","49555540","0","23948950","10058630","83563120"
"2023/03/21","57613635","0","15343750","15714285","88671670"
"2023/03/20","53837040","19602760","38795965","3424180","115659945"
"2023/03/17","63737775","1297525","21901460","38830","86975590"
"2023/03/16","86330990","0","70459475","28559390","185349855"
"2023/03/15","561591925","0","30113010","29610795","621315730"
"2023/03/14","52809925","0","103125365","59674585","215609875"
"2023/03/13","49140415","0","26692630","53323630","129156675"
"2023/03/10","19972970","1024775","43769395","21359405","86126545"
"2023/03/09","33207650","1025070","47346935","23462615","105042270"
"2023/03/08","38948190","0","60084810","24142815","123175815"
"2023/03/07","37438855","11229060","33820370","16082815","98571100"
"2023/03/06","118154385","0","39452570","21229940","178836895"
"2023/03/03","132289345","0","24532570","51348725","208170640"
"2023/03/02","31884060","0","91340865","43070330","166295255"
"2023/02/28","52668525","0","41905440","30636375","125210340"
"2023/02/27","62465340","0","65741780","48218725","176425845"
"2023/02/24","8202320","0","109536125","34464660","152203105"
"2023/02/23","27934490","0","27015190","33568960","88518640"
"2023/02/22","9582775","0","50264895","23538155","83385825"
"2023/02/21","9553855","628425","67765655","12931700","90879635"
"2023/02/20","23024665","629000","48535045","13074045","85262755"
"2023/02/17","19429360",,"34404240","7895935","61729535"
"2023/02/16","20305085","0","35297175","10554300","66156560"
"2023/02/15","55042795","8148725","63127445","34052880","160371845"
"2023/02/14","35066940","19869130","75107660","29822845","159866575"
"2023/02/13","73909250","0","31675695","33113965","138698910"
"2023/02/10","57131995","0","70777895","57894320","185804210"
"2023/02/09","43719440","0","40292300","16682805","100694545"
"2023/02/08","238319035","9090","102677715","40506780","381512620"
"2023/02/07","168167350","0","53226305","8037110","229430765"
"2023/02/06","98090830","0","25009715","13239640","136340185"
"2023/02/03","555340215","0","49016770","4434915","608791900"
"2023/02/02","214010265","11218810","37016480","4471775","266717330"
"2023/02/01","190692375","16507265","60344810","13399460","280943910"
"2023/01/31","227830540","16084705","49979555","6221020","300115820"
"2023/01/30","170929950","4131000","94556260","16812900","286430110"
"2023/01/27","150855040","13976575","26133125","15795940","206760680"
"2023/01/26","138521500","5866525","44831230","9476075","198695330"
"2023/01/25","192995435","37176445","26501150","16922850","273595880"
"2023/01/20","156711495","5862500","29408990","10550410","202533395"
"2023/01/19","173015810","48402305","14467610","31377740","267263465"
"2023/01/18","87922245","44106545","23870800","9079650","164979240"
"2023/01/17","93209270","2477150","32251365","22779035","150716820"
"2023/01/16","137133055","7363540","75262870","13490505","233249970"
"2023/01/13","108715470","2178850","91001005","8076880","209972205"
"2023/01/12","105884290","0","22027900","6557420","134469610"
"2023/01/11","119182100",,"18423705","12891655","150497460"
"2023/01/10","85039015",,"24640605","13510250","123189870"
"2023/01/09","70013805",,"50462365","35138170","155614340"
"2023/01/06","156178230","9060175","107526525","17263965","290028895"
"2023/01/05","116517560","16970420","179380230","51546735","364414945"
"2023/01/04","58490515","0","100829635","3558375","162878525"
"2023/01/03","52170000","307300","33881075","16044445","102402820"
"2023/01/02","89346270","0","61350765","10843685","161540720"
"2022/12/29","40871140","0","33045455","18107865","92024460"
"2022/12/28","51954425","0","16186285","6672160","74812870"
"2022/12/27","47868655","34859440","30726135","1139770","114594000"
"2022/12/26","8394210","6856345","88929075","12161400","116341030"
