일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","376312590","0","63269230","90369980","529951800"
"2023/05/03","68841230","0","172813870","30668880","272323980"
"2023/05/02","140192050","643750","264527320","23013550","428376670"
"2023/04/28","94892360","5110","200024570","63912460","358834500"
"2023/04/27","99959860","65457210","137589650","70047900","373054620"
"2023/04/26","181323980","316190","290655010","15370010","487665190"
"2023/04/25","350217130","0","158326635","32773945","541317710"
"2023/04/24","482376280","0","65406735","72764180","620547195"
"2023/04/21","180397070","0","124474520","51505390","356376980"
"2023/04/20","297700280","17750000","178374300","16874950","510699530"
"2023/04/19","226577470","17690000","96980980","22243080","363491530"
"2023/04/18","279067060","28667110","60175020","61157060","429066250"
"2023/04/17","124838590","15250130","140750280","119365260","400204260"
"2023/04/14","434946185","0","252718385","7369840","695034410"
"2023/04/13","255350655","0","159187435","9799500","424337590"
"2023/04/12","220585320","0","116612520","32759690","369957530"
"2023/04/11","170802850","0","82616320","41422780","294841950"
"2023/04/10","84267305","17993210","64864400","29276290","196401205"
"2023/04/07","178885040","0","129315110","28725190","336925340"
"2023/04/06","85200490","0","64655460","13051880","162907830"
"2023/04/05","87003650","0","156900340","2561770","246465760"
"2023/04/04","137176485","4985","188573665","2002320","327757455"
"2023/04/03","73910640","0","64613785","10253845","148778270"
"2023/03/31","61691265","0","79630540","32816755","174138560"
"2023/03/30","60232585","0","134415230","3694515","198342330"
"2023/03/29","127478950","5000","286327450","68546490","482357890"
"2023/03/28","80605830","0","79474140","6699575","166779545"
"2023/03/27","219111800","5010","151331215","28779545","399227570"
"2023/03/24","23363590","0","60951640","9190350","93505580"
"2023/03/23","122955050","0","135293900","12977810","271226760"
"2023/03/22","40462440","0","134637270","17035690","192135400"
"2023/03/21","6713590","0","133535840","5738300","145987730"
"2023/03/20","42637730","5030","97675135","15543550","155861445"
"2023/03/17","14528800","30150","83617060","46755500","144931510"
"2023/03/16","49869090","5000","160417090","24909850","235201030"
"2023/03/15","119314295","5050","113781810","9078560","242179715"
"2023/03/14","160249390","0","85179555","75674545","321103490"
"2023/03/13","107515430","0","157247610","20656830","285419870"
"2023/03/10","48329700","0","119298040","6726460","174354200"
"2023/03/09","94443990","50600","100805630","11183670","206483890"
"2023/03/08","29711810","0","63197260","6702080","99611150"
"2023/03/07","46731990","53218700","78389210","3108920","181448820"
"2023/03/06","47677060","0","60323680","7762390","115763130"
"2023/03/03","47157480","10280","62357120","14316600","123841480"
"2023/03/02","177378400","0","63840740","27050740","268269880"
"2023/02/28","57164560","0","82271580","6169410","145605550"
"2023/02/27","80474690","0","48259560","3386270","132120520"
"2023/02/24","110988680","5120","74499890","17812450","203306140"
"2023/02/23","72343110","0","127597230","7814180","207754520"
"2023/02/22","45103320","0","100737230","10832080","156672630"
"2023/02/21","34264820","0","150556170","25996960","210817950"
"2023/02/20","146565930","5050","192456970","14203190","353231140"
"2023/02/17","126192790","5140","37433610","2571270","166202810"
"2023/02/16","218675110","0","96535710","7752610","322963430"
"2023/02/15","51287070","0","39535810","27123230","117946110"
"2023/02/14","26076880","957590","170863010","21898620","219796100"
"2023/02/13","101389250","0","73369660","8472010","183230920"
"2023/02/10","85460550","0","137289850","14544900","237295300"
"2023/02/09","236444970","11230900","83035400","26185410","356896680"
"2023/02/08","107384630","0","128829220","7669340","243883190"
"2023/02/07","50621610","26119040","47596630","33368590","157705870"
"2023/02/06","36924400","1288700","119165270","26138920","183517290"
"2023/02/03","28230680","53080","27988970","1808720","58081450"
"2023/02/02","62751520","15143600","173289960","30060030","281245110"
"2023/02/01","72300930",,"139447650","18778820","230527400"
"2023/01/31","77526050","0","135942810","12512220","225981080"
"2023/01/30","68777430","1606640","99978720","42406810","212769600"
"2023/01/27","75954430","5390","190203400","22535020","288698240"
"2023/01/26","154462240","9421110","115709750","40600660","320193760"
"2023/01/25","58309210","10537690","116875360","17360870","203083130"
"2023/01/20","549549590","9450000","105630880","34054270","698684740"
"2023/01/19","47886370","0","85527320","27333240","160746930"
"2023/01/18","190183310","984430","139038220","73759820","403965780"
"2023/01/17","268933610","5475450","238041690","30960960","543411710"
"2023/01/16","249276140","9433630","78774790","11368690","348853250"
"2023/01/13","44654170","631770","130566650","16195070","192047660"
"2023/01/12","189922550","15980","156495640","2641550","349075720"
"2023/01/11","54264460","5340","62735870","17702330","134708000"
"2023/01/10","78335030","16120","53085190","8488820","139925160"
"2023/01/09","76095410","0","184553430","25861100","286509940"
"2023/01/06","140655950","16090","151491600","16439420","308603060"
"2023/01/05","39054290","3356250","185512490","23962730","251885760"
"2023/01/04","115610460","10650","89828360","24818460","230267930"
"2023/01/03","43313410","11293020","301887360","23548400","380042190"
"2023/01/02","40912020","16150","223472050","20088500","284488720"
"2022/12/29","50609920","5350","309294390","12485590","372395250"
"2022/12/28","44777340","0","212038140","10093790","266909270"
"2022/12/27","68112550","4382840","180084150","68459150","321038690"
"2022/12/26","200067090","311940","364589760","123204270","688173060"
"2022/12/23","197528360","512414820","274188460","37281130","1021412770"
"2022/12/22","211190710","20830","118499960","70881120","400592620"
"2022/12/21","139834580","322588270","289802270","75682330","827907450"
"2022/12/20","259471970","205398960","145840990","141309090","752021010"
"2022/12/19","283990310","22950750","241849110","62879985","611670155"
"2022/12/16","195136750","449005400","266315860","66407785","976865795"
"2022/12/15","216722195","0","133632755","57055760","407410710"
"2022/12/14","228060035","22035500","176114120","52208020","478417675"
"2022/12/13","140671235","2044350","144399705","63402610","350517900"
"2022/12/12","122391520","0","120068635","24361180","266821335"
"2022/12/09","183498225","0","86009970","7516600","277024795"
"2022/12/08","104853405","0","70334405","14119030","189306840"
"2022/12/07","47069315","36852000","152568535","24714500","261204350"
"2022/12/06","109058855","0","57699130","48206955","214964940"
"2022/12/05","174410365","1996910","103944340","41447220","321798835"
"2022/12/02","176767100",,"161709475","19705915","358182490"
"2022/12/01","199474605","1998880","171245825","49919495","422638805"
"2022/11/30","144334790","293891325","49296655","51432155","538954925"
"2022/11/29","37298900",,"176504300","37889060","251692260"
"2022/11/28","132447715","0","177171265","20006290","329625270"
"2022/11/25","28398960","20006000","303922150","14527985","366855095"
"2022/11/24","151157345","23773660","99989490","8529670","283450165"
"2022/11/23","63735510","12258000","74221765","15208825","165424100"
"2022/11/22","90428435","0","71480705","29149675","191058815"
"2022/11/21","150302515",,"86711015","27281585","264295115"
"2022/11/18","108730275",,"67311115","45623100","221664490"
"2022/11/17","155641425",,"59421190","56027485","271090100"
"2022/11/16","288212845","0","239244355","74249770","601706970"
"2022/11/15","26070930",,"235963520","21270845","283305295"
"2022/11/14","242215040",,"79219605","65156275","386590920"
"2022/11/11","237415810",,"250670085","102013005","590098900"
"2022/11/10","115651265","0","77998790","28811445","222461500"
"2022/11/09","172172170",,"77585910","19482925","269241005"
"2022/11/08","171287175","0","68859785","18475905","258622865"
