일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","8625526190","0","408308305","68167010","9102001505"
"2023/05/03","135815195","54740","56022465","44368115","236260515"
"2023/05/02","144114510","91200","137094310","76303800","357603820"
"2023/04/28","143697580","45420740","95877720","61788470","346784510"
"2023/04/27","246249000","116570","185189020","52969190","484523780"
"2023/04/26","541166220","8645150","249751600","44550020","844112990"
"2023/04/25","854468740","266550","1353672700","376728310","2585136300"
"2023/04/24","477437470","215403400","507662080","209043210","1409546160"
"2023/04/21","216384430","1022956420","625985260","272129560","2137455670"
"2023/04/20","227898170","120515","801496265","629907525","1659422475"
"2023/04/19","56353310","0","95240455","136232175","287825940"
"2023/04/18","120662820","0","86999430","182621505","390283755"
"2023/04/17","162678560","222270","277714695","199412085","640027610"
"2023/04/14","244355240","8270260","317770805","343225495","913621800"
"2023/04/13","331856100","407950","522783430","413425245","1268472725"
"2023/04/12","63586810","19880","365373295","187057810","616037795"
"2023/04/11","494468195","138185","255714145","111128705","861449230"
"2023/04/10","60175595","102995","565891190","227156905","853326685"
"2023/04/07","117983845","19750","204385835","145158320","467547750"
"2023/04/06","970736860","2325835","693452625","840526275","2507041595"
"2023/04/05","320202540","5175290","1385958035","567622535","2278958400"
"2023/04/04","115877675","30913940","553263675","429978925","1130034215"
"2023/04/03","26666050","42860000","815282770","360234835","1245043655"
"2023/03/31","8810105","14591810","659358445","240698070","923458430"
"2023/03/30","252214710","13645000","420001760","164523360","850384830"
"2023/03/29","354251215","11472060","982214480","621469935","1969407690"
"2023/03/28","459840450","20559750","1899211010","783058740","3162669950"
"2023/03/27","1978475735","61441320","4332427435","6613640510","12985985000"
