일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","118762","0","59154","19202","197118"
"2023/05/03","93408","0","36377","64882","194667"
"2023/05/02","21824","324","50368","22989","95505"
"2023/04/28","138390","183","91022","64065","293660"
"2023/04/27","141032","0","21846","44127","207005"
"2023/04/26","30983","300","50733","61457","143473"
"2023/04/25","275397","0","39949","27096","342442"
"2023/04/24","273473","0","35186","45329","353988"
"2023/04/21","120356","0","37964","89938","248258"
"2023/04/20","176187","3501","50307","64337","294332"
"2023/04/19","173536","3500","33283","102606","312925"
"2023/04/18","116339","1","27433","24213","167986"
"2023/04/17","130201","80","62642","15156","208079"
"2023/04/14","51924","70","37877","76795","166666"
"2023/04/13","30965","0","32724","44430","108119"
"2023/04/12","42797","160","65170","113215","221342"
"2023/04/11","98075","3084","41051","66398","208608"
"2023/04/10","56912","0","32791","21086","110789"
"2023/04/07","86076","0","34299","20789","141164"
"2023/04/06","44890","903","87711","44923","178427"
"2023/04/05","54224","0","73790","16774","144788"
"2023/04/04","43791","0","69633","52182","165606"
"2023/04/03","64493","0","60472","55980","180945"
"2023/03/31","56759","1","56856","68826","182442"
"2023/03/30","79213","100","76623","31457","187393"
"2023/03/29","26226",,"32706","21453","80385"
"2023/03/28","67006","0","40946","41348","149300"
"2023/03/27","107863","0","53295","22790","183948"
"2023/03/24","58725","0","44629","20704","124058"
"2023/03/23","100932","0","37510","177086","315528"
"2023/03/22","65707","4000","23238","82748","175693"
"2023/03/21","57606","0","39172","46791","143569"
"2023/03/20","94112","0","53737","67671","215520"
"2023/03/17","97672","6","41248","377858","516784"
"2023/03/16","8590","0","55948","56862","121400"
"2023/03/15","40493","0","66300","56877","163670"
"2023/03/14","85621","0","59606","60891","206118"
"2023/03/13","57682","1000","83739","21528","163949"
"2023/03/10","71688","0","39473","172252","283413"
"2023/03/09","70232","0","50741","205803","326776"
"2023/03/08","33563","0","41189","111507","186259"
"2023/03/07","78909","7848","21123","72742","180622"
"2023/03/06","84576","5914","24164","46750","161404"
"2023/03/03","89415","0","18275","56612","164302"
"2023/03/02","96612","0","40195","70456","207263"
"2023/02/28","56032","0","13309","141133","210474"
"2023/02/27","28165","0","32158","17848","78171"
"2023/02/24","88558","0","38836","12760","140154"
"2023/02/23","88869","0","27510","45088","161467"
"2023/02/22","82051","0","14865","22491","119407"
"2023/02/21","51562","0","19271","41499","112332"
"2023/02/20","58676","0","24755","18244","101675"
"2023/02/17","78615","0","49364","14459","142438"
"2023/02/16","83985","100","24556","13567","122208"
"2023/02/15","81164","3005","22001","15851","122021"
"2023/02/14","71101","0","10855","7838","89794"
"2023/02/13","64655","0","69247","66964","200866"
"2023/02/10","86931","301","18140","135731","241103"
"2023/02/09","18709","1012","102766","50682","173169"
"2023/02/08","72524","0","28730","24306","125560"
"2023/02/07","17937","0","61999","53540","133476"
"2023/02/06","57623","0","33557","251730","342910"
"2023/02/03","170745","1","35696","202650","409092"
"2023/02/02","32207","1652","79198","46693","159750"
"2023/02/01","108467","1","26186","205202","339856"
"2023/01/31","141280","7654","23197","76174","248305"
"2023/01/30","207763","1","41848","134990","384602"
"2023/01/27","142367","0","41656","182817","366840"
"2023/01/26","64175","1750","29306","146773","242004"
"2023/01/25","104725","1750","67139","130108","303722"
"2023/01/20","24746","1750","108607","57037","192140"
"2023/01/19","66805","0","41610","113290","221705"
"2023/01/18","150951","14836","136300","212171","514258"
"2023/01/17","117128","36000","50097","115200","318425"
"2023/01/16","174300","12354","123015","59895","369564"
"2023/01/13","127961","249","70360","23225","221795"
"2023/01/12","76310","150","159294","42292","278046"
"2023/01/11","40124","1850","27806","52490","122270"
"2023/01/10","33795","0","28524","35235","97554"
"2023/01/09","61741","0","34012","87195","182948"
"2023/01/06","79924","102","70166","113337","263529"
"2023/01/05","69025","0","62293","29831","161149"
"2023/01/04","55827","0","26757","10835","93419"
"2023/01/03","7666","1707","39132","66472","114977"
"2023/01/02","5842","0","48875","16750","71467"
"2022/12/29","34637","0","142069","275294","452000"
"2022/12/28","95717","0","143143","127017","365877"
"2022/12/27","108403","0","18446","94037","220886"
"2022/12/26","113391","200","113938","50094","277623"
"2022/12/23","100110","300","42746","83560","226716"
"2022/12/22","117150","300","53830","130321","301601"
"2022/12/21","85175","0","38766","89719","213660"
"2022/12/20","97076","2990","29109","54186","183361"
"2022/12/19","68151","1","22483","63314","153949"
"2022/12/16","80433","5001","66498","152698","304630"
"2022/12/15","100966","76","64912","54569","220523"
"2022/12/14","97233","11059","83102","35595","226989"
"2022/12/13","130336","277","83210","177638","391461"
"2022/12/12","85574","0","17674","100815","204063"
"2022/12/09","104360","0","52657","184468","341485"
"2022/12/08","92491","0","32546","47284","172321"
"2022/12/07","101540","0","51802","94747","248089"
"2022/12/06","117693","0","20579","36380","174652"
"2022/12/05","108823","8","98323","21368","228522"
"2022/12/02","109851","0","90054","69569","269474"
"2022/12/01","109793","0","65333","16087","191213"
"2022/11/30","148346","0","121820","49199","319365"
"2022/11/29","114428","4663","68937","51287","239315"
"2022/11/28","125357","0","129738","102405","357500"
"2022/11/25","133949","19852","135357","34237","323395"
"2022/11/24","152741","0","72230","129811","354782"
"2022/11/23","78828","0","120988","122556","322372"
"2022/11/22","150085","0","74706","79069","303860"
"2022/11/21","141959","12418","55309","174133","383819"
"2022/11/18","165260","24771","156567","146851","493449"
"2022/11/17","152483","1","33559","191462","377505"
"2022/11/16","160286","5500","64986","215644","446416"
"2022/11/15","156171","0","25400","273960","455531"
"2022/11/14","163950","101","20194","469339","653584"
"2022/11/11","71881","600","199737","358580","630798"
"2022/11/10","150711","0","67875","207370","425956"
"2022/11/09","166342",,"64811","122300","353453"
"2022/11/08","153370","1","35147","246085","434603"
