일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","11469","9","23547","2528","37553"
"2023/05/03","12189","0","14570","2833","29592"
"2023/05/02","13053","0","4485","3395","20933"
"2023/04/28","12159",,"10739","487","23385"
"2023/04/27","12049","0","9202","7035","28286"
"2023/04/26","8443","0","8991","5270","22704"
"2023/04/25","77891","0","17212","7739","102842"
"2023/04/24","46420",,"8958","7980","63358"
"2023/04/21","37356","0","12533","8589","58478"
"2023/04/20","52216","0","13846","3387","69449"
"2023/04/19","31744",,"15393","3504","50641"
"2023/04/18","36729","0","18749","4839","60317"
"2023/04/17","10442",,"31478","4300","46220"
"2023/04/14","38388","0","44561","4072","87021"
"2023/04/13","17633","0","18568","1278","37479"
"2023/04/12","16843","0","32287","491","49621"
"2023/04/11","8835","0","14939","2529","26303"
"2023/04/10","15076","0","15320","4039","34435"
"2023/04/07","15956","0","12233","2687","30876"
"2023/04/06","14765","0","24982","7410","47157"
"2023/04/05","14396","0","10933","7733","33062"
"2023/04/04","15162","0","9652","5083","29897"
"2023/04/03","5747","0","24089","1311","31147"
"2023/03/31","43639","0","31909","5481","81029"
"2023/03/30","32198","0","19734","139","52071"
"2023/03/29","861","0","18348","3","19212"
"2023/03/28","3532","0","14768","1753","20053"
"2023/03/27","15754","0","41162","6047","62963"
"2023/03/24","4980","0","11899","842","17721"
"2023/03/23","2223","0","24558","4039","30820"
"2023/03/22","12944","0","17596","5126","35666"
"2023/03/21","7563","0","12208","3416","23187"
"2023/03/20","907","0","8453","3078","12438"
"2023/03/17","2753","0","13676","1299","17728"
"2023/03/16","25628","0","12497","760","38885"
"2023/03/15","12270","0","21935","2706","36911"
"2023/03/14","50094","0","21061","3281","74436"
"2023/03/13","13593","0","41674","9424","64691"
"2023/03/10","1865","0","47039","6026","54930"
"2023/03/09","948","5","10789","3141","14883"
"2023/03/08","220","55","23073","1242","24590"
"2023/03/07","1374","0","19743","2513","23630"
"2023/03/06","22791",,"9055","4707","36553"
"2023/03/03","4180","0","8496","2001","14677"
"2023/03/02","14741","0","19451","1690","35882"
"2023/02/28","4686","0","21583","6646","32915"
"2023/02/27","12458","0","52718","2117","67293"
"2023/02/24","16886",,"28886","3994","49766"
"2023/02/23","13623","0","25965","6097","45685"
"2023/02/22","228",,"29773","1869","31870"
"2023/02/21","9643",,"16620","3410","29673"
"2023/02/20","1958",,"32034","3599","37591"
"2023/02/17","3189","0","12724","3459","19372"
"2023/02/16","8972","0","14769","3652","27393"
"2023/02/15","7592","0","30158","4142","41892"
"2023/02/14","1634","422","33559","5214","40829"
"2023/02/13","9585",,"16198","1691","27474"
"2023/02/10","4362","0","21644","11026","37032"
"2023/02/09","5670",,"6257","2341","14268"
"2023/02/08","1562","0","27020","2345","30927"
"2023/02/07","5457","0","10874","1954","18285"
"2023/02/06","5085",,"15090","3393","23568"
"2023/02/03","38461","0","23206","4499","66166"
"2023/02/02","185816","0","10582","16153","212551"
"2023/02/01","74696",,"17325","2590","94611"
"2023/01/31","41350","7982","64367","15560","129259"
"2023/01/30","112851","0","65048","18286","196185"
"2023/01/27","74829","2642","138812","22568","238851"
"2023/01/26","75180","37","105443","64379","245039"
"2023/01/25","10178","12962","165396","5526","194062"
"2023/01/20","11218","0","33722","5496","50436"
"2023/01/19","11248","0","16060","15169","42477"
"2023/01/18","21981","0","32536","15048","69565"
"2023/01/17","53135","0","78370","10307","141812"
"2023/01/16","43180","0","110050","7340","160570"
"2023/01/13","21048","6493","23802","1111","52454"
"2023/01/12","6322","1136","14869","4663","26990"
"2023/01/11","13203","500","31692","4174","49569"
"2023/01/10","7468",,"19322","5518","32308"
