일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","13165","547","34843","2333","50888"
"2023/05/03","23120","54000","10774","16430","104324"
"2023/05/02","20706","91","22660","3357","46814"
"2023/04/28","44345","0","10511","3007","57863"
"2023/04/27","21988","0","4050","6721","32759"
"2023/04/26","14194","0","21100","3739","39033"
"2023/04/25","15282","0","22692","5729","43703"
"2023/04/24","8996","1000","43975","9622","63593"
"2023/04/21","40972","0","40556","3183","84711"
"2023/04/20","16870","3500","25748","1839","47957"
"2023/04/19","78691","3500","48934","17497","148622"
"2023/04/18","53581","18704","41378","13167","126830"
"2023/04/17","127954","0","11977","33743","173674"
"2023/04/14","150264","0","36648","22354","209266"
"2023/04/13","119872","4923","33251","37587","195633"
"2023/04/12","144375","0","35533","26828","206736"
"2023/04/11","162870","1","25234","33434","221539"
"2023/04/10","41061","77","34289","27790","103217"
"2023/04/07","139203","0","18581","35914","193698"
"2023/04/06","133836","0","17999","75891","227726"
"2023/04/05","139000","62","36496","53345","228903"
"2023/04/04","34412","0","31285","17812","83509"
"2023/04/03","33885","1440","31715","18478","85518"
"2023/03/31","47112","0","27837","15581","90530"
"2023/03/30","19830","0","15296","5437","40563"
"2023/03/29","25678","0","13882","6936","46496"
"2023/03/28","34705","0","24478","16508","75691"
"2023/03/27","26229","0","53822","18362","98413"
"2023/03/24","16434","0","25542","6448","48424"
"2023/03/23","21990","0","15450","13127","50567"
"2023/03/22","8021","0","34531","6114","48666"
"2023/03/21","1701","100","18113","13378","33292"
"2023/03/20","6657","0","22227","20108","48992"
"2023/03/17","4577","0","40274","18540","63391"
"2023/03/16","2276","100","78058","21118","101552"
"2023/03/15","182312","0","26016","50766","259094"
"2023/03/14","114955","0","29443","34801","179199"
"2023/03/13","231009","100","138580","76133","445822"
"2023/03/10","19369","0","89900","18357","127626"
"2023/03/09","14885","0","16635","9917","41437"
"2023/03/08","12442","300","23814","18697","55253"
"2023/03/07","56882","0","22593","13495","92970"
"2023/03/06","5750","0","25959","8025","39734"
"2023/03/03","15734","0","22884","15629","54247"
"2023/03/02","15429","0","14762","13111","43302"
"2023/02/28","11652","0","21169","7657","40478"
"2023/02/27","6857","100","26369","9817","43143"
"2023/02/24","16873","100","36986","10649","64608"
"2023/02/23","41093","0","20936","9061","71090"
"2023/02/22","21848","100","14050","6219","42217"
"2023/02/21","26710","0","43557","10174","80441"
"2023/02/20","10803","0","32052","6060","48915"
"2023/02/17","31296","0","35553","6277","73126"
"2023/02/16","39218","0","65972","15191","120381"
"2023/02/15","53863","0","18555","16243","88661"
"2023/02/14","18658","0","13396","6490","38544"
"2023/02/13","14821","0","16238","3364","34423"
"2023/02/10","7586","0","18798","2362","28746"
"2023/02/09","24833","0","59451","1663","85947"
"2023/02/08","54041","0","22195","5019","81255"
"2023/02/07","78826","0","54749","5963","139538"
"2023/02/06","54203","0","59302","9454","122959"
"2023/02/03","83480","0","19892","33827","137199"
"2023/02/02","61464","3000","91349","2851","158664"
"2023/02/01","43802","0","44257","3764","91823"
"2023/01/31","24478","6175","38229","2767","71649"
"2023/01/30","32065","0","39238","8461","79764"
"2023/01/27","50843","12129","53560","6229","122761"
"2023/01/26","51373","15750","49586","29722","146431"
"2023/01/25","44505","4429","37564","25933","112431"
"2023/01/20","57172","1831","102252","27394","188649"
"2023/01/19","207206","161","33925","31619","272911"
"2023/01/18","101800","30341","111319","15368","258828"
"2023/01/17","180379","20","22048","33395","235842"
"2023/01/16","128395","2376","117699","15924","264394"
"2023/01/13","24580","169","35695","9756","70200"
"2023/01/12","43645","0","38893","13506","96044"
"2023/01/11","39126","5000","15283","13231","72640"
"2023/01/10","61918","0","35007","21423","118348"
"2023/01/09","94692","0","16747","39616","151055"
"2023/01/06","80988","3421","32715","33171","150295"
"2023/01/05","148600","11852","215561","36286","412299"
"2023/01/04","106616","0","46199","12805","165620"
"2023/01/03","36486","0","80042","32673","149201"
"2023/01/02","37744","0","26661","23388","87793"
"2022/12/29","14034","400","127258","35259","176951"
"2022/12/28","43920","300","59501","45860","149581"
"2022/12/27","89355","0","116850","45560","251765"
"2022/12/26","31661","0","25519","41344","98524"
"2022/12/23","65606","0","56133","33486","155225"
"2022/12/22","109523","27600","59220","20976","217319"
"2022/12/21","77648","25000","20662","6352","129662"
"2022/12/20","68228","24000","55245","55090","202563"
"2022/12/19","44387","0","15111","16182","75680"
"2022/12/16","51398","300","89081","11278","152057"
"2022/12/15","118115","0","31461","7298","156874"
"2022/12/14","53802","0","24903","4602","83307"
"2022/12/13","53813","2","55535","6366","115716"
"2022/12/12","81684","0","15075","11925","108684"
"2022/12/09","64914","0","10236","14005","89155"
"2022/12/08","30503","300","30118","21044","81965"
"2022/12/07","82519","0","75510","31367","189396"
"2022/12/06","63559","1923","89681","28921","184084"
"2022/12/05","145057","4173","46571","13815","209616"
"2022/12/02","135428","0","31910","7409","174747"
"2022/12/01","165499","2000","110505","15798","293802"
"2022/11/30","110446","0","34981","4442","149869"
"2022/11/29","136329","0","39203","5123","180655"
"2022/11/28","95775","200","68082","18342","182399"
"2022/11/25","81698","0","29554","653","111905"
"2022/11/24","16837","0","27390","1895","46122"
"2022/11/23","53820","0","27235","3330","84385"
"2022/11/22","51540","0","26333","7000","84873"
"2022/11/21","41720","1000","40268","17035","100023"
"2022/11/18","27593","0","43166","4244","75003"
"2022/11/17","80445","0","129096","17294","226835"
"2022/11/16","119737","200","19516","8113","147566"
"2022/11/15","58824","0","22220","14635","95679"
"2022/11/14","184335","1","52380","16774","253490"
"2022/11/11","106364","300","86413","12255","205332"
"2022/11/10","62073","0","52951","12497","127521"
"2022/11/09","99422","1150","59437","5464","165473"
"2022/11/08","112771","0","10484","2095","125350"
"2022/11/07","86394","1000","17274","6322","110990"
"2022/11/04","69167","0","47473","24528","141168"
"2022/11/03","168673","2463","111751","49435","332322"
"2022/11/02","184619","748","222472","45038","452877"
"2022/11/01","96536","1252","32174","5384","135346"
"2022/10/31","185087","600","38641","17427","241755"
"2022/10/28","163672","800","40360","21500","226332"
"2022/10/27","244421","13910","92752","7801","358884"
"2022/10/26","236350","9431","16227","21924","283932"
"2022/10/25","312525","11064","29928","45341","398858"
"2022/10/24","259356","800","76921","29106","366183"
"2022/10/21","279534","500","50014","7160","337208"
"2022/10/20","246743","4700","48945","14350","314738"
"2022/10/19","311194","300","178524","23555","513573"
"2022/10/18","234660","5601","58331","4299","302891"
"2022/10/17","122795","400","19002","11467","153664"
"2022/10/14","96309","0","33067","6466","135842"
"2022/10/13","214638","13763","53549","52685","334635"
"2022/10/12","211012","0","54914","47508","313434"
"2022/10/11","79613","7514","26770","20295","134192"
"2022/10/07","41083","0","8403","1282","50768"
"2022/10/06","76149","8349","38335","6496","129329"
"2022/10/05","33333","1000","13444","1104","48881"
"2022/10/04","25217","2503","7123","434","35277"
"2022/09/30","30080","8021","5820","4147","48068"
"2022/09/29","9391","0","7414","5034","21839"
"2022/09/28","22793","700","10475","1366","35334"
"2022/09/27","19657","5000","11944","5752","42353"
"2022/09/26","54639","50","32799","15446","102934"
"2022/09/23","13027","5101","8225","3554","29907"
"2022/09/22","10181","0","12222","1456","23859"
"2022/09/21","15740","0","1173","531","17444"
"2022/09/20","61359","0","2823","873","65055"
"2022/09/19","10836","0","7228","1055","19119"
"2022/09/16","4799","0","76641","1351","82791"
"2022/09/15","1322","0","9689","256","11267"
"2022/09/14","9389","0","13443","104","22936"
"2022/09/13","2141","0","11663","335","14139"
"2022/09/08","1741","0","10997","1139","13877"
"2022/09/07","11940","0","5433","2225","19598"
"2022/09/06","5533","0","7695","0","13228"
"2022/09/05","10957","0","13422","590","24969"
"2022/09/02","4939","0","27137","7870","39946"
"2022/09/01","7900","0","150560","10410","168870"
"2022/08/31","5271","6","9032","412","14721"
"2022/08/30","35398","0","10287","1134","46819"
"2022/08/29","31908","0","8838","3833","44579"
"2022/08/26","47761","50","27719","2002","77532"
"2022/08/25","20937","0","4120","654","25711"
"2022/08/24","9867","0","13884","2576","26327"
"2022/08/23","3543","30","7655","1459","12687"
"2022/08/22","2675","60","14845","1583","19163"
"2022/08/19","3501","505","8301","76","12383"
"2022/08/18","4134","0","10021","163","14318"
"2022/08/17","1318","0","11158","21","12497"
"2022/08/16","23606","0","26094","819","50519"
"2022/08/12","32699","100","17708","900","51407"
"2022/08/11","34334","0","9720","2850","46904"
"2022/08/10","21196","0","5584","2453","29233"
"2022/08/09","44302","0","5523","2570","52395"
"2022/08/08","3128","19","6767","397","10311"
"2022/08/05","22485","22","12579","2898","37984"
"2022/08/04","8021","80","13889","2533","24523"
"2022/08/03","28653","7824","8181","7884","52542"
"2022/08/02","8458","670","21061","2363","32552"
"2022/08/01","19917","810","28406","8628","57761"
"2022/07/29","44616","2378","41698","3821","92513"
"2022/07/28","16173","0","6206","680","23059"
"2022/07/27","29171","1389","12089","556","43205"
"2022/07/26","14048","0","11658","1470","27176"
"2022/07/25","8151","0","30293","90","38534"
"2022/07/22","31859","0","53815","5928","91602"
"2022/07/21","42919","0","40136","1765","84820"
"2022/07/20","39275","0","10521","12101","61897"
"2022/07/19","32767","0","84241","4043","121051"
"2022/07/18","19202","0","14817","1965","35984"
"2022/07/15","36828","0","24434","860","62122"
"2022/07/14","1643",,"15516","1740","18899"
"2022/07/13","6930","0","13149","408","20487"
"2022/07/12","11117","0","23956","5145","40218"
"2022/07/11","6595","0","27788","1665","36048"
"2022/07/08","10332","12252","18599","215","41398"
"2022/07/07","1463","70","28337","825","30695"
"2022/07/06","13810","0","20362","6569","40741"
"2022/07/05","28710","0","31784","11906","72400"
