일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","2771","0","6616","10","9397"
"2023/05/03","1203","219","5726","69","7217"
"2023/05/02","1756","0","3753","35","5544"
"2023/04/28","2529","1","10141","607","13278"
"2023/04/27","100","0","12503","204","12807"
"2023/04/26","465","0","9222","567","10254"
"2023/04/25","999","0","9831","678","11508"
"2023/04/24","1161",,"4452","1010","6623"
"2023/04/21","2842",,"2357","231","5430"
"2023/04/20","754",,"2185","477","3416"
"2023/04/19","1293","0","9704","154","11151"
"2023/04/18","5104",,"11266","149","16519"
"2023/04/17","1114",,"7669","211","8994"
"2023/04/14","977","305","10232","900","12414"
"2023/04/13","57","2172","1617","0","3846"
"2023/04/12","4423","0","20682","5","25110"
"2023/04/11","252","0","7604","497","8353"
"2023/04/10","166","2004","14814","361","17345"
"2023/04/07","806","2","18137","54","18999"
"2023/04/06","1525","0","11785","1789","15099"
"2023/04/05","6321","1","2735","94","9151"
"2023/04/04","344","0","7980","182","8506"
"2023/04/03","523","1","5331","44","5899"
"2023/03/31","1355","1","4911","635","6902"
"2023/03/30","130",,"4989","356","5475"
"2023/03/29","4246","1","3182","377","7806"
"2023/03/28","4821","0","2245","1596","8662"
"2023/03/27","6309","2","12429","2638","21378"
"2023/03/24","0","0","7809","479","8288"
"2023/03/23","223","2","15747","262","16234"
"2023/03/22","12838","0","11577","1204","25619"
"2023/03/21","6073","1","11411","588","18073"
"2023/03/20","8313","169","6858","837","16177"
"2023/03/17","4778","7","6055","30","10870"
"2023/03/16","4470","0","5070","696","10236"
"2023/03/15","5880","1","2043","283","8207"
"2023/03/14","1879","0","6248","1051","9178"
"2023/03/13","1266","1","21595","846","23708"
"2023/03/10","538",,"847","502","1887"
"2023/03/09","151","1","265","192","609"
"2023/03/08","22","1","14681","651","15355"
"2023/03/07","2610","0","7558","144","10312"
"2023/03/06","3544","380","6355","271","10550"
"2023/03/03","3036","0","1749","1295","6080"
"2023/03/02","163","1","6391","265","6820"
"2023/02/28","779","201","11033","750","12763"
"2023/02/27","822","0","6775","419","8016"
