일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","72457","0","89495","28825","190777"
"2023/05/03","22630","0","27124","5644","55398"
"2023/05/02","8991","63","39812","6140","55006"
"2023/04/28","7171","0","39554","6596","53321"
"2023/04/27","43590","0","28676","25397","97663"
"2023/04/26","24369","0","39589","8438","72396"
"2023/04/25","121421","0","30171","23517","175109"
"2023/04/24","132479","0","39195","21167","192841"
"2023/04/21","142740","0","40583","35821","219144"
"2023/04/20","126197","2215","66593","34279","229284"
"2023/04/19","68502","3532","24608","26863","123505"
"2023/04/18","77746","20570","78859","12154","189329"
"2023/04/17","77855","402","33394","30292","141943"
"2023/04/14","206032","0","38109","2830","246971"
"2023/04/13","53780","0","40059","15994","109833"
"2023/04/12","51895","178","54497","1817","108387"
"2023/04/11","31136","0","52491","15236","98863"
"2023/04/10","23945","35307","41039","7983","108274"
"2023/04/07","13201","18000","23858","9714","64773"
"2023/04/06","28608","36287","93809","21099","179803"
"2023/04/05","70643","4910","31184","18315","125052"
"2023/04/04","79196","22946","53632","8694","164468"
"2023/04/03","66073","2094","44785","24621","137573"
"2023/03/31","79801","2089","27422","15023","124335"
"2023/03/30","18120","0","28743","10603","57466"
"2023/03/29","29466","0","33441","12125","75032"
"2023/03/28","89420","50","70404","17129","177003"
"2023/03/27","76129","13500","73238","11463","174330"
"2023/03/24","25910","5816","17172","16563","65461"
"2023/03/23","38715","0","26710","6546","71971"
"2023/03/22","46274","0","40408","6230","92912"
"2023/03/21","34427","0","28468","17689","80584"
"2023/03/20","46131","0","41373","28706","116210"
"2023/03/17","43339","1","30900","79847","154087"
"2023/03/16","36091","0","26053","6468","68612"
"2023/03/15","76785","1267","15521","6704","100277"
"2023/03/14","39020","7956","39840","25116","111932"
"2023/03/13","39436","0","41652","8778","89866"
"2023/03/10","37198","0","35671","9194","82063"
"2023/03/09","23912","499","14787","751","39949"
"2023/03/08","37934","0","31562","2669","72165"
"2023/03/07","37236","7321","26364","9993","80914"
"2023/03/06","27921","489","19666","8029","56105"
"2023/03/03","21836","0","18626","5751","46213"
"2023/03/02","30606","0","20565","8469","59640"
"2023/02/28","18759","0","29211","11683","59653"
"2023/02/27","40102","200","14986","23612","78900"
