일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","20148","51335","84413","3266","159162"
"2023/05/03","9528","36246","60062","1873","107709"
"2023/05/02","7876","263","20622","1353","30114"
"2023/04/28","18781","0","45633","4320","68734"
"2023/04/27","13021","612","9773","6054","29460"
"2023/04/26","17868","607","8979","3885","31339"
"2023/04/25","22506",,"26643","8201","57350"
"2023/04/24","29461","0","29490","14086","73037"
"2023/04/21","32824",,"37025","5511","75360"
"2023/04/20","74864","3500","12179","3467","94010"
"2023/04/19","44859","5901","11704","7920","70384"
"2023/04/18","61341","0","20022","10515","91878"
"2023/04/17","99867","300","29427","10396","139990"
"2023/04/14","114932","4323","45217","4004","168476"
"2023/04/13","63859","9612","21437","3207","98115"
"2023/04/12","58833","0","42379","3267","104479"
"2023/04/11","69738",,"115258","11994","196990"
"2023/04/10","33564",,"37899","3732","75195"
"2023/04/07","50792","0","30837","1142","82771"
"2023/04/06","74828",,"17389","4051","96268"
"2023/04/05","177029","0","54284","18808","250121"
"2023/04/04","40425","0","36797","2327","79549"
"2023/04/03","45450","2000","48176","5210","100836"
"2023/03/31","33680","0","18437","31853","83970"
"2023/03/30","52285","614","44505","43146","140550"
"2023/03/29","41478","2000","123365","6947","173790"
"2023/03/28","48061","3000","51006","2523","104590"
"2023/03/27","38907","0","65571","15174","119652"
"2023/03/24","4040","10000","48103","1819","63962"
"2023/03/23","32872","0","49380","7203","89455"
"2023/03/22","34550","0","43132","9804","87486"
"2023/03/21","44335","0","54004","1591","99930"
"2023/03/20","15523","0","32201","5270","52994"
"2023/03/17","23420","0","26887","4195","54502"
"2023/03/16","4209","0","12820","5976","23005"
"2023/03/15","39868","0","23377","9732","72977"
"2023/03/14","12297","0","41611","14925","68833"
"2023/03/13","13921","0","43411","9969","67301"
"2023/03/10","19630","0","36451","7813","63894"
"2023/03/09","4879","0","43026","7354","55259"
"2023/03/08","17900","0","47699","3299","68898"
"2023/03/07","31911","5685","69412","1456","108464"
"2023/03/06","50785",,"33646","8211","92642"
"2023/03/03","9052","0","11485","7418","27955"
"2023/03/02","15333","2400","53260","7792","78785"
"2023/02/28","47326",,"33207","2727","83260"
"2023/02/27","19293","0","16443","5642","41378"
"2023/02/24","36975","0","46392","7142","90509"
"2023/02/23","20118","0","15085","3648","38851"
"2023/02/22","17789","0","10095","4266","32150"
"2023/02/21","46343","0","74934","6097","127374"
"2023/02/20","54557","0","41941","1117","97615"
"2023/02/17","50495","0","27227","1064","78786"
"2023/02/16","52636","0","15098","4893","72627"
"2023/02/15","52046","0","15092","6372","73510"
"2023/02/14","47889","0","12190","2379","62458"
"2023/02/13","58956","0","35996","9484","104436"
"2023/02/10","61441","0","61347","5885","128673"
"2023/02/09","42464","0","65368","3310","111142"
"2023/02/08","46363","0","29519","5588","81470"
"2023/02/07","58016","0","33215","8335","99566"
"2023/02/06","71174","819","15796","7642","95431"
"2023/02/03","60240","0","20250","17652","98142"
"2023/02/02","61301","0","25776","7682","94759"
"2023/02/01","68689","0","28646","14640","111975"
"2023/01/31","50606","0","29660","14193","94459"
"2023/01/30","50248","0","30535","9857","90640"
"2023/01/27","78094","888","61739","35134","175855"
"2023/01/26","38098","3500","45895","9814","97307"
"2023/01/25","67579","0","120717","7276","195572"
"2023/01/20","90255","1750","27326","4576","123907"
"2023/01/19","54466",,"36689","7077","98232"
"2023/01/18","40845",,"31704","14366","86915"
"2023/01/17","52835","5919","32185","6384","97323"
"2023/01/16","85574","5066","89888","14774","195302"
"2023/01/13","35201","0","32081","11295","78577"
"2023/01/12","81875","7348","99627","10159","199009"
"2023/01/11","72360","2168","72142","13183","159853"
"2023/01/10","47718","0","42405","30469","120592"
"2023/01/09","39002","4000","42421","45086","130509"
"2023/01/06","65263","12270","117585","18096","213214"
"2023/01/05","95163","14759","101640","8131","219693"
"2023/01/04","31431","3118","24887","10183","69619"
"2023/01/03","29194","970","52514","4983","87661"
"2023/01/02","11439",,"57825","7151","76415"
"2022/12/29","25978",,"49582","12948","88508"
"2022/12/28","31612","0","16521","1166","49299"
"2022/12/27","34009","819","39495","5090","79413"
"2022/12/26","16803","476","19690","5623","42592"
"2022/12/23","32904","29321","43837","3234","109296"
"2022/12/22","49043","3000","40011","230","92284"
"2022/12/21","23933","20000","14014","7039","64986"
"2022/12/20","39603","22480","25821","19002","106906"
"2022/12/19","26326",,"10359","1139","37824"
"2022/12/16","29487","7989","15724","1757","54957"
"2022/12/15","30811","500","24969","1677","57957"
"2022/12/14","30531","3961","13460","5092","53044"
"2022/12/13","22673","0","21928","19205","63806"
