일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","51209","50000","62871","5214","169294"
"2023/05/03","14146","40000","75131","605","129882"
"2023/05/02","40318","46862","33326","8677","129183"
"2023/04/28","51056","40000","68506","9367","168929"
"2023/04/27","26576","0","108766","63582","198924"
"2023/04/26","22376","40000","55754","25400","143530"
"2023/04/25","189816","0","33667","35700","259183"
"2023/04/24","173324","401","83739","14136","271600"
"2023/04/21","188473","19238","62938","55131","325780"
"2023/04/20","143082","43500","55845","18515","260942"
"2023/04/19","81599","13500","47566","56901","199566"
"2023/04/18","120222","70377","81063","9833","281495"
"2023/04/17","140464","7045","46822","79072","273403"
"2023/04/14","91288","77224","39700","43035","251247"
"2023/04/13","94127","30000","58773","28296","211196"
"2023/04/12","37370","50010","45042","23452","155874"
"2023/04/11","61163","60000","70332","29176","220671"
"2023/04/10","113886","0","94261","42222","250369"
"2023/04/07","81996","0","22101","14419","118516"
"2023/04/06","75593","0","55317","65074","195984"
"2023/04/05","111351","30000","38476","71042","250869"
"2023/04/04","91920","0","36759","27055","155734"
"2023/04/03","55689","3318","38148","40563","137718"
"2023/03/31","97445","0","99813","59801","257059"
"2023/03/30","93786","0","47393","20418","161597"
"2023/03/29","91445","0","18177","21707","131329"
"2023/03/28","23097","0","21964","35618","80679"
"2023/03/27","94965","15010","65546","100826","276347"
"2023/03/24","46924","7500","21927","40683","117034"
"2023/03/23","92673","0","28479","49750","170902"
"2023/03/22","16257","0","46606","31778","94641"
"2023/03/21","8051","0","27243","12864","48158"
"2023/03/20","26218","0","31612","6377","64207"
"2023/03/17","72190","10","80735","139615","292550"
"2023/03/16","18591","1","78801","9069","106462"
"2023/03/15","27114","1","26118","8321","61554"
"2023/03/14","51951","0","81941","23864","157756"
"2023/03/13","50334","2","67779","13125","131240"
"2023/03/10","26400","0","74001","15792","116193"
"2023/03/09","28998","1","37608","10512","77119"
"2023/03/08","28860","3103","56984","12555","101502"
"2023/03/07","52861","7074","44317","13600","117852"
"2023/03/06","59882","2","34989","25037","119910"
"2023/03/03","24880","1","52929","15765","93575"
"2023/03/02","57862","1","36191","31185","125239"
"2023/02/28","50815","1","52362","50972","154150"
"2023/02/27","55100","2","75814","26895","157811"
"2023/02/24","45332","18364","97174","40703","201573"
"2023/02/23","14224","1","59277","53037","126539"
"2023/02/22","24277","0","39244","171838","235359"
"2023/02/21","26040","2","76697","55988","158727"
"2023/02/20","29729","1","70884","61753","162367"
"2023/02/17","20593","1","23723","75164","119481"
"2023/02/16","29225","1","27133","44888","101247"
"2023/02/15","45922","1","61890","50504","158317"
"2023/02/14","49037","0","17839","33059","99935"
"2023/02/13","71261","0","56974","113501","241736"
"2023/02/10","50884","1","157599","178332","386816"
"2023/02/09","16652","1","29069","52497","98219"
"2023/02/08","23091","1","26785","30026","79903"
"2023/02/07","34284","25005","28224","79745","167258"
"2023/02/06","5809","348","42997","125693","174847"
"2023/02/03","11897","11","112211","227680","351799"
"2023/02/02","34529","3650","153935","49025","241139"
"2023/02/01","37263","0","60738","250927","348928"
"2023/01/31","1375425","500","68352","38749","1483026"
"2023/01/30","31666","7802","75488","127404","242360"
"2023/01/27","49516","501","20437","177458","247912"
"2023/01/26","65889","1750","82201","120999","270839"
"2023/01/25","43856","1750","116817","27973","190396"
"2023/01/20","182860","1753","70263","38962","293838"
"2023/01/19","144028","0","29039","44274","217341"
"2023/01/18","36153","103","124690","103902","264848"
"2023/01/17","50550","252","33226","127803","211831"
"2023/01/16","179954","2652","217559","18287","418452"
"2023/01/13","60233","305","30350","38026","128914"
"2023/01/12","142049","2003","91073","55810","290935"
"2023/01/11","31261","13000","31292","50451","126004"
"2023/01/10","73844","3","18309","25730","117886"
"2023/01/09","61063","2","37004","25628","123697"
"2023/01/06","35428","102","56479","73430","165439"
"2023/01/05","69313","152","171291","28626","269382"
"2023/01/04","9876","200","60226","28846","99148"
"2023/01/03","20124","101","207825","190354","418404"
"2023/01/02","7055","1","45913","17506","70475"
"2022/12/29","72728","504","64159","24589","161980"
"2022/12/28","190841","202","72729","153013","416785"
