일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","3678","0","3462","785","7925"
"2023/05/03","3244","1200","5861","972","11277"
"2023/05/02","5056","0","2947","320","8323"
"2023/04/28","6492","0","4214","178","10884"
"2023/04/27","7720","0","3990","552","12262"
"2023/04/26","7591","0","5992","2141","15724"
"2023/04/25","50246","0","6143","982","57371"
"2023/04/24","46017","0","3072","6182","55271"
"2023/04/21","7952","0","4601","185","12738"
"2023/04/20","14313","2500","7786","724","25323"
"2023/04/19","218155","2500","8153","4359","233167"
"2023/04/18","42228","0","17059","1852","61139"
"2023/04/17","20196","0","7026","1204","28426"
"2023/04/14","37180","0","21875","201","59256"
"2023/04/13","9725","0","11127","244","21096"
"2023/04/12","20589","0","14496","495","35580"
"2023/04/11","74268","0","20068","1214","95550"
"2023/04/10","26316","3","10390","5435","42144"
"2023/04/07","9004","0","4285","4003","17292"
"2023/04/06","38617","0","9859","1421","49897"
"2023/04/05","23264","0","21078","645","44987"
"2023/04/04","25699","200","3299","2175","31373"
"2023/04/03","33356","0","6408","1272","41036"
"2023/03/31","37018","0","7183","282","44483"
"2023/03/30","114436","0","26003","18756","159195"
"2023/03/29","51124","984","26916","11079","90103"
"2023/03/28","53509","6360","25712","13367","98948"
"2023/03/27","26806","0","12127","6649","45582"
"2023/03/24","28565","0","16042","7525","52132"
"2023/03/23","20799","0","18859","5837","45495"
"2023/03/22","5858","0","12435","3041","21334"
"2023/03/21","865","0","6324","1472","8661"
"2023/03/20","39796","17000","11927","18508","87231"
"2023/03/17","8738","100","13465","3121","25424"
"2023/03/16","4091","0","10764","3225","18080"
"2023/03/15","8105","0","8083","5286","21474"
"2023/03/14","8935","0","22110","8643","39688"
"2023/03/13","6275","200","13476","4625","24576"
"2023/03/10","8543","1200","2511","2569","14823"
"2023/03/09","8684",,"5628","2270","16582"
"2023/03/08","8223","0","7412","5643","21278"
"2023/03/07","55368","0","26463","13296","95127"
"2023/03/06","7411","10000","14517","4135","36063"
"2023/03/03","9693","0","4272","5634","19599"
"2023/03/02","9465","0","2934","3319","15718"
"2023/02/28","17303","0","7929","3822","29054"
"2023/02/27","1581","3100","4665","2614","11960"
"2023/02/24","5965","0","4758","3749","14472"
"2023/02/23","6518","11165","8447","124","26254"
"2023/02/22","6090","5835","3442","1857","17224"
"2023/02/21","8716","0","5469","2432","16617"
"2023/02/20","8372","0","4743","3154","16269"
"2023/02/17","8855","0","7948","2293","19096"
"2023/02/16","12703","0","6049","2591","21343"
"2023/02/15","14463","0","8453","4353","27269"
"2023/02/14","28368","264","9101","1518","39251"
"2023/02/13","14691","1936","7771","4725","29123"
"2023/02/10","10998","0","8091","0","19089"
"2023/02/09","2694","0","15402","354","18450"
"2023/02/08","10040","546","8098","321","19005"
"2023/02/07","4061","405","12295","716","17477"
"2023/02/06","18154","0","3577","2210","23941"
"2023/02/03","31717","0","16257","610","48584"
"2023/02/02","17382",,"20299","319","38000"
"2023/02/01","10504","0","13161","495","24160"
"2023/01/31","16403","0","4292","2376","23071"
"2023/01/30","16400","0","7798","482","24680"
"2023/01/27","21885","300","8277","4099","34561"
"2023/01/26","16771","1250","8958","2871","29850"
"2023/01/25","30249","1250","30386","250","62135"
"2023/01/20","12967","1250","13302","5456","32975"
"2023/01/19","16853","4140","14871","3728","39592"
"2023/01/18","14450","4140","18739","5379","42708"
"2023/01/17","19168","0","39664","6851","65683"
"2023/01/16","217858","1250","62732","3508","285348"
"2023/01/13","20107","0","32478","747","53332"
"2023/01/12","19379","322","5650","858","26209"
"2023/01/11","13062","0","15675","428","29165"
"2023/01/10","17278","18","5101","596","22993"
"2023/01/09","31035","0","5300","3124","39459"
"2023/01/06","19872","0","30274","666","50812"
"2023/01/05","22668","500","24096","791","48055"
"2023/01/04","22194","262","11215","4211","37882"
"2023/01/03","22754",,"10906","726","34386"
"2023/01/02","9968","0","10697","134","20799"
"2022/12/29","28718","0","11560","687","40965"
"2022/12/28","23134","22","8456","209","31821"
"2022/12/27","20896","194791","3519",,"219206"
"2022/12/26","15098","5209","4732","886","25925"
"2022/12/23","19175","0","15968","1282","36425"
"2022/12/22","26719","0","3338","925","30982"
"2022/12/21","11479","0","12907","217","24603"
"2022/12/20","18164","0","3621","82","21867"
"2022/12/19","18869","0","2258","1133","22260"
"2022/12/16","13352","9502","6109","645","29608"
"2022/12/15","15610","474","17146","1521","34751"
"2022/12/14","20905","3659","3409","481","28454"
"2022/12/13","22564","0","10632","2084","35280"
"2022/12/12","25663","3866","6947","3071","39547"
"2022/12/09","14259","5770","7182","1355","28566"
"2022/12/08","7931","2724","12765","325","23745"
"2022/12/07","10093","5524","21796","1374","38787"
"2022/12/06","17117","0","17374","870","35361"
"2022/12/05","15474","1000","3233","432","20139"
"2022/12/02","10259","0","5987","330","16576"
"2022/12/01","120903","2635","69012","7618","200168"
"2022/11/30","5857","0","8047","415","14319"
"2022/11/29","28244","914","42610","1085","72853"
"2022/11/28","4586","0","10436","144","15166"
"2022/11/25","17581","0","8039","406","26026"
"2022/11/24","9216","94","9941","11","19262"
"2022/11/23","7639","0","9513","268","17420"
"2022/11/22","5473","0","5365","133","10971"
"2022/11/21","2108","0","1481","122","3711"
"2022/11/18","7188","44","3711","5","10948"
"2022/11/17","33537","1600","14685","1950","51772"
"2022/11/16","3385","2000","11283","83","16751"
"2022/11/15","3475","500","8258","296","12529"
"2022/11/14","11754","0","15909","211","27874"
"2022/11/11","16179","1874","38676","1194","57923"
"2022/11/10","12016","0","6796","2150","20962"
"2022/11/09","14569","0","9025","351","23945"
"2022/11/08","5131",,"2967","465","8563"
"2022/11/07","5316",,"2434","104","7854"
"2022/11/04","3893","0","4189","123","8205"
"2022/11/03","20896",,"10251","537","31684"
"2022/11/02","8974","0","5159","178","14311"
"2022/11/01","13942","0","26609","1132","41683"
"2022/10/31","15408","0","19860","261","35529"
"2022/10/28","17888","257","9420","82","27647"
"2022/10/27","21712","0","7127","233","29072"
"2022/10/26","6428","0","13791","173","20392"
"2022/10/25","9435","0","2809","382","12626"
"2022/10/24","2910","0","2624","91","5625"
"2022/10/21","2301",,"14471","2352","19124"
"2022/10/20","17979","0","19264","10638","47881"
"2022/10/19","17132","0","14723","1694","33549"
"2022/10/18","23452","1550","11385","1170","37557"
"2022/10/17","21611","4009","23018","655","49293"
"2022/10/14","59942","0","30458","820","91220"
"2022/10/13","134535","5937","47023","2894","190389"
"2022/10/12","189792","3100","15954","1388","210234"
"2022/10/11","88304","140","32144","1739","122327"
"2022/10/07","69826","70","17447","85","87428"
"2022/10/06","108128","840","23544","2121","134633"
"2022/10/05","204214","0","48412","2134","254760"
"2022/10/04","68714","14","21903","3336","93967"
"2022/09/30","66843","0","16244","2081","85168"
"2022/09/29","72910","9000","18598","1426","101934"
"2022/09/28","18501","2225","20601","240","41567"
