일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","1","0","13896","629","14526"
"2023/05/03","890","0","10903","282","12075"
"2023/05/02","5","0","22847","3023","25875"
"2023/04/28","1432","0","9948","1294","12674"
"2023/04/27","2097","0","10724","1130","13951"
"2023/04/26","1730","0","12808","1679","16217"
"2023/04/25","28251","0","113253","5507","147011"
"2023/04/24","2926","10000","44398","9643","66967"
"2023/04/21","53",,"28144","3510","31707"
"2023/04/20","10884","1000","46738","8341","66963"
"2023/04/19","48377","11002","65216","5240","129835"
"2023/04/18","30823","14001","136358","2029","183211"
"2023/04/17","1202","8000","24316","4039","37557"
"2023/04/14","19729","5776","39051","9240","73796"
"2023/04/13","691","664","15541","781","17677"
"2023/04/12","4338","2081","44528","725","51672"
"2023/04/11","5178","5501","12567","454","23700"
"2023/04/10","1245","0","17354","935","19534"
"2023/04/07","4416","0","21844","1233","27493"
"2023/04/06","317","1","17175","1295","18788"
"2023/04/05","907","80","41336","1772","44095"
"2023/04/04","5654","1","28959","1246","35860"
"2023/04/03","5719","0","62332","1319","69370"
"2023/03/31","3590","984","15023","232","19829"
"2023/03/30","1","236","12163","396","12796"
"2023/03/29","77","3320","2432","157","5986"
"2023/03/28","52","648","1210","184","2094"
"2023/03/27","799","0","1644","235","2678"
"2023/03/24","15","301","1375","300","1991"
"2023/03/23","0","301","2412","277","2990"
"2023/03/22","1448","457","11251","301","13457"
"2023/03/21","20","0","712","289","1021"
"2023/03/20","200","3401","2966","451","7018"
"2023/03/17","251","6","2828","289","3374"
"2023/03/16","150","0","1983","564","2697"
"2023/03/15","172","227","1828","384","2611"
"2023/03/14","3235","1","8661","435","12332"
"2023/03/13","7590","0","18076","510","26176"
"2023/03/10","5000","0","2731","418","8149"
"2023/03/09","0","0","1042","205","1247"
"2023/03/08","2000","1","2676","516","5193"
"2023/03/07","23","0","1668","334","2025"
"2023/03/06","252","0","5216","328","5796"
"2023/03/03","1029","1","4752","311","6093"
"2023/03/02","1480","199","3955","331","5965"
"2023/02/28","1936","345","1364","204","3849"
"2023/02/27","4500","0","5429","297","10226"
"2023/02/24","37","1","3745","1004","4787"
"2023/02/23","0","0","5447","183","5630"
"2023/02/22","290","1","17743","691","18725"
"2023/02/21","219","310","3686","378","4593"
"2023/02/20","369","1","24811","374","25555"
"2023/02/17","1770","92","22021","602","24485"
"2023/02/16","5753","2","2427","251","8433"
"2023/02/15","203","1","2450","596","3250"
"2023/02/14","1","0","7899","156","8056"
"2023/02/13","1","0","8409","228","8638"
"2023/02/10","1241","1","12771","1001","15014"
"2023/02/09","10","0","2824","27","2861"
"2023/02/08","169","1","16250","27","16447"
"2023/02/07","704","1","6561","36","7302"
"2023/02/06","1198","0","6611","9","7818"
"2023/02/03","4647","15","2841","0","7503"
"2023/02/02","5943","4","9557","0","15504"
"2023/02/01","499","0","14249","195","14943"
"2023/01/31","284","0","7116","238","7638"
"2023/01/30","3786","0","19750","20","23556"
"2023/01/27","2799","0","16945","91","19835"
"2023/01/26","1215","0","10543","85","11843"
"2023/01/25","1058","0","23072","0","24130"
"2023/01/20","2246","703","15434","664","19047"
"2023/01/19","943","0","9299","27","10269"
"2023/01/18","8994","1","8738","828","18561"
"2023/01/17","723","1","7168","149","8041"
"2023/01/16","2729","1","6864","229","9823"
"2023/01/13","6232","3","6633","31","12899"
