일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","29250","0","3720","6698","39668"
"2023/05/03","6541","2500","8038","286","17365"
"2023/05/02","3535","0","11138","237","14910"
"2023/04/28","11423",,"2704","2776","16903"
"2023/04/27","13222","0","10764","4117","28103"
"2023/04/26","19983","0","10174","4233","34390"
"2023/04/25","34146","0","9585","1777","45508"
"2023/04/24","6577","300","15986","2078","24941"
"2023/04/21","25183","0","48046","597","73826"
"2023/04/20","21292","1867","17840","28","41027"
"2023/04/19","33058","1750","10739","731","46278"
"2023/04/18","19808","0","18330","2474","40612"
"2023/04/17","25761","0","4952","1624","32337"
"2023/04/14","27621","0","11585","1226","40432"
"2023/04/13","14744","0","5470","4899","25113"
"2023/04/12","12103","70","11083","20","23276"
"2023/04/11","8234","100","14415","1892","24641"
"2023/04/10","22306","100","20984","10445","53835"
"2023/04/07","33621","0","41115","4083","78819"
"2023/04/06","12982","300","6089","4462","23833"
"2023/04/05","34131","0","9462","10946","54539"
"2023/04/04","7683","100","8821","2047","18651"
"2023/04/03","3960","0","18250","8083","30293"
"2023/03/31","3225","100","92373","14257","109955"
"2023/03/30","16821","510","38022","7083","62436"
"2023/03/29","11854","0","60509","26002","98365"
"2023/03/28","23317","0","21005","11382","55704"
"2023/03/27","6373","0","15798","8679","30850"
"2023/03/24","11119","0","21718","8397","41234"
"2023/03/23","16677","0","14907","11418","43002"
"2023/03/22","11987","0","21904","2828","36719"
"2023/03/21","4393","0","33871","3961","42225"
"2023/03/20","26766","0","11106","10023","47895"
"2023/03/17","7554","0","11115","4497","23166"
"2023/03/16","19192","3000","38553","15669","76414"
"2023/03/15","16593","0","14573","10151","41317"
"2023/03/14","10397","0","22060","8671","41128"
"2023/03/13","11319","0","31453","4299","47071"
"2023/03/10","8509","0","16233","2683","27425"
"2023/03/09","4571","0","23604","2088","30263"
"2023/03/08","6202","0","9665","8457","24324"
"2023/03/07","9786","0","34481","3185","47452"
"2023/03/06","13689","0","17573","4466","35728"
"2023/03/03","11036","0","2337","2219","15592"
"2023/03/02","6973","0","5156","5515","17644"
"2023/02/28","9342","0","13587","1321","24250"
"2023/02/27","3530","0","9061","2214","14805"
"2023/02/24","8275","0","3777","4198","16250"
"2023/02/23","21650","0","6249","3908","31807"
"2023/02/22","2418","0","9043","6657","18118"
"2023/02/21","6084","0","7820","3822","17726"
"2023/02/20","9645","0","13084","4070","26799"
"2023/02/17","10778","0","13170","6148","30096"
"2023/02/16","10101","0","22772","13925","46798"
"2023/02/15","4492","0","8183","16074","28749"
"2023/02/14","5997","70","5083","13922","25072"
"2023/02/13","12466","0","11845","8294","32605"
"2023/02/10","124322","0","4273","36205","164800"
"2023/02/09","30983","0","21935","18341","71259"
"2023/02/08","98087","0","5783","27287","131157"
"2023/02/07","27141","0","3610","17932","48683"
"2023/02/06","39354","0","11037","14100","64491"
"2023/02/03","49906","0","10729","654","61289"
"2023/02/02","52245","1087","15798","1304","70434"
"2023/02/01","23064","2253","9625","11495","46437"
"2023/01/31","57527","0","9682","19374","86583"
"2023/01/30","14975","11506","31725","528","58734"
"2023/01/27","10117","0","17181","8637","35935"
"2023/01/26","53892","2875","50078","4901","111746"
"2023/01/25","59201","1175","25704","4677","90757"
"2023/01/20","20292","3525","17348","6555","47720"
"2023/01/19","145168","0","25763","1717","172648"
"2023/01/18","109258","4200","21080","11057","145595"
"2023/01/17","61577","0","29601","6170","97348"
"2023/01/16","221474","975","55320","7877","285646"
"2023/01/13","108881","0","1454","3183","113518"
"2023/01/12","56776","0","9483","1099","67358"
"2023/01/11","60222","0","3345","609","64176"
"2023/01/10","32925","0","8172","6646","47743"
"2023/01/09","16204","0","15573","727","32504"
"2023/01/06","21232","1","13980","2154","37367"
"2023/01/05","11329","0","34454","2473","48256"
"2023/01/04","5801","0","17895","2960","26656"
"2023/01/03","6372","0","19937","4346","30655"
"2023/01/02","3733","0","18235","7602","29570"
"2022/12/29","53204","0","4785","6350","64339"
"2022/12/28","15695","0","16719","4688","37102"
"2022/12/27","20122","1271","5384","2170","28947"
"2022/12/26","20175","0","6762","1886","28823"
"2022/12/23","11790","0","5902","1605","19297"
"2022/12/22","19603","0","12934","1901","34438"
"2022/12/21","677","0","3799","438","4914"
"2022/12/20","3381","0","4665","914","8960"
"2022/12/19","13181","0","3700","14","16895"
"2022/12/16","7699","2","6220","1117","15038"
"2022/12/15","24723","0","3181","5768","33672"
"2022/12/14","35676","0","5362","3608","44646"
"2022/12/13","19259","0","12408","10906","42573"
"2022/12/12","15855","0","5330","10908","32093"
"2022/12/09","27084","100","10066","2838","40088"
"2022/12/08","17182","4200","20571","6902","48855"
"2022/12/07","16628","0","24807","16554","57989"
"2022/12/06","17807","0","19799","8866","46472"
"2022/12/05","20696","0","27590","9666","57952"
"2022/12/02","18502",,"15225","12320","46047"
"2022/12/01","33575","2000","40151","11378","87104"
"2022/11/30","32431","56458","84175","10388","183452"
"2022/11/29","25552",,"19385","1855","46792"
"2022/11/28","16945","0","9486","5208","31639"
"2022/11/25","32091","0","21480","3647","57218"
"2022/11/24","27870","865","4425","100","33260"
"2022/11/23","40302","293","6441","310","47346"
"2022/11/22","24270","0","18527","10199","52996"
"2022/11/21","51299","1000","6297","12328","70924"
"2022/11/18","17880","0","2658","1284","21822"
"2022/11/17","17092","0","9015","4129","30236"
"2022/11/16","20245","17802","8199","18073","64319"
"2022/11/15","26298","2908","11711","7367","48284"
"2022/11/14","17773","2392","13525","9773","43463"
"2022/11/11","57562","0","34433","8232","100227"
"2022/11/10","138273","0","21306","11014","170593"
"2022/11/09","114738","1759","207686","40537","364720"
"2022/11/08","25185",,"15285","1346","41816"
"2022/11/07","58323","0","16985","3991","79299"
"2022/11/04","4738","27530","78606","1050","111924"
"2022/11/03","14575","19339","35615","4353","73882"
"2022/11/02","23732","520","32782","3233","60267"
"2022/11/01","32086","0","31488","2339","65913"
"2022/10/31","42691","4845","7300","3574","58410"
"2022/10/28","13451","0","31791","3597","48839"
"2022/10/27","81696","0","31375","1112","114183"
"2022/10/26","24409","0","9590","0","33999"
"2022/10/25","12932","0","4817","205","17954"
"2022/10/24","24524","0","3913","10","28447"
"2022/10/21","28434","0","8534","716","37684"
"2022/10/20","21434","100","39167","257","60958"
"2022/10/19","12384","5915","7802","1841","27942"
"2022/10/18","13812","2100","16694","1930","34536"
"2022/10/17","751","50","10730","515","12046"
"2022/10/14","4273","0","33883","2185","40341"
"2022/10/13","54433","212","27470","19996","102111"
"2022/10/12","76941","159","43678","21674","142452"
"2022/10/11","4936","38","29306","6553","40833"
"2022/10/07","661","70","14489","4","15224"
"2022/10/06","30644","1000","25534","3936","61114"
"2022/10/05","29104","175","38701","8791","76771"
"2022/10/04","11169","180","15585","1467","28401"
"2022/09/30","733","1214","14922","1474","18343"
"2022/09/29","14223","200","11898","9677","35998"
"2022/09/28","26472","13","26769","5352","58606"
