일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","9048","1","4268","144","13461"
"2023/05/03","203","2","5070","116","5391"
"2023/05/02","8645","568","9824","176","19213"
"2023/04/28","4633","4174","3654","1121","13582"
"2023/04/27","3296","0","4220","285","7801"
"2023/04/26","1943","1","5623","626","8193"
"2023/04/25","10302","0","4944","339","15585"
"2023/04/24","4430","3241","8086","1167","16924"
"2023/04/21","13264","1","10854","19","24138"
"2023/04/20","2724","5310","9992","201","18227"
"2023/04/19","1435",,"7540","42","9017"
"2023/04/18","2316","576","9834","1093","13819"
"2023/04/17","3174","2407","17118","47","22746"
"2023/04/14","1703","7206","2545","17","11471"
"2023/04/13","7341","5000","9080","4","21425"
"2023/04/12","7610","2540","22366","29","32545"
"2023/04/11","7267","1","11298","256","18822"
"2023/04/10","770","10001","12457","1447","24675"
"2023/04/07","2886","0","14675","202","17763"
"2023/04/06","3610","5000","10124","1529","20263"
"2023/04/05","3425","1","55740","222","59388"
"2023/04/04","1226","5352","12134","732","19444"
"2023/04/03","13917","31","14216","515","28679"
"2023/03/31","1194","1","9525","83","10803"
"2023/03/30","473","1","13765","67","14306"
"2023/03/29","11324","1","11983","21","23329"
"2023/03/28","3738","0","10362","599","14699"
"2023/03/27","7638","2493","17309","2322","29762"
"2023/03/24","3011","1","27573","1105","31690"
"2023/03/23","4795","0","14620","1288","20703"
"2023/03/22","3661","0","9422","1186","14269"
"2023/03/21","1286","3529","4300","1036","10151"
"2023/03/20","41842","3123","5961","781","51707"
"2023/03/17","3184","624","962","347","5117"
"2023/03/16","1955","414","4828","756","7953"
"2023/03/15","53","0","6713","775","7541"
"2023/03/14","16","1","16385","1297","17699"
"2023/03/13","6534","1000","12531","1286","21351"
"2023/03/10","2024",,"7431","1051","10506"
"2023/03/09","164","0","12520","1185","13869"
"2023/03/08","3019","1102","3317","1098","8536"
"2023/03/07","2722","1001","10365","1652","15740"
"2023/03/06","819","2000","6523","1591","10933"
"2023/03/03","2685","10002","11178","2278","26143"
"2023/03/02","6544","2","11467","635","18648"
"2023/02/28","95","1","22821","707","23624"
"2023/02/27","457",,"7265","429","8151"
"2023/02/24","202","2","16094","2156","18454"
"2023/02/23","2153","0","5548","1041","8742"
"2023/02/22","1399","0","2569","237","4205"
"2023/02/21","1451","0","9100","368","10919"
"2023/02/20","4391","4001","26507","120","35019"
"2023/02/17","2920","1","30904","409","34234"
"2023/02/16","1052","2000","4608","3146","10806"
"2023/02/15","4100","1","17912","1503","23516"
"2023/02/14","15077",,"4200","957","20234"
"2023/02/13","349","0","8761","2113","11223"
"2023/02/10","108",,"17959","2206","20273"
"2023/02/09","362","1","8454","1","8818"
"2023/02/08","74","0","29999","1375","31448"
"2023/02/07","916","0","15078","460","16454"
"2023/02/06","2651","0","17122","24","19797"
"2023/02/03","4451","22","24918","870","30261"
"2023/02/02","261","3","16642","74","16980"
"2023/02/01","152","0","24211","4531","28894"
"2023/01/31","8400","0","22371","884","31655"
"2023/01/30","8149","9","25923","2981","37062"
"2023/01/27","9843","0","22481","2213","34537"
"2023/01/26","4569","2","33253","569","38393"
"2023/01/25","12857","0","35010","0","47867"
"2023/01/20","16939","1","10347","10","27297"
"2023/01/19","9860","0","10004","2298","22162"
"2023/01/18","20592","1","14023","3578","38194"
"2023/01/17","9869","0","16415","18","26302"
"2023/01/16","17176","2","17015","226","34419"
"2023/01/13","4296","0","25409","60","29765"
"2023/01/12","23200","0","22353","117","45670"
"2023/01/11","1661","0","10540","2594","14795"
"2023/01/10","1967","155","32176","100","34398"
"2023/01/09","4264","1","17995","95","22355"
"2023/01/06","3055","1","22103","324","25483"
"2023/01/05","9325","265","16948","1920","28458"
"2023/01/04","5170","0","31156","550","36876"
"2023/01/03","4344","4301","10295","329","19269"
"2023/01/02","979","1","7401","2384","10765"
"2022/12/29","217","3001","4561","918","8697"
"2022/12/28","4418","0","4833","3952","13203"
"2022/12/27","11596","1","26092","55","37744"
"2022/12/26","5265","1","9742","325","15333"
"2022/12/23","4710","0","7907","262","12879"
"2022/12/22","6358","4","9710","487","16559"
"2022/12/21","4578","2","20944","30","25554"
"2022/12/20","9102","130","6205","1514","16951"
"2022/12/19","2829","5144","16803","0","24776"
"2022/12/16","6185","5","15083","1108","22381"
"2022/12/15","4796","1","19109","1131","25037"
"2022/12/14","3817","5","16704","234","20760"
"2022/12/13","6187","0","8334","686","15207"
"2022/12/12","1121","1","13264","1814","16200"
"2022/12/09","12395","1","7000","4308","23704"
"2022/12/08","2001","0","6204","1174","9379"
"2022/12/07","191",,"6397","3319","9907"
"2022/12/06","5634","1","11987","1139","18761"
"2022/12/05","6188","0","19362","3930","29480"
"2022/12/02","4105","0","20129","897","25131"
"2022/12/01","25274","0","16078","10378","51730"
"2022/11/30","678","0","13790","3784","18252"
"2022/11/29","23296","0","43636","25683","92615"
"2022/11/28","22127","385","108173","1705","132390"
"2022/11/25","21277","3","62006","1151","84437"
"2022/11/24","31374","0","36214","514","68102"
"2022/11/23","25006","13056","53787","71","91920"
"2022/11/22","19138","14944","23770","2243","60095"
"2022/11/21","53308","22002","26708","6251","108269"
"2022/11/18","35080","0","44521","1791","81392"
"2022/11/17","8065",,"4002","1348","13415"
"2022/11/16","9014",,"30052","2014","41080"
"2022/11/15","10879","0","4536","599","16014"
"2022/11/14","18734","6","10221","1456","30417"
"2022/11/11","27823",,"48952","706","77481"
"2022/11/10","10875","5","16773","278","27931"
"2022/11/09","20540","2214","17221","70","40045"
"2022/11/08","26106","700","6837","885","34528"
"2022/11/07","15779","12","2262","2902","20955"
"2022/11/04","11698","94","16685","11382","39859"
"2022/11/03","42447","330","36208","3372","82357"
"2022/11/02","23700","200","9524","2218","35642"
"2022/11/01","44904","511","8457","2967","56839"
"2022/10/31","37045","3070","15650","5889","61654"
"2022/10/28","46393","803","13426","2592","63214"
"2022/10/27","35396","4163","7938","557","48054"
"2022/10/26","28428","800","5647","394","35269"
"2022/10/25","26631","1528","16560","1935","46654"
"2022/10/24","38970","1016","18576","1889","60451"
"2022/10/21","57509","400","25887","3355","87151"
"2022/10/20","38302","799","27661","9716","76478"
"2022/10/19","54990","2942","48849","3186","109967"
"2022/10/18","48090","38500","7760","182","94532"
"2022/10/17","21996","17834","14566","2099","56495"
"2022/10/14","29825","11299","11591","282","52997"
"2022/10/13","22823","26500","31557","1802","82682"
"2022/10/12","30600","4000","20519","673","55792"
"2022/10/11","58487","2","26644","2704","87837"
"2022/10/07","12119","0","7475","529","20123"
"2022/10/06","72483","1002","13577","200","87262"
"2022/10/05","33865","8195","15642","1679","59381"
"2022/10/04","42989","2","10833","58","53882"
"2022/09/30","10656","11586","7033","926","30201"
"2022/09/29","40820","0","21649","231","62700"
"2022/09/28","17200","3300","30558","2282","53340"
"2022/09/27","49048","3001","1791","2481","56321"
"2022/09/26","23973","116","27416","3135","54640"
"2022/09/23","9048","602","4938","2205","16793"
"2022/09/22","5393","293","10888","1927","18501"
"2022/09/21","6021","3","2412","571","9007"
"2022/09/20","10151","2","4187","439","14779"
"2022/09/19","17138","5","1851","1177","20171"
"2022/09/16","8027","0","4858","314","13199"
"2022/09/15","18834","3","1134","198","20169"
"2022/09/14","16549","0","1347","610","18506"
"2022/09/13","14422","8001","6493","71","28987"
"2022/09/08","10868","2000","9382","661","22911"
"2022/09/07","22796","0","15476","2132","40404"
"2022/09/06","8000","0","11316","292","19608"
"2022/09/05","9640","0","9497","1367","20504"
"2022/09/02","22983","0","1015","550","24548"
"2022/09/01","22214","0","3946","3746","29906"
"2022/08/31","12660","0","232","702","13594"
"2022/08/30","1890","9","4384","1147","7430"
"2022/08/29","14502","0","12144","2831","29477"
"2022/08/26","5081",,"13634","1667","20382"
"2022/08/25","3148",,"697","3707","7552"
"2022/08/24","532","31","1106","574","2243"
"2022/08/23","4832","1","4327","1231","10391"
"2022/08/22","6315","4694","723","2495","14227"
"2022/08/19","2620","6","9462","997","13085"
"2022/08/18","9566","1","6729","16","16312"
"2022/08/17","6071",,"4527","1959","12557"
"2022/08/16","6186","1","6327","0","12514"
"2022/08/12","30024","3","4846","995","35868"
"2022/08/11","5290","3","12412","749","18454"
"2022/08/10","7355",,"2849","2320","12524"
"2022/08/09","7874","0","8163","3270","19307"
"2022/08/08","20","3","12640","978","13641"
"2022/08/05","20839","4","4573","1426","26842"
"2022/08/04","13415","11","393","1876","15695"
"2022/08/03","19958","10","18207","2596","40771"
"2022/08/02","9348","20","28620","5445","43433"
"2022/08/01","4271","10","32644","1691","38616"
"2022/07/29","21620","120","54595","5553","81888"
"2022/07/28","3618",,"8706","1670","13994"
"2022/07/27","15045","2","2206","793","18046"
"2022/07/26","8985","292","412","5084","14773"
"2022/07/25","6101","1","5939","3226","15267"
"2022/07/22","7668","0","3756","1932","13356"
"2022/07/21","14228","0","2663","4581","21472"
"2022/07/20","14025","1","28376","2262","44664"
"2022/07/19","5504","4","2419","2474","10401"
"2022/07/18","10419","4","15068","717","26208"
"2022/07/15","17200","1","10804","7386","35391"
"2022/07/14","10844",,"47359","3256","61459"
"2022/07/13","13021","0","7361","2844","23226"
"2022/07/12","10469","0","27088","4506","42063"
"2022/07/11","11739","0","13753","5383","30875"
"2022/07/08","10370","0","3507","4026","17903"
"2022/07/07","10248","0","3898","4239","18385"
"2022/07/06","16562","2","11562","2067","30193"
"2022/07/05","30584","0","24179","3254","58017"
"2022/07/04","11526","12861","19827","3818","48032"
"2022/07/01","18273","2139","11979","6710","39101"
