일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","25235","19","73667","2089","101010"
"2023/05/03","64411","9","119046","3130","186596"
"2023/05/02","3483","24","81924","2215","87646"
"2023/04/28","594","101","114427","3214","118336"
"2023/04/27","8874","9","197479","23892","230254"
"2023/04/26","61381","7","138320","18428","218136"
"2023/04/25","146574","78","282879","10235","439766"
"2023/04/24","109156","1068","306401","38334","454959"
"2023/04/21","104105","17122","361610","9606","492443"
"2023/04/20","232782","46","302832","25468","561128"
"2023/04/19","157151","3004","432157","48749","641061"
"2023/04/18","495266","0","309437","109315","914018"
"2023/04/17","154981","109","393876","303192","852158"
"2023/04/14","159383","145","530335","48899","738762"
"2023/04/13","115264","116","333320","116469","565169"
"2023/04/12","59251","12","458613","67980","585856"
"2023/04/11","137443","500","725696","258549","1122188"
"2023/04/10","265498","500","1520824","1693922","3480744"
