일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","32226",,"5631","12899","50756"
"2023/05/03","5395",,"8449","3934","17778"
"2023/05/02","12754","4557","10820","5136","33267"
"2023/04/28","47599",,"10335","15875","73809"
"2023/04/27","48519",,"14554","21063","84136"
"2023/04/26","18835",,"6005","4804","29644"
"2023/04/25","39950","9000","9523","13180","71653"
"2023/04/24","40942",,"12265","11961","65168"
"2023/04/21","16765",,"5738","8411","30914"
"2023/04/20","41663","2500","5344","7279","56786"
"2023/04/19","29259","2500","6866","13954","52579"
"2023/04/18","31760","0","19914","11022","62696"
"2023/04/17","29026","1330","12075","10639","53070"
"2023/04/14","34630",,"20202","11634","66466"
"2023/04/13","14593",,"12169","6864","33626"
"2023/04/12","47643","0","8689","12299","68631"
"2023/04/11","219762","0","43783","22982","286527"
"2023/04/10","60430","0","14651","21804","96885"
"2023/04/07","20893","0","6105","8010","35008"
"2023/04/06","6625","3","8104","2782","17514"
"2023/04/05","16823",,"15693","8606","41122"
"2023/04/04","21868",,"12665","7770","42303"
"2023/04/03","19496","2667","5774","5158","33095"
"2023/03/31","19335","0","10345","7101","36781"
"2023/03/30","15739","0","6594","6104","28437"
"2023/03/29","27646","1929","13659","8544","51778"
"2023/03/28","68160","571","19821","11647","100199"
"2023/03/27","32734",,"5852","7048","45634"
"2023/03/24","7733","0","1109","1401","10243"
"2023/03/23","13990",,"14824","7859","36673"
"2023/03/22","14751","0","6163","10835","31749"
"2023/03/21","8003","78","21721","8121","37923"
"2023/03/20","6400","0","3710","4053","14163"
"2023/03/17","21376","0","14707","14638","50721"
"2023/03/16","5151","0","9853","7319","22323"
"2023/03/15","18180","1423","12828","9617","42048"
"2023/03/14","15012","553","7385","4838","27788"
"2023/03/13","12107","0","19029","15765","46901"
"2023/03/10","2906",,"3704","3296","9906"
"2023/03/09","3675","0","1842","3727","9244"
"2023/03/08","14447","0","8072","4560","27079"
"2023/03/07","12277","4113","12279","8549","37218"
"2023/03/06","16236","0","1676","4044","21956"
"2023/03/03","6610","0","3555","7839","18004"
"2023/03/02","9205","0","10990","10233","30428"
"2023/02/28","12372","0","26965","8133","47470"
"2023/02/27","7893","0","6448","4513","18854"
"2023/02/24","12026","3787","18543","11405","45761"
"2023/02/23","1702","0","8528","4986","15216"
"2023/02/22","4834","0","4949","3821","13604"
"2023/02/21","10909",,"5795","6574","23278"
"2023/02/20","40273","0","17025","10607","67905"
"2023/02/17","26282","0","9994","4770","41046"
"2023/02/16","31725","0","7380","15867","54972"
"2023/02/15","24339","0","7856","8701","40896"
"2023/02/14","19222","3502","2109","6788","31621"
"2023/02/13","22338","1628","3547","8705","36218"
"2023/02/10","23810","6221","5126","15920","51077"
"2023/02/09","7856","0","3707","2515","14078"
