일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","27138","11776","33954","7145","80013"
"2023/05/03","57221","7640","29677","4517","99055"
"2023/05/02","47794","1004","23394","39472","111664"
"2023/04/28","65433","1213","106932","16953","190531"
"2023/04/27","31845","85","30026","51821","113777"
"2023/04/26","66549","4201","89575","11954","172279"
"2023/04/25","152935","1000","242595","29523","426053"
"2023/04/24","67511","2000","35479","62434","167424"
"2023/04/21","64336","1000","58625","27179","151140"
"2023/04/20","62189","3660","75514","19864","161227"
"2023/04/19","66400","19814","95410","129251","310875"
"2023/04/18","183162","4691","126723","48836","363412"
"2023/04/17","320659","703","186260","87579","595201"
"2023/04/14","157540","0","90713","135785","384038"
"2023/04/13","90706","918","62933","113637","268194"
"2023/04/12","121108","1","54090","76930","252129"
"2023/04/11","314746","0","31690","63801","410237"
"2023/04/10","312587","1760","78272","82851","475470"
"2023/04/07","215931","0","59345","79416","354692"
"2023/04/06","209549","0","70413","75808","355770"
"2023/04/05","51104","1","34776","62463","148344"
"2023/04/04","37022","0","17149","30899","85070"
"2023/04/03","50620","1","58953","58659","168233"
"2023/03/31","40864","200","24636","37437","103137"
"2023/03/30","125805","0","65959","89774","281538"
"2023/03/29","84240","1001","61078","4636","150955"
"2023/03/28","73867","3600","35606","14240","127313"
"2023/03/27","89131","501","50039","12899","152570"
"2023/03/24","60786","464","46116","37553","144919"
"2023/03/23","65336","451","40967","3331","110085"
"2023/03/22","102623","376","22241","10568","135808"
"2023/03/21","27183","0","16766","2525","46474"
"2023/03/20","63439","201","24048","65032","152720"
"2023/03/17","53918","606","21527","133588","209639"
"2023/03/16","56578","201","27720","3360","87859"
"2023/03/15","72386","301","34857","375","107919"
"2023/03/14","20585","1201","50770","666","73222"
"2023/03/13","15020","13207","18187","2711","49125"
"2023/03/10","25204","500","37760","6519","69983"
"2023/03/09","8694","0","22900","0","31594"
"2023/03/08","28644","0","69022","1009","98675"
"2023/03/07","65245","5863","36757","10502","118367"
"2023/03/06","42616","6851","28727","14928","93122"
"2023/03/03","61141","19299","115879","27622","223941"
"2023/03/02","28235","0","33860","7811","69906"
"2023/02/28","17896","569","23157","5481","47103"
"2023/02/27","23521","2152","8672","11108","45453"
"2023/02/24","57228","1","7102","14789","79120"
"2023/02/23","49458","1","41072","9177","99708"
"2023/02/22","45409","0","8735","4054","58198"
"2023/02/21","43557","200","9395","6130","59282"
"2023/02/20","39769","401","13299","8747","62216"
"2023/02/17","30631","1","10538","1231","42401"
"2023/02/16","43131","0","32057","13951","89139"
"2023/02/15","10732","0","39916","9896","60544"
"2023/02/14","22773","0","20521","7108","50402"
"2023/02/13","57813","1000","32419","5399","96631"
"2023/02/10","26687","0","18222","4947","49856"
"2023/02/09","37360","1744","33943","12393","85440"
"2023/02/08","39049","0","18957","6223","64229"
"2023/02/07","42301","3001","10027","12655","67984"
"2023/02/06","18422","730","7587","30152","56891"
"2023/02/03","91212","9","21641","23537","136399"
"2023/02/02","45183","1225","16135","11261","73804"
"2023/02/01","43384","0","25073","7104","75561"
"2023/01/31","40044","11975","9317","12751","74087"
"2023/01/30","53499","326","19876","9145","82846"
"2023/01/27","33076","503","19934","20446","73959"
"2023/01/26","27106","626","32880","13867","74479"
"2023/01/25","44194","669","18110","6163","69136"
"2023/01/20","34198","714","31600","5106","71618"
"2023/01/19","50421","0","4577","16175","71173"
"2023/01/18","39830","0","20097","12240","72167"
"2023/01/17","20228","3","6877","14036","41144"
"2023/01/16","35840","626","27643","5950","70059"
"2023/01/13","24580","2","7029","3705","35316"
"2023/01/12","17051","2","9055","3175","29283"
"2023/01/11","13158","500","6702","10491","30851"
"2023/01/10","24144","1004","38234","7166","70548"
"2023/01/09","22507","1","28215","19506","70229"
"2023/01/06","20360","761","19146","12735","53002"
"2023/01/05","64431","246","62261","7506","134444"
"2023/01/04","14841","204253","34778","7346","261218"
"2023/01/03","21841","48","47601","14373","83863"
"2023/01/02","43322","95","41818","9591","94826"
"2022/12/29","5149","0","15307","5637","26093"
"2022/12/28","6404","0","26415","2780","35599"
"2022/12/27","17629","730","15707","9940","44006"
"2022/12/26","5734","0","40607","1413","47754"
"2022/12/23","38796","0","16798","3625","59219"
"2022/12/22","75697","6","20008","2139","97850"
"2022/12/21","31462","8","13277","1759","46506"
"2022/12/20","36427","817","17581","2416","57241"
