일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","122","44","1019","2","1187"
"2023/05/03","0","0","2642","10","2652"
"2023/05/02","176","0","2185","9","2370"
"2023/04/28","0","0","820","10","830"
"2023/04/27","197","4","9730","2065","11996"
"2023/04/26","0","79","1220","10","1309"
"2023/04/25","2014","0","3799","0","5813"
"2023/04/24","561","1","1590","79","2231"
"2023/04/21","899","0","3748","0","4647"
"2023/04/20","105","450","2088","2334","4977"
"2023/04/19","205","0","1027","86","1318"
"2023/04/18","1013",,"4592","36","5641"
"2023/04/17","1715","1","7506","59","9281"
"2023/04/14","1966","0","5325","103","7394"
"2023/04/13","803","2","3535","25","4365"
"2023/04/12","200","0","1935","11","2146"
"2023/04/11","358","0","7416","33","7807"
"2023/04/10","65","0","1637","0","1702"
"2023/04/07","784",,"6017","595","7396"
"2023/04/06","69","0","3284","16","3369"
"2023/04/05","976","0","1236","65","2277"
"2023/04/04","203","1","1372","68","1644"
"2023/04/03","64","287","1858","2","2211"
"2023/03/31","500","56","5748","12","6316"
"2023/03/30","2315","0","9250","54","11619"
"2023/03/29","1606","2165","5697","16","9484"
"2023/03/28","1009","0","3670","20","4699"
"2023/03/27","269","1","945","0","1215"
"2023/03/24","789","0","1924","34","2747"
"2023/03/23","617","1","1060","120","1798"
"2023/03/22","221","1","3765","12","3999"
"2023/03/21","0","1","1337","6","1344"
"2023/03/20","110","1","758","1228","2097"
"2023/03/17","1384","6","7327","11","8728"
"2023/03/16","1065","2","6200","55","7322"
"2023/03/15","685","0","24973","61","25719"
"2023/03/14","2225","1","42837","119","45182"
"2023/03/10","0",,"8908","83","8991"
"2023/03/09","6","1","3167","33","3207"
"2023/03/08","700","0","5681","17","6398"
"2023/03/07","535","0","3472","17","4024"
"2023/03/06","758","181","3630","141","4710"
"2023/03/03","104","1","2601","7","2713"
"2023/03/02","1073",,"5497","16","6586"
"2023/02/28","0","0","3003","11","3014"
"2023/02/27","1","0","2797","49","2847"
"2023/02/24","113","0","1441","0","1554"
"2023/02/23","647","0","4379","13","5039"
"2023/02/22","828","428","4191","14","5461"
"2023/02/21","630","10","4764","22","5426"
"2023/02/20","478","2","10062","900","11442"
"2023/02/17","605","1","4462","99","5167"
"2023/02/16","26","0","6913","44","6983"
"2023/02/15","4018","0","17885","124","22027"
"2023/02/14","46","0","5122","28","5196"
"2023/02/13","757","0","5254","62","6073"
"2023/02/10","957",,"12561","81","13599"
"2023/02/09","10","1","12611","73","12695"
"2023/02/08","101",,"11358","557","12016"
"2023/02/07","1977",,"9817","126","11920"
"2023/02/06","884",,"10913","21","11818"
"2023/02/03","819","20","17036","91","17966"
"2023/02/02","12756","2","95945","314","109017"
"2023/02/01","10171","0","155741","12933","178845"
"2023/01/31","1540","0","10103","109","11752"
"2023/01/30","1",,"4717","9","4727"
"2023/01/27","32","64","1414","19","1529"
"2023/01/26","3","3","1262","0","1268"
"2023/01/25","1004",,"2240",,"3244"
"2023/01/20","1156","3","3269","0","4428"
"2023/01/19","495",,"2455","3","2953"
"2023/01/18","437","2","987","10","1436"
"2023/01/17","170","1","784","8","963"
"2023/01/16","1038",,"1946","589","3573"
"2023/01/13","266","2","1742","0","2010"
"2023/01/12","359","1","2813",,"3173"
"2023/01/11","330","1","1874","0","2205"
"2023/01/10","1134","3","669","0","1806"
"2023/01/09","267","1","712","4","984"
"2023/01/06","392","0","1069","15","1476"
"2023/01/05","189","1","701","21","912"
"2023/01/04","1017","1","490","200","1708"
"2023/01/03","288","2","744","14","1048"
"2023/01/02","644","2","3002","13","3661"
"2022/12/29","794","1","1209","1","2005"
"2022/12/28","284","1","1572","9","1866"
"2022/12/27","163","37","3057","110","3367"
"2022/12/26","1084","1","4123","31","5239"
"2022/12/23","0","2","1459",,"1461"
"2022/12/22","1500","4","7625","0","9129"
"2022/12/21","13","0","901","0","914"
"2022/12/20","26","1","2201","15","2243"
"2022/12/19","266","0","1590","106","1962"
"2022/12/16","1101","0","831",,"1932"
"2022/12/15","247",,"1723","0","1970"
"2022/12/14","263",,"1539","35","1837"
"2022/12/13","34","1","246","3","284"
"2022/12/12","31","0","1040","3","1074"
"2022/12/09","0",,"1621","2","1623"
"2022/12/08","873",,"2977","175","4025"
