일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","9016","0","15773","1565","26354"
"2023/05/03","5103","1","12675","704","18483"
"2023/05/02","2182","0","11375","1174","14731"
"2023/04/28","2275","1","4442","1380","8098"
"2023/04/27","6291",,"4237","5043","15571"
"2023/04/26","8677","1","5671","2063","16412"
"2023/04/25","42824","0","9966","9542","62332"
"2023/04/24","45496","0","3629","8177","57302"
"2023/04/21","18653","0","16338","2043","37034"
"2023/04/20","41612","3500","8132","2901","56145"
"2023/04/19","18150","3500","9768","6890","38308"
"2023/04/18","26786","3","9484","2323","38596"
"2023/04/17","39680","0","7854","377","47911"
"2023/04/14","19465","1","24300","788","44554"
"2023/04/13","68788",,"10305","2571","81664"
"2023/04/12","23089","1","11046","2080","36216"
"2023/04/11","25629","5000","7428","2064","40121"
"2023/04/10","4544","346","5518","3317","13725"
"2023/04/07","19824","1","5104","6784","31713"
"2023/04/06","16903","0","8189","4324","29416"
"2023/04/05","17469","2","10731","4480","32682"
"2023/04/04","15876",,"13213","1404","30493"
"2023/04/03","10817","0","9986","1968","22771"
"2023/03/31","28645","1","20304","1642","50592"
"2023/03/30","19220","0","8322","1993","29535"
"2023/03/29","8961","0","13060","1557","23578"
"2023/03/28","22197","481","18383","1576","42637"
"2023/03/27","29326","90","10722","948","41086"
"2023/03/24","17630","1947","3146","488","23211"
"2023/03/23","22600","542","11644","4922","39708"
"2023/03/22","16630","1","6579","173","23383"
"2023/03/21","20969","0","8228","1621","30818"
"2023/03/20","20600","0","8721","3491","32812"
"2023/03/17","8760","12","8108","1575","18455"
"2023/03/16","5442","1","5891","793","12127"
"2023/03/15","9799","0","7758","972","18529"
"2023/03/14","17576","0","4573","2435","24584"
"2023/03/13","27060","0","10102","867","38029"
"2023/03/10","8283","0","13918","1343","23544"
"2023/03/09","13382","0","9211","5906","28499"
"2023/03/08","14715","0","13516","5057","33288"
"2023/03/07","25681","4501","9042","676","39900"
"2023/03/06","24436","0","19377","2905","46718"
"2023/03/03","5826","0","5370","4168","15364"
"2023/03/02","14426","0","3518","764","18708"
"2023/02/28","20958","0","8865","1310","31133"
"2023/02/27","16153","1","2245","3234","21633"
"2023/02/24","26511",,"10478","1804","38793"
"2023/02/23","8799","1867079","1404","1816","1879098"
"2023/02/22","2581","0","2080","961","5622"
"2023/02/21","14097","0","10952","820","25869"
"2023/02/20","17566","2","10680","4850","33098"
"2023/02/17","18284","0","18549","857","37690"
"2023/02/16","27728","0","8446","3769","39943"
"2023/02/15","14656","0","5680","7587","27923"
"2023/02/14","24082","0","16728","4434","45244"
"2023/02/13","27930",,"6447","6785","41162"
"2023/02/10","13769",,"10371","2554","26694"
"2023/02/09","13247","0","4235","1422","18904"
"2023/02/08","14380","0","14557","339","29276"
"2023/02/07","17990","4","9561","8128","35683"
"2023/02/06","15469","0","10243","1658","27370"
"2023/02/03","2508","32","11518","378","14436"
"2023/02/02","6894","1258","17303","2153","27608"
"2023/02/01","8456","0","4119","764","13339"
"2023/01/31","36729","0","4874","1851","43454"
"2023/01/30","20475","0","13094","3589","37158"
"2023/01/27","14406","0","14577","3234","32217"
"2023/01/26","7394","1751","18447","1495","29087"
"2023/01/25","17155","1750","17926","440","37271"
"2023/01/20","22147","9480","23325","889","55841"
"2023/01/19","25778",,"9015","929","35722"
"2023/01/18","32079","0","23218","1542","56839"
"2023/01/17","86830","6268","21369","3114","117581"
"2023/01/16","3193","1750","66432","852","72227"
"2023/01/13","10521","1","11117","492","22131"
"2023/01/12","19808","2","10753","420","30983"
"2023/01/11","9669","2","3885","1104","14660"
"2023/01/10","14891","1","23552","2172","40616"
"2023/01/09","12539","1","7380","2721","22641"
"2023/01/06","11018","9187","4608","4497","29310"
"2023/01/05","11332","2","13806","5639","30779"
"2023/01/04","23093","5331","7908","6049","42381"
"2023/01/03","14237","1","17932","3226","35396"
"2023/01/02","11322","1","7210","1703","20236"
"2022/12/29","21976","1","3241","5309","30527"
"2022/12/28","13006","0","17700","5695","36401"
"2022/12/27","20090","500","47503","1576","69669"
"2022/12/26","64003","1004","17269","6059","88335"
"2022/12/23","8480","8132","10356","852","27820"
"2022/12/22","29564","12801","2625","684","45674"
"2022/12/21","7332","14101","11574","36","33043"
"2022/12/20","24594","4","5252","2676","32526"
"2022/12/19","17597","445","2810","6370","27222"
"2022/12/16","9012","3700","2594","17943","33249"
"2022/12/15","18901","0","14043","16697","49641"
"2022/12/14","24789","0","18356","17919","61064"
"2022/12/13","15278","1","4686","5035","25000"
"2022/12/12","13122","0","3772","3807","20701"
"2022/12/09","17356","0","7390","8538","33284"
"2022/12/08","1000","1","5768","1930","8699"
"2022/12/07","8903",,"3058","2450","14411"
"2022/12/06","3870","101","6863","4739","15573"
"2022/12/05","9238","0","8969","1068","19275"
"2022/12/02","13192","0","9351","2528","25071"
"2022/12/01","9702","1","16797","1758","28258"
"2022/11/30","1560","100","3268","82","5010"
"2022/11/29","6607","1","7368","629","14605"
"2022/11/28","15695","0","11947","102","27744"
"2022/11/25","8285","62","4322","3426","16095"
"2022/11/24","12863","100","10663","2214","25840"
"2022/11/23","20486",,"1459","617","22562"
"2022/11/22","11442","0","1899","2171","15512"
"2022/11/21","7116",,"2870","3963","13949"
"2022/11/18","9768",,"5076","3177","18021"
"2022/11/17","48221",,"3913","1978","54112"
"2022/11/16","5545","0","9498","226","15269"
"2022/11/15","7212","1097","14571","819","23699"
"2022/11/14","12129","30","6091","234","18484"
"2022/11/11","13752","3367","19124","1468","37711"
"2022/11/10","24217",,"9184","774","34175"
"2022/11/09","14660","0","2997","1053","18710"
"2022/11/08","13189",,"877","2004","16070"
"2022/11/07","13031","1013","2549","1271","17864"
"2022/11/04","7425","136","12005","2341","21907"
"2022/11/03","13033","1132","2066","2123","18354"
"2022/11/02","50394","2383","37926","6422","97125"
"2022/11/01","13092","4623","17817","381","35913"
"2022/10/31","76713","2000","29900","867","109480"
"2022/10/28","23210","3103","20208","1410","47931"
"2022/10/27","7980","1094","24077","1119","34270"
"2022/10/26","11968","1","16195","2673","30837"
"2022/10/25","14650",,"14068","8609","37327"
"2022/10/24","29250","0","25785","3175","58210"
"2022/10/21","10945","82","5503","176","16706"
"2022/10/20","41182","5534","61821","13096","121633"
"2022/10/19","58056","0","24637","10182","92875"
"2022/10/18","103597","0","16985","6801","127383"
"2022/10/17","68033","0","6089","4493","78615"
"2022/10/14","29355","0","22641","4608","56604"
"2022/10/13","76042","3800","32288","11252","123382"
"2022/10/12","11702","264","14369","1832","28167"
"2022/10/11","19758","0","4450","794","25002"
"2022/10/07","27726","0","5845","2712","36283"
"2022/10/06","20293","1","29684","4807","54785"
"2022/10/05","28979","0","4838","4015","37832"
"2022/10/04","9592","0","12484","3172","25248"
"2022/09/30","23906","0","10875","1006","35787"
"2022/09/29","19971","0","16061","3007","39039"
"2022/09/28","6999","0","20242","6852","34093"
"2022/09/27","14301","80","12364","7393","34138"
"2022/09/26","21380","5","26417","4362","52164"
"2022/09/23","12388","7549","6871","7696","34504"
"2022/09/22","3002","3779","7108","5113","19002"
"2022/09/21","4688","90","10016","6685","21479"
"2022/09/20","20913","1601","19061","7857","49432"
"2022/09/19","22476","2300","50940","14605","90321"
"2022/09/16","60463","13000","30279","138159","241901"
"2022/09/15","49235","848","16462","3552","70097"
"2022/09/14","39559","3000","33198","3769","79526"
"2022/09/13","47862","11381","20181","446","79870"
"2022/09/08","25784","0","2380","3752","31916"
"2022/09/07","18249","0","6076","5069","29394"
"2022/09/06","20495","1621","9518","345","31979"
"2022/09/05","4351",,"12401","239","16991"
"2022/09/02","7658","0","6481","4139","18278"
"2022/09/01","14512","0","1688","3726","19926"
"2022/08/31","1386","0","1941","1136","4463"
"2022/08/30","24399","3","4749","3279","32430"
"2022/08/29","26383",,"1947","4248","32578"
"2022/08/26","7649","1","701","1497","9848"
"2022/08/25","79682","0","8990","5592","94264"
"2022/08/24","8559","5","5131","3786","17481"
"2022/08/23","22548",,"8883","8507","39938"
"2022/08/22","17792","0","3750","2528","24070"
"2022/08/19","21052","4","3239","2735","27030"
"2022/08/18","20390","0","7685","6552","34627"
"2022/08/17","97952","0","14454","3450","115856"
"2022/08/16","14051","0","12111","3360","29522"
"2022/08/12","13902","0","10785","3187","27874"
"2022/08/11","6088","3","3641","4528","14260"
"2022/08/10","41042","0","5793","18246","65081"
"2022/08/09","8398","0","6287","3991","18676"
"2022/08/08","81974","1","12354","8222","102551"
"2022/08/05","30346","0","25090","9452","64888"
"2022/08/04","24192","0","3191","3890","31273"
"2022/08/03","18838","2","6793","11315","36948"
"2022/08/02","31437","1","17400","13392","62230"
"2022/08/01","16309","0","19308","20671","56288"
"2022/07/29","73072","1103","14523","8144","96842"
"2022/07/28","22477",,"4539","6299","33315"
"2022/07/27","36707","1","6351","1341","44400"
"2022/07/26","49451","1","11998","5119","66569"
"2022/07/25","47450","0","12370","15559","75379"
"2022/07/22","73064","0","3602","11667","88333"
"2022/07/21","38504","0","4895","6194","49593"
"2022/07/20","25061","0","6610","6795","38466"
"2022/07/19","51214","124","14080","13650","79068"
"2022/07/18","18483","0","8071","3512","30066"
"2022/07/15","21087","1370","16683","2721","41861"
"2022/07/14","8050","0","5452","1077","14579"
"2022/07/13","15838","0","8666","6753","31257"
"2022/07/12","57447","0","36404","9626","103477"
"2022/07/11","16002","0","15350","3544","34896"
"2022/07/08","5618","0","36544","13387","55549"
"2022/07/07","12388","0","20681","13109","46178"
"2022/07/06","14803","1","4953","24119","43876"
"2022/07/05","14957","0","31467","26738","73162"
"2022/07/04","3182","1","24343","13990","41516"
"2022/07/01","17030","0","12696","24700","54426"
"2022/06/30","49019","0","23517","61403","133939"
"2022/06/29","30029","0","16460","27832","74321"
"2022/06/28","45033","1","27026","34813","106873"
"2022/06/27","93179","500001","15637","25050","633867"
"2022/06/24","66570","9272","22532","27884","126258"
"2022/06/23","50286","1","28445","30615","109347"
"2022/06/22","61137","800000","28427","26889","916453"
"2022/06/21","46490","1","20238","16219","82948"
"2022/06/20","93869","0","124274","24897","243040"
"2022/06/17","55271",,"72441","13202","140914"
"2022/06/16","101666","0","66619","27751","196036"
"2022/06/15","79507","1","58517","12325","150350"
"2022/06/14","49512","0","33617","10415","93544"
"2022/06/13","59114","0","95521","19336","173971"
"2022/06/10","86898","0","27920","9398","124216"
"2022/06/09","48211","6022","41309","5743","101285"
"2022/06/08","36465","2000","23287","7756","69508"
"2022/06/07","13165","1","23777","5610","42553"
"2022/06/03","5004","100","12917","3009","21030"
"2022/06/02","13078","1","13817","5802","32698"
"2022/05/31","43028","7253","28723","28908","107912"
"2022/05/30","5868","0","19645","8963","34476"
"2022/05/27","30662","4","7271","13045","50982"
"2022/05/26","2474","200","47934","9238","59846"
"2022/05/25","16084","0","21812","9675","47571"
"2022/05/24","1507","0","20850","9377","31734"
"2022/05/23","1711","0","14536","10598","26845"
"2022/05/20","6088","0","50278","21452","77818"
"2022/05/19","28176","0","28747","1733","58656"
"2022/05/18","17496","0","16697","14414","48607"
"2022/05/17","5955","0","37111","14794","57860"
"2022/05/16","28341","0","30446","9375","68162"
"2022/05/13","13017","4","35447","12973","61441"
"2022/05/12","11388",,"46016","20198","77602"
"2022/05/11","21906","0","14822","14263","50991"
"2022/05/10","17417","2","24850","19251","61520"
"2022/05/09","46016","0","73841","13557","133414"
"2022/05/06","27353","0","19271","5397","52021"
"2022/05/04","90828","0","50669","11732","153229"
"2022/05/03","106365","0","63245","11920","181530"
"2022/05/02","49051","100","25518","6215","80884"
"2022/04/29","60284","8379","35614","12343","116620"
"2022/04/28","112456","521","47085","34590","194652"
"2022/04/27","50536","500","83119","20855","155010"
"2022/04/26","17073","500","84236","15036","116845"
"2022/04/25","17912","24880","90320","24033","157145"
"2022/04/22","86831","4315588","60380","7468","4470267"
"2022/04/21","80003","5122","32332","6893","124350"
"2022/04/20","109729","160","44582","8720","163191"
"2022/04/19","110579","0","55165","8248","173992"
"2022/04/18","68157","15412","56757","24390","164716"
"2022/04/15","100799","400","79888","5646","186733"
"2022/04/14","75640","0","30972","4714","111326"
"2022/04/13","57008","0","44971","10083","112062"
"2022/04/12","78361","1","36136","5348","119846"
"2022/04/11","126264","1788","27976","3053","159081"
"2022/04/08","69195","400","27152","2494","99241"
"2022/04/07","106866","0","36043","3411","146320"
"2022/04/06","147787","2800","32393","2218","185198"
"2022/04/05","105348","500","31316","1284","138448"
"2022/04/04","79917","100","36976","3802","120795"
"2022/04/01","103807","0","15576","3584","122967"
"2022/03/31","76504","1400","27430","2067","107401"
"2022/03/30","88580","0","5773","1679","96032"
"2022/03/29","62849","100","30228","17469","110646"
"2022/03/28","73599","100","16030","1628","91357"
"2022/03/25","41095","100","6158","3095","50448"
"2022/03/24","57222","100","23682","1767","82771"
"2022/03/23","51489","100","8677","981","61247"
"2022/03/22","69762","100","19873","364","90099"
"2022/03/21","36548","0","9349","137","46034"
"2022/03/18","48898","20417","5532","2300","77147"
"2022/03/17","25468","0","6971","7314","39753"
"2022/03/16","38316","1947","8569","5908","54740"
"2022/03/15","25606","100","2539","5230","33475"
"2022/03/14","39496","7683","8636","5049","60864"
"2022/03/11","46416","23000","21373","1111","91900"
"2022/03/10","36294","34300","6989","8129","85712"
"2022/03/08","35282","100","13424","9696","58502"
"2022/03/07","33638","3164","38907","4267","79976"
"2022/03/04","80466","1001","14534","4396","100397"
"2022/03/03","81193",,"14609","4085","99887"
"2022/03/02","79900","0","15647","6970","102517"
"2022/02/28","32915","0","11451","785","45151"
"2022/02/25","23166",,"14785","83","38034"
"2022/02/24","31799","0","29682","175","61656"
"2022/02/23","7320","7932","11363","1013","27628"
"2022/02/22","31475","0","6921","4427","42823"
"2022/02/21","33841","0","4156","619","38616"
"2022/02/18","30519","0","4305","350","35174"
"2022/02/17","23243","0","5561","5591","34395"
"2022/02/16","27502","0","18743","7165","53410"
"2022/02/15","19817","0","6638","6209","32664"
"2022/02/14","14349","0","8975","3515","26839"
"2022/02/11","29378","0","17916","1333","48627"
"2022/02/10","53991","3","15355","2289","71638"
"2022/02/09","24193","0","28259","485","52937"
"2022/02/08","31388","2130","6160","1934","41612"
"2022/02/07","33142","2100","10655","4523","50420"
"2022/02/04","95574","0","6991","2649","105214"
"2022/02/03","32502","5000","43062","2395","82959"
"2022/01/28","43297","0","34632","8316","86245"
"2022/01/27","84983","0","52898","8695","146576"
"2022/01/26","33255","3","12819","5886","51963"
"2022/01/25","74173","11086","31449","13246","129954"
"2022/01/24","7962","14500","12565","7373","42400"
"2022/01/21","25965","0","14045","6038","46048"
"2022/01/20","7230","2970","12033","1850","24083"
"2022/01/19","26855","0","12165","8724","47744"
"2022/01/18","31629","0","5105","5998","42732"
"2022/01/17","52115","217","19120","9742","81194"
"2022/01/14","5211","5566","12449","1446","24672"
"2022/01/13","18262","0","8678","1006","27946"
"2022/01/12","13036","0","13232","7548","33816"
"2022/01/11","3337","15736","13175","8981","41229"
"2022/01/10","14719","0","16806","8635","40160"
"2022/01/07","21893","0","2279","16322","40494"
"2022/01/06","74496","0","49261","14839","138596"
"2022/01/05","29441","2","23854","11260","64557"
"2022/01/04","32389",,"17887","15920","66196"
"2022/01/03","15275",,"16703","27518","59496"
"2021/12/30","19997","3","22618","23896","66514"
"2021/12/29","124871","17069","46020","36528","224488"
"2021/12/28","67922","144","107236","20028","195330"
"2021/12/27","53281","56","42062","10578","105977"
"2021/12/24","24409","0","24234","10456","59099"
"2021/12/23","13077","0","52388","6424","71889"
"2021/12/22","16169","0","23395","5236","44800"
"2021/12/21","59203","0","20513","5851","85567"
"2021/12/20","49824","0","14348","9699","73871"
"2021/12/17","41498","0","9627","7476","58601"
"2021/12/16","34071","0","32247","12739","79057"
"2021/12/15","14273","1","34920","5558","54752"
"2021/12/14","4836","0","17245","2691","24772"
"2021/12/13","2439","0","17420","3843","23702"
"2021/12/10","14","0","10153","1931","12098"
"2021/12/09","58283","0","1644","7279","67206"
"2021/12/08","26496","0","14615","14959","56070"
"2021/12/07","29975","0","6827","2694","39496"
"2021/12/06","53543","0","21547","5301","80391"
"2021/12/03","54241","1000","22269","16881","94391"
"2021/12/02","27607","1000","7594","5272","41473"
"2021/12/01","130030","1000","40004","11357","182391"
"2021/11/30","105051","1","37252","37375","179679"
"2021/11/29","61379","0","61617","8811","131807"
"2021/11/26","75411","0","18568","14881","108860"
"2021/11/25","67950","0","9511","11271","88732"
"2021/11/24","71687","410","18746","3251","94094"
"2021/11/23","153429","0","12943","22047","188419"
"2021/11/22","80588","0","9256","5594","95438"
"2021/11/19","54434","0","8748","12647","75829"
"2021/11/18","118115","2500","25480","12238","158333"
