일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","4627","1","3672","1335","9635"
"2023/05/03","8377","0","6779","1074","16230"
"2023/05/02","2493","1","8123","564","11181"
"2023/04/28","10867","1","9378","564","20810"
"2023/04/27","3356","1","2407","1251","7015"
"2023/04/26","24455","2","5949","911","31317"
"2023/04/25","11164","0","3491","1078","15733"
"2023/04/24","7938","0","11796","1075","20809"
"2023/04/21","13595","0","16598","1255","31448"
"2023/04/20","9303","3750","2591","7788","23432"
"2023/04/19","5826","3751","6594","1307","17478"
"2023/04/18","16860","0","2269","915","20044"
"2023/04/17","1559","0","4001","959","6519"
"2023/04/14","6119","3258","1584","1312","12273"
"2023/04/13","4594","2","553","1177","6326"
"2023/04/12","1919","0","6692","833","9444"
"2023/04/11","5786","2","10953","1007","17748"
"2023/04/10","1073","1","17849","1187","20110"
"2023/04/07","11","0","7372","1599","8982"
"2023/04/06","252","0","3084","1059","4395"
"2023/04/05","2370","1","18451","1152","21974"
"2023/04/04","4","0","38200","8380","46584"
"2023/04/03","888","0","11129","707","12724"
"2023/03/31","7653","22423","18381","717","49174"
"2023/03/30","422","0","7436","169","8027"
"2023/03/29","0","54","5100","370","5524"
"2023/03/28","214","71","4352","666","5303"
"2023/03/27","1322","0","6606","517","8445"
"2023/03/24","2229","0","2167","601","4997"
"2023/03/23","0","0","5593","691","6284"
"2023/03/22","650","315","7622","510","9097"
"2023/03/21","6502","0","546","705","7753"
"2023/03/20","1560","21","378","588","2547"
"2023/03/17","1054","106","5591","856","7607"
"2023/03/16","57","0","3948","660","4665"
"2023/03/15","516","100","3433","1022","5071"
"2023/03/14","2006","1","8401","1168","11576"
"2023/03/13","3662","0","3070","1059","7791"
"2023/03/10","0","600","7226","958","8784"
"2023/03/09","250","0","2274","386","2910"
"2023/03/08","1373","0","3684","1000","6057"
"2023/03/07","5708","4293","10415","1002","21418"
"2023/03/06","450","0","7247","462","8159"
"2023/03/03","9628","1","6448","1142","17219"
"2023/03/02","1425","0","4199","480","6104"
"2023/02/28","4619","0","9684","473","14776"
"2023/02/27","5270","0","3244","800","9314"
"2023/02/24","200","192","5231","305","5928"
"2023/02/23","5697","0","5779","495","11971"
"2023/02/22","2654","0","14679","791","18124"
"2023/02/21","2949","0","4656","937","8542"
"2023/02/20","1790","2","9826","870","12488"
"2023/02/17","3668","0","1386","742","5796"
"2023/02/16","3500","0","4415","518","8433"
"2023/02/15","3493","0","4347","3815","11655"
"2023/02/14","4313","2000","8859","1014","16186"
"2023/02/13","3442","0","5838","967","10247"
"2023/02/10","1543","0","5940","115","7598"
"2023/02/09","750","0","22784","21","23555"
"2023/02/08","5086","0","18529","45","23660"
"2023/02/07","6879","0","874","437","8190"
"2023/02/06","1301","299","15886","791","18277"
"2023/02/03","7807","20","35482","811","44120"
"2023/02/02","193","2775","13706","798","17472"
"2023/02/01","360","0","13121","1793","15274"
"2023/01/31","474","500","11061","571","12606"
"2023/01/30","657","566","6643","2417","10283"
"2023/01/27","102","558","11857","3","12520"
"2023/01/26","5193","1877","14422","235","21727"
"2023/01/25","600","1875","14414","509","17398"
"2023/01/20","28623","1876","10342","365","41206"
"2023/01/19","926","0","5619","456","7001"
"2023/01/18","1470","1","13269","22","14762"
"2023/01/17","1318","2","11597","201","13118"
"2023/01/16","1","1876","11436","2","13315"
"2023/01/13","2697","2","7869","0","10568"
"2023/01/12","2422","0","11629","49","14100"
"2023/01/11","2034","0","3372","2","5408"
"2023/01/10","2071","2","16007","8","18088"
"2023/01/09","1901","0","25060","97","27058"
"2023/01/06","623","1","22090","48","22762"
"2023/01/05","7013","1","14214","2167","23395"
"2023/01/04","2658","2","8550","1553","12763"
"2023/01/03","2","0","7643","2168","9813"
"2023/01/02","120","2","9627","3608","13357"
"2022/12/29","1177","0","25550","4501","31228"
"2022/12/28","1077","0","33678","4926","39681"
"2022/12/27","948","299","6059","2013","9319"
"2022/12/26","8","1","11175","1368","12552"
"2022/12/23","16011","0","8730","287","25028"
"2022/12/22","1554","4","13824","0","15382"
"2022/12/21","5555","3","13118","0","18676"
"2022/12/20","2579","10","46607","7175","56371"
"2022/12/19","17163","768","45172","15537","78640"
"2022/12/16","5493","1","8000","3358","16852"
"2022/12/15","2511","0","4799","1419","8729"
"2022/12/14","4624","0","7040","177","11841"
"2022/12/13","1837","0","6805","4957","13599"
"2022/12/12","3051","2","9300","1383","13736"
"2022/12/09","3355","0","6782","1","10138"
"2022/12/08","1596","0","26660","1826","30082"
"2022/12/07","1250","0","13982","4635","19867"
"2022/12/06","16102","425","11715","6108","34350"
"2022/12/05","3559","786","8796","316","13457"
"2022/12/02","1954","3058","30218","583","35813"
"2022/12/01","10692","5001","73082","2164","90939"
"2022/11/30","11981","0","17167","1660","30808"
"2022/11/29","18147","0","27816","289","46252"
"2022/11/28","29337","140","18125","2042","49644"
"2022/11/25","28648","0","55580","1303","85531"
"2022/11/24","4484","0","6167","807","11458"
"2022/11/23","3647","0","2846","2049","8542"
"2022/11/22","15969","0","9554","1363","26886"
"2022/11/21","4573","1","24477","3962","33013"
"2022/11/18","7205","0","3966","2812","13983"
"2022/11/17","10234","0","10187","1780","22201"
"2022/11/16","21930","0","17541","2692","42163"
"2022/11/15","4959","0","10128","7828","22915"
"2022/11/14","20327","2003","17410","870","40610"
"2022/11/11","30705","4923","39851","3118","78597"
"2022/11/10","14004","3","3138","8156","25301"
"2022/11/09","19600","1","10309","385","30295"
"2022/11/08","15718","3","7935","1648","25304"
"2022/11/07","22026","2","3014","3718","28760"
"2022/11/04","12017","34","11540","12258","35849"
"2022/11/03","12815","2","2035","2358","17210"
"2022/11/02","7128","2","6630","2119","15879"
"2022/11/01","21415","4","5171","2622","29212"
"2022/10/31","29233","401","20476","3297","53407"
"2022/10/28","14590","603","16796","13367","45356"
"2022/10/27","62955","1006","13097","3613","80671"
"2022/10/26","75904","0","13210","20295","109409"
"2022/10/25","23587","0","8921","8147","40655"
"2022/10/24","64699","0","7778","7854","80331"
"2022/10/21","22050","0","24835","12495","59380"
"2022/10/20","88582","0","17361","19793","125736"
"2022/10/19","30012","0","18182","9600","57794"
"2022/10/18","28596","2941","48395","4232","84164"
"2022/10/17","11657","25","32309","4456","48447"
"2022/10/14","23362","50","17379","648","41439"
"2022/10/13","19854","0","19711","4054","43619"
"2022/10/12","13274","457","6447","2493","22671"
"2022/10/11","29756","0","63036","4586","97378"
"2022/10/07","7309","0","16382","3504","27195"
"2022/10/06","14491","250","22482","4171","41394"
"2022/10/05","21557","0","46469","6342","74368"
"2022/10/04","7556","21030","35854","807","65247"
"2022/09/30","6015","1","19561","1803","27380"
"2022/09/29","5810","1","10963","4613","21387"
"2022/09/28","39510","0","6039","8852","54401"
"2022/09/27","19754","0","35654","3321","58729"
"2022/09/26","15940","7","47242","4033","67222"
"2022/09/23","7455","0","16182","2772","26409"
"2022/09/22","13023","9","6228","2313","21573"
"2022/09/21","5315","1","2081","806","8203"
"2022/09/20","8231","1","7015","1033","16280"
"2022/09/19","17406","0","4494","1791","23691"
"2022/09/16","5008","0","10781","1910","17699"
"2022/09/15","13623","0","3581","735","17939"
"2022/09/14","21438","0","3158","756","25352"
"2022/09/13","15633","13083","16064","912","45692"
"2022/09/08","12613","0","6781","1699","21093"
"2022/09/07","15274","0","2170","4126","21570"
"2022/09/06","7212","0","2107","1009","10328"
"2022/09/05","11137","0","3889","1606","16632"
"2022/09/02","11702","1","15650","2287","29640"
"2022/09/01","14620","0","4716","6473","25809"
"2022/08/31","2852","0","14563","771","18186"
"2022/08/30","19173","4","6562","6849","32588"
"2022/08/29","7793","0","20660","4384","32837"
"2022/08/26","2840","2","16629","5491","24962"
"2022/08/25","4963","0","29058","1567","35588"
"2022/08/24","3015","7","22671","1410","27103"
"2022/08/23","887","0","33255","4670","38812"
"2022/08/22","91206","1","13852","3622","108681"
"2022/08/19","9952","2477","21359","5977","39765"
"2022/08/18","56390","0","11172","6838","74400"
"2022/08/17","13088","802","18130","4764","36784"
"2022/08/16","7992","1","3618","2691","14302"
"2022/08/12","19637","1","7164","764","27566"
"2022/08/11","1351","2","3762","820","5935"
"2022/08/10","3894","30638","8844","8122","51498"
"2022/08/09","11936","3301","5859","2802","23898"
"2022/08/08","8292","1","29306","3160","40759"
"2022/08/05","10974","1","21989","5813","38777"
"2022/08/04","20175","32154","48432","16241","117002"
"2022/08/03","30197","24623","37381","8553","100754"
"2022/08/02","11614","9455","36293","13471","70833"
"2022/08/01","11445","1332","10657","7742","31176"
"2022/07/29","8900","71","23006","26455","58432"
"2022/07/28","15332","1005","86573","2997","105907"
"2022/07/27","57921","0","21686","11024","90631"
"2022/07/26","27760","3","26338","10878","64979"
"2022/07/25","32053",,"60712","1500","94265"
"2022/07/22","80377","1717","28069","10785","120948"
"2022/07/21","32428","885","40728","9467","83508"
"2022/07/20","20321","0","13833","2491","36645"
"2022/07/19","27954","1","20706","8935","57596"
"2022/07/18","12778","1500","184","4156","18618"
"2022/07/15","10373","0","21420","12534","44327"
"2022/07/14","10000",,"19366","8760","38126"
"2022/07/13","2858","0","4308","3353","10519"
"2022/07/12","15050","0","39879","7020","61949"
"2022/07/11","17319","0","8989","12047","38355"
"2022/07/08","10141","0","3955","3551","17647"
"2022/07/07","16005","0","20478","3830","40313"
"2022/07/06","25046","0","13568","6595","45209"
