일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","4812","4602","17506","861","27781"
"2023/05/03","4890","3000","6641","322","14853"
"2023/05/02","1677","310","5472","294","7753"
"2023/04/28","14260","535","5147","1416","21358"
"2023/04/27","2908","0","8667","1314","12889"
"2023/04/26","8944","271","9282","4729","23226"
"2023/04/25","1885","0","1734","3254","6873"
"2023/04/24","5087","19553","13539","16103","54282"
"2023/04/21","3692","0","14904","3426","22022"
"2023/04/20","4564","7799","9461","6846","28670"
"2023/04/19","4071","2363","14709","4269","25412"
"2023/04/18","3494","14482","39211","9568","66755"
"2023/04/17","1363","1","20628","1286","23278"
"2023/04/14","7479","0","26208","12","33699"
"2023/04/13","4177","0","4144","1854","10175"
"2023/04/12","2410","1","22894","1600","26905"
"2023/04/11","8040","0","10231","5691","23962"
"2023/04/10","14269","1","12142","3063","29475"
"2023/04/07","3116","0","13273","3375","19764"
"2023/04/06","4843","0","11371","5656","21870"
"2023/04/05","4062","1","59403","4628","68094"
"2023/04/04","1291","2","8047","1228","10568"
"2023/04/03","3545","103","20148","4720","28516"
"2023/03/31","941","1","10695","10750","22387"
"2023/03/30","5373","0","5761","2502","13636"
"2023/03/29","212","1","18058","3108","21379"
"2023/03/28","1218","0","17070","8496","26784"
"2023/03/27","13217","1525","22788","20979","58509"
"2023/03/24","11546","0","4977","2305","18828"
"2023/03/23","10200","0","22971","1155","34326"
"2023/03/22","8858","0","5875","827","15560"
"2023/03/21","4977","1","3504","4947","13429"
"2023/03/20","53279","2","22254","976","76511"
"2023/03/17","2122","3","12168","15289","29582"
"2023/03/16","6434","1","11466","1280","19181"
"2023/03/15","2139","1","4857","2351","9348"
"2023/03/14","21092","0","9260","5172","35524"
"2023/03/13","10551","0","4610","3177","18338"
"2023/03/10","3363","0","2968","1840","8171"
"2023/03/09","2494","0","3223","633","6350"
"2023/03/08","3561","0","8626","2549","14736"
"2023/03/07","18740","8039","2001","27","28807"
"2023/03/06","4330","11565","14231","7652","37778"
"2023/03/03","16674","2","4536","1097","22309"
"2023/03/02","38671","1","16622","2194","57488"
"2023/02/28","1799","0","3143","1284","6226"
"2023/02/27","7361","0","17049","3346","27756"
"2023/02/24","4966","8995","49623","5043","68627"
"2023/02/23","5136","0","26362","6473","37971"
"2023/02/22","2559","3000","11856","334","17749"
"2023/02/21","5754","562","14869","3688","24873"
"2023/02/20","11510","3002","3864","205","18581"
"2023/02/17","25516","4500","9377","62","39455"
"2023/02/16","5533","0","7814","119","13466"
"2023/02/15","6364","0","24464","704","31532"
"2023/02/14","11454","194","16753","471","28872"
"2023/02/13","5122","2200","23797","703","31822"
"2023/02/10","1016","1800","6422","1607","10845"
"2023/02/09","14838","0","11783","2071","28692"
"2023/02/08","3986","0","16988","21","20995"
"2023/02/07","3902","480","12651","47","17080"
"2023/02/06","7483","0","5337","347","13167"
"2023/02/03","23396","13","28646","10","52065"
"2023/02/02","12890","5","6129","91","19115"
"2023/02/01","13401",,"10331","2717","26449"
"2023/01/31","2242","0","29367","5921","37530"
"2023/01/30","4937","5300","27855","1047","39139"
"2023/01/27","15626","4","16751","1207","33588"
"2023/01/26","10437","1751","10841","1447","24476"
"2023/01/25","21750","2850","13181","3308","41089"
"2023/01/20","14028","1920","31444","1400","48792"
"2023/01/19","6637","3000","5062","4887","19586"
"2023/01/18","26320","3323","29366","1794","60803"
"2023/01/17","28349","5532","6733","1601","42215"
"2023/01/16","61538","4750","40095","823","107206"
"2023/01/13","4947","6113","33897","1225","46182"
"2023/01/12","15040","4001","28081","5912","53034"
"2023/01/11","11666","1600","9869","606","23741"
"2023/01/10","10717","2","13869","1946","26534"
"2023/01/09","14388","3","13728","3367","31486"
"2023/01/06","7971","1001","21644","3128","33744"
"2023/01/05","15942","124","39055","4815","59936"
"2023/01/04","9813","893","12052","1068","23826"
"2023/01/03","3826","1","15864","3684","23375"
"2023/01/02","3735","68","23287","1749","28839"
"2022/12/29","611","1","16892","2890","20394"
"2022/12/28","3359","0","24116","1969","29444"
"2022/12/27","559","401","9726","413","11099"
"2022/12/26","5235","1001","6369","98","12703"
"2022/12/23","4326","130","24398","339","29193"
"2022/12/22","10882","7","8057","11","18957"
"2022/12/21","940","2","20092","25","21059"
"2022/12/20","7074","694","22969","2258","32995"
"2022/12/19","656","93","19934","1099","21782"
"2022/12/16","5862",,"30328","789","36979"
"2022/12/15","1870","1","4581","504","6956"
"2022/12/14","4067","5443","3962","474","13946"
"2022/12/13","9346","0","11176","63","20585"
"2022/12/12","3697","2","10662","3154","17515"
"2022/12/09","10301","0","8901","577","19779"
"2022/12/08","3516","752","13352","1641","19261"
"2022/12/07","3108","1902","16313","1040","22363"
"2022/12/06","21655","2195","18156","315","42321"
"2022/12/05","7429","653","3393","2107","13582"
"2022/12/02","11269","1","22379","478","34127"
"2022/12/01","9079","1271","2605","5420","18375"
"2022/11/30","3420","2000","7848","32","13300"
"2022/11/29","8857","2247","4576","278","15958"
"2022/11/28","661","1665","16594","5111","24031"
"2022/11/25","9629","1","12751","723","23104"
"2022/11/24","4111","2","11014","771","15898"
"2022/11/23","5531","0","3703","230","9464"
"2022/11/22","45136","0","11726","11154","68016"
"2022/11/21","3457","2","7636","1971","13066"
"2022/11/18","3120","0","10927","602","14649"
"2022/11/17","6129","1","7399","4498","18027"
"2022/11/16","3654","2","9997","6451","20104"
"2022/11/15","2661","0","7702","1697","12060"
"2022/11/14","3954","2","4004","364","8324"
"2022/11/11","42886",,"28097","825","71808"
"2022/11/10","3984","0","6978","2179","13141"
"2022/11/09","5561",,"3441","4848","13850"
"2022/11/08","21991","1","1382","12503","35877"
"2022/11/07","3442","1250","8998","4975","18665"
"2022/11/04","6162","14","8483","6266","20925"
"2022/11/03","6115","2334","5567","4323","18339"
"2022/11/02","3462","1","9251","2953","15667"
"2022/11/01","4757",,"7427","4932","17116"
"2022/10/31","6871","0","7906","7960","22737"
"2022/10/28","25012","1002","17056","3078","46148"
"2022/10/27","39135","1000","6480","10376","56991"
"2022/10/26","71655","5000","14299","5782","96736"
"2022/10/25","14270","2","5946","2252","22470"
"2022/10/24","20729","112","34299","3431","58571"
"2022/10/21","15552","65","18494","9623","43734"
"2022/10/20","14363","1183","16165","12820","44531"
"2022/10/19","31062","0","7898","18098","57058"
"2022/10/18","17995","4","21808","7210","47017"
"2022/10/17","23854","11000","10511","9024","54389"
"2022/10/14","24968","0","17331","2316","44615"
"2022/10/13","22945","0","17268","15271","55484"
"2022/10/12","13140","442","24875","4061","42518"
"2022/10/11","49095","10000","29056","11313","99464"
"2022/10/07","31920","2","12501","6718","51141"
"2022/10/06","66955","23000","23644","2416","116015"
"2022/10/05","53039","80","13104","6152","72375"
"2022/10/04","22259","5470","15280","1287","44296"
"2022/09/30","23306","9897","4024","4459","41686"
"2022/09/29","12895","2","9179","8501","30577"
"2022/09/28","28008","1000","21161","5364","55533"
"2022/09/27","20940","2","32214","5888","59044"
"2022/09/26","7543","2","14291","8243","30079"
"2022/09/23","3428","1","15907","3917","23253"
"2022/09/22","31226","2","8755","1928","41911"
"2022/09/21","13182","1","7402","2511","23096"
"2022/09/20","7867","0","5055","627","13549"
"2022/09/19","8922","6536","1653","2686","19797"
"2022/09/16","9356","106","5168","3974","18604"
"2022/09/15","21770","10709","2921","907","36307"
"2022/09/14","5741","192","2746","3650","12329"
"2022/09/13","13046","12320","3478","862","29706"
"2022/09/08","15140","5462","7012","2774","30388"
"2022/09/07","12789","300","6521","5146","24756"
"2022/09/06","13161","4000","7273","0","24434"
"2022/09/05","5700","1","6757","1505","13963"
"2022/09/02","3807","669","7623","5408","17507"
"2022/09/01","13675","0","5901","9948","29524"
"2022/08/31","12656",,"7092","4052","23800"
"2022/08/30","28538","1","28949","12068","69556"
"2022/08/29","60864","0","35180","12121","108165"
"2022/08/26","53950","0","9587","552","64089"
"2022/08/25","26166","0","6431","1284","33881"
"2022/08/24","26640","10","14112","850","41612"
"2022/08/23","54304","40","22878","9588","86810"
"2022/08/22","2063","35","12383","16601","31082"
"2022/08/19","33384","1","6238","3085","42708"
"2022/08/18","20960","0","10973","1662","33595"
"2022/08/17","70669","1","3580","4491","78741"
"2022/08/16","60633","189","11874","881","73577"
"2022/08/12","46823","0","22038","5659","74520"
"2022/08/11","45790","0","4515","312","50617"
"2022/08/10","16792","0","11285","6282","34359"
"2022/08/09","11572","0","1171","1455","14198"
"2022/08/08","24997","0","20741","3096","48834"
"2022/08/05","64332","0","3652","3927","71911"
"2022/08/04","10268","0","4154","3066","17488"
"2022/08/03","98102","0","21935","4859","124896"
"2022/08/02","11433","0","5122","3981","20536"
"2022/08/01","15737","70","28552","6215","50574"
"2022/07/29","17862","110","27163","3217","48352"
"2022/07/28","34554","0","25556","5312","65422"
"2022/07/27","33010","100","14749","3258","51117"
"2022/07/26","35176","6571","19841","5657","67245"
"2022/07/25","23011","500","13687","936","38134"
"2022/07/22","41915","0","6569","3730","52214"
"2022/07/21","33585","0","14907","7102","55594"
"2022/07/20","70502","1838","16652","7583","96575"
"2022/07/19","42179","5000","13909","8483","69571"
"2022/07/18","30272","0","3568","1878","35718"
"2022/07/15","12133","400","10708","17986","41227"
"2022/07/14","12021","0","13456","6882","32359"
"2022/07/13","32375","173","33435","9493","75476"
"2022/07/12","108075","400","47862","9525","165862"
"2022/07/11","29061","575","13774","9765","53175"
"2022/07/08","23159","200","6954","6238","36551"
"2022/07/07","11324","0","792","947","13063"
"2022/07/06","12090","0","12989","9007","34086"
"2022/07/05","12407","0","11220","1417","25044"
"2022/07/04","26791","0","21750","3546","52087"
"2022/07/01","9335","11","10805","6010","26161"
"2022/06/30","3852","12","4836","6277","14977"
"2022/06/29","3649","17762","5314","14587","41312"
"2022/06/28","5276","20000","17829","6511","49616"
"2022/06/27","20601","2000","7292","12365","42258"
"2022/06/24","50088","0","8416","10407","68911"
"2022/06/23","24407","0","32119","12830","69356"
"2022/06/22","45442","0","19479","14334","79255"
"2022/06/21","51171","1000","27670","11314","91155"
"2022/06/20","39125","140","148967","26508","214740"
"2022/06/17","1538","0","10558","7129","19225"
"2022/06/16","18785","0","24712","3094","46591"
"2022/06/15","16082","0","8751","6025","30858"
"2022/06/14","20816","0","24482","5721","51019"
"2022/06/13","10032","0","19948","4246","34226"
"2022/06/10","2363","2000","1214","1524","7101"
"2022/06/09","10274","9759","17276","1938","39247"
"2022/06/08","300","0","6383","3619","10302"
"2022/06/07","2945","502","7066","1269","11782"
"2022/06/03","7089","2000","19331","4647","33067"
"2022/06/02","1592","73","15665","2214","19544"
"2022/05/31","1232",,"7958","27903","37093"
"2022/05/30","2592","2040","13399","3957","21988"
"2022/05/27","1623","7222","2311","979","12135"
"2022/05/26","1089","8879","11301","2090","23359"
"2022/05/25","4930","10000","13364","1561","29855"
"2022/05/24","1539","3100","11623","4658","20920"
"2022/05/23","1897","2501","15986","13980","34364"
"2022/05/20","14359","2157","3523","6292","26331"
"2022/05/19","21387","4205","11202","5145","41939"
"2022/05/18","51725","3343","9691","7162","71921"
"2022/05/17","30251","9001","15179","6343","60774"
"2022/05/16","1816","2218","7728","4860","16622"
"2022/05/13","34696","10535","20394","7780","73405"
"2022/05/12","2899","13500","18922","5403","40724"
"2022/05/11","6617","1","24036","14155","44809"
"2022/05/10","12516","3003","23059","13132","51710"
"2022/05/09","5676","0","23242","1659","30577"
"2022/05/06","13756","406","25821","7239","47222"
"2022/05/04","601","92","25083","8340","34116"
"2022/05/03","23642","1675","36526","4980","66823"
"2022/05/02","21093","6352","31291","2385","61121"
"2022/04/29","23753","4000","32945","3083","63781"
"2022/04/28","11734","811","20997","14883","48425"
"2022/04/27","21340","3000","44531","8148","77019"
"2022/04/26","10103","0","21074","8595","39772"
"2022/04/25","109340","0","3162","2574","115076"
"2022/04/22","18239","0","14402","3730","36371"
"2022/04/21","16771","2000","22326","288","41385"
"2022/04/20","24117","116","16436","1504","42173"
"2022/04/19","34282","0","37496","7680","79458"
"2022/04/18","20532","0","92667","12145","125344"
"2022/04/15","8924","0","32306","265","41495"
"2022/04/14","2585","5000","57868","1069","66522"
"2022/04/13","15214","0","49446","1862","66522"
"2022/04/12","5831","3976","54641","1682","66130"
"2022/04/11","5563","2848","24942","16627","49980"
"2022/04/08","7880","0","93030","1473","102383"
"2022/04/07","5289","20000","61619","538","87446"
"2022/04/06","9000","0","35807","1647","46454"
"2022/04/05","492","19671","29505","3526","53194"
