일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","122064","1000","121143","5990","250197"
"2023/05/03","134972","8000","101691","28167","272830"
"2023/05/02","90750","142","138646","98283","327821"
"2023/04/28","65677","18000","142839","27586","254102"
"2023/04/27","150967","0","71395","18748","241110"
"2023/04/26","141361","1000","76292","68008","286661"
"2023/04/25","168460","0","73444","35944","277848"
"2023/04/24","151628","15000","107004","53653","327285"
"2023/04/21","308070","0","94116","17171","419357"
"2023/04/20","180516","4209","111800","6915","303440"
"2023/04/19","144534","4209","158501","25183","332427"
"2023/04/18","165730","22818","132732","22362","343642"
"2023/04/17","81307","0","143483","21844","246634"
"2023/04/14","132029","0","412599","11603","556231"
"2023/04/13","112075","22700","135699","21865","292339"
"2023/04/12","48182","50102","78408","4435","181127"
"2023/04/11","102069","48144","88685","11505","250403"
"2023/04/10","48930","4400","184756","18423","256509"
"2023/04/07","60251","0","28445","24172","112868"
"2023/04/06","35080","1000","96240","36324","168644"
"2023/04/05","78857","0","128604","19953","227414"
"2023/04/04","53752","4","131959","20572","206287"
"2023/04/03","59407","2750","159637","18760","240554"
"2023/03/31","49873","18579","194823","42497","305772"
"2023/03/30","36784","0","135296","30100","202180"
"2023/03/29","55995","1","114157","6761","176914"
"2023/03/28","19012","13021","179196","27683","238912"
"2023/03/27","124992","22038","406941","32445","586416"
"2023/03/24","33119","0","134265","14900","182284"
"2023/03/23","44339","0","181533","46929","272801"
"2023/03/22","114007","0","102760","84438","301205"
"2023/03/21","41993","0","181520","68859","292372"
"2023/03/20","66664","0","117575","17374","201613"
"2023/03/17","7454","5001","155504","165510","333469"
"2023/03/16","17705","1000","116279","7828","142812"
"2023/03/15","41298","11950","128259","51317","232824"
"2023/03/14","75549","9476","196732","55773","337530"
"2023/03/13","41919","18079","224699","59467","344164"
"2023/03/10","104616","47217","163220","42110","357163"
"2023/03/09","11556","89450","80419","956","182381"
"2023/03/08","40199","0","147999","11546","199744"
"2023/03/07","145753","9444","119728","10863","285788"
"2023/03/06","90244","0","146046","9298","245588"
"2023/03/03","100239","0","54395","7631","162265"
"2023/03/02","207151","51698","70374","24787","354010"
"2023/02/28","201809","2001","65017","19710","288537"
"2023/02/27","66575","0","165491","9128","241194"
"2023/02/24","49494","0","74727","8654","132875"
"2023/02/23","58475","2","72000","46961","177438"
"2023/02/22","31327","10000","58102","9652","109081"
"2023/02/21","46721","447","65959","19103","132230"
"2023/02/20","30729","47954","123214","13480","215377"
"2023/02/17","38678","2","84573","6886","130139"
"2023/02/16","82948","2","108442","42492","233884"
"2023/02/15","55987","1102","89444","21727","168260"
"2023/02/14","70766","25777","89996","47181","233720"
"2023/02/13","60358","18108","197277","59131","334874"
"2023/02/10","29044","10019","88136","10646","137845"
"2023/02/09","17994","3000","80275","25523","126792"
"2023/02/08","29351","1099","92679","10292","133421"
"2023/02/07","74034","3001","46714","51874","175623"
"2023/02/06","58873","0","134311","40210","233394"
"2023/02/03","28792","76618","225022","55238","385670"
"2023/02/02","67774","2651","166878","43661","280964"
"2023/02/01","99758","6177","119625","26772","252332"
"2023/01/31","105958","800","118373","166927","392058"
"2023/01/30","163124","15000","77198","54615","309937"
"2023/01/27","293918","2","173292","27841","495053"
"2023/01/26","147126","2619","272390","28511","450646"
"2023/01/25","65051","15180","436162","47823","564216"
"2023/01/20","41166","19131","216952","9687","286936"
"2023/01/19","38437","55165","174176","18483","286261"
"2023/01/18","72503","5000","205774","18634","301911"
"2023/01/17","85062","3","173074","33270","291409"
"2023/01/16","144348","12102","290123","16361","462934"
"2023/01/13","102109","1782","248726","7118","359735"
"2023/01/12","70062","1001","188167","5073","264303"
"2023/01/11","113607","0","99478","29216","242301"
"2023/01/10","76113","45502","153978","42423","318016"
"2023/01/09","143049","3","123106","66604","332762"
"2023/01/06","64410","32071","152941","57199","306621"
"2023/01/05","58569","2","93398","38420","190389"
"2023/01/04","32543","0","85740","38650","156933"
"2023/01/03","37040","20001","134244","62682","253967"
"2023/01/02","22579","1","140459","16598","179637"
"2022/12/29","49424","2","61708","89542","200676"
"2022/12/28","160389","2","250295","182019","592705"
"2022/12/27","183108","1","599601","19529","802239"
"2022/12/26","279287","1310","335847","35346","651790"
"2022/12/23","57388","26504","213687","13081","310660"
"2022/12/22","217445","51273","255005","5921","529644"
"2022/12/21","155175","49070","191374","27525","423144"
"2022/12/20","68073","9","338800","55180","462062"
"2022/12/19","55301","30459","142026","37489","265275"
"2022/12/16","372468","5303","87604","55430","520805"
"2022/12/15","63921","5302","172785","49681","291689"
"2022/12/14","322832","5","41739","9752","374328"
"2022/12/13","54227","4002","140196","28496","226921"
"2022/12/12","103883","1","73362","545","177791"
"2022/12/09","110287","1","58001","39708","207997"
"2022/12/08","26577","1","92861","40629","160068"
"2022/12/07","53062","17730","79527","7168","157487"
"2022/12/06","44163","4461","182006","37288","267918"
"2022/12/05","31547","0","110596","45978","188121"
"2022/12/02","19511","1","121907","48404","189823"
"2022/12/01","55379","33760","299645","31209","419993"
"2022/11/30","63441","4940","100498","47163","216042"
"2022/11/29","41023","0","35449","27939","104411"
"2022/11/28","75193","30000","138129","40774","284096"
"2022/11/25","85359","1001","68976","22391","177727"
"2022/11/24","122060","0","51994","21972","196026"
"2022/11/23","104981","0","48318","25911","179210"
"2022/11/22","122263","0","53662","41534","217459"
"2022/11/21","182626","1","45722","41983","270332"
"2022/11/18","65411","0","113728","74568","253707"
"2022/11/17","87051","0","47293","61236","195580"
"2022/11/16","90800","22300","104993","58680","276773"
"2022/11/15","115341","1","39676","80561","235579"
"2022/11/14","70975","1240","185601","71085","328901"
"2022/11/11","135456","16966","497228","33580","683230"
"2022/11/10","80128","0","105096","31999","217223"
"2022/11/09","132907","0","71546","22733","227186"
"2022/11/08","265850","0","74806","48483","389139"
"2022/11/07","129694","87065","60819","41562","319140"
"2022/11/04","106197","1439","183587","64587","355810"
"2022/11/03","235127","0","108298","91314","434739"
"2022/11/02","380779","24599","149583","61560","616521"
"2022/11/01","198447","19484","121391","58215","397537"
"2022/10/31","270810","7515","263228","38993","580546"
"2022/10/28","184509","3012","139694","43580","370795"
"2022/10/27","338944","6102","271996","33699","650741"
"2022/10/26","157050","9224","215071","38224","419569"
"2022/10/25","164954","17381","141172","30767","354274"
"2022/10/24","328114","4197","169264","48441","550016"
"2022/10/21","327108","6937","395717","112314","842076"
"2022/10/20","393934","16466","466934","102113","979447"
"2022/10/19","678102","10176","190087","52004","930369"
"2022/10/18","519797","95430","227656","65659","908542"
"2022/10/17","405332","15246","312197","199195","931970"
"2022/10/14","238900","914","98399","68350","406563"
"2022/10/13","260222","141000","441386","68934","911542"
"2022/10/12","229831","709","80558","52311","363409"
