일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","1443","232","33416","2813","37904"
"2023/05/03","8436","15","69690","566","78707"
"2023/05/02","187","0","43812","2035","46034"
"2023/04/28","140","17","66900","4649","71706"
"2023/04/27","14905","3","133277","9713","157898"
"2023/04/26","16528","0","125395","578","142501"
"2023/04/25","1061","4201","392761","2048","400071"
"2023/04/24","978","2","99270","5009","105259"
"2023/04/21","655","0","128787","2965","132407"
"2023/04/20","576","3","99455","6495","106529"
"2023/04/19","7661","0","576222","7885","591768"
"2023/04/18","17520","3","883179","3173","903875"
"2023/04/17","18954","8","272506","2683","294151"
"2023/04/14","7017","1","190261","421","197700"
"2023/04/13","7567","2","77091","1115","85775"
"2023/04/12","6507","2","73623","360","80492"
"2023/04/11","4610","1","106557","13","111181"
"2023/04/10","6664","1","110310","408","117383"
"2023/04/07","1273","1","72581","2","73857"
"2023/04/06","932","0","124998","1220","127150"
"2023/04/05","399","0","81508","2801","84708"
"2023/04/04","233","0","56064","789","57086"
"2023/04/03","4480","0","38066","4939","47485"
"2023/03/31","191","9030","265581","6638","281440"
"2023/03/30","4529","1830","56754","6858","69971"
"2023/03/29","30355","0","53653","6094","90102"
"2023/03/28","7010","0","19544","6453","33007"
"2023/03/27","259","1","48099","2834","51193"
"2023/03/24","222","1790","132658","5578","140248"
"2023/03/23","18120","1461","83856","6074","109511"
"2023/03/22","30","1890","33743","5148","40811"
"2023/03/21","104","0","21680","6082","27866"
"2023/03/20","66","0","36059","5290","41415"
"2023/03/17","1685","14","39722","6043","47464"
"2023/03/16","22177","8","59565","5845","87595"
"2023/03/15","1061","0","73878","5948","80887"
"2023/03/14","38103","2","86736","6499","131340"
"2023/03/13","4344","9","104893","7991","117237"
"2023/03/10","574","0","44209","5883","50666"
"2023/03/09","3406","2","126415","5628","135451"
"2023/03/08","1115","1","69523","5809","76448"
"2023/03/07","788","988","102242","6279","110297"
"2023/03/06","3279","1","66585","6013","75878"
"2023/03/03","2032","5628","23915","9242","40817"
"2023/03/02","457","689","37716","5326","44188"
"2023/02/28","9","462","15076","6027","21574"
"2023/02/27","4","0","58079","6395","64478"
"2023/02/24","1774","0","47014","4977","53765"
"2023/02/23","45","2","75042","5728","80817"
"2023/02/22","61","1150","107927","6604","115742"
"2023/02/21","16","862","22798","6509","30185"
"2023/02/20","11377","2","41402","4227","57008"
"2023/02/17","1064","0","24094","1844","27002"
"2023/02/16","4004","1","24743","2342","31090"
"2023/02/15","12378","10","38077","5762","56227"
"2023/02/14","1054","0","25456","1070","27580"
"2023/02/13","1146","1","69483","967","71597"
"2023/02/10","3023","0","33575","604","37202"
"2023/02/09","1000","0","51619","14","52633"
"2023/02/08","268","1","55447","4508","60224"
"2023/02/07","464","1","16927","508","17900"
"2023/02/06","17808","0","17786","260","35854"
"2023/02/03","5623","79","115336","384","121422"
"2023/02/02","59073","9","92739","158","151979"
"2023/02/01","763","0","84335","59","85157"
"2023/01/31","65","0","18749","156","18970"
"2023/01/30","156","0","30707","8","30871"
"2023/01/27","255","0","40245","3779","44279"
"2023/01/26","444","1","39542","1318","41305"
"2023/01/25","648","0","22642","1","23291"
"2023/01/20","922","1","67421","243","68587"
