일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","31122","7348","61360","14819","114649"
"2023/05/03","17219","2133","14728","732","34812"
"2023/05/02","8142","2468","15504","2708","28822"
"2023/04/28","11120","5192","27082","1291","44685"
"2023/04/27","11720","3323","18689","0","33732"
"2023/04/26","8683","3484","25129","1482","38778"
"2023/04/25","6053","8599","29913","1026","45591"
"2023/04/24","14534","8650","46395","17700","87279"
"2023/04/21","23805","373","53750","22091","100019"
"2023/04/20","13960","413","23789","6618","44780"
"2023/04/19","38829","4835","90769","40976","175409"
"2023/04/18","25786","2510","47854","16964","93114"
"2023/04/17","38104","2808","35311","10608","86831"
"2023/04/14","22060","2314","69040","43814","137228"
"2023/04/13","53498","507","38055","34183","126243"
"2023/04/12","57094","8482","48523","69455","183554"
"2023/04/11","18268","10078","68397","38433","135176"
"2023/04/10","35447","377","99867","22975","158666"
"2023/04/07","17896","5230","113746","18320","155192"
"2023/04/06","38968","868","76745","27129","143710"
"2023/04/05","53610","4415","82392","27994","168411"
"2023/04/04","7225","904","10352","153","18634"
"2023/04/03","8722","569","20938","7271","37500"
"2023/03/31","12249","0","25600","13666","51515"
"2023/03/30","11190","60","17630","14067","42947"
"2023/03/29","20189","0","33605","1773","55567"
"2023/03/28","35682","167","32650","38275","106774"
"2023/03/27","12463","431","99095","2902","114891"
"2023/03/24","12392","0","28930","189","41511"
"2023/03/23","15021","100","26110","1","41232"
"2023/03/22","5201","40","14032","116","19389"
"2023/03/21","7959","133","9964","2483","20539"
"2023/03/20","10637","1633","13765","814","26849"
"2023/03/17","4715","0","11629","3876","20220"
"2023/03/16","18587","600","21408","2601","43196"
"2023/03/15","22183","272","114228","6548","143231"
"2023/03/14","17576","6000","24801","69","48446"
"2023/03/13","18599","0","10317","52","28968"
"2023/03/10","14837","0","3557","813","19207"
"2023/03/09","11467","1","5287","6748","23503"
"2023/03/08","12344","250","14967","61","27622"
"2023/03/07","12868","0","7528","1613","22009"
"2023/03/06","15533","1864","22653","59","40109"
"2023/03/03","14729","2199","29543","46","46517"
"2023/03/02","15784","2160","15773","3031","36748"
"2023/02/28","17366","25","9854","121","27366"
"2023/02/27","9600","163","27348","1788","38899"
"2023/02/24","12933","0","17858","2207","32998"
"2023/02/23","6579","2020","10421","253","19273"
"2023/02/22","2299","2000","13528","168","17995"
"2023/02/21","3969","0","13695","1863","19527"
"2023/02/20","1079","994","13654","2777","18504"
"2023/02/17","2971",,"10063","439","13473"
"2023/02/16","2573","0","10265","1691","14529"
"2023/02/15","5667","0","29378","151","35196"
"2023/02/14","8434","373","23973","2341","35121"
"2023/02/13","18555","1956","9928","289","30728"
"2023/02/10","16573","394","23997","308","41272"
"2023/02/09","6623","69","14753","874","22319"
"2023/02/08","26967","1822","47713","7636","84138"
"2023/02/07","33583","370","13197","3462","50612"
"2023/02/06","8918","50","19327","1927","30222"
"2023/02/03","116865","113","17322","2429","136729"
"2023/02/02","28727","0","16933","13823","59483"
"2023/02/01","17189","206","41164","4803","63362"
"2023/01/31","37051","248","21436","7684","66419"
"2023/01/30","23994","415","31995","5940","62344"
"2023/01/27","32271","297","11582","127","44277"
"2023/01/26","26064","216","14784","1517","42581"
"2023/01/25","34943","157","21554","1241","57895"
