일자,기관 합계,기타법인,개인,외국인 합계,전체
"2023/05/04","71730","0","11990","17150","100870"
"2023/05/03","13115","0","33023","5851","51989"
"2023/05/02","26905","125","50802","4431","82263"
"2023/04/28","18555","1","38876","12455","69887"
"2023/04/27","19598","13001","27121","13725","73445"
"2023/04/26","35585","62","57161","3007","95815"
"2023/04/25","69954","0","31585","6529","108068"
"2023/04/24","96399","0","12968","14452","123819"
"2023/04/21","35908","0","24760","10197","70865"
"2023/04/20","59105","3500","35245","3344","101194"
"2023/04/19","44925","3500","19146","4399","71970"
"2023/04/18","54696","5610","11733","11953","83992"
"2023/04/17","24547","3002","27666","23333","78548"
"2023/04/14","86040","0","49855","1439","137334"
"2023/04/13","51194","0","31908","1968","85070"
"2023/04/12","44504","0","23470","6567","74541"
"2023/04/11","34498","0","16656","8329","59483"
"2023/04/10","16899","3603","12995","5863","39360"
"2023/04/07","35662","0","25822","5724","67208"
"2023/04/06","16977","0","12872","2605","32454"
"2023/04/05","17334","0","31210","510","49054"
"2023/04/04","27531","1","37828","402","65762"
"2023/04/03","14896","0","13016","2057","29969"
"2023/03/31","12390","0","16023","6585","34998"
"2023/03/30","12178","0","27182","744","40104"
"2023/03/29","25317","1","57603","13507","96428"
"2023/03/28","16163","0","15917","1343","33423"
"2023/03/27","44004","1","30378","5746","80129"
"2023/03/24","4656","0","12124","1823","18603"
"2023/03/23","24561","0","26953","2575","54089"
"2023/03/22","8042","0","26735","3387","38164"
"2023/03/21","1338","0","26541","1135","29014"
"2023/03/20","8502","1","19497","3101","31101"
"2023/03/17","2896","6","16629","9315","28846"
"2023/03/16","9946","1","31996","4953","46896"
"2023/03/15","23744","1","22577","1791","48113"
"2023/03/14","32053","0","16994","15159","64206"
"2023/03/13","21348","0","31253","4092","56693"
"2023/03/10","9524","0","23519","1323","34366"
"2023/03/09","18652","10","19892","2199","40753"
"2023/03/08","5848","0","12414","1318","19580"
"2023/03/07","9156","10427","15348","608","35539"
"2023/03/06","9309","0","11778","1504","22591"
"2023/03/03","9195","2","12167","2773","24137"
"2023/03/02","34276","0","12333","5207","51816"
"2023/02/28","11068","0","15891","1192","28151"
"2023/02/27","15643","0","9369","655","25667"
"2023/02/24","21657","1","14469","3450","39577"
"2023/02/23","14245","0","25124","1533","40902"
"2023/02/22","8910","0","19855","2137","30902"
"2023/02/21","6727","0","29652","5097","41476"
"2023/02/20","29114","1","38135","2807","70057"
"2023/02/17","24666","1","7315","502","32484"
"2023/02/16","42514","0","18741","1503","62758"
"2023/02/15","9864","0","7547","5182","22593"
"2023/02/14","4992","184","32861","4190","42227"
"2023/02/13","19493","0","14054","1623","35170"
"2023/02/10","16617","0","26622","2808","46047"
